node,sensor_axis,segment_start_s,segment_end_s,frequency_hz,psd
BSF3C79,acc_x_g,1,484,10.9375,3.46412909832e-09
BSF3C79,acc_x_g,1,484,11.1328125,3.33197872685e-09
BSF3C79,acc_x_g,1,484,11.328125,3.03108888999e-09
BSF3C79,acc_x_g,1,484,11.5234375,3.14485153297e-09
BSF3C79,acc_x_g,1,484,11.71875,3.20065938989e-09
BSF3C79,acc_x_g,1,484,11.9140625,3.64149257911e-09
BSF3C79,acc_x_g,1,484,12.109375,3.45107525488e-09
BSF3C79,acc_x_g,1,484,12.3046875,3.30438336799e-09
BSF3C79,acc_x_g,1,484,12.5,3.13578057534e-09
BSF3C79,acc_x_g,1,484,12.6953125,3.42271379062e-09
BSF3C79,acc_x_g,1,484,12.890625,3.35641636787e-09
BSF3C79,acc_x_g,1,484,13.0859375,3.38579781262e-09
BSF3C79,acc_x_g,1,484,13.28125,3.26657977068e-09
BSF3C79,acc_x_g,1,484,13.4765625,3.41697915086e-09
BSF3C79,acc_x_g,1,484,13.671875,3.44956748611e-09
BSF3C79,acc_x_g,1,484,13.8671875,3.69719059423e-09
BSF3C79,acc_x_g,1,484,14.0625,3.9088048685e-09
BSF3C79,acc_x_g,1,484,14.2578125,3.37843782185e-09
BSF3C79,acc_x_g,1,484,14.453125,3.07856153682e-09
BSF3C79,acc_x_g,1,484,14.6484375,3.72416749503e-09
BSF3C79,acc_x_g,1,484,14.84375,3.65324098541e-09
BSF3C79,acc_x_g,1,484,15.0390625,3.64867847026e-09
BSF3C79,acc_x_g,1,484,15.234375,3.68976865425e-09
BSF3C79,acc_x_g,1,484,15.4296875,3.59885677732e-09
BSF3C79,acc_x_g,1,484,15.625,3.78663921303e-09
BSF3C79,acc_x_g,1,484,15.8203125,3.47118792171e-09
BSF3C79,acc_x_g,1,484,16.015625,3.13273616976e-09
BSF3C79,acc_x_g,1,484,16.2109375,3.00367688081e-09
BSF3C79,acc_x_g,1,484,16.40625,3.32740319282e-09
BSF3C79,acc_x_g,1,484,16.6015625,3.36722472814e-09
BSF3C79,acc_x_g,1,484,16.796875,3.21268439178e-09
BSF3C79,acc_x_g,1,484,16.9921875,3.24455897913e-09
BSF3C79,acc_x_g,1,484,17.1875,3.02458764786e-09
BSF3C79,acc_x_g,1,484,17.3828125,3.0571270552e-09
BSF3C79,acc_x_g,1,484,17.578125,3.37055650655e-09
BSF3C79,acc_x_g,1,484,17.7734375,3.03335544903e-09
BSF3C79,acc_x_g,1,484,17.96875,2.90798173527e-09
BSF3C79,acc_x_g,1,484,18.1640625,2.91744093345e-09
BSF3C79,acc_x_g,1,484,18.359375,2.8359561976e-09
BSF3C79,acc_x_g,1,484,18.5546875,2.82178238886e-09
BSF3C79,acc_x_g,1,484,18.75,3.06943092557e-09
BSF3C79,acc_x_g,1,484,18.9453125,3.0715673988e-09
BSF3C79,acc_x_g,1,484,19.140625,2.86114962392e-09
BSF3C79,acc_x_g,1,484,19.3359375,3.11383507192e-09
BSF3C79,acc_x_g,1,484,19.53125,3.08019275853e-09
BSF3C79,acc_x_g,1,484,19.7265625,3.11824250585e-09
BSF3C79,acc_x_g,1,484,19.921875,3.04013542737e-09
BSF3C79,acc_x_g,1,484,20.1171875,2.85592196073e-09
BSF3C79,acc_x_g,1,484,20.3125,3.06316528094e-09
BSF3C79,acc_x_g,1,484,20.5078125,2.94807372042e-09
BSF3C79,acc_x_g,1,484,20.703125,3.03454640079e-09
BSF3C79,acc_x_g,1,484,20.8984375,2.82990785462e-09
BSF3C79,acc_x_g,1,484,21.09375,2.66522269891e-09
BSF3C79,acc_x_g,1,484,21.2890625,2.87276919734e-09
BSF3C79,acc_x_g,1,484,21.484375,3.1734839298e-09
BSF3C79,acc_x_g,1,484,21.6796875,2.88940042796e-09
BSF3C79,acc_x_g,1,484,21.875,2.64961862448e-09
BSF3C79,acc_x_g,1,484,22.0703125,3.00530098565e-09
BSF3C79,acc_x_g,1,484,22.265625,3.1102687283e-09
BSF3C79,acc_x_g,1,484,22.4609375,3.15699354389e-09
BSF3C79,acc_x_g,1,484,22.65625,3.1047558904e-09
BSF3C79,acc_x_g,1,484,22.8515625,3.03920699381e-09
BSF3C79,acc_x_g,1,484,23.046875,3.47396063571e-09
BSF3C79,acc_x_g,1,484,23.2421875,3.40204474129e-09
BSF3C79,acc_x_g,1,484,23.4375,3.14989319746e-09
BSF3C79,acc_x_g,1,484,23.6328125,3.01713618943e-09
BSF3C79,acc_x_g,1,484,23.828125,3.07043837356e-09
BSF3C79,acc_x_g,1,484,24.0234375,2.95521203455e-09
BSF3C79,acc_x_g,1,484,24.21875,3.55397987814e-09
BSF3C79,acc_x_g,1,484,24.4140625,3.47964776607e-09
BSF3C79,acc_x_g,1,484,24.609375,3.30189151459e-09
BSF3C79,acc_x_g,1,484,24.8046875,3.7011616717e-09
BSF3C79,acc_x_g,1,484,25,3.84418084687e-09
BSF3C79,acc_x_g,1,484,25.1953125,4.30136979882e-09
BSF3C79,acc_x_g,1,484,25.390625,4.68511448966e-09
BSF3C79,acc_x_g,1,484,25.5859375,5.16284465608e-09
BSF3C79,acc_x_g,1,484,25.78125,5.24693195952e-09
BSF3C79,acc_x_g,1,484,25.9765625,4.65783065651e-09
BSF3C79,acc_x_g,1,484,26.171875,4.70614591934e-09
BSF3C79,acc_x_g,1,484,26.3671875,4.7857198728e-09
BSF3C79,acc_x_g,1,484,26.5625,3.89388628376e-09
BSF3C79,acc_x_g,1,484,26.7578125,3.77166247021e-09
BSF3C79,acc_x_g,1,484,26.953125,3.81809266137e-09
BSF3C79,acc_x_g,1,484,27.1484375,3.89019084429e-09
BSF3C79,acc_x_g,1,484,27.34375,3.91418736896e-09
BSF3C79,acc_x_g,1,484,27.5390625,3.69337713668e-09
BSF3C79,acc_x_g,1,484,27.734375,3.91179672281e-09
BSF3C79,acc_x_g,1,484,27.9296875,3.75865270797e-09
BSF3C79,acc_x_g,1,484,28.125,3.64830134008e-09
BSF3C79,acc_x_g,1,484,28.3203125,3.7529089134e-09
BSF3C79,acc_x_g,1,484,28.515625,3.92424940019e-09
BSF3C79,acc_x_g,1,484,28.7109375,4.10411661814e-09
BSF3C79,acc_x_g,1,484,28.90625,3.80802810814e-09
BSF3C79,acc_x_g,1,484,29.1015625,3.79308272342e-09
BSF3C79,acc_x_g,1,484,29.296875,3.35412820353e-09
BSF3C79,acc_x_g,1,484,29.4921875,2.67671085779e-09
BSF3C79,acc_x_g,1,484,29.6875,3.05346011034e-09
BSF3C79,acc_x_g,1,484,29.8828125,3.46241714103e-09
BSF3C79,acc_x_g,1,484,30.078125,3.66913898683e-09
BSF3C79,acc_x_g,1,484,30.2734375,3.72926123416e-09
BSF3C79,acc_x_g,1,484,30.46875,3.59786335515e-09
