node,platform,anchor_slot,anchor_id_mode,record_count,valid_count,valid_rate,range_mean_mm,range_median_mm,std_mm,mad_mm,robust_sigma_mm,p01_mm,p05_mm,p95_mm,p99_mm,dropout_count,rank_median,quality_median,t_round_us_median,cfo_ppm_q8_median,corr_range_quality,corr_range_cfo_q8,corr_range_t_round,invalid_range_zero_rate
BSFB165,trusted_static_union,2,2,13865,13863,0.999855752,2222.630960,2222.000000,28.429251,19.000000,28.169400,2158.0,2177.0,2269.0,2289.0,2,2.0,100.0,3282.0,-345.0,0.000705959,0.452513,nan,0
BSFB165,trusted_static_union,3,3,13865,13865,1.000000000,3084.228201,3085.000000,27.414840,18.000000,26.686800,3020.0,3040.0,3128.0,3146.0,0,3.0,100.0,4308.0,-300.0,nan,0.206415,nan,nan
BSFB165,trusted_static_union,4,4,13865,13861,0.999711504,3401.752038,3400.000000,30.581245,19.000000,28.169400,3339.0,3356.0,3453.0,3479.0,4,4.0,100.0,5334.0,-498.0,0.0075588,0.532762,nan,0
BSFB165,trusted_static_union,5,5,13865,13863,0.999855752,1922.069754,1922.000000,62.047562,47.000000,69.682200,1802.0,1827.0,2024.0,2067.0,2,5.0,100.0,6359.0,601.0,-0.0143854,0.635153,nan,0
BSFB165,trusted_static_union,6,6,13865,13865,1.000000000,2044.409809,2044.000000,37.153686,24.000000,35.582400,1962.0,1986.0,2104.0,2128.0,0,6.0,100.0,7385.0,-953.0,nan,0.632597,nan,nan
BSFB165,trusted_static_union,7,7,13865,13865,1.000000000,3085.337613,3086.000000,50.117298,35.000000,51.891000,2970.64,3002.0,3166.7999999999993,3196.3600000000006,0,7.0,100.0,8411.0,-52.0,nan,0.826261,nan,nan
BSFEC35,trusted_static_union,0,0,14425,14424,0.999930676,3367.715890,3363.000000,53.449070,24.000000,35.582400,3290.0,3311.0,3428.0,3464.0,1,0.0,100.0,1231.0,-229.0,-0.00153059,0.208467,nan,0
BSFEC35,trusted_static_union,1,1,14425,14425,1.000000000,1693.649289,1693.000000,26.453151,18.000000,26.686800,1637.0,1652.0,1737.0,1761.0,0,1.0,100.0,2257.0,-188.0,nan,0.41643,nan,nan
BSFEC35,trusted_static_union,2,2,14425,14425,1.000000000,3277.369636,3283.000000,127.546214,99.000000,146.777400,3045.0,3086.0,3470.0,3615.0,0,2.0,100.0,3282.0,-300.0,nan,-0.102304,nan,nan
BSFEC35,trusted_static_union,3,3,14425,14425,1.000000000,3572.247418,3571.000000,30.800731,19.000000,28.169400,3510.0,3527.2,3619.0,3642.0,0,3.0,100.0,4308.0,-256.0,nan,0.48997,nan,nan
BSFEC35,trusted_static_union,4,4,14425,14425,1.000000000,3072.413449,3072.000000,31.484655,19.000000,28.169400,3000.0,3022.2,3120.0,3141.0,0,4.0,100.0,5334.0,-458.0,nan,0.545661,nan,nan
BSFEC35,trusted_static_union,5,5,14425,14421,0.999722704,1578.049234,1578.000000,23.508889,16.000000,23.721600,1523.0,1539.0,1616.0,1632.0,4,5.0,100.0,6359.0,646.0,-0.00254876,0.429791,nan,0
BSFEC35,trusted_static_union,6,6,14425,14425,1.000000000,3079.677366,3080.000000,35.792081,23.000000,34.099800,3000.0,3023.0,3135.0,3155.76,0,6.0,100.0,7385.0,-912.0,nan,0.641495,nan,nan
BSFEC35,trusted_static_union,7,7,14425,14425,1.000000000,3624.007279,3622.000000,57.426105,39.000000,57.821400,3495.0,3532.0,3720.0,3759.0,0,7.0,100.0,8411.0,-10.0,nan,0.681641,nan,nan
