node,sensor_axis,n,mean,median,std,mad,p01,p99,temperature_c_mean,temperature_correlation
BSF44AD,acc_z_g,328996,-1.00431273,-1.00439453,0.0015816634,0.00048828125,-1.00732422,-1.00097656,34.643956,0.00457221
BSF44AD,gyro_x_dps,328996,0.00728312248,0,0.198708318,0,-0.0610351562,0.0610351562,34.643956,0.000481487
BSF44AD,gyro_y_dps,328996,-0.180969398,-0.183105469,0.140940183,0,-0.305175781,-0.0610351562,34.643956,-0.00802003
BSF44AD,gyro_z_dps,328996,-0.356049852,-0.366210938,0.116162073,0.0610351562,-0.671386719,-0.0610351562,34.643956,-0.0283478
BSF6C53,acc_x_g,303783,-0.0420504598,-0.0419921875,0.000546155523,0.00048828125,-0.0434570312,-0.041015625,33.679318,-0.115785
BSF6C53,acc_y_g,303783,-0.246523961,-0.246582031,0.000662716392,0.00048828125,-0.248046875,-0.245117188,33.679318,-0.0272064
BSF6C53,acc_z_g,303783,0.962985168,0.962890625,0.00072820345,0.00048828125,0.9609375,0.964355469,33.679318,-0.453703
BSF6C53,gyro_x_dps,303783,-0.171100681,-0.183105469,0.0642975524,0,-0.244140625,-0.0610351562,33.679318,-0.130133
BSF6C53,gyro_y_dps,303783,-0.596828043,-0.610351562,0.0398466614,0,-0.671386719,-0.48828125,33.679318,-0.322858
BSF6C53,gyro_z_dps,303783,0.00792999142,0,0.0378124266,0,0,0.183105469,33.679318,0.0243422
BSF8BC4,acc_x_g,331789,-0.024012939,-0.0239257812,0.002783539,0.0009765625,-0.0327148438,-0.015625,32.703875,-0.0152693
BSF8BC4,acc_y_g,331789,0.00164313265,0.001953125,0.00300605768,0.0009765625,-0.00537109375,0.0087890625,32.703875,-0.0537402
BSF8BC4,acc_z_g,331789,-1.00868125,-1.00878906,0.00208810982,0.00048828125,-1.01318359,-1.00439453,32.703875,-0.00772461
BSF8BC4,gyro_x_dps,331789,-0.146242176,-0.122070312,0.0743042517,0,-0.244140625,-0.0610351562,32.703875,0.00214689
BSF8BC4,gyro_y_dps,331789,-0.261063082,-0.244140625,0.0903053768,0,-0.366210938,-0.122070312,32.703875,0.00344608
BSF8BC4,gyro_z_dps,331789,-0.442528199,-0.427246094,0.108278989,0.0610351562,-0.732421875,-0.122070312,32.703875,0.00367959
BSF1120,acc_x_g,352192,-0.0554234863,-0.0556640625,0.00260552319,0.0009765625,-0.0625,-0.0478515625,33.022236,0.211393
BSF1120,acc_y_g,352192,-0.0128588183,-0.0126953125,0.00353600139,0.0009765625,-0.0229492188,-0.0029296875,33.022236,-0.0741817
BSF1120,acc_z_g,352192,-1.00460468,-1.00439453,0.00279398322,0.00048828125,-1.00976562,-0.999511719,33.022236,0.00350336
BSF1120,gyro_x_dps,352192,0.19439463,0.183105469,0.126347618,0.0610351562,0,0.366210938,33.022236,-0.00675159
BSF1120,gyro_y_dps,352192,-0.434712412,-0.427246094,0.10863107,0.0610351562,-0.610351562,-0.244140625,33.022236,0.0170919
BSF1120,gyro_z_dps,352192,0.000671713911,0,0.141741819,0,-0.244140625,0.305175781,33.022236,0.000320923
BSF31CC,acc_x_g,349205,-0.00110534973,-0.0009765625,0.00311524706,0.0009765625,-0.0102539062,0.00830078125,32.726116,0.0194329
BSF31CC,acc_y_g,349205,0.00770807894,0.0078125,0.0025281173,0.0009765625,0.00048828125,0.0146484375,32.726116,-0.0922795
BSF31CC,acc_z_g,349205,-0.999675969,-0.999511719,0.0056731028,0.00048828125,-1.00634766,-0.992675781,32.726116,-0.00212678
BSF31CC,gyro_x_dps,349205,0.106717883,0.122070312,0.204833601,0.0610351562,-0.122070312,0.366210938,32.726116,0.0318115
BSF31CC,gyro_y_dps,349205,-0.211141213,-0.183105469,0.0847733853,0.0610351562,-0.305175781,-0.122070312,32.726116,-0.0149759
BSF31CC,gyro_z_dps,349205,-0.00471862119,0,0.169757121,0,-0.305175781,0.244140625,32.726116,-0.0156953
BSFAA61,acc_x_g,347969,-0.0488425979,-0.0439453125,0.00990844291,0.00244140625,-0.0649414062,-0.0356445312,31.874152,0.699891
BSFAA61,acc_y_g,347969,1.68093166e-05,0,0.00451948198,0.00244140625,-0.009765625,0.00732421875,31.874152,-0.323295
BSFAA61,acc_z_g,347969,-1.00223105,-1.00244141,0.00396147119,0.0009765625,-1.00732422,-0.997558594,31.874152,-0.117201
BSFAA61,gyro_x_dps,347969,0.0990944927,0.122070312,0.0944208697,0.0610351562,0,0.244140625,31.874152,-0.00389937
BSFAA61,gyro_y_dps,347969,-0.359398246,-0.366210938,0.0876652461,0,-0.48828125,-0.244140625,31.874152,-0.00578326
BSFAA61,gyro_z_dps,347969,-0.105236439,-0.0610351562,0.198132637,0.0610351562,-0.48828125,0.0610351562,31.874152,-0.17518
BSFB165,acc_x_g,332798,-0.0580070886,-0.0581054688,0.00249654412,0.0009765625,-0.0649414062,-0.05078125,33.192340,0.0317589
BSFB165,acc_y_g,332798,0.0127665465,0.0126953125,0.00413814202,0.0009765625,0.00048828125,0.0249023438,33.192340,0.0749947
BSFB165,acc_z_g,332798,-1.00526427,-1.00537109,0.00342928417,0.00048828125,-1.01220703,-0.998535156,33.192340,-0.0111472
BSFB165,gyro_x_dps,332798,0.246239455,0.244140625,0.125863888,0,0.0610351562,0.427246094,33.192340,-0.0197729
BSFB165,gyro_y_dps,332798,-0.0683104512,-0.0610351562,0.543261159,0,-0.183105469,0,33.192340,0.00308323
BSFB165,gyro_z_dps,332798,0.000138833807,0,0.13320177,0,-0.244140625,0.244140625,33.192340,-0.000298977
BSFEC35,acc_x_g,346174,-0.0923423256,-0.0922851562,0.00333356926,0.0009765625,-0.1015625,-0.0830078125,33.193689,-0.0182442
BSFEC35,acc_y_g,346174,-0.0362773854,-0.0361328125,0.00371757811,0.0009765625,-0.046875,-0.0258789062,33.193689,-0.0243156
BSFEC35,acc_z_g,346174,-0.998924702,-0.999023438,0.00395061659,0.0009765625,-1.00488281,-0.992675781,33.193689,0.00828375
BSFEC35,gyro_x_dps,346174,-0.0455460136,0,0.587714636,0.0610351562,-0.732421875,0.610351562,33.193689,-0.0031217
BSFEC35,gyro_y_dps,346174,-0.500759839,-0.48828125,0.18135854,0.0610351562,-0.854492188,-0.183105469,33.193689,-0.000585438
BSFEC35,gyro_z_dps,346174,-0.0287777163,0,0.193008277,0,-0.427246094,0.183105469,33.193689,-0.039709
