node,start_s,end_s,duration_s,common_all_nodes,accel_stability,gyro_stability,uwb_stability,confidence,exclusion_reason
BSFB165,1533,1546,13,1,PASS,PASS,PASS,MEDIUM,
BSFB165,1550,1554,4,1,PASS,PASS,PASS,MEDIUM,
BSFB165,1557,1586,29,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1589,1611,22,1,PASS,PASS,PASS,MEDIUM,
BSFB165,1614,1644,30,1,PASS,PASS,PASS,HIGH,
BSFB165,1647,1725,78,0,PASS,PASS,PASS,HIGH,
BSFB165,1728,1735,7,1,PASS,PASS,PASS,MEDIUM,
BSFB165,1739,1768,29,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1772,1783,11,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1790,1799,9,0,PASS,PASS,PASS,MEDIUM,
BSFEC35,1,607,606,0,PASS,PASS,PASS,HIGH,
BSFEC35,611,727,116,0,PASS,PASS,PASS,HIGH,
BSFEC35,734,879,145,0,PASS,PASS,PASS,HIGH,
BSFEC35,884,929,45,0,PASS,PASS,PASS,HIGH,
BSFEC35,933,1031,98,0,PASS,PASS,PASS,HIGH,
BSFEC35,1036,1122,86,0,PASS,PASS,PASS,HIGH,
BSFEC35,1125,1172,47,0,PASS,PASS,PASS,HIGH,
BSFEC35,1178,1183,5,0,PASS,PASS,PASS,MEDIUM,
BSFEC35,1186,1261,75,0,PASS,PASS,PASS,HIGH,
BSFEC35,1270,1319,49,0,PASS,PASS,PASS,HIGH,
BSFEC35,1324,1440,116,0,PASS,PASS,PASS,HIGH,
BSFEC35,1445,1490,45,0,PASS,PASS,PASS,HIGH,
BSFEC35,1494,1560,66,0,PASS,PASS,PASS,HIGH,
BSFEC35,1564,1704,140,0,PASS,PASS,PASS,HIGH,
BSFEC35,1707,1799,92,0,PASS,PASS,PASS,HIGH,
