pair,scale_factor,median_3d,rmse_3d,p95_3d,source
E-F,0.9737386476811836,57.6165141649215,77.1601414226816,134.3828976420711,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-E,0.967145364017747,57.81516325715154,77.392555775732,129.53365120882083,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-H,0.9631008404068272,58.01050082710972,76.14146633315515,127.90699170204456,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-E,0.9518037399184718,58.01188382729019,75.99863987250411,124.44377547851812,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-H,0.9631794794418636,58.01936848745561,76.15942718198677,127.15355256889656,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-H,0.9787984328333142,58.11815566026716,78.41099137601653,130.2241090849534,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-G,0.9514668879015852,58.14359209119604,76.06981073849899,124.77358656478714,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-E,0.951980816478044,58.15762082533293,76.03423219953565,124.89851010992842,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-G,0.9514043875455812,58.35462468200532,76.12838601679164,125.63403475025125,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
G-H,0.9505003992601838,58.52639682624148,76.18662198187772,125.62065729864835,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-F,0.9504613583748828,58.72382270666005,76.2778170117402,126.39653138948552,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-F,0.950177973746298,58.73972702096172,76.23114169771789,125.79294336259032,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
G-H,0.950371334580113,58.7669514835168,76.27695593076386,126.39686455532043,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-H,0.9620931821790004,60.12252952431302,78.3040171438645,133.89223196453582,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-E,0.9719152927024262,60.97865719309737,78.33837119946267,131.7288676586756,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-G,0.9709848654113656,61.55219509225333,78.43544951315776,132.61860828886242,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-E,0.9588370998477096,61.63861552961164,79.25267362597424,136.62705444611666,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
G-H,0.970405724745422,61.88427303446698,78.48457626538512,131.729281903654,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-G,0.9536944148551734,62.03066225222044,81.35062200615266,144.51054733921023,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-E,0.953822156962439,62.03292537926295,81.2835928081211,144.24505323619746,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-F,0.9699392932419147,62.054495045118685,78.56514963871025,131.5318124793499,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
G-H,0.9498893293979828,62.08635423056986,83.39547052594688,148.4169354502099,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-G,0.9576326813124878,62.19734474877035,79.68279628148747,138.4532541332768,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-D,0.9569847787690569,62.26033734297243,79.93949429680482,139.30670101785216,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-H,0.948760137332214,62.3396793854247,84.07443852834045,148.17117526638535,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-G,0.968303826235202,62.35967993510487,77.24231926398728,128.84602011122888,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-G,0.9683456743113508,62.6244250365001,77.26227206864245,128.09828969656274,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-E,0.9690014905363435,62.7200137370464,78.67349715582914,131.04653199795322,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-F,0.9708234576725898,63.503930345335405,78.04350049840008,129.011034287099,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-D,0.9678374650605372,63.50876504248978,78.88760284940938,130.8020748443528,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-H,0.967812949063536,63.529293429842696,78.8883839866019,130.79320246467978,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-H,0.9440574655157766,63.66871136989856,77.9086981351145,127.83815212990343,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-C,0.943605499792396,63.70506161689919,78.07594966616699,127.91931217600356,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-H,0.9441605956381472,63.74468989755709,77.95675752960197,127.2217691288708,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-C,0.9440655799267192,63.76734983631327,77.97948021271517,127.23877250954088,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-F,0.97143110033109,63.94599032213742,78.25260905880678,128.19117313108652,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-D,0.9419741440949088,64.19163334229029,78.6598905449727,127.53772276216132,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-D,0.9418024724436448,64.26096993190126,78.66574517562486,128.03274058239762,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-D,0.9431129064087724,64.47659672408567,87.84312561082284,147.89353317282882,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-E,0.9382971872820702,64.56043967021333,79.99459925949893,128.27330774577288,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-G,0.9377988057111224,64.5694681588096,80.1957251936476,128.46244294543732,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-H,0.942845898014828,64.57651339151566,88.01549715589098,147.87445223616672,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-E,0.9383002327623138,64.63704811257897,79.97553173766637,128.3050696132049,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-G,0.937941041669235,64.66015177497103,80.12366178641416,128.410989034834,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-F,0.939356912756264,64.71634368117039,79.60600051394073,127.79439572730558,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-E,0.9408179535921288,64.73160705935318,79.07463773191824,127.60593819975992,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-G,0.9372490347418948,64.7353791964161,80.41636754070709,128.86164939405117,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-G,0.9372533841721372,64.75260507328841,80.40906840230177,128.76169547829093,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-F,0.9395526294860488,64.7698710873493,79.50650238611426,128.2436846763605,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-E,0.9407283334558226,64.77442805883446,79.08169898164083,128.0490415803469,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-F,0.9410957057986464,65.26266568106838,89.25232653534793,147.82516856446392,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-F,0.9853213635918744,65.52948906981848,79.32670535261566,129.88252678841863,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-G,0.9650244786678231,65.7857158727912,79.52292352018937,130.77797869519753,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-D,0.9313557645450548,65.8009802388813,83.56549119997104,132.41748126739563,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-D,0.9311089865095288,65.96419239935437,83.85286839303987,132.6114274313162,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-G,0.964676685756841,66.05291878203447,79.62934964211055,130.88726098492856,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-H,0.9750925674577468,66.54818569012818,79.54131028639297,129.7978641447825,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-H,0.9755112846363608,66.605366258264,79.69356045882336,129.45495731137933,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-E,0.928880022701508,66.78235912016532,85.23744853251823,134.16249623604952,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-E,0.9285213772172228,66.81196986886826,85.34985370261191,134.34933565467975,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-F,0.9888405434010886,66.9403870505446,80.16386481772525,130.39979236431728,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-F,0.9282347108102778,66.95317120725304,85.5463441516001,134.66827883041648,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-D,0.9572675673196068,67.0688303761438,82.03493652827646,133.23534570801974,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-F,0.9281634534739808,67.1608205313092,85.73418504072433,134.778013358165,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-H,0.9717770391527952,67.29054407622627,87.99321752562717,159.74683967724675,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-G,0.9730976065913526,67.54396838676192,88.00999832287236,161.42603576670862,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-H,0.9912841686882912,67.62209432081602,81.11351060083491,130.9154291824588,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-E,0.9499551029727936,67.84287328140925,85.54318482837017,137.7124368909607,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-G,0.9516950508391648,67.87806892434617,84.64680561939643,136.88613926259424,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-H,0.9489250895348478,68.0097228908827,86.16032969211444,138.46126941489285,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-E,0.96989660316268,68.1095923265712,88.11311812001414,157.29453628008324,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-B,0.9242350064129924,68.79357891641664,88.37614090516934,136.9911644194957,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-H,0.9366954325883096,68.84264909022237,92.6546237132487,147.64893971438448,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-H,0.9824663114543892,68.90341044599218,89.42803431140324,157.3655632981429,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-B,0.9241985405116028,68.95913498015861,88.60870486306436,137.35043822317996,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-H,0.9836926176579396,69.6769805852431,89.77122497761482,156.1382773723417,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-G,0.9222435023458976,69.87174340567316,89.9025302651426,138.86814735840636,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-G,0.9224379978802332,69.88438139296417,89.91775051392034,138.99419202366005,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-H,0.9218921818003356,70.04127915024017,90.16729290663062,139.17708722458767,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-H,0.9220503438229056,70.18532453150847,90.22278579147545,139.3484580783829,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-C,1.0050032109344038,71.06151859185584,88.54365857530671,141.56245702102635,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-G,0.9863685762669752,72.00929959178634,90.65983267989785,153.15015292542725,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-H,0.9390187347636584,72.03842450546139,92.85609728828294,143.59335749370246,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
A-D,0.9334097539566316,72.03847281162837,95.29949105939244,148.27321810332094,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-E,0.9868083496002916,72.34236771873688,90.82872061695548,152.71949268882338,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
