experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,L,I,T,kind,seed_id,experiment_uid,verdict,screening_score,rank,R
X_A0_R0_L19_I8_T6,range_ekf_screening,Phase4 L19 single-I raw-range row.,34,17,40658,2106.52617094536,2511.419853655612,2588.1325895011673,2122.356681430123,40658,2063.7743816549264,2476.043444842927,2553.075482900807,2085.3165656391525,40658,311.9757080078125,633.0668426513674,712.6275131225586,394.78184391131197,2136.0701687294445,2514.3212553301946,2156.1640090323835,2478.422840880427,596.5624465942383,2079.5911420587718,2077.5213332232747,90.61984252929688,159.43128302978198,105.03793326462576,191.63098261788252,nan,nan,nan,1.0,2.996709704399109,6.434415769577024,1.0,0.9496044962531224,17,160.05264428494334,48.52025806328686,294.3394981671717,A0,,,L19,I8,T6,range_fusion,S04,X_A0_R0_L19_I8_T6__S04,FUSION_UNRANKED,3207.8351006093644,1258,R0
X_A0_R0_L19_I4_T6,range_ekf_screening,Phase4 L19 single-I raw-range row.,34,17,40658,2120.2587543703908,2522.4490037783917,2597.2450012590216,2131.3402255017845,40658,2079.4941145963726,2482.3546405381994,2562.167019006533,2093.0156248959897,40658,321.2439270019531,644.3789978027344,722.7152648925783,402.36395313602134,2136.018440761968,2531.69709283037,2162.3211549527323,2481.48853342279,627.4275421142578,2103.95758750998,2100.7516680930758,94.93301391601562,155.953254574362,101.39101418153687,184.72785549598962,nan,nan,nan,1.0,2.812576949596405,5.532059609889983,1.0,0.9496044962531224,17,159.7288669430907,46.09204375095811,295.1084237512911,A0,,,L19,I4,T6,range_fusion,S04,X_A0_R0_L19_I4_T6__S04,FUSION_UNRANKED,3211.899257399942,1259,R0
X_A0_R0_L19_I4_T7,range_ukf_screening,Phase4 L19 single-I raw-range row.,34,17,40658,2107.527752460346,2512.89182903641,2586.1777060648606,2122.9724598147614,40658,2068.097366368137,2473.5907673334455,2552.7028944096337,2087.1276927454987,40658,309.8064792677609,625.0973585619697,699.3991797259808,388.4714394994677,2128.173180313024,2521.254185018069,2153.0028062025804,2471.4906370233703,606.8750692157275,2098.6694082908602,2095.0091995952885,98.0323781069327,163.22396448983903,106.63939617630038,193.92461695971923,nan,nan,nan,1.0,3.3631985187530518,6.5025594830513,1.0,0.9496044962531224,17,172.08087633285203,50.21755925897014,301.25891427365946,A0,,,L19,I4,T7,range_fusion,S04,X_A0_R0_L19_I4_T7__S04,FUSION_UNRANKED,3212.6807407472643,1260,R0
X_A0_R0_L19_I4_T10,full_session_batch_proxy,Phase4 L19 single-I raw-range row.,34,17,40658,1992.97028800286,2375.601052938365,2473.7527735390468,2017.7870673990158,40658,1969.4887161181114,2358.335766962161,2449.0512658328657,1995.5167556469119,40658,225.3151945141051,496.02267708050795,559.5552842069671,298.9607454083965,2017.9766561336128,2327.2245081653186,2025.6562631925844,2317.1129102720915,466.24234064040365,1822.9335306925861,1804.8641449872287,76.54034530102399,212.5649173899968,110.78301871325772,200.25528302367115,nan,nan,nan,1.0,5.848890662193298,9.658686518669127,1.0,0.9496044962531224,17,408.5216804707158,173.23810580587605,838.7862991152233,A0,,,L19,I4,T10,range_fusion,S04,X_A0_R0_L19_I4_T10__S04,FUSION_UNRANKED,3224.7528690159734,1261,R0
X_A0_R0_L19_I0_T10,full_session_batch_proxy,Phase4 L19 single-I raw-range row.,34,17,40658,2033.632971805881,2458.0973918229874,2561.007197935162,2049.080929324183,40658,1996.3575925999457,2428.5082992274533,2523.1551819162187,2011.021789679799,40658,307.50800308969133,634.7101539285632,705.8589010730575,393.0954290666797,2064.2450583017844,2420.1277913567046,2040.9420142043164,2400.6839102330737,621.209542886684,2002.4603164208538,2000.1146291901778,93.06307746325979,173.50253768355546,116.58116183203579,186.78104222702717,nan,nan,nan,1.0,2.5765812397003174,5.451361668109892,1.0,0.9496044962531224,17,413.80966500916617,192.72792286820544,784.4010573713599,A0,,,L19,I0,T10,range_fusion,S04,X_A0_R0_L19_I0_T10__S04,FUSION_UNRANKED,3287.707819624825,1262,R0
X_A0_R0_L19_I1_T10,full_session_batch_proxy,Phase4 L19 single-I raw-range row.,34,17,40658,2004.731472343109,2418.718182295293,2510.1910517676674,2029.794286313192,40658,1977.0477701300483,2396.150610821078,2488.7303075831114,2003.748217528262,40658,245.6302864468313,521.5365717452852,595.5608535818053,324.1264035866154,2025.8300565829863,2365.4555252652335,2014.5943756359147,2345.3930231726763,497.77463744510715,1841.2064368394185,1836.4275061787448,75.54965129433128,217.75825205533698,113.9598561519822,202.40893204661882,nan,nan,nan,1.0,4.964543700218201,8.968944430351257,1.0,0.9496044962531224,17,467.6301583922466,223.36639424721614,938.6730947034879,A0,,,L19,I1,T10,range_fusion,S04,X_A0_R0_L19_I1_T10__S04,FUSION_UNRANKED,3289.959727328059,1263,R0
X_A0_R0_L19_I8_T9,session_window_factor_graph_proxy,Phase4 L19 single-I raw-range row.,34,17,40658,1996.01534004327,2413.1658231672777,2513.1063621522603,2024.9082485022,40658,1966.7037171842517,2392.4278168773885,2481.7775154110386,1997.3271672273045,40658,250.76134544486,542.8924426704641,622.2435404831857,333.0729678433841,2023.2560085182417,2372.636835532843,2010.9243847265357,2355.7945509029296,508.99898338032153,1865.9086172371603,1860.3345552375627,88.52491064447315,221.3692434422371,114.28430742903808,197.7026805936088,nan,nan,nan,1.0,4.761024117469788,8.824065804481506,1.0,0.9496044962531224,17,466.40818820916,245.38377762351894,948.4737200082304,A0,,,L19,I8,T9,range_fusion,S04,X_A0_R0_L19_I8_T9__S04,FUSION_UNRANKED,3290.8492544222677,1264,R0
X_A0_R0_L19_I6_T8,robust_range_ekf_screening,Phase4 L19 single-I raw-range row.,34,17,40658,2043.1165161028182,2462.4601369668594,2571.313009824005,2055.7794699291635,40658,2002.1918825889197,2434.1084961260703,2529.004875303122,2016.018079090124,40658,316.3114318847656,640.7316772460938,722.9718597412109,402.368405524089,2066.8924370633085,2436.684292160089,2043.5825754075595,2418.4068459615737,633.4696395874023,1981.7030128272422,1979.0690278791262,79.31399536132812,161.9460644676467,111.10867460210935,187.1285077232599,nan,nan,nan,1.0,2.2475223541259766,4.7266430974006655,1.0,0.9496044962531224,17,418.47276937114424,177.00292073573786,808.0938617388558,A0,,,L19,I6,T8,range_fusion,S04,X_A0_R0_L19_I6_T8__S04,FUSION_UNRANKED,3293.6359101129638,1265,R0
X_A0_R0_L19_I7_T9,session_window_factor_graph_proxy,Phase4 L19 single-I raw-range row.,34,17,40658,2015.6268142043418,2440.2577858940854,2531.9975089783934,2036.992035536652,40658,1983.2428442269033,2411.3691510134963,2502.6579430424167,2004.7745347380774,40658,272.09736311450104,587.9172005624258,655.3259715503044,360.854011624478,2030.7984893359746,2390.30453685689,2018.8936702023718,2365.977599213664,564.4588109634319,1921.424487278025,1917.381337101415,78.53917476019535,222.3527285281698,113.27037337794442,211.79118367159742,nan,nan,nan,1.0,3.8768638968467712,7.317336153984069,1.0,0.9496044962531224,17,458.74002575931877,236.38644072906595,891.3758128041555,A0,,,L19,I7,T9,range_fusion,S04,X_A0_R0_L19_I7_T9__S04,FUSION_UNRANKED,3299.699459531494,1266,R0
X_A0_R0_L19_I8_T8,robust_range_ekf_screening,Phase4 L19 single-I raw-range row.,34,17,40658,2038.6931843964326,2462.95498826784,2568.706526881759,2051.89562513472,40658,1997.7594720906159,2435.0265209481117,2524.34605994665,2011.614719820014,40658,316.4639129638672,638.2105712890625,725.8672286987305,404.5761676748254,2069.8984899837214,2446.7542826490735,2042.739643329147,2428.2655986770824,625.465298461914,1993.226739735052,1990.918878402079,83.086669921875,159.38032648333862,107.86688310466221,181.7065344501405,nan,nan,nan,1.0,2.1142722368240356,4.765379953384398,1.0,0.9496044962531224,17,424.5863908397,173.75610716360882,837.8661224740262,A0,,,L19,I8,T8,range_fusion,S04,X_A0_R0_L19_I8_T8__S04,FUSION_UNRANKED,3303.1631257403565,1267,R0
X_A0_R0_L19_I2_T9,session_window_factor_graph_proxy,Phase4 L19 single-I raw-range row.,34,17,40658,2019.614095117512,2446.371961761599,2536.9864744976335,2040.5311420509242,40658,1987.1165847046586,2421.4687460758864,2504.382377545715,2008.219012456562,40658,277.28881186813504,578.3650938803748,661.4348631349296,361.69564510460947,2053.8235154580643,2399.837563650738,2033.675041924941,2373.8613965767504,554.665815818453,1922.393839616495,1918.2965374331347,91.349726941771,211.60216866285734,110.83122188135826,208.60333957125818,nan,nan,nan,1.0,3.8023210167884827,7.317664635181426,1.0,0.9496044962531224,17,451.60216106285617,182.56981553534683,882.4531155056573,A0,,,L19,I2,T9,range_fusion,S04,X_A0_R0_L19_I2_T9__S04,FUSION_UNRANKED,3315.6892598112504,1268,R0
