experiment,layout_solver,layout_variant,delay_mode,tag_method,tracks_ok,captures_ok,n_overlap_total,err3d_p50_track_median_mm,err3d_p95_track_median_mm,err3d_rmse_track_median_mm,err_horizontal_xz_p50_track_median_mm,err_horizontal_xz_p95_track_median_mm,err_vertical_y_p50_track_median_mm,err_vertical_y_p95_track_median_mm,turn_center_abs_error_3d_track_median_mm,turn_center_abs_error_3d_track_p95_mm,radius_error_abs_track_median_mm,radius_error_abs_track_p95_mm,axis_angle_abs_track_median_deg,residual_rms_track_median_mm,sample_weighted_err3d_p50_mm,sample_weighted_err3d_p95_mm,sample_weighted_err3d_rmse_mm,sample_weighted_horizontal_xz_p50_mm,sample_weighted_horizontal_xz_p95_mm,sample_weighted_vertical_y_p50_mm,sample_weighted_vertical_y_p95_mm,scale_source,baseline_pair,scale_factor
one_baseline,v3-full,one_baseline_scale,solver_delay,T4,34,17,40661,149.6010741688734,307.67426117889215,178.1576900088894,77.35869828852941,194.45775381557127,81.98817572663353,264.97908139171915,67.4548140768692,100.79726669142472,85.61065563444657,135.5122404389771,5.4398880906272415,120.89726602533658,,,,,,,,C-E,C-E,0.9868083496002917
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,108.15128403150302,223.54640366703174,130.6273298127657,62.95913304901232,153.58909982865595,71.74732472465746,185.30579442124272,83.053914034043,107.54332189643885,41.463552691451696,75.64081264892405,2.4401785876417588,82.08018836688012,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,108.08912110699336,223.83119638686725,130.36871923176335,62.88346470882813,153.59714440674696,70.7444712387989,185.03548078458306,83.09244965810028,107.54662549085968,41.463943789197145,75.60754689977448,2.444610386992839,82.08018833704597,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T3,34,17,40661,108.77249736525272,222.17132811566435,129.97594493445246,62.127509711440574,151.55803624826967,72.5773460482203,179.6201305943568,85.31717833379707,109.42977631030985,39.44266968099237,72.55539025999755,2.0750149476946405,83.035699379015,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,34,17,40661,107.6736428828838,221.80181817583224,131.50270923727345,61.879720082703734,153.5274015164809,73.3583175858158,179.60666002948705,86.251233039184,108.97549673106262,30.41083640119396,61.617062571997565,2.6783964356549377,82.34375121306608,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,solver_delay,T1,34,17,40661,105.57784506794684,246.3041677871426,138.10374726897112,62.054749923448284,154.22446197913385,63.143873067200275,200.0943144893975,71.6397145240937,92.25534390468019,58.664651128915324,94.06116858486604,3.8265530769339704,93.28281029356332,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,solver_delay,T2,34,17,40661,105.58962093219304,246.12720812609348,137.80860699570525,61.9909352333156,154.3743643226088,63.09039997299203,200.70762828250434,71.8497631692205,92.24430915200021,58.632117005071876,93.95865778764859,3.8422736867674683,93.37718014223898,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,solver_delay,T3,34,17,40661,107.4117865842862,245.96892932421358,137.03277168874686,60.30510502736656,155.5695488093748,68.41699676360841,201.56407815291442,74.55232365863694,100.43778092646649,56.81185430030976,90.12942771021874,4.263605308895476,95.88081525709151,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,solver_delay,T4,34,17,40661,105.1174942834726,241.05979213516224,136.89793404111975,60.21775079283027,153.5891262056449,64.5272130242613,201.30296954707546,72.2644846979578,95.33166935390281,45.92218649334097,82.51403341345714,4.186468769709773,93.36638765549992,,,,,,,,C-F,C-F,1.0096890340478375
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,114.15539900304557,209.38219618204863,129.88498404196935,64.78045322714746,149.04972423886016,73.96516067142639,181.57104516388438,80.07747027336686,111.14309635705514,17.547509270104285,44.46012197602065,2.6362431200881495,84.50407833492801,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,114.2465844630669,208.52230032470698,129.85641657571375,64.83431707263088,148.7843983400582,74.04476130160668,181.69249445089355,80.07259013862529,111.1138136123828,17.566697689843522,44.50142694923489,2.64349089213733,84.50040162183959,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T3,34,17,40661,111.40961621360893,207.4398107678055,130.15686255657494,64.60742393533155,147.62162807652334,74.41627388650701,179.78823576008983,82.16339085667903,106.82876915515375,16.319156345966007,42.14037531076945,2.654786919275999,84.98052649774115,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,34,17,40661,113.16183001866105,207.2023884183665,129.6534702749744,64.17568168419928,147.58455549245775,74.82047385986101,180.86760236806754,79.50225598008251,113.48534171973209,17.6126449462123,42.72606711466415,2.6641216103772063,84.52922882669412,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,solver_delay,T1,34,17,40661,274.49927879910484,452.9501782386063,296.90237699231807,135.65145831977736,278.7983739032275,213.09992657285107,398.4180657246794,78.29706085058719,154.54624354443456,216.52655082434111,294.12968798799756,8.421008758097617,172.79568103388704,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,solver_delay,T2,34,17,40661,274.3091866072075,452.8797431182884,296.31943521513597,135.79203122713008,280.0149455284718,213.51645080297996,398.51166677662275,78.41772058235608,155.3468637045017,217.65943434318567,293.94619117436497,8.388022578747025,172.7958778868849,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,solver_delay,T3,34,17,40661,286.99068937398255,555.133093874223,338.5308276870927,142.49444147854348,317.95962731761153,221.2383249027536,472.62929060746154,92.18343363028401,311.2118592361405,181.25652246655937,268.12200122883274,7.819225999731302,185.27361169710545,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,solver_delay,T4,34,17,40661,258.53972624727976,422.19549490639145,276.4906409016545,120.3624263006063,269.7388072903934,188.5981057636538,376.00690597679613,82.2225608523161,116.67088929101473,177.45329749483426,223.0255932599109,8.376830532017728,168.41382681588468,,,,,,,,C-G,C-G,0.9523302303510884
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,109.43459123959985,211.87091005666258,127.21793652205204,63.28004020419604,147.49317709340525,73.12440961048495,178.1534797699381,84.86105938616012,106.0115528028099,18.107431597705016,50.452462663977265,2.5488644847929662,82.18764623381588,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,109.4946674964667,210.2632710270118,127.15247870009014,63.29535718590953,147.4637426098892,73.2518096142091,178.14126523149844,84.86346592988045,105.91817187718446,18.096668926021664,50.393146881402146,2.5471468145514957,82.19592553199415,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T3,34,17,40661,108.71782514959023,206.24466257964787,125.24368229786288,62.17722648918382,144.0257512120072,72.09154956191773,176.7709619619955,87.31299783314915,106.57917052275394,15.501928864008306,48.596154122609384,2.611912081303683,82.4479799674962,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,34,17,40661,108.6832475418031,206.8797545867838,127.26295342561978,62.53685003868073,146.40769278911318,72.19432919601519,179.07577985519436,82.25788334375935,109.09533446925033,16.312541983521953,45.40507497557119,2.5934015828973687,82.09178441946281,,,,,,,,C-H,C-H,0.9717770391527951
