capture_id,uwb_time_s,uwb_relative_distance_mm,opti_relative_distance_mm,signed_relative_distance_error_mm,abs_relative_distance_error_mm
R05,33.729122,925.486591663941,980.2195965456982,-54.73300488175721,54.73300488175721
R05,33.83411,1144.586010833435,979.8070661644051,164.7789446690299,164.7789446690299
R05,33.939165,1063.1360627160307,980.1734911357917,82.962571580239,82.962571580239
R05,34.037149,1156.7886551227575,980.3462820541542,176.44237306860327,176.44237306860327
R05,34.141536,653.4874381586679,979.6494819546706,-326.16204379600265,326.16204379600265
R05,34.246461,1295.7735340509812,979.6253457807728,316.1481882702084,316.1481882702084
R05,34.329149,1279.7391291509184,980.1571770266851,299.58195212423334,299.58195212423334
R05,34.503646,1000.3684617721829,980.1729134892317,20.19554828295111,20.19554828295111
R05,34.538779,944.6829755393475,979.4542793558874,-34.7713038165399,34.7713038165399
R05,34.636298,1037.7265060215525,979.817222538275,57.90928348327748,57.90928348327748
R05,34.741477,1088.5103183876422,979.204581352845,109.30573703479718,109.30573703479718
R05,34.846454,1077.5925031775753,979.3787968037489,98.21370637382643,98.21370637382643
R05,34.931669,1063.7598090481733,979.6878928348926,84.0719162132807,84.0719162132807
R05,35.046643,1101.0429637546956,979.4503579557141,121.59260579898148,121.59260579898148
R05,35.168954,1175.7811948705582,979.8429914326947,195.93820343786354,195.93820343786354
R05,35.259219,1126.2518447689818,979.8141246389041,146.43772013007765,146.43772013007765
R05,35.341555,1255.7727632368462,979.3757995500187,276.3969636868276,276.3969636868276
R05,35.531199,1161.4253834975627,980.2602722727684,181.16511122479437,181.16511122479437
R05,35.543417,1284.8038059784164,980.0404458049077,304.7633601735088,304.7633601735088
R05,35.63397,1153.9494132024474,980.0102970648159,173.93911613763157,173.93911613763157
R05,35.739053,1128.1568374863382,979.5609815197614,148.59585596657678,148.59585596657678
R05,35.836311,1157.2526659457467,979.7050724213028,177.54759352444387,177.54759352444387
R05,35.957211,1117.0333912039243,980.4659162211517,136.56747498277264,136.56747498277264
R05,36.046325,1025.8790150816876,980.0054641129719,45.873550968715676,45.873550968715676
R05,36.128966,1080.723779873993,980.5870188115199,100.13676106247306,100.13676106247306
R05,36.248864,1155.3930117581447,980.5723097996076,174.82070195853703,174.82070195853703
R05,36.338991,1229.9484216663682,980.1645433481737,249.78387831819452,249.78387831819452
R05,36.506106,1264.4005986603668,980.1907805235609,284.2098181368059,284.2098181368059
R05,36.541445,1270.4286675919661,979.8219112283371,290.6067563636291,290.6067563636291
R05,36.646338,1335.7070002580974,979.9779306677549,355.72906959034253,355.72906959034253
R05,36.728967,1261.4300095621795,980.0360465645317,281.3939629976478,281.3939629976478
R05,36.834087,1155.8048658648347,980.0629750043383,175.74189086049637,175.74189086049637
R05,36.968839,1046.4973847715928,979.6510457071237,66.84633906446913,66.84633906446913
R05,37.036386,1016.030863636226,979.9703257377033,36.060537898522625,36.060537898522625
R05,37.144678,998.6297228262049,979.4334518814804,19.19627094472446,19.19627094472446
R05,37.246406,1099.5193240906117,979.7045613420453,119.81476274856641,119.81476274856641
R05,37.329109,1166.5756742814635,979.995366758186,186.5803075232775,186.5803075232775
R05,37.503697,1159.3191828544052,979.9350213037367,179.38416155066852,179.38416155066852
R05,37.53872,1115.06792219492,979.6495798533123,135.41834234160763,135.41834234160763
R05,37.688896,1119.0699298571064,980.1422893378857,138.92764051922074,138.92764051922074
R05,37.741472,1134.5993083429473,979.5293220505819,155.06998629236546,155.06998629236546
R05,37.846395,1132.311777500133,979.6358976734375,152.67587982669556,152.67587982669556
R05,37.928967,1160.3846001749023,980.0341139408099,180.3504862340924,180.3504862340924
R05,38.048913,1023.4236207537228,979.5847460224658,43.83887473125708,43.83887473125708
R05,38.138911,1040.9743843445576,979.463312106343,61.51107223821464,61.51107223821464
R05,38.258987,1181.6453477651846,980.083083177277,201.56226458790763,201.56226458790763
R05,38.341442,1117.2074922806855,979.6663639179715,137.54112836271406,137.54112836271406
R05,38.50119,721.4404826088934,980.323696550819,-258.88321394192565,258.88321394192565
R05,38.52921,1270.804754777773,980.0708288895466,290.7339258882264,290.7339258882264
R05,38.633857,1234.7088310581325,979.881019669444,254.8278113886886,254.8278113886886
R05,38.783948,1153.1281608854333,979.9861452031322,173.14201568230112,173.14201568230112
R05,38.836381,1124.0100745053278,979.697253359412,144.3128211459158,144.3128211459158
R05,38.941299,1140.6136383513422,979.9211599293203,160.69247842202185,160.69247842202185
R05,39.046418,1057.017599600471,979.2009502715458,77.81664932892511,77.81664932892511
R05,39.128783,1142.3086477611291,979.9885934904927,162.32005427063643,162.32005427063643
R05,39.263969,1127.9837348411404,979.9340585872447,148.04967625389565,148.04967625389565
R05,39.338814,1087.17798600009,979.2339082510586,107.94407774903141,107.94407774903141
R05,39.507268,1190.5052756965213,980.1535864059816,210.35168929053964,210.35168929053964
R05,39.541236,1204.0836511585514,979.8401785740139,224.24347258453759,224.24347258453759
R05,39.646327,1247.2014621974724,979.7981229474158,267.40333925005666,267.40333925005666
R05,39.729012,898.3178439784176,980.1041704698783,-81.78632649146073,81.78632649146073
R05,39.848913,1261.2241023281595,979.6412866209736,281.5828157071859,281.5828157071859
R05,39.938748,1145.2363769767821,980.1063599380129,165.1300170387692,165.1300170387692
R05,40.036278,1080.4327988250282,979.7568881011247,100.67591072390348,100.67591072390348
R05,40.141289,1088.8817245180135,979.7880268321403,109.09369768587317,109.09369768587317
R05,40.265414,1125.4442601781238,980.1625940606773,145.28166611744655,145.28166611744655
R05,40.328799,1074.6429653602288,980.3696454712742,94.27331988895457,94.27331988895457
R05,40.571009,1106.3076197302269,980.1496631821099,126.157956548117,126.157956548117
R05,40.583299,1172.525886302795,980.2917993716108,192.23408693118427,192.23408693118427
R05,40.636211,1230.4220512170596,980.403667552242,250.01838366481752,250.01838366481752
R05,40.741691,1245.513225930474,979.9463785152614,265.5668474152126,265.5668474152126
R05,40.846292,1375.6366162623167,979.9655568586805,395.67105940363615,395.67105940363615
R05,40.929245,1286.088632742786,980.2074208222128,305.88121192057326,305.88121192057326
R05,41.034053,1209.1638448419778,980.0965215183357,229.06732332364209,229.06732332364209
R05,41.138818,1102.2464472061065,979.9311738835721,122.31527332253438,122.31527332253438
R05,41.292205,1032.522397780082,980.1072225211329,52.415175258949034,52.415175258949034
R05,41.341436,1162.5460313039434,979.941710683765,182.60432062017844,182.60432062017844
R05,41.500973,1127.9644547744101,979.9137148187446,148.05073995566556,148.05073995566556
R05,41.52872,1037.8542324820812,980.0058481676336,57.84838431444757,57.84838431444757
R05,41.648862,1122.9908750388454,979.768301466538,143.2225735723074,143.2225735723074
R05,41.73894,1098.5472840729835,979.6176168488672,118.92966722411632,118.92966722411632
R05,41.836354,1181.5915215027678,979.7929644612219,201.7985570415459,201.7985570415459
R05,41.941332,1208.4512427433056,980.1227299776361,228.32851276566942,228.32851276566942
R05,42.046223,1177.324985312498,979.6403554248279,197.6846298876701,197.6846298876701
R05,42.128888,1101.9144043891783,980.0265346269141,121.88786976226424,121.88786976226424
R05,42.248905,1095.697185813588,979.8353162304129,115.86186958317512,115.86186958317512
R05,42.368794,1114.6904768012898,978.684850542736,136.0056262585539,136.0056262585539
R05,42.491011,1037.7380290517133,980.0333333769033,57.704695674809955,57.704695674809955
R05,42.541306,1109.5956748919286,979.5744411089133,130.0212337830153,130.0212337830153
R05,42.65965,989.225679109832,979.4751609665418,9.75051814329015,9.75051814329015
R05,42.743963,1034.1116027778635,980.1539527687783,53.95765000908523,53.95765000908523
R05,42.834008,586.0846872635254,980.0200625099872,-393.9353752464617,393.9353752464617
R05,42.939181,1094.1058455710186,979.9228342626536,114.18301130836494,114.18301130836494
R05,43.088815,1164.4165864557647,980.274839144234,184.1417473115307,184.1417473115307
R05,43.14132,1157.542977700073,979.4829535237933,178.06002417627963,178.06002417627963
R05,43.246176,1044.5819209789431,979.3897778085792,65.19214317036392,65.19214317036392
R05,43.32872,1100.488964618344,980.0931372395527,120.3958273787913,120.3958273787913
R05,43.50405,1165.2060950151003,980.2012143138367,185.0048807012637,185.0048807012637
R05,43.538734,1144.1794283180247,979.7393312386582,164.44009707936652,164.44009707936652
R05,43.636292,1153.2218937813127,979.9763890467256,173.24550473458714,173.24550473458714
R05,43.741485,1058.706504379758,979.3029612767581,79.40354310299983,79.40354310299983
R05,43.846287,1217.9226295466758,979.3474000116443,238.57522953503155,238.57522953503155
R05,43.931479,1258.0759731598941,980.0305554580918,278.0454177018023,278.0454177018023
R05,44.034312,938.8920877683562,979.6941257132613,-40.80203794490512,40.80203794490512
R05,44.16873,1416.3119909164775,980.1649692206129,436.1470216958646,436.1470216958646
R05,44.25892,1129.401185937473,980.0021991820525,149.39898675542042,149.39898675542042
R05,44.358425,1158.5503068742025,979.3166841488068,179.23362272539578,179.23362272539578
R05,44.563222,1074.3650124106343,980.1260195941059,94.23899281652848,94.23899281652848
R05,44.567554,1108.8500885866451,980.2582376126406,128.5918509740045,128.5918509740045
R05,44.633703,1158.406936437307,980.2375826062378,178.1693538310692,178.1693538310692
R05,44.738662,1046.1746220106909,980.0921689103949,66.082453100296,66.082453100296
R05,44.836388,1142.6487159752899,980.3119639604578,162.3367520148321,162.3367520148321
R05,44.941218,1141.4759398892827,980.5087091984857,160.967230690797,160.967230690797
R05,45.048081,1305.81141965792,980.0556511370255,325.75576852089443,325.75576852089443
R05,45.128665,1376.6016668994785,980.234935954675,396.3667309448034,396.3667309448034
R05,45.248786,1326.1010230420002,979.8334712497698,346.2675517922304,346.2675517922304
R05,45.338794,1218.5159735633179,980.2219057284065,238.2940678349114,238.2940678349114
R05,45.49218,1058.8168527310465,979.9732435241675,78.84360920687902,78.84360920687902
R05,45.542102,1021.1730008427168,979.7304009263437,41.44259991637307,41.44259991637307
R05,45.646278,1055.474644925021,979.5770014921811,75.89764343283991,75.89764343283991
R05,45.743743,1052.583117142656,979.8486658629952,72.73445127966079,72.73445127966079
R05,45.83387,1151.36371475053,979.8902699450476,171.47344480548247,171.47344480548247
R05,45.969204,1084.1353213309872,979.5301510222876,104.6051703086996,104.6051703086996
R05,46.036166,1174.9041829090165,979.5814641558173,195.32271875319918,195.32271875319918
R05,46.141192,1146.3350725361984,979.4238194967453,166.91125303945307,166.91125303945307
R05,46.246166,1212.4796430807821,979.8804962618257,232.59914681895646,232.59914681895646
R05,46.328735,1020.7404801599731,980.2032950342634,40.5371851257097,40.5371851257097
R05,46.508405,1158.7530165359638,980.2302042660727,178.522812269891,178.522812269891
R05,46.539042,1042.8277167380884,979.7711432310738,63.056573507014605,63.056573507014605
R05,46.688133,1093.2375762032614,980.2454853599841,112.99209084327731,112.99209084327731
R05,46.741323,1135.2755299539247,979.675347188782,155.60018276514268,155.60018276514268
R05,46.858527,1112.518569139802,979.8351119238365,132.6834572159654,132.6834572159654
R05,46.930286,1169.7908845497525,980.1955311143938,189.59535343535867,189.59535343535867
R05,47.049116,1153.2311323858346,979.8796683837357,173.35146400209885,173.35146400209885
R05,47.166551,1148.5350545596773,980.2025282945651,168.33252626511216,168.33252626511216
R05,47.25862,1024.8580711976215,979.991528233141,44.86654296448046,44.86654296448046
R05,47.341058,1122.2662767987056,979.4786327759184,142.78764402278716,142.78764402278716
R05,47.501144,1077.3774934384046,980.2631558022402,97.11433763616435,97.11433763616435
R05,47.543924,1115.5717647890435,979.5147386282678,136.05702616077576,136.05702616077576
R05,47.633562,1099.3369445411558,979.7559936137939,119.58095092736198,119.58095092736198
R05,47.768745,1118.4223241668517,979.9292886944385,138.49303547241323,138.49303547241323
R05,47.836052,1072.6049412609505,979.4330824109968,93.17185884995365,93.17185884995365
R05,47.941162,1148.1888082251246,979.7857036791037,168.40310454602093,168.40310454602093
R05,48.046077,1210.9799075236376,979.3495292711866,231.630378252451,231.630378252451
R05,48.128505,1205.7646775076141,980.1145806132942,225.65009689431997,225.65009689431997
