experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,L,I,T,kind,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,rank
X_A0_U4_P0_L7_I4_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.37961524238536,205.08835196172066,253.1288220485195,139.0071371401341,40661,64.9348229885566,143.51979843964426,176.1386364649027,91.91668903525857,40661,60.974395470460195,160.48310959853393,202.6131958555991,104.27994271522985,103.18225232377713,227.01530196485714,130.7754662578388,164.097204153242,183.49173341874985,81.5063962735615,70.58250081000861,37.72512015185737,59.33091798791597,96.02398577185636,170.9956404639225,nan,nan,nan,1.0,0.10289844489856736,0.5604810422079962,nan,nan,17,84.5212939639235,26.33468517062937,186.6347636003382,A0,U4,P0,L7,I4,T5,position_fusion,-2.655594884647755,-4.786836030620577,-2.258847707830199,4.441940056909388,-0.4012487776034561,FUSION_NEUTRAL,271.4679727801816,11
X_A0_U4_P0_L8_I1+I2+I3+I8_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,97.34831812333411,190.85244418490367,230.30582530889316,128.2218818548296,40661,63.28747856143725,136.73870395273468,164.59850724009917,87.636188211743,40661,56.65496329653456,147.71769920981194,184.22839240068208,93.59887553870418,96.97502218890843,206.97550125165094,119.86481673830781,155.4771742749771,156.6838386718614,84.32358705178675,72.17409349515465,33.0672491996753,57.47600947742151,91.78516497512625,159.44220352446717,nan,nan,nan,1.0,0.5455275733548162,2.4460662680394796,nan,nan,17,104.91621807196273,25.833659142622878,219.90288283068125,A0,U4,P0,L8,I1+I2+I3+I8,T5,position_fusion,-8.862825019516464,-24.826636743826782,-13.044102993134686,24.836864164948622,-2.25615728809791,FUSION_HURTS_GEOMETRY,271.5958050160709,12
X_A0_U4_P0_L7_I7_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.92557854022965,205.86723032193547,253.93366583982035,139.7609254440359,40661,65.59737451367947,144.33866589990066,176.93020246614554,92.52273198444558,40661,61.12752062605216,161.39716989176168,203.64159130775056,104.75046704959274,104.67522419149398,227.350574047855,131.59143375229593,166.04382825347733,187.481231371071,81.72109007135622,69.58645747036266,38.78489150497012,59.475903328032786,96.48116817971324,171.51531084951847,nan,nan,nan,1.0,0.08020394938173944,0.44928464209772156,nan,nan,17,83.58570873025391,26.327202102922456,183.11129421252994,A0,U4,P0,L7,I7,T5,position_fusion,-1.1626230169309082,-4.451563947622731,-1.505059403928385,3.5063548232398034,-0.2562634374866377,FUSION_NEUTRAL,272.49587288343736,13
X_A0_U4_P0_L7_I0_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,102.57914657834581,208.03847645359542,256.72780336058554,141.1328607702275,40661,66.08059646867123,145.7484240334473,178.80804923013005,93.33986994243531,40661,61.52190287051758,163.0584618155999,205.5810478760834,105.85911896628309,105.68860292232277,231.1353596401405,132.61763934882015,167.4064309634172,187.20187118056043,82.28947315028472,68.92048293444208,38.82856482547544,59.70455675115471,97.1367538357622,173.20202851734936,nan,nan,nan,1.0,0.026583930025466152,0.16269814362472385,nan,nan,17,80.4365792920126,26.367176456018626,173.12867736838967,A0,U4,P0,L7,I0,T5,position_fusion,-0.14924428610211748,-0.6667783553372146,-0.13312407773679524,0.3572253849984861,-0.027610014364711333,FUSION_NEUTRAL,272.7438626763581,14
X_A0_U4_P0_L7_I0_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,102.56269868483571,207.80068955959564,256.12807659149905,140.90337423710517,40661,65.99231334440042,145.5176488803226,178.5295563312765,93.21056369285826,40661,61.53461184831167,162.73821793478714,205.20167634415463,105.6671741245186,105.45689091296019,230.76480014275108,132.24136170408468,167.00601447301955,186.8566456569025,82.53921101888508,69.22391906604432,38.99840075050423,59.655388527459706,96.98824089112138,172.66901130512883,nan,nan,nan,1.0,0.059674321430551874,0.364981068629331,nan,nan,17,81.08483921592212,26.35866955203403,174.82965684679115,A0,U4,P0,L7,I0,T3,position_fusion,-0.3809562954646992,-1.0373378527266368,-0.3626106108591216,1.005485308908007,-0.07677823805971684,FUSION_NEUTRAL,272.8116526777984,15
X_A0_U4_P0_L7_I1_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,101.66326261320806,204.09283452292686,251.95160645495267,138.5357904264652,40661,65.37030187345339,143.76477685121472,175.68038203259826,92.06166606266592,40661,60.98078953476511,160.0480529444195,202.18668419059657,103.52205016735167,103.93844952805298,223.43829023556106,130.42999379341381,164.6953433805594,182.57427231002464,80.75138579035233,69.70003343734817,37.15399911640901,59.18188995815751,95.41455212252313,170.78559590349374,nan,nan,nan,1.0,0.1555479364246885,0.7630266129547874,nan,nan,17,87.30970542976709,26.301150485901303,198.87750453098116,A0,U4,P0,L7,I1,T3,position_fusion,-1.899397680371905,-8.363847759916666,-2.7301944214990783,7.230351522752983,-0.5502768073619109,FUSION_HURTS_GEOMETRY,272.8495898904151,16
X_A0_U4_P0_L7_I8_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.36205295436379,204.80271861615446,252.39476392743762,138.81563091052038,40661,65.30629668085943,144.07282021017986,176.37251067943654,92.20102794318045,40661,60.84469802529952,159.94672663934875,202.28427822337494,103.7725870897834,103.0932409558406,227.0501312416576,130.37087559820606,163.69916721018092,182.99498567415736,85.63131431991526,72.23956034966801,39.284072036206624,59.24036692849836,95.89822813822047,170.6500401880836,nan,nan,nan,1.0,0.10368660863507605,0.5988053277769083,nan,nan,17,86.73239037552943,26.329981836478566,192.54132768079035,A0,U4,P0,L7,I8,T5,position_fusion,-2.7446062525842905,-4.752006753820126,-2.450353937443907,6.6530364685153245,-0.49179983702106256,FUSION_HURTS_GEOMETRY,272.89364361754053,17
X_A0_U4_P0_L7_I1_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,102.15100217062579,206.68892259226806,255.0539017383251,140.1437679662068,40661,65.72442524490975,144.91035306440682,177.75362846436954,92.80988809371061,40661,61.2471406585305,161.93463808964907,204.07701079459343,105.00762054155369,104.86573605442896,229.2024687418182,131.82323456351625,165.87455030605975,186.0258424942648,81.54446084890485,69.81059547890112,38.56038683095005,59.51353412197895,96.63374918241746,172.14297275084817,nan,nan,nan,1.0,0.07225737122594991,0.3485076743577147,nan,nan,17,83.22084860161759,26.341451079858416,182.4689680731468,A0,U4,P0,L7,I1,T5,position_fusion,-0.9721111539959253,-2.5996692536595276,-1.1222168817574811,3.1414946946034803,-0.21863264354047374,FUSION_NEUTRAL,273.0979611961871,18
X_A0_U4_P0_L8_I4_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,97.5001068976934,188.91946724181165,229.1334702183066,128.29878614092834,40661,63.16248709393996,134.47177917808895,163.3436900742842,86.19521684932673,40661,58.350126805943546,147.12319250661687,185.8196676587146,95.03137964658417,99.59064430120577,205.98079667892654,127.91239800657472,149.6600517274542,164.2863309965357,82.40732908687625,70.44829509736711,29.8833796095347,57.3640916272623,89.16096226513778,159.07966856059323,nan,nan,nan,1.0,0.43731519855682044,2.0783587197455855,nan,nan,17,103.94402500287097,25.92909049804223,280.86920734788976,A0,U4,P0,L8,I4,T3,position_fusion,-6.247202907219119,-25.821341316551184,-12.967198707035948,23.864671095856863,-2.368075138257126,FUSION_HURTS_GEOMETRY,273.12678645447085,19
X_A0_U4_P0_L8_I1_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,98.60583061665434,195.86129226320543,239.37941674543572,131.99320683482384,40661,64.1556819845982,138.78877921447256,169.22112977564868,89.18018800390396,40661,58.53969647211011,151.3029966990307,191.74303203372585,97.30930437593793,98.60748165648153,209.1452811958165,125.26320222333263,154.05310073238925,165.06362870067682,84.45454011140544,72.83442449939918,30.158459157810285,57.86961059485023,93.8887911171214,166.56900251151205,nan,nan,nan,1.0,0.2853176893485063,1.4406550122197364,nan,nan,17,103.59353019208423,26.301874330623832,266.390579370361,A0,U4,P0,L8,I1,T3,position_fusion,-7.230365551943365,-22.656856799661227,-9.272778013140453,23.51417628507012,-1.862556170669194,FUSION_HURTS_GEOMETRY,273.25860650690134,20
X_A0_U4_P0_L8_I1_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,100.30632770716595,202.45326596738042,248.71202833071902,136.69035912477608,40661,64.70151438105289,142.27878555414662,174.03446359237302,91.08725589191114,40661,60.112568324974404,157.555769444063,199.31355409007472,101.91842861691771,102.48108292397563,219.93338280083614,128.31719297322104,163.74078530380223,177.0644204202744,83.58962353438935,69.93326377357286,34.94935309915604,58.862042821222275,94.56924925424889,169.39291683149145,nan,nan,nan,1.0,0.15337722075772126,0.7327235520763207,nan,nan,17,91.97305878685663,26.294286312205884,211.81613662909172,A0,U4,P0,L8,I1,T5,position_fusion,-3.3567642844492553,-11.86875519464158,-4.57562572318821,11.893704879842517,-0.8701239442971485,FUSION_HURTS_GEOMETRY,273.26992946567907,21
X_A0_U4_P0_L7_I7_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,101.1555666676694,202.37316804242556,249.5085301291547,137.5546419987783,40661,65.22189302606638,142.48556109698356,173.72287538061275,91.32330068040378,40661,60.626871480197906,158.6379008537749,199.84253646964282,102.86561275882542,103.37274220799475,222.1302779714574,129.79189050727962,165.1652502779736,185.25676662876901,80.52857028558174,67.06556334474845,36.70533879699349,59.10133053537504,95.222020556954,170.88126867803035,nan,nan,nan,1.0,0.1712473441725959,0.9677689883292645,nan,nan,17,89.48039905787705,26.262699849114767,202.04097359122483,A0,U4,P0,L7,I7,T3,position_fusion,-2.4651050004301425,-9.671860024020333,-3.7113428491859963,9.401045150862942,-0.6308362301443822,FUSION_HURTS_GEOMETRY,273.3052841062063,22
X_A0_U4_P0_L2_I0_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.70480852171703,205.68287498203262,253.413499130946,139.5205803527741,40661,65.4775719145342,144.37945249619057,176.94157838047485,92.4187631020639,40661,61.20188132267049,161.0056966019231,202.93502832095362,104.52159857493324,104.56501879764132,228.17825966321587,131.25688012202602,164.67414289975892,185.2575083743484,81.90874146827596,68.678085637858,39.24745365835565,59.392974754615324,96.18525439978043,171.41308534329818,nan,nan,nan,1.0,0.04553796228795541,0.2552867362462566,nan,nan,17,84.57511208777859,26.340302142962287,186.52426158334077,A0,U4,P0,L2,I0,T5,position_fusion,-1.2728284107835748,-3.623878332261853,-1.7454044951902006,4.495758180764483,-0.33919201090409956,FUSION_NEUTRAL,273.32647551851954,23
X_A0_U4_P0_L8_I4_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,99.22669675653114,197.79023487742688,243.03716479282917,134.23876597528178,40661,63.81909024950985,139.23033655971236,170.21745562962502,89.18976431931604,40661,59.951195357286906,155.10230025754026,195.98122214881892,100.3256309784859,101.70265779092449,217.91496575105927,127.4651288366093,158.3842496618456,175.89302622156043,79.84145501730274,70.91831641116259,38.50853341854781,58.505832180684536,92.8430994160689,168.5991024082598,nan,nan,nan,1.0,0.22805477786830242,1.1555662788498475,nan,nan,17,94.92196937778587,26.339355825023574,228.3989313106847,A0,U4,P0,L8,I4,T5,position_fusion,-4.135189417500399,-13.887172244418451,-7.027218872682511,14.842615470771761,-1.2263345848348877,FUSION_HURTS_GEOMETRY,273.6711904585876,24
X_A0_U4_P0_L7_I3_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.4859983013748,205.25181700161062,252.93855353811222,139.17380663058094,40661,65.231115315139,144.13393909296502,176.5262419554718,92.22747052706622,40661,60.985417682362595,160.81555604073566,202.48174900853292,104.22783760697267,104.82006470604293,228.4799939065928,131.71381106011745,165.72819340211913,185.02911204167486,81.54188169756466,68.63416792594764,39.525428434886294,59.35519248927878,96.0775016548663,171.12987677238888,nan,nan,nan,1.0,0.07874917872467707,0.37255996494237315,nan,nan,17,84.75374933752948,26.287057539008572,186.86671821074373,A0,U4,P0,L7,I3,T5,position_fusion,-1.0177825023819622,-3.322144088884926,-2.092178217383349,4.674395430515375,-0.37697427624064517,FUSION_NEUTRAL,273.79328335426044,25
X_A0_U4_P0_L4_I0_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,102.25493914850699,207.35678615013282,255.7158198475867,140.67657132821145,40661,65.90370772151947,145.44539102632046,178.35953152672232,93.11879956581187,40661,61.3884450371047,162.5566234227424,204.84088056341295,105.44565846009746,106.01595257289401,231.50419186537115,132.4021327804407,166.75852493206338,187.58740610184594,82.4568287442151,69.12074740087283,38.63987679016998,59.617238106283935,96.87223105546548,172.57608848036716,nan,nan,nan,1.0,0.032575975013355817,0.1385697472679765,nan,nan,17,81.4140419601204,26.34629754354461,176.68667455895147,A0,U4,P0,L4,I0,T5,position_fusion,0.1781053644691184,-0.2979461301065669,-0.5894135197528385,1.3346880531062908,-0.11492865923548834,FUSION_NEUTRAL,273.84086815100017,26
X_A0_U4_P0_L8_I0_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,102.1927840590565,206.97040906055386,255.25540540970573,140.45236642515295,40661,65.74379042329421,145.21102622208983,178.04871242222498,92.96651467517768,40661,61.552124704995094,162.19591035624285,204.42616372798182,105.28102575286489,105.63722657617399,230.9284224948895,132.49219268881927,166.47841318237997,187.4119632338482,82.61147212119093,69.15079063210513,39.91265939080131,59.548430405744114,96.63237725711002,172.0549934122574,nan,nan,nan,1.0,0.040402070549962255,0.2087444011753154,nan,nan,17,82.55560216101391,26.338182251952674,179.81876278878627,A0,U4,P0,L8,I0,T5,position_fusion,-0.20062063225090299,-0.8737155005882187,-0.813618422811345,2.476248253999799,-0.18373635977530967,FUSION_NEUTRAL,274.0253111649671,27
X_A0_U4_P0_L3_I0_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.34975222479518,204.94245178028754,252.61931935890837,138.8839768292362,40661,65.21393940644704,143.92426700755908,176.32863412024207,92.15541664028711,40661,60.96983531330716,160.0540488538678,201.83337240132073,103.90446671707096,104.44489727087304,227.07819875240455,130.35627889258615,163.6622071315058,183.55292327379033,82.86331802617795,70.3550709074257,38.39387455492647,59.2780178973951,95.77657056401031,171.168168228039,nan,nan,nan,1.0,0.055865627665393686,0.3135440293017875,nan,nan,17,86.46274231327867,26.306307471229502,192.31600965238042,A0,U4,P0,L3,I0,T5,position_fusion,-1.3929499375518475,-4.7239392430731755,-2.3820080187281008,6.383388406264558,-0.45414886812432087,FUSION_HURTS_GEOMETRY,274.0851954022072,28
X_A0_U4_P0_L4_I0_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,101.80696401108855,205.75497560072358,253.4610196816554,139.69023734451673,40661,65.65542143302278,144.5912550509988,177.08140211676067,92.64182790300397,40661,61.04716335028229,161.12984883446416,203.11825144338547,104.5507251632317,105.46072107044324,230.2350196062182,132.16667578436062,164.7723895672496,185.8743254996429,83.51220595894253,69.38276937052335,39.12186660878365,59.421998860113064,96.26511623554634,171.21871183015224,nan,nan,nan,1.0,0.07200831679808294,0.3034959552892017,nan,nan,17,83.60260154083876,26.301582145513407,184.6013249191707,A0,U4,P0,L4,I0,T3,position_fusion,-0.37712613798164796,-1.5671183892595195,-1.575747503447559,3.523247633824653,-0.3101679054063595,FUSION_NEUTRAL,274.27579844126325,29
X_A0_U4_P0_L4_I0_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,102.40856227896623,197.72491332724252,240.56210661961467,134.26919268015018,40661,67.14502001270883,143.25704670376075,173.90700293078123,92.29290291527674,40661,59.70005627496528,151.69915392602184,188.78969899797926,97.5204397777748,107.24982171085998,212.5065224949339,129.03788731977312,153.65737615510108,177.9751387536673,95.50375243934141,73.00422581470616,40.374734796389816,57.93798307844523,90.47364798287438,164.49824307340606,nan,nan,nan,1.0,0.6361491968808037,2.5732082778653975,nan,nan,17,91.74826446569504,26.185462282673768,246.0781345863744,A0,U4,P0,L4,I0,T2,position_fusion,1.4119745024350863,-19.295615500543818,-6.996792167814107,11.668910558680935,-1.7941836870741952,FUSION_HURTS_GEOMETRY,274.819881249296,30
