s,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope,n_positions,n_frames
0.93,64.0,218.97053227357873,231.17232902620484,346.44706525412073,339.57851087594344,24,28818
0.93,66.0,215.55205431854984,227.39076597792646,342.49995658209883,334.6569033869653,24,28818
0.93,68.0,212.0892702335188,223.6092207114226,338.536241049349,329.674364451131,24,28818
0.93,70.0,208.57521918608808,219.86423151828086,334.55450088647865,324.6613524394241,24,28818
0.93,72.0,204.9964090713167,216.13432131279126,330.5563021740774,319.56283481336595,24,28818
0.93,74.0,201.37987376546656,212.43263953676572,326.54081565197043,314.4135988968925,24,28818
0.93,76.0,197.74178260622352,208.77688878388426,322.5079882652519,309.23238232428247,24,28818
0.93,78.0,194.08530065000036,205.1526789131884,318.45846460098574,304.00343383769234,24,28818
0.93,80.0,190.3970361564511,201.54808698850613,314.3961421698582,298.72103864693065,24,28818
0.93,82.0,186.6810517829161,197.9567700791173,310.3202997343341,293.378872327487,24,28818
0.93,84.0,182.92843014563846,194.39842800834154,306.2343336160036,288.01066014608824,24,28818
0.93,86.0,179.1265579708881,190.87464037125883,302.1390284408258,282.6106826293471,24,28818
0.93,88.0,175.30133380057555,187.38834914645594,298.0330618401678,277.1922016509777,24,28818
0.93,90.0,171.4497604440994,183.94409078963665,293.9162875257907,271.7753982512621,24,28818
0.93,92.0,167.58637693867647,180.53068790792608,289.7850722420421,266.34567914311157,24,28818
0.93,94.0,163.69661307988451,177.14867843840017,285.64259616621035,260.900862327101,24,28818
0.93,96.0,159.7892575056622,173.79794190874736,280.76182568637074,255.44574906927608,24,28818
0.93,98.0,155.8795068233996,170.4822090829924,274.4980604185983,249.99396521085922,24,28818
0.93,100.0,151.9649284031625,167.19788464038518,268.2356905894891,244.5465908613978,24,28818
0.93,102.0,148.0470065847573,163.93318260823403,261.95366128654547,239.08767084922883,24,28818
0.93,104.0,144.1312258320267,160.69389997942105,255.6501332372599,233.63117613888878,24,28818
0.93,106.0,140.21663582188566,157.47578185911522,249.35827531513496,228.18082373530692,24,28818
0.93,108.0,136.30910099792197,154.28208804814284,243.07980085251313,222.73839974953063,24,28818
0.93,110.0,132.41684589989825,151.10906961848036,236.80191897457078,217.3052379830544,24,28818
0.93,112.0,128.53512353202993,147.95517406928371,230.54057644978707,211.87220922535428,24,28818
0.93,114.0,124.66756663364698,144.82227249084363,224.31475562852089,206.44185519189458,24,28818
0.93,116.0,120.81570147349163,141.71479665132,220.48776893724636,201.02501804634989,24,28818
0.93,118.0,116.9832143112341,138.6341685437514,216.83893198492285,195.62105666627622,24,28818
0.93,120.0,113.17535884640945,135.58633914165026,213.17811873521325,190.2399940265461,24,28818
0.935,0.0,326.1963041544345,327.6582585422942,459.7244434654157,426.98594731362675,24,28818
0.935,2.0,320.96437197684713,324.50850231328747,455.689885179639,426.4710773875656,24,28818
0.935,4.0,315.68979287210607,321.38157211475055,451.6478779634581,425.65990165623754,24,28818
0.935,6.0,310.3585799934921,318.29149027148185,447.7228864137215,424.6388004429107,24,28818
0.935,8.0,303.6132523650516,315.2068500873362,444.0323520548746,423.45311084839165,24,28818
0.935,10.0,296.5405382868935,312.03516967177694,440.28266898736166,422.0545370511045,24,28818
0.935,12.0,289.7404837305421,308.91623788550584,436.49335892005286,420.4092944712156,24,28818
0.935,14.0,283.72123220401625,305.75522161274813,432.67318992924254,418.4453655926572,24,28818
0.935,16.0,281.3564320277507,302.57176927246024,428.8086085896465,416.2673938185895,24,28818
0.935,18.0,278.9544786333838,299.3530011404586,424.91956964816063,413.8611219239557,24,28818
0.935,20.0,276.96946765895916,296.078983008651,421.0179845291699,411.21826411724527,24,28818
0.935,22.0,273.47775674780496,292.74874045033613,417.10325580634986,408.37875837820656,24,28818
0.935,24.0,274.3982421330681,289.352059032529,413.14741927957374,405.3263836319095,24,28818
0.935,26.0,274.92323947272246,285.9400845079139,409.1840446700243,402.1516549824284,24,28818
0.935,28.0,274.99742959318405,282.4591306317918,405.1996339143231,398.77058885719634,24,28818
0.935,30.0,269.3558156659578,278.93813211456467,401.1744315863607,395.27211686737684,24,28818
0.935,32.0,263.37465688763643,275.3759365992517,397.102518218966,391.6178729412175,24,28818
0.935,34.0,257.1871649808039,271.7465756485882,392.99616805466974,387.792258696504,24,28818
0.935,36.0,250.76718159360715,268.0680625269045,388.8953622792283,383.8381513419627,24,28818
0.935,38.0,244.09889057223938,264.3444986914372,384.7952264058929,379.8097441542812,24,28818
0.935,40.0,241.5542193742973,260.6104484354954,380.67563788111704,375.67953232418336,24,28818
0.935,42.0,238.88135769139478,256.84071829291486,376.52833860227923,371.39099608004915,24,28818
0.935,44.0,236.12603847510132,253.074534047471,372.3553211754399,366.99644263278657,24,28818
0.935,46.0,233.2430337921419,249.3024983412189,368.16246589390477,362.52859910469806,24,28818
0.935,48.0,230.28887844191877,245.52870544554966,363.93495965895363,358.0041439231322,24,28818
0.935,50.0,227.20047073033476,241.73758518753988,359.6790298291636,353.37156149417643,24,28818
0.935,52.0,223.97770692499856,237.94172967637417,355.6699849422961,348.6430074388997,24,28818
0.935,54.0,220.69382779752175,234.1534624841264,351.7366141429523,343.8471254973913,24,28818
0.935,56.0,217.30931955124169,230.37600223412036,347.7906542323065,338.9677370116523,24,28818
0.935,58.0,213.86863286726737,226.602076516957,343.8334869976938,334.01686372273366,24,28818
0.935,60.0,210.3899164234342,222.842461469274,339.8630700664301,329.0219533090792,24,28818
0.935,62.0,206.8460034222461,219.11626829928554,335.8739237777346,323.97346411334286,24,28818
0.935,64.0,203.2586735475282,215.40234186442493,331.8671161698786,318.8434584399843,24,28818
0.935,66.0,199.63194366379793,211.73191238355457,327.8438756139131,313.68028699892454,24,28818
0.935,68.0,195.98868416113032,208.09781125555847,323.80198823559255,308.4757624099596,24,28818
0.935,70.0,192.32958174247182,204.492130798858,319.74256941901757,303.2235757883337,24,28818
0.935,72.0,188.628820115648,200.89870619290545,315.6679585660361,297.9101697224375,24,28818
0.935,74.0,184.90789383896342,197.32687534288712,311.58186322112283,292.55403700588045,24,28818
0.935,76.0,181.13502664448373,193.79206179190385,307.48310283326134,287.1734483258206,24,28818
0.935,78.0,177.32852018845347,190.29014052513438,303.3739110550167,281.7613804525106,24,28818
0.935,80.0,173.4941938515156,186.83017678549203,299.25789820282887,276.3471470757865,24,28818
0.935,82.0,169.64546862287304,183.40557883768227,295.131169630219,270.9278212354409,24,28818
0.935,84.0,165.7739632978392,180.00749585404503,290.99138897055,265.4870570803296,24,28818
0.935,86.0,161.8819955444954,176.63935867633603,286.83614940483517,260.03341876714273,24,28818
0.935,88.0,157.9792616771118,173.3065853769889,281.26295841568015,254.5801536880666,24,28818
0.935,90.0,154.07567259747714,170.00417511742268,274.9685838185093,249.12851622634824,24,28818
0.935,92.0,150.1691191313163,166.7285424061085,268.66134987396936,243.67543165900452,24,28818
0.935,94.0,146.25957616325815,163.4747946011684,262.36066676850237,238.21587404915013,24,28818
0.935,96.0,142.3518542876773,160.243926528643,256.0260965463801,232.76360967584077,24,28818
0.935,98.0,138.44806200561203,157.03294683350157,249.69066254015587,227.31505797068093,24,28818
0.935,100.0,134.55485475689744,153.8457739876035,243.37587052377995,221.87699328731827,24,28818
0.935,102.0,130.67604708422118,150.67837113480869,237.06163210204113,216.4457841628036,24,28818
0.935,104.0,126.81079320859104,147.5303187501678,230.7630621257812,211.01394312222058,24,28818
0.935,106.0,122.95612724138157,144.40398405687506,224.49671085922938,205.59007117256576,24,28818
0.935,108.0,119.12091691804153,141.30257744283622,219.8384832438283,200.17831977502328,24,28818
0.935,110.0,115.30519996172974,138.2291687241027,216.2007701565967,194.78156968121073,24,28818
0.935,112.0,111.51641167044095,135.19002622910733,212.55086135578935,189.40919890618287,24,28818
0.935,114.0,107.75749035166916,132.18282127829374,208.8825806201019,184.05116746471768,24,28818
0.935,116.0,105.46117157968409,129.2075718591469,205.19799916045008,178.71006245953228,24,28818
0.935,118.0,103.32410539965122,126.26561978914125,201.4840181087629,173.38873916356968,24,28818
0.935,120.0,101.19001111368053,123.36048584506861,197.86797329306611,168.0891636827943,24,28818
0.94,0.0,298.7966018070557,314.5093410529178,445.6356416135725,424.32084366935624,24,28818
0.94,2.0,291.83260712999333,311.3572456409827,441.8675822893497,422.79306935699145,24,28818
0.94,4.0,285.16630406113416,308.24273865635195,438.07636493963844,421.02220291819475,24,28818
0.94,6.0,281.51897913161434,305.074339676413,434.2390867336893,418.9635056567621,24,28818
0.94,8.0,279.1943976000635,301.876604736982,430.3700767704931,416.67946676298465,24,28818
0.94,10.0,276.7196471172098,298.64106074927224,426.4831767591359,414.1774879401645,24,28818
0.94,12.0,275.2125776553428,295.3490645752693,422.5842543938294,411.4558663053736,24,28818
0.94,14.0,274.0814711292673,291.99351265881904,418.6645185432143,408.52682396978554,24,28818
0.94,16.0,274.81838893115116,288.5899156110413,414.70519654665793,405.41443729802774,24,28818
0.94,18.0,275.16352714930724,285.14943291909816,410.7346614626955,402.14686409421745,24,28818
0.94,20.0,272.23605425389104,281.6447837650215,406.7383930690678,398.70480913519214,24,28818
0.94,22.0,266.30648373607653,278.1135879981539,402.6934858879337,395.13891390679476,24,28818
0.94,24.0,260.24241940686835,274.5271093440715,398.5979647478994,391.4120770748233,24,28818
0.94,26.0,253.90912464937568,270.8732900968533,394.49138862470727,387.5227633522089,24,28818
0.94,28.0,247.24344498765626,267.18296830882434,390.393160827339,383.5452431492695,24,28818
0.94,30.0,242.8464944117609,263.4588026193048,386.28673981754986,379.4731383477648,24,28818
0.94,32.0,240.24498122335157,259.7209719679963,382.1572665575787,375.2846276710429,24,28818
0.94,34.0,237.52535736064715,255.96214492140805,378.00507236981247,370.9447486982981,24,28818
0.94,36.0,234.70484256057483,252.20509116928113,373.82172326078677,366.5209337804578,24,28818
0.94,38.0,231.78819550813802,248.43709086668363,369.61093949445456,362.02973149368586,24,28818
0.94,40.0,228.7798994855063,244.66866489864395,365.37178479292606,357.466441177994,24,28818
0.94,42.0,225.63255710987426,240.87945289715603,361.1022610015834,352.785051010463,24,28818
0.94,44.0,222.37068393748245,237.09845777786208,356.97764367835003,348.0291708215245,24,28818
0.94,46.0,219.04456737560633,233.32554213503488,353.03329688241365,343.1985636175182,24,28818
0.94,48.0,215.62222186058915,229.55918504410113,349.07551950716686,338.28181478682046,24,28818
0.94,50.0,212.16479970680302,225.7935921534388,345.10692771061343,333.3077667104332,24,28818
0.94,52.0,208.6648679770778,222.06268704384811,341.1265240919625,328.2978212363852,24,28818
0.94,54.0,205.10294273787105,218.35154999003205,337.1308142078693,323.21249213946527,24,28818
0.94,56.0,201.496111856565,214.66110465249378,333.1159527687555,318.0601051838221,24,28818
0.94,58.0,197.86725800067472,211.0152480271551,329.0835655581447,312.8765646938208,24,28818
0.94,60.0,194.22324758719745,207.40421906658264,325.03565203772916,307.6516824016568,24,28818
0.94,62.0,190.55162869275227,203.8143442568981,320.9661338608598,302.37619672452445,24,28818
0.94,64.0,186.84626254711864,200.23385842685263,316.88013988393027,297.03633452798454,24,28818
0.94,66.0,183.1125207427304,196.686006013144,312.78138353558467,291.6709544372409,24,28818
0.94,68.0,179.32338699921905,193.1737051905327,308.67070342148105,286.2763082035396,24,28818
0.94,70.0,175.51009829951425,189.693905375666,304.54834620890085,280.85837420272316,24,28818
0.94,72.0,171.6734031345442,186.25751715033923,300.41975337537923,275.446981716366,24,28818
0.94,74.0,167.82350651627954,182.85267661772772,296.2827297586147,270.024282377592,24,28818
0.94,76.0,163.94678329778478,179.47076416856785,292.13241337081297,264.5762386244006,24,28818
0.94,78.0,160.05552481703245,176.12049361577454,287.9719781625123,259.1216522938678,24,28818
0.94,80.0,156.15794876843495,172.7996322995631,281.64450720265967,253.66492761931374,24,28818
0.94,82.0,152.26085145259816,169.5107501537762,275.3262854066605,248.21412892356997,24,28818
0.94,84.0,148.3618980148558,166.24331634165753,268.98571138702175,242.7560265650551,24,28818
0.94,86.0,144.46175315594976,162.99910824711228,262.65643088454715,237.29825731500617,24,28818
0.94,88.0,140.5639551085203,159.77575421298212,256.29761541678715,231.849147020537,24,28818
0.94,90.0,136.67158303628025,156.57326471377428,249.9241328146415,226.40612840963087,24,28818
0.94,92.0,132.79406020196004,153.39191879014098,243.5697595162065,220.97213424522494,24,28818
0.94,94.0,128.93233825495105,150.23146117744713,237.22075609608015,215.54348560127283,24,28818
0.94,96.0,125.08104265658511,147.08933695265114,230.8888665816249,210.11645411765053,24,28818
0.94,98.0,121.24099992544969,143.96901875096864,224.5812867460257,204.69784313830243,24,28818
0.94,100.0,117.42316888371904,140.87421361098137,219.11147453570086,199.29222387328142,24,28818
0.94,102.0,113.62570170329838,137.80899770210937,215.48881965983304,193.90347233376747,24,28818
0.94,104.0,109.85824838714808,134.77836714377264,211.84784332701983,188.5387246767603,24,28818
0.94,106.0,106.94677535944106,131.77969432588645,208.19389499906686,183.18777003006667,24,28818
0.94,108.0,104.79934694725304,128.81411933701463,204.52747516108704,177.85906883918412,24,28818
0.94,110.0,102.65652899880811,125.88246803012021,200.8338544916633,172.5508157304779,24,28818
0.94,112.0,100.51587892230826,122.98896844856313,197.1882013053131,167.2652651684954,24,28818
0.94,114.0,98.37917675527855,120.13881376035266,194.15560346752352,162.00529364023868,24,28818
0.94,116.0,95.16972489115076,117.33303253253185,191.10353414223758,156.7723235256968,24,28818
0.94,118.0,91.10995793780066,114.57692513750955,188.04368678821703,151.5718656839355,24,28818
0.94,120.0,87.45766980186431,111.87200792255214,184.96297352917992,146.40506272988733,24,28818
0.945,0.0,276.99075275542214,301.14692027407773,431.85705338215433,416.98320095307406,24,28818
0.945,2.0,275.5303523631313,297.89378898018833,427.9739532254034,414.39254914397,24,28818
0.945,4.0,273.9271139059173,294.5826030657678,424.0798134524066,411.59151099387975,24,28818
0.945,6.0,274.5895204513361,291.20333301595184,420.1489890359372,408.5746249528764,24,28818
0.945,8.0,275.18129909013794,287.7931926762992,416.1949619091875,405.406834769889,24,28818
0.945,10.0,274.3497482162495,284.31703414498276,412.2130152591843,402.04119159443684,24,28818
0.945,12.0,269.19798080109,280.80366608402323,408.19608710918965,398.5509669141187,24,28818
0.945,14.0,263.2252001919819,277.24910067977675,404.1336287615103,394.9080612455991,24,28818
0.945,16.0,257.01158998775213,273.6368531943556,400.0294761497337,391.1123654635015,24,28818
0.945,18.0,250.56355246935715,269.9730176994239,395.92486155398495,387.18156950438896,24,28818
0.945,20.0,244.09538136830164,266.26126660863247,391.825556160924,383.16777787317875,24,28818
0.945,22.0,241.56148667006988,262.54882976875194,387.71125893653294,379.05906347189296,24,28818
0.945,24.0,238.90018052667799,258.8130302039828,383.5779273214415,374.80614687213165,24,28818
0.945,26.0,236.13054380956123,255.06589799197158,379.4133874739722,370.42706924759216,24,28818
0.945,28.0,233.24994085735946,251.31088575870464,375.2229772130977,365.97603639820954,24,28818
0.945,30.0,230.29942219790087,247.55231958644052,370.994838221117,361.45955748699606,24,28818
0.945,32.0,227.22908253638724,243.77966113901186,366.73614226628564,356.839034943861,24,28818
0.945,34.0,224.02371182630642,240.00587633197824,362.45319983351516,352.12609725587333,24,28818
0.945,36.0,220.73409573812427,236.23717962732385,358.22658605708415,347.34103268926566,24,28818
0.945,38.0,217.36364450434763,232.47972708471866,354.27319766438495,342.4729255725547,24,28818
0.945,40.0,213.9167851797111,228.72065764865522,350.3043164278534,337.52974319434935,24,28818
0.945,42.0,210.4433688718733,224.971943567141,346.3220780685692,332.5334497584427,24,28818
0.945,44.0,206.91560230671712,221.26483112168768,342.32960389214657,327.49656869558913,24,28818
0.945,46.0,203.33292233063975,217.57003005725394,338.3260632808633,322.3790170647921,24,28818
0.945,48.0,199.71691668085367,213.90815312241588,334.30346022708505,317.2085467667962,24,28818
0.945,50.0,196.08679735957986,210.28386185702553,330.2619964630362,312.0040113908331,24,28818
0.945,52.0,192.4404046162664,206.69373711941066,326.205497004997,306.7601648399228,24,28818
0.945,54.0,188.75368054644917,203.11806116895048,322.1297507894564,301.45890154979685,24,28818
0.945,56.0,185.04532582867338,199.5564334751832,318.03239135685556,296.1042059597055,24,28818
0.945,58.0,181.29118617722304,196.03351116253594,313.9207600511651,290.72857822249773,24,28818
0.945,60.0,177.49595954222838,192.54124041746704,309.79849124872607,285.3207194587703,24,28818
0.945,62.0,173.67497108214178,189.08663520232574,305.6636632539371,279.9058993002194,24,28818
0.945,64.0,169.84051463051597,185.6717743733408,301.52136110364535,274.49480905598733,24,28818
0.945,66.0,165.98577050918368,182.28458115224572,297.37138149597246,269.0654257281494,24,28818
0.945,68.0,162.10612724595535,178.91983184344474,293.2126037640635,263.61371698770154,24,28818
0.945,70.0,158.21607184503955,175.58653023589986,288.27871704236117,258.16016595503527,24,28818
0.945,72.0,154.32516054454695,172.27844982308463,281.92231250571643,252.70255843377336,24,28818
0.945,74.0,150.43721360415407,169.00057676543756,275.5678465898566,247.25075980372108,24,28818
0.945,76.0,146.54699056789667,165.74178193299537,269.2017537605657,241.7900905881835,24,28818
0.945,78.0,142.65507949954178,162.5062746597596,262.8388196553764,236.33786785580494,24,28818
0.945,80.0,138.7697652452246,159.29146737939195,256.46082245856087,230.8927068521744,24,28818
0.945,82.0,134.89126803075197,156.09571089932635,250.05300929185,225.4544932809076,24,28818
0.945,84.0,131.02914944351497,152.92149926753248,243.66085664555655,220.02455240973953,24,28818
0.945,86.0,127.18312685033402,149.76684251204762,237.27724439984016,214.59936947514763,24,28818
0.945,88.0,123.34494688413824,146.63148489560444,230.91519813615807,209.17797065571924,24,28818
0.945,90.0,119.52232683614417,143.51809000675235,224.56855033108852,203.76613743403567,24,28818
0.945,92.0,115.72339874558264,140.43005216375497,218.3142688101883,198.36666883213326,24,28818
0.945,94.0,111.94705567727365,137.37377235922514,214.70147556970437,192.98767473356395,24,28818
0.945,96.0,108.43973989086888,134.3516177299747,211.07392493117806,187.628954125147,24,28818
0.945,98.0,106.28284275173831,131.36239212867537,207.43515422054332,182.28922171931612,24,28818
0.945,100.0,104.12910290170016,128.4066495376608,203.78255610238108,176.9734746533911,24,28818
0.945,102.0,101.98005607041785,125.4858293906928,200.10611448128182,171.67920301915996,24,28818
0.945,104.0,99.83484828604308,122.60609673727232,196.4447329575488,166.40990514079854,24,28818
0.945,106.0,97.6917890845352,119.76930415799052,193.44061327898197,161.16633659832635,24,28818
0.945,108.0,94.28515724125887,116.97891598812502,190.4299393635654,155.95178636786127,24,28818
0.945,110.0,90.23611204120166,114.23785901412263,187.39522737004685,150.76936792189497,24,28818
0.945,112.0,86.74286436148572,111.54918858362713,184.34125738703912,145.62422249837385,24,28818
0.945,114.0,84.58434153606837,108.91624702738739,181.257578000502,140.51734148561854,24,28818
0.945,116.0,82.58294487896093,106.34140330510235,178.12484367413427,135.44502291925275,24,28818
0.945,118.0,81.37002589176171,103.82712399813553,174.92956832352507,130.4075086470539,24,28818
0.945,120.0,80.24865072636571,101.37804757903415,171.69986025656553,125.40952681431425,24,28818
0.95,0.0,274.8186711344389,286.9487857838398,417.60558424213406,405.27995882286933,24,28818
0.95,2.0,272.0650753706325,283.4492271061822,413.62112951640336,401.85296229465433,24,28818
0.95,4.0,266.1567157078646,279.9253614163504,409.5823123614775,398.29673705942935,24,28818
0.95,6.0,260.07072472403775,276.34640804288443,405.49813753665904,394.5855482556103,24,28818
0.95,8.0,253.72353889618506,272.71559811614117,401.39551144436274,390.73444309486837,24,28818
0.95,10.0,246.93233999817977,269.0303603024741,397.292889715181,386.77749673053836,24,28818
0.95,12.0,242.83014137952256,265.32610234653976,393.18959909458,382.716990741895,24,28818
0.95,14.0,240.24478072053932,261.6168435480036,389.06781700455036,378.55640816596525,24,28818
0.95,16.0,237.52818974195884,257.88554601648883,384.9289117937242,374.2429713390377,24,28818
0.95,18.0,234.6967006886788,254.14198431679046,380.753264728191,369.8310950876648,24,28818
0.95,20.0,231.77437920773048,250.39027359307872,376.5529501647761,365.35482438269673,24,28818
0.95,22.0,228.7770218894031,246.63987687668146,372.3127368620149,360.8040176311606,24,28818
0.95,24.0,225.6474101875542,242.87198698497565,368.0354506349367,356.13539878647725,24,28818
0.95,26.0,222.3979062658742,239.11246402226493,363.735398641405,351.39773175744324,24,28818
0.95,28.0,219.06969592416294,235.3625765323409,359.41701580076705,346.58092447294325,24,28818
0.95,30.0,215.65415391926763,231.61141459367144,355.45381224532395,341.67314004625445,24,28818
0.95,32.0,212.19197556701727,227.85995732934464,351.47577872073316,336.7041419614214,24,28818
0.95,34.0,208.7005999858047,224.13906919847855,347.4822147546058,331.6894714143668,24,28818
0.95,36.0,205.1484051296543,220.44757614668146,343.47703758689374,326.6189618531379,24,28818
0.95,38.0,201.54993821627824,216.77605529252284,339.4610796987349,321.4755790411482,24,28818
0.95,40.0,197.92724499634568,213.14084324356298,335.4298857157636,316.29317978360405,24,28818
0.95,42.0,194.2971791346933,209.5393815857104,331.3803749144052,311.06775378545075,24,28818
0.95,44.0,190.63923331450547,205.96559304869314,327.3135524835272,305.8023477611907,24,28818
0.95,46.0,186.94330953117287,202.40315671839392,323.23074807871404,300.4762253275559,24,28818
0.95,48.0,183.22294728882952,198.86826566677496,319.1255750989952,295.1157028190138,24,28818
0.95,50.0,179.44911367266664,195.36690067887594,315.002605683973,289.72562021350575,24,28818
0.95,52.0,175.65085706667486,191.89562022902754,310.866536283178,284.3114448947626,24,28818
0.95,54.0,171.8265930235096,188.46654037150836,306.71993451105925,278.90307229623363,24,28818
0.95,56.0,167.99524114327664,185.07328885824492,302.5635043564389,273.4919954329742,24,28818
0.95,58.0,164.13103799577357,181.7012539975903,298.39903584688983,268.05424214217044,24,28818
0.95,60.0,160.25271407400578,178.35547448600687,294.2348135255919,262.60362094091306,24,28818
0.95,62.0,156.36826739016453,175.03739506113473,288.46620313810604,257.1514194110668,24,28818
0.95,64.0,152.48419471372188,171.7427458425928,282.0877274779696,251.69486352403302,24,28818
0.95,66.0,148.60415868356085,168.47324678242,275.694520380885,246.23915139828526,24,28818
0.95,68.0,144.72357896155324,165.22320820308659,269.3033618708439,240.7805833682628,24,28818
0.95,70.0,140.84271749860721,161.99614505509845,262.90995507493113,235.33366928319205,24,28818
0.95,72.0,136.96962472950412,158.78986205783139,256.50862292782267,229.89456626707172,24,28818
0.95,74.0,133.1068238083738,155.6010813412459,250.07560510443844,224.46061497391818,24,28818
0.95,76.0,129.26051683433207,152.43410520210034,243.64357562183324,219.03621063818179,24,28818
0.95,78.0,125.42945674360301,149.2849768034125,237.22590167492652,213.61477431838136,24,28818
0.95,80.0,121.60615008297839,146.15688594721104,230.83720510645372,208.20065597285588,24,28818
0.95,82.0,117.80283562750797,143.05022178110352,224.4563266167616,202.79403622423106,24,28818
0.95,84.0,114.02267984501016,139.9700146035505,218.10843257209464,197.40256482017287,24,28818
0.95,86.0,110.26727149887344,136.92309579253936,213.84319368777358,192.03308058722237,24,28818
0.95,88.0,107.77220190856875,133.90962952544763,210.2311403848868,186.68261039368508,24,28818
0.95,90.0,105.60864549222791,130.93061559121375,206.60795188440113,181.35689273692154,24,28818
0.95,92.0,103.4508739445545,127.9855498551229,202.96680446441633,176.054700634285,24,28818
0.95,94.0,101.2956497265918,125.07717567782008,199.30609087012792,170.77627656698905,24,28818
0.95,96.0,99.14616256679008,122.2111642382484,195.6404212803249,165.52308283336015,24,28818
0.95,98.0,96.99607180577333,119.38924633477407,192.6748709876934,160.29813122266313,24,28818
0.95,100.0,93.38760893233936,116.61425825063773,189.69507244113194,155.10224503189468,24,28818
0.95,102.0,89.351140637041,113.88903368644495,186.68713147711756,149.9403385864321,24,28818
0.95,104.0,86.02456363094629,111.2168717740984,183.65721687581595,144.8165250842022,24,28818
0.95,106.0,83.86264918298315,108.60191985816512,180.593934151933,139.73029448722403,24,28818
0.95,108.0,82.03557259114092,106.04612878708342,177.47910298875723,134.67913965006596,24,28818
0.95,110.0,80.83831916981941,103.55141596235293,174.3046373750511,129.66512366775933,24,28818
0.95,112.0,79.74990863132876,101.1254253318835,171.12228955607617,124.69211634395684,24,28818
0.95,114.0,78.7800382063108,98.76932036272203,167.88758856671802,119.76026617539078,24,28818
0.95,116.0,77.952826543485,96.4845382076938,166.2625510112467,114.86808907193442,24,28818
0.95,118.0,76.98529545021543,94.27577077591606,164.83694603820695,110.01734388717047,24,28818
0.95,120.0,75.38495951734986,92.14649200636477,163.4189785849586,105.20961373681166,24,28818
0.955,0.0,250.32024924846556,271.7583670404443,402.692344622002,390.27721032166767,24,28818
0.955,2.0,244.5835048997186,268.0638888181082,398.5958110195884,386.28253349336387,24,28818
0.955,4.0,241.54179652449508,264.3693843461118,394.4839898350508,382.18911149007494,24,28818
0.955,6.0,238.89114430769405,260.66165770507877,390.35896606868187,377.9640610140796,24,28818
