host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
81.637642,59877,,BS2DCE,,cal_roto,5,success,100,4,4,231,341,0
81.84208,59878,,BS2DCE,,cal_roto,5,success,100,4,4,125,186,0
82.020173,59879,,BS2DCE,,cal_roto,5,success,100,4,4,192,282,0
82.20484,59880,,BS2DCE,,cal_roto,5,success,100,4,4,211,240,0
82.435058,59881,,BS2DCE,,cal_roto,5,success,100,4,4,180,201,0
82.612447,59882,,BS2DCE,,cal_roto,5,pending,99,4,3,0,0,0
82.717563,59883,,BS2DCE,,cal_roto,5,success,99,4,4,109,136,0
82.847432,59884,,BS2DCE,,cal_roto,5,success,99,4,4,135,177,0
83.025149,59885,,BS2DCE,,cal_roto,5,success,99,4,4,175,226,0
83.227623,59886,,BS2DCE,,cal_roto,5,success,99,4,4,225,319,0
83.439974,59887,,BS2DCE,,cal_roto,5,success,99,4,4,275,404,0
83.623963,59888,,BS2DCE,,cal_roto,5,success,100,4,4,285,371,0
83.820445,59889,,BS2DCE,,cal_roto,5,success,100,4,4,224,326,0
84.054991,59890,,BS2DCE,,cal_roto,5,success,100,4,4,224,335,0
84.232747,59891,,BS2DCE,,cal_roto,5,success,100,4,4,153,238,0
84.442654,59892,,BS2DCE,,cal_roto,5,success,100,4,4,74,109,0
84.647047,59893,,BS2DCE,,cal_roto,5,success,100,4,4,119,186,0
84.825266,59894,,BS2DCE,,cal_roto,5,success,100,4,4,108,167,0
85.027726,59895,,BS2DCE,,cal_roto,5,success,100,4,4,257,384,0
85.237955,59896,,BS2DCE,,cal_roto,5,success,100,4,4,183,262,0
85.440095,59897,,BS2DCE,,cal_roto,5,success,100,4,4,206,305,0
85.620107,59898,,BS2DCE,,cal_roto,5,success,100,4,4,233,344,0
85.855185,59899,,BS2DCE,,cal_roto,5,success,100,4,4,171,249,0
86.032723,59900,,BS2DCE,,cal_roto,5,success,100,4,4,194,220,0
86.24287,59901,,BS2DCE,,cal_roto,5,success,100,4,4,216,310,0
86.447495,59902,,BS2DCE,,cal_roto,5,success,100,4,4,190,263,0
86.625174,59903,,BS2DCE,,cal_roto,5,success,100,4,4,142,163,0
86.810081,59904,,BS2DCE,,cal_roto,5,success,100,4,4,134,153,0
87.039982,59905,,BS2DCE,,cal_roto,5,success,100,4,4,182,200,0
87.240257,59906,,BS2DCE,,cal_roto,5,success,100,4,4,209,295,0
87.42124,59907,,BS2DCE,,cal_roto,5,success,100,4,4,270,388,0
87.579939,59908,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
87.727822,59909,,BS2DCE,,cal_roto,5,success,98,4,4,227,334,0
87.832783,59910,,BS2DCE,,cal_roto,5,success,98,4,4,230,346,0
88.045131,59911,,BS2DCE,,cal_roto,5,success,98,4,4,162,247,0
88.227569,59912,,BS2DCE,,cal_roto,5,success,99,4,4,135,210,0
88.425717,59913,,BS2DCE,,cal_roto,5,success,99,4,4,22,33,0
88.633356,59914,,BS2DCE,,cal_roto,5,success,99,4,4,104,163,0
88.859529,59915,,BS2DCE,,cal_roto,5,success,99,4,4,95,148,0
89.040314,59916,,BS2DCE,,cal_roto,5,success,99,4,4,282,421,0
89.222953,59917,,BS2DCE,,cal_roto,5,success,99,4,4,175,253,0
89.452907,59918,,BS2DCE,,cal_roto,5,success,99,4,4,218,324,0
89.632941,59919,,BS2DCE,,cal_roto,5,success,99,4,4,267,388,0
89.890374,59920,,BS2DCE,,cal_roto,5,success,100,4,4,145,216,0
90.023536,59921,,BS2DCE,,cal_roto,5,success,100,4,4,213,301,0
90.225759,59922,,BS2DCE,,cal_roto,5,success,100,4,4,217,259,0
90.430207,59923,,BS2DCE,,cal_roto,5,success,100,4,4,180,239,0
90.638055,59924,,BS2DCE,,cal_roto,5,success,100,4,4,104,123,0
90.840848,59925,,BS2DCE,,cal_roto,5,success,100,4,4,160,225,0
91.023409,59926,,BS2DCE,,cal_roto,5,success,100,4,4,196,276,0
