host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
30.413754,59616,,BS2DCE,,5,ok,2274,2274,100,146,0
30.413754,59616,,BS2DCE,,7,ok,3296,3296,100,145,1
30.644003,59617,,BS2DCE,,0,ok,2742,2742,100,147,0
30.644003,59617,,BS2DCE,,2,ok,3001,3001,100,147,0
30.644003,59617,,BS2DCE,,7,ok,3179,3179,100,146,1
30.801217,59618,,BS2DCE,,0,ok,2640,2640,100,148,0
30.801217,59618,,BS2DCE,,2,ok,3026,3026,100,148,0
31.003685,59619,,BS2DCE,,2,ok,3094,3094,100,149,0
31.00658,59619,,BS2DCE,,0,ok,2610,2610,100,149,0
31.00658,59619,,BS2DCE,,5,ok,2720,2720,100,149,0
31.00658,59619,,BS2DCE,,7,ok,2857,2857,100,148,1
31.207401,59620,,BS2DCE,,0,ok,2655,2655,100,150,0
31.207401,59620,,BS2DCE,,2,ok,2952,2952,100,150,0
31.207401,59620,,BS2DCE,,5,ok,2767,2767,100,150,0
31.416362,59621,,BS2DCE,,0,ok,2840,2840,100,151,0
31.416362,59621,,BS2DCE,,2,ok,2895,2895,100,151,0
31.618894,59622,,BS2DCE,,0,ok,2877,2877,100,152,0
31.621226,59622,,BS2DCE,,2,ok,2948,2948,100,152,0
31.621226,59622,,BS2DCE,,5,ok,2847,2847,100,152,0
31.621226,59622,,BS2DCE,,7,ok,2772,2772,100,151,1
31.776794,59623,,BS2DCE,,0,ok,2930,2930,100,153,0
31.776794,59623,,BS2DCE,,2,ok,2890,2890,100,153,0
31.776794,59623,,BS2DCE,,5,ok,2990,2990,100,153,0
32.009506,59624,,BS2DCE,,0,ok,2999,2999,100,154,0
32.009506,59624,,BS2DCE,,2,ok,2883,2883,100,154,0
32.211293,59625,,BS2DCE,,0,ok,3176,3176,100,155,0
32.213699,59625,,BS2DCE,,2,ok,2761,2761,100,155,0
32.213699,59625,,BS2DCE,,5,ok,2697,2697,100,155,0
32.213699,59625,,BS2DCE,,7,ok,2988,2988,100,154,1
32.421675,59626,,BS2DCE,,0,ok,3182,3182,100,156,0
32.421675,59626,,BS2DCE,,2,ok,2655,2655,100,156,0
32.421675,59626,,BS2DCE,,5,ok,2521,2521,100,156,0
32.601468,59627,,BS2DCE,,0,ok,3224,3224,100,157,0
32.601468,59627,,BS2DCE,,2,ok,2693,2693,100,157,0
32.803807,59628,,BS2DCE,,2,ok,2824,2824,100,158,0
32.806261,59628,,BS2DCE,,0,ok,3590,3590,100,158,0
32.806261,59628,,BS2DCE,,5,ok,2191,2191,100,158,0
32.806261,59628,,BS2DCE,,7,ok,3389,3389,100,157,1
33.006612,59629,,BS2DCE,,0,ok,3194,3194,100,159,0
33.006612,59629,,BS2DCE,,2,ok,2881,2881,100,159,0
33.006612,59629,,BS2DCE,,5,ok,2042,2042,100,159,0
33.216396,59630,,BS2DCE,,0,ok,3172,3172,100,160,0
33.216396,59630,,BS2DCE,,2,ok,2865,2865,100,160,0
33.36653,59631,,BS2DCE,,0,ok,3036,3036,100,161,0
33.419163,59631,,BS2DCE,,2,ok,3094,3094,100,161,0
33.419163,59631,,BS2DCE,,5,ok,2392,2392,100,161,0
33.419163,59631,,BS2DCE,,7,ok,3672,3672,100,160,1
33.599181,59632,,BS2DCE,,0,ok,3018,3018,100,162,0
33.599181,59632,,BS2DCE,,2,ok,2958,2958,100,162,0
33.599181,59632,,BS2DCE,,7,ok,3767,3767,100,161,1
33.809353,59633,,BS2DCE,,0,ok,2870,2870,100,163,0
33.809353,59633,,BS2DCE,,2,ok,3083,3083,100,163,0
34.011324,59634,,BS2DCE,,0,ok,2615,2615,100,164,0
34.013858,59634,,BS2DCE,,2,ok,3295,3295,100,164,0
34.013858,59634,,BS2DCE,,5,ok,2070,2070,100,164,0
34.013858,59634,,BS2DCE,,7,ok,3563,3563,100,163,1
34.22164,59635,,BS2DCE,,0,ok,2527,2527,100,165,0
34.22164,59635,,BS2DCE,,2,ok,3074,3074,100,165,0
34.22164,59635,,BS2DCE,,5,ok,2439,2439,100,165,0
34.401571,59636,,BS2DCE,,0,ok,2678,2678,100,166,0
34.401571,59636,,BS2DCE,,2,ok,3219,3219,100,166,0
34.603933,59637,,BS2DCE,,0,ok,2718,2718,100,167,0
34.606468,59637,,BS2DCE,,2,ok,3093,3093,100,167,0
34.606468,59637,,BS2DCE,,5,ok,2529,2529,100,167,0
34.606468,59637,,BS2DCE,,7,ok,3172,3172,100,166,1
34.806483,59638,,BS2DCE,,0,ok,2531,2531,100,168,0
34.806483,59638,,BS2DCE,,2,ok,3063,3063,100,168,0
34.806483,59638,,BS2DCE,,5,ok,2661,2661,100,168,0
34.964185,59639,,BS2DCE,,0,ok,2619,2619,100,169,0
34.964185,59639,,BS2DCE,,2,ok,3030,3030,100,169,0
35.218979,59640,,BS2DCE,,0,ok,2749,2749,100,170,0
35.221144,59640,,BS2DCE,,2,ok,2908,2908,100,170,0
35.221144,59640,,BS2DCE,,5,ok,2838,2838,100,170,0
35.221144,59640,,BS2DCE,,7,ok,2743,2743,100,169,1
35.399202,59641,,BS2DCE,,0,ok,2839,2839,100,171,0
35.399202,59641,,BS2DCE,,2,ok,2935,2935,100,171,0
35.399202,59641,,BS2DCE,,7,ok,2709,2709,100,170,1
