case_id,layout_name,ID,frame_index,d_tag_mm,residual_rms_mm,anchors_input
production_v4io_joint,production_v4io,ID04,1120,71.89296819322564,61.38660766904575,8
production_v4io_joint,production_v4io,ID04,1140,36.270485437817044,56.42488546716579,8
production_v4io_joint,production_v4io,ID04,1160,48.986052198114415,51.70092577723488,8
production_v4io_joint,production_v4io,ID04,1180,48.976538757483524,80.17222416222624,8
production_v4io_joint,production_v4io,ID04,1200,35.28608311120638,218.98857807966937,8
production_v4io_joint,production_v4io,ID05,0,48.01587383148596,130.7529345827394,8
production_v4io_joint,production_v4io,ID05,20,39.969950155195306,124.77182855142561,8
production_v4io_joint,production_v4io,ID05,40,18.18036068660214,158.62178971068371,8
production_v4io_joint,production_v4io,ID05,60,29.27738218180265,142.46747760140707,8
production_v4io_joint,production_v4io,ID05,80,43.10344078929035,139.1246343187843,8
production_v4io_joint,production_v4io,ID05,100,32.09415689915278,158.56731868120724,7
production_v4io_joint,production_v4io,ID05,120,58.93178677755514,144.91357264778006,8
production_v4io_joint,production_v4io,ID05,140,47.08474545936515,64.1668293618844,8
production_v4io_joint,production_v4io,ID05,160,51.610029066445016,160.10055072707897,8
production_v4io_joint,production_v4io,ID05,180,32.77081525705964,139.41853888035266,8
production_v4io_joint,production_v4io,ID05,200,40.558334222042795,120.68843305402333,8
production_v4io_joint,production_v4io,ID05,220,46.24757787402305,136.2998519780697,8
production_v4io_joint,production_v4io,ID05,240,45.17322532982714,131.52216260134196,8
production_v4io_joint,production_v4io,ID05,260,35.088925669202155,161.19238160902188,8
production_v4io_joint,production_v4io,ID05,280,78.92308466059625,237.61095267854998,8
production_v4io_joint,production_v4io,ID05,300,57.939923397012265,130.82581270011895,8
production_v4io_joint,production_v4io,ID05,320,47.0623166614728,144.9385811477522,8
production_v4io_joint,production_v4io,ID05,340,16.249146994602032,153.65985599405414,7
production_v4io_joint,production_v4io,ID05,360,27.879149952294604,139.54824123310584,8
production_v4io_joint,production_v4io,ID05,380,48.16162660335918,150.08074696182928,8
production_v4io_joint,production_v4io,ID05,400,38.329934193214854,153.8566475911298,7
production_v4io_joint,production_v4io,ID05,420,39.54592397788415,130.66992899099768,8
production_v4io_joint,production_v4io,ID05,440,30.556758457195663,157.62035437684548,8
production_v4io_joint,production_v4io,ID05,460,53.70859423065313,63.32015191875718,8
production_v4io_joint,production_v4io,ID05,480,46.70356345243991,152.11626297714275,8
production_v4io_joint,production_v4io,ID05,500,30.958601701768945,134.80620075838328,8
production_v4io_joint,production_v4io,ID05,520,53.62509096562686,157.4118953962878,8
production_v4io_joint,production_v4io,ID05,540,46.5850307137398,166.07896489443087,8
production_v4io_joint,production_v4io,ID05,560,41.247141678565484,133.05783036992926,8
production_v4io_joint,production_v4io,ID05,580,25.356507449981088,155.28818620921905,8
production_v4io_joint,production_v4io,ID05,600,15.521008643538991,141.4918359730789,8
production_v4io_joint,production_v4io,ID05,620,28.802719559272482,78.68636794521032,8
production_v4io_joint,production_v4io,ID05,640,43.851957032376156,143.11183253429428,8
production_v4io_joint,production_v4io,ID05,660,34.4376928253984,109.22770420801294,8
production_v4io_joint,production_v4io,ID05,680,98.01942034228242,128.6457637280139,6
production_v4io_joint,production_v4io,ID05,700,27.388283980700933,147.01678781665495,8
production_v4io_joint,production_v4io,ID05,720,46.32698330085725,118.32341270899772,8
production_v4io_joint,production_v4io,ID05,740,173.22666521310944,158.7295441232562,8
production_v4io_joint,production_v4io,ID05,760,29.82949044166363,150.08307943380203,8
production_v4io_joint,production_v4io,ID05,780,38.080195740620944,143.65363765804452,8
production_v4io_joint,production_v4io,ID05,800,169.83032682459967,162.45118310244257,8
production_v4io_joint,production_v4io,ID05,820,40.904681022953426,142.23600819906667,8
production_v4io_joint,production_v4io,ID05,840,51.26896410234897,127.58752240841136,8
production_v4io_joint,production_v4io,ID05,860,65.36488935229787,125.85895971268755,8
production_v4io_joint,production_v4io,ID05,880,37.90156229881496,149.58585272093984,8
production_v4io_joint,production_v4io,ID05,900,67.52882993558777,121.1359442626398,8
production_v4io_joint,production_v4io,ID05,920,29.51047389236417,129.464363898396,8
production_v4io_joint,production_v4io,ID05,940,56.21833592086677,117.23363190456358,8
production_v4io_joint,production_v4io,ID05,960,33.58090117640143,136.63169581805948,8
production_v4io_joint,production_v4io,ID05,980,67.51753083592187,191.40405882740998,8
production_v4io_joint,production_v4io,ID05,1000,49.74636714838683,122.96400637416566,8
production_v4io_joint,production_v4io,ID05,1020,23.853909037686634,128.24996801263927,8
production_v4io_joint,production_v4io,ID05,1040,48.01589946435235,175.63449202688096,7
production_v4io_joint,production_v4io,ID05,1060,44.11912158663455,137.45675885444996,8
production_v4io_joint,production_v4io,ID05,1080,40.307081671737485,122.70574053762566,8
production_v4io_joint,production_v4io,ID05,1100,36.31509378350744,29.408357454250535,7
production_v4io_joint,production_v4io,ID05,1120,58.14148186029423,116.78115071923129,8
production_v4io_joint,production_v4io,ID05,1140,46.48516026902839,131.02325856753916,8
production_v4io_joint,production_v4io,ID05,1160,67.67625533086807,141.23611561101072,8
production_v4io_joint,production_v4io,ID05,1180,32.919154742591836,158.2227681729852,8
production_v4io_joint,production_v4io,ID06,0,99.6627946001268,65.98212936326524,8
production_v4io_joint,production_v4io,ID06,20,43.57015106716144,73.8895878693676,8
production_v4io_joint,production_v4io,ID06,40,60.971845317269235,53.048394830054136,8
production_v4io_joint,production_v4io,ID06,60,70.62436165381486,70.65380164651731,8
production_v4io_joint,production_v4io,ID06,80,93.92614370977499,66.05523531131954,8
production_v4io_joint,production_v4io,ID06,100,60.77805134825385,66.73539543085658,8
