experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,rank,R
X_A0_L1_I1_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I1.,34,17,40661,961.9966313801128,3697.2019494082238,4587.120891881444,2129.7506200471535,40661,646.6102126715263,2867.1182477614884,3639.28243862799,1665.2178544601218,40661,433.4711973352347,2241.775902772126,2942.9455003152525,1327.7376249765855,1005.4906852199404,3854.0545650943104,1844.0187206997089,3109.1670984016137,2194.739829828548,1742.9329488638036,1568.9703368119576,639.7192694732132,826.6372933020242,449.254858825872,824.5405426750424,4294.994646867335,3410.3698840965544,35.8267209100095,nan,nan,nan,nan,nan,17,858.9788658599812,532.8022374778261,1611.7503152135632,A0,,,T11,imu_only,899.6528380115154,3622.252427098833,1988.4846351991891,778.899511952967,766.9051265365048,IMU_ONLY_DRIFTS_AS_EXPECTED,3369.0136357559472,L1,I1,,
X_A0_L1_I3_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I3.,34,17,40661,522.931141508071,2294.992907107417,2923.339298675415,1293.7036261470355,40661,371.9902738666611,1750.880877117551,2216.0625338756795,982.0722669554776,40661,228.45805198779544,1447.9829741324904,1955.048257749136,842.1419920553287,614.8955973432097,2551.0531931428986,1225.5339998253307,1846.9220462687072,1208.4483612720346,1057.5180652521622,874.8820081295224,382.05140041760615,419.9365556155368,298.7695802134283,601.7041262045362,2809.702857670556,2104.9906749733714,23.424826270969085,nan,nan,nan,nan,nan,17,475.8453866877328,303.8739034346897,802.3581927789223,A0,,,T11,imu_only,509.05775013478484,2319.251055147421,1152.4376412990712,395.76603278071866,360.2043888500174,IMU_ONLY_DRIFTS_AS_EXPECTED,2050.8242634324056,L1,I3,,
X_A0_L1_I4_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I4.,34,17,40661,708.1947226281903,2821.262052534184,3480.518265188988,1605.7081128699963,40661,583.6142157079132,2532.6231824405727,3224.840946063811,1448.8017610933487,40661,183.16149329398354,1132.7223029887377,1638.4850024584098,692.2947354915652,773.5066946094043,3164.39622644619,1540.6085051493624,2560.3696232370485,861.5266995497794,1604.2485092613779,1494.061010887059,273.64664058690835,843.0597132018833,372.9806011034078,682.7063570504433,3490.9030022477864,2930.696930325648,29.11685893853524,nan,nan,nan,nan,nan,17,1491.0975451873146,453.97491855627413,2330.696053393724,A0,,,T11,imu_only,667.6688474009794,2932.5940884507127,1464.442128022032,1411.0181912803005,783.3275464363638,IMU_ONLY_DRIFTS_AS_EXPECTED,3346.3435120976324,L1,I4,,
X_A0_L1_I7_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I7.,34,17,40661,719.4429121132852,2973.8056490036356,3789.16117867153,1732.151791951371,40661,522.856828196642,2357.2267346619487,3196.47035594619,1407.1394617333115,40661,255.60235277428296,1807.2906114225975,2446.0262639768844,1010.1031460168965,754.8535138449256,2917.4053880009706,1414.2923621683758,2198.8972043535364,1722.167419784278,1335.12739724929,1312.575085671464,484.4673164258791,654.0169269424003,336.40419288745863,627.6710223865744,3307.4547599748744,2462.9604813283277,27.575274785923085,nan,nan,nan,nan,nan,17,588.0352812696174,400.1805833590579,1060.6878552468565,A0,,,T11,imu_only,649.0156666365007,2685.603250005493,1590.8858071034067,507.95592736260323,594.2847601768809,IMU_ONLY_DRIFTS_AS_EXPECTED,2514.5785600051977,L1,I7,,
X_A0_L1_I8_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I8.,34,17,40661,627.8329158300767,2517.114996508808,3187.029385438541,1485.5659969736644,40661,446.72282991011394,2060.5464523884234,2620.5426071706393,1159.8506870878039,40661,178.2764766971418,1367.8444942924195,2103.092700704803,928.2525060705773,732.4286566219434,2600.9257174522327,1297.285290357935,1999.2901172274774,1158.7161185352602,1372.8079921258254,1282.7646233436285,315.98990011265687,610.3143659133598,345.06574717474183,604.0560249899579,2869.5176636652654,2290.167921676458,24.946322150357705,nan,nan,nan,nan,nan,17,521.6121511392439,310.26477572636344,921.898430118707,A0,,,T11,imu_only,626.5908094135185,2369.123579456755,1344.3000121257,441.53279723222977,550.5821991478404,IMU_ONLY_DRIFTS_AS_EXPECTED,2313.0383464843753,L1,I8,,
X_A0_L1_I1+I3+I7_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I1+I3+I7.,34,17,40661,334.3496134302148,1437.1679693248852,1801.75665586402,835.1148374487569,40661,252.1290274350151,1226.634547114652,1555.9309462841777,697.3868854800734,40661,86.12522604036974,769.2474269099055,1096.7452474678591,459.4217274873564,367.68770721794004,1566.5053574855688,740.4440692196611,1331.0189473600758,546.7760805302373,686.3804798586578,648.0095068861567,175.90859014320688,245.05294690283452,250.98620948734214,468.18133387896387,1775.1548133064284,1462.627476128783,14.797812588625,nan,nan,nan,nan,nan,17,282.7367407385863,195.23903985035508,454.3405941178951,A0,,,T11,imu_only,261.84986000951517,1334.703219490091,693.8488526007926,202.6573868315722,185.3207801373151,IMU_ONLY_DRIFTS_AS_EXPECTED,1236.406774306317,L1,I1+I3+I7,,
X_A0_L1_I1+I2+I3+I8_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I1+I2+I3+I8.,34,17,40661,288.95831622433883,1431.0708795863463,1793.207297603062,829.4683671390558,40661,188.66740676085885,1118.2371452464006,1467.8923154273662,666.8848262123089,40661,164.63869413567795,883.2451298720331,1109.126212916522,493.2366578551418,353.1842476983349,1589.5535345899148,770.1996566226145,1178.4989272686798,950.6391501664018,675.373821467939,613.7077692562423,303.54948286286873,217.93120104648384,206.33696938452363,402.69294853173767,1799.9155485263555,1289.07973211345,15.007107931076227,nan,nan,nan,nan,nan,17,388.11560995439277,143.5187939911075,721.2317797201096,A0,,,T11,imu_only,247.34640048991002,1357.751396594437,688.2023822910915,308.03625604737863,158.1990342809644,IMU_ONLY_DRIFTS_AS_EXPECTED,1290.174512296122,L1,I1+I2+I3+I8,,
X_A0_L2_I0_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I0.,34,17,40661,9936.428971769594,41412.956230458825,54103.477960509204,24265.62172874927,40661,7108.362408429451,33124.2375325081,44008.90912958152,19725.030428012647,40661,3893.0472789243795,22818.27761237948,33217.37539371732,14133.066634553305,10916.820502836596,41392.047461474634,20226.715270108267,32988.0921913973,17792.32905072384,53812.10295989067,52934.50193124642,4585.4408395983955,50116.693125003876,477.30784953981777,852.9073871280441,46073.51305846273,37126.179397972315,384.1309169235709,nan,nan,nan,nan,nan,17,156586.89518001903,39990.61629853405,287817.7647858549,A0,,,T11,imu_only,10810.982655628171,41160.245323479154,24124.355743901306,156506.81582611203,50056.96095823836,IMU_ONLY_DRIFTS_AS_EXPECTED,160073.21030286796,L2,I0,,
X_A0_L2_I1_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I1.,34,17,40661,5786.24772929532,24558.102428495273,31287.86791587133,14189.440694750028,40661,4004.305163512576,17357.69231399868,22209.814124932815,9922.23228925448,40661,1922.460307036556,17983.370612476152,24523.03942562519,10143.447817576822,6826.6498076274975,25371.977421719617,12673.362860888097,17842.275421312144,12571.03031288944,22768.711411522876,22355.022218633007,3138.0086229232693,15234.781864002582,488.28085237046974,899.7772443454669,28021.320072692866,19717.59234621743,233.71815540026824,nan,nan,nan,nan,nan,17,41488.11463172464,36331.47230495013,65545.6398112436,A0,,,T11,imu_only,6720.811960419072,25140.17528372414,14048.174709902065,41408.035277817624,15175.049697237062,IMU_ONLY_DRIFTS_AS_EXPECTED,52365.913079437894,L2,I1,,
X_A0_L2_I3_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I3.,34,17,40661,3135.6953684365694,13286.719466485041,17104.213740174106,7525.508746614115,40661,2298.3550017132698,11195.708886434022,14056.473600060495,6244.078682908863,40661,1186.3145136715236,6682.069655167201,9166.918179505668,4200.567020892378,3753.077203631431,13891.614933159479,6632.965327370247,12140.099993127753,6162.634399922301,10586.458619967982,10219.706001217728,1800.2237691754333,8869.622423843695,510.5824941251527,974.514799093159,15646.009640847966,13602.89134414308,130.44104496569258,nan,nan,nan,nan,nan,17,16823.178698141415,7484.706507715633,28702.197075042575,A0,,,T11,imu_only,3647.239356423006,13659.812795164002,7384.242761766151,16743.0993442344,8809.890257078176,IMU_ONLY_DRIFTS_AS_EXPECTED,24826.178730858082,L2,I3,,
X_A0_L2_I4_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I4.,34,17,40661,4303.391437686671,16487.6502695015,20850.209561128147,9649.309576186783,40661,3282.2983616143447,14143.548218224294,18812.814752255807,8346.448166627217,40661,1574.2394039938072,8229.540171248598,10830.0758816349,4842.104738530046,4605.215132730693,17305.72203660583,8478.87922153094,13570.634501484355,7503.006064513525,15499.845231846932,15240.097913435102,2017.4273423700308,12370.399560242422,480.13209912800517,956.4379969092909,19449.20461996941,15242.345385568864,162.2148324905721,nan,nan,nan,nan,nan,17,29219.534355499527,17604.618511628003,56825.3851663968,A0,,,T11,imu_only,4499.377285522268,17073.919898610355,9508.04359133882,29139.455001592512,12310.667393476902,IMU_ONLY_DRIFTS_AS_EXPECTED,37301.09167451361,L2,I4,,
X_A0_L2_I7_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I7.,34,17,40661,5868.45857374862,23519.621832900724,29696.728769767713,13457.104937402872,40661,3857.6290640174543,18415.204739016055,23594.41596030786,10484.182807355406,40661,2584.799859212703,13290.229068735072,18874.209437583242,8436.562342460706,6441.658577860077,25662.58722803507,12695.168926433995,18554.882650918087,12579.117336878582,23040.437951492724,22852.84545852426,3310.557232279222,21634.003108122182,498.2254425195666,926.19119954252,28167.825011190613,20139.133860056492,236.63763429528734,nan,nan,nan,nan,nan,17,63646.22325737259,12837.448821820253,154398.34582610067,A0,,,T11,imu_only,6335.8207306516515,25430.785090039593,13315.838952554908,63566.14390346558,21574.270941356663,IMU_ONLY_DRIFTS_AS_EXPECTED,70792.92194189425,L2,I7,,
X_A0_L2_I8_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I8.,34,17,40661,4502.138734080224,18312.457577367586,22832.713604037715,10164.866246577158,40661,3273.821777193063,15742.842509541473,20923.528784306443,8914.440907272527,40661,1399.8683563212962,8199.838218813222,10961.09961925339,4884.388305770719,5245.928512055356,21386.20093204586,10300.306385906528,14594.71819427575,7545.600351734716,16880.94060437833,16612.40935259346,1727.3804679404893,15023.885887512957,500.36535945369263,922.243447042676,24031.952503210465,15876.654709134886,200.35641448198083,nan,nan,nan,nan,nan,17,27414.00889086711,23179.90009872587,49332.77877588351,A0,,,T11,imu_only,5140.090664846931,21154.398794050383,10023.600261729194,27333.929536960095,14964.153720747438,IMU_ONLY_DRIFTS_AS_EXPECTED,39432.848005634856,L2,I8,,
X_A0_L2_I1+I3+I7_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I1+I3+I7.,34,17,40661,2173.0075765425395,9429.95406178134,12437.229261033635,5490.964110162333,40661,1441.3424602186824,7947.799969216969,10542.990273712634,4501.68767477861,40661,715.7320876777693,4855.237783535638,6980.658793938204,3144.120693904286,2435.749096431736,9408.808146119376,4462.38792551715,7826.039534341089,3868.157193062182,5189.219924119883,5179.976278585113,966.6047716392717,3161.29851942396,514.5486044562092,1053.2313320561477,10584.36756478115,8902.711714041816,88.20741842790406,nan,nan,nan,nan,nan,17,14827.339889345554,5867.900368089254,31674.437133645104,A0,,,T11,imu_only,2329.9112492233107,9177.006008123899,5349.698125314369,14747.26053543854,3101.5663526584403,IMU_ONLY_DRIFTS_AS_EXPECTED,17688.619129827384,L2,I1+I3+I7,,
X_A0_L2_I1+I2+I3+I8_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I1+I2+I3+I8.,34,17,40661,2202.6145570050826,9437.399707302422,12375.373674101123,5454.293186616231,40661,1590.626296412605,6970.35896320713,9565.231285177253,4294.829376507073,40661,627.5866419288327,5181.376651215877,7953.511343826503,3362.105708073456,2212.4513734756842,8899.53363748435,4277.220560144941,6708.291510816514,4121.863597126517,6335.952667841343,5105.126643975671,662.9631180064914,3409.4119154391683,591.593368312618,1119.2169971996304,10152.949161919198,7703.018763650063,84.6749509907597,nan,nan,nan,nan,nan,17,5660.345600769798,2961.1891683977174,12667.047161146598,A0,,,T11,imu_only,2106.613526267259,8667.731499488873,5313.027201768266,5580.266246862784,3349.6797486736486,IMU_ONLY_DRIFTS_AS_EXPECTED,10994.23602485365,L2,I1+I2+I3+I8,,
X_A0_L3_I0_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L3/I0.,34,17,40661,7630.04800730739,35179.881852254155,43705.122794039235,19715.02067699408,40661,5541.596924844215,28468.014535086466,37756.30176862332,16481.376890435335,40661,2305.262334050962,18663.017892850934,24708.537788095822,10818.79180360396,9460.39443571754,37650.67270820104,18561.47997830945,25579.952812354226,16373.036304698482,38033.02331927957,36966.367368210296,3536.7120606880867,34550.60202042446,512.8651281236976,972.967235801736,42497.411089738525,28901.67905496652,354.40667019076596,nan,nan,nan,nan,nan,17,171830.86396569601,46973.03058194859,421125.092156827,A0,,,T11,imu_only,9354.556588509116,37418.87057020556,19573.754692146118,171750.78461178901,34490.86985365894,IMU_ONLY_DRIFTS_AS_EXPECTED,160195.03566978732,L3,I0,,
X_A0_L3_I1_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L3/I1.,34,17,40661,4192.392880906751,18711.969484644338,22666.23524874945,10337.499977146215,40661,2881.5428355442305,14851.659851897779,18410.587698783584,8173.56913893002,40661,1612.800007931045,10761.035301517459,15141.620768242963,6329.03415290428,5058.45862868623,20483.58204490873,9626.581586856213,16589.727659315744,9020.640240675522,16541.85569050559,16076.491910276753,2449.3098296700127,12519.723964336063,522.8286828844062,959.4526586824695,23073.844545707387,18726.923965704205,192.95367129602778,nan,nan,nan,nan,nan,17,27243.142288682564,12676.345746295214,48931.336706858536,A0,,,T11,imu_only,4952.620781477805,20251.779906913252,10196.233992298252,27163.06293477555,12459.991797570543,IMU_ONLY_DRIFTS_AS_EXPECTED,37557.77392865011,L3,I1,,
X_A0_L3_I3_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L3/I3.,34,17,40661,2604.0367273044612,12117.837673497746,15723.351152217607,6869.542767601162,40661,2071.6241005629468,10198.127653685857,13440.085083533697,5862.187930486135,40661,834.8116421298674,5978.10320436658,8261.669089829426,3581.252644475691,2854.5969842078575,12734.553319102124,6069.590588879508,10202.155708998853,4389.298048977003,10911.127897940656,10467.952816740715,1167.8393332992127,5993.593074449738,408.2147535973932,756.1135608068143,14355.470854962636,11444.719048039016,119.72702232281038,nan,nan,nan,nan,nan,17,19089.104850346295,15431.524738588976,31538.434357807837,A0,,,T11,imu_only,2748.7591369994325,12502.751181106647,6728.276782753198,19009.02549643928,5933.860907684219,IMU_ONLY_DRIFTS_AS_EXPECTED,23670.860578360876,L3,I3,,
X_A0_L3_I4_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L3/I4.,34,17,40661,2972.570685900104,13530.01450256549,17636.577106302033,7902.974030187946,40661,1886.933109052697,10012.228529400307,14993.663901669313,6412.449851253977,40661,1409.421401468909,7737.800115844158,10554.891842429693,4619.251608970654,3210.886682144206,13439.260983608407,6181.04062883798,8202.14237118014,7149.6879597908855,7268.082045630532,7094.50885655809,1774.5351526445124,5701.532946797697,508.93455370408253,960.4400393129472,15067.897944907823,9274.282865743227,125.63530650282729,nan,nan,nan,nan,nan,17,30600.6786574349,4745.037935563374,62554.149567055436,A0,,,T11,imu_only,3105.048834935781,13207.45884561293,7761.708045339981,30520.599303527884,5641.8007800321775,IMU_ONLY_DRIFTS_AS_EXPECTED,32185.869560010426,L3,I4,,
X_A0_L3_I7_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L3/I7.,34,17,40661,3963.0351366232003,17351.529234769005,20964.444021539442,9739.892141461389,40661,3323.4052982533567,14299.823537285985,17898.438249219667,8288.335536585926,40661,1044.9389904347313,9100.573643494998,11776.108342272855,5115.563796911166,4407.996631776817,18579.39604122095,8813.484156468094,14971.418012786115,9982.434647665497,15030.768775098315,14829.558945063583,1849.2483860205741,11700.66984294902,550.1267998099802,1006.8143747379595,21056.515060420974,16663.944839267384,175.61735230105768,nan,nan,nan,nan,nan,17,21415.87703828143,9930.658184780106,36828.642523653056,A0,,,T11,imu_only,4302.158784568392,18347.593903225472,9598.626156613425,21335.797684374415,11640.937676183501,IMU_ONLY_DRIFTS_AS_EXPECTED,31752.234094475658,L3,I7,,
X_A0_L3_I8_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L3/I8.,34,17,40661,3646.6495365337455,14979.622623734911,18260.426629410904,8439.101478332019,40661,2816.2252837878327,13109.629968854802,16252.72177601166,7442.831962233475,40661,984.9415881019089,6280.583452857476,8860.633220559546,3977.774018661881,4018.1915387646122,15981.45072800243,7650.104576731666,14022.569060682381,5506.744928866516,11131.309513882072,10979.174931058478,1132.188447956186,9852.2777302547,562.4241412002027,1055.154227174089,17912.724703411644,15637.84020022568,149.34315170764347,nan,nan,nan,nan,nan,17,26779.093323985966,11414.016064524169,43670.18732653122,A0,,,T11,imu_only,3912.353691556187,15749.648590006953,8297.835493484055,26699.01397007895,9792.54556348918,IMU_ONLY_DRIFTS_AS_EXPECTED,33283.20348548299,L3,I8,,
