experiment_id,wall_time_s,status
X_A0_U4_P0_L3_I1+I2+I3+I8_T3,6.084691361000296,ok
X_A0_U4_P0_L3_I1+I2+I3+I8_T5,6.230526993997046,ok
X_A0_U4_P0_L4_I0_T2,5.303570736999973,ok
X_A0_U4_P0_L4_I0_T3,6.0537279510026565,ok
X_A0_U4_P0_L4_I0_T5,5.543524210006581,ok
X_A0_U4_P0_L4_I1_T2,5.731415943999309,ok
X_A0_U4_P0_L4_I1_T3,6.017052593000699,ok
X_A0_U4_P0_L4_I1_T5,5.954745655995794,ok
X_A0_U4_P0_L4_I3_T2,5.10249601599935,ok
X_A0_U4_P0_L4_I3_T3,6.190367510003853,ok
X_A0_U4_P0_L4_I3_T5,5.82808091599145,ok
X_A0_U4_P0_L4_I4_T2,5.615623297999264,ok
X_A0_U4_P0_L4_I4_T3,6.073176278005121,ok
X_A0_U4_P0_L4_I4_T5,5.481045341002755,ok
X_A0_U4_P0_L4_I7_T2,5.68740611600515,ok
X_A0_U4_P0_L4_I7_T3,5.823233411007095,ok
X_A0_U4_P0_L4_I7_T5,6.141643833994749,ok
X_A0_U4_P0_L4_I8_T2,6.000012749005691,ok
X_A0_U4_P0_L4_I8_T3,5.733532651007408,ok
X_A0_U4_P0_L4_I8_T5,5.4560876920004375,ok
X_A0_U4_P0_L4_I1+I3+I7_T2,5.57731278600113,ok
X_A0_U4_P0_L4_I1+I3+I7_T3,5.650962307001464,ok
X_A0_U4_P0_L4_I1+I3+I7_T5,5.599798036011634,ok
X_A0_U4_P0_L4_I1+I2+I3+I8_T2,5.893365930998698,ok
X_A0_U4_P0_L4_I1+I2+I3+I8_T3,5.924137533002067,ok
X_A0_U4_P0_L4_I1+I2+I3+I8_T5,5.702585923994775,ok
X_A0_U4_P0_L5_I0_T2,5.610771896012011,ok
X_A0_U4_P0_L5_I0_T3,5.525181289005559,ok
X_A0_U4_P0_L5_I0_T5,5.9400154299946735,ok
X_A0_U4_P0_L5_I1_T2,5.712803691989393,ok
X_A0_U4_P0_L5_I1_T3,6.039109126009862,ok
X_A0_U4_P0_L5_I1_T5,5.766077243999462,ok
X_A0_U4_P0_L5_I3_T2,5.36905684901285,ok
X_A0_U4_P0_L5_I3_T3,5.918733803991927,ok
X_A0_U4_P0_L5_I3_T5,6.195996527996613,ok
X_A0_U4_P0_L5_I4_T2,6.141812729998492,ok
X_A0_U4_P0_L5_I4_T3,6.03142384099192,ok
X_A0_U4_P0_L5_I4_T5,6.283321154987789,ok
X_A0_U4_P0_L5_I7_T2,5.7958851419971325,ok
X_A0_U4_P0_L5_I7_T3,5.662241037993226,ok
X_A0_U4_P0_L5_I7_T5,5.749921121998341,ok
X_A0_U4_P0_L5_I8_T2,5.827656986002694,ok
X_A0_U4_P0_L5_I8_T3,6.143484025000362,ok
X_A0_U4_P0_L5_I8_T5,6.081274331998429,ok
X_A0_U4_P0_L5_I1+I3+I7_T2,5.92366736898839,ok
X_A0_U4_P0_L5_I1+I3+I7_T3,5.864969079993898,ok
X_A0_U4_P0_L5_I1+I3+I7_T5,5.9535556490009185,ok
X_A0_U4_P0_L5_I1+I2+I3+I8_T2,5.529522242999519,ok
X_A0_U4_P0_L5_I1+I2+I3+I8_T3,5.81736911299231,ok
X_A0_U4_P0_L5_I1+I2+I3+I8_T5,5.583526583010098,ok
X_A0_U4_P0_L7_I0_T2,6.049119757997687,ok
X_A0_U4_P0_L7_I0_T3,5.951458567986265,ok
X_A0_U4_P0_L7_I0_T5,5.829528507005307,ok
X_A0_U4_P0_L7_I1_T2,5.95657662099984,ok
X_A0_U4_P0_L7_I1_T3,6.094205864006653,ok
X_A0_U4_P0_L7_I1_T5,6.108128574996954,ok
X_A0_U4_P0_L7_I3_T2,5.832914354003151,ok
X_A0_U4_P0_L7_I3_T3,5.967129608994583,ok
X_A0_U4_P0_L7_I3_T5,5.635717183002271,ok
