version,ID,peer,N,circle_3d_rms,path
v3lite,ID28,BS2DCE,220,138.50880613248933,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v3lite,ID28,BSDC91,220,140.50372562421867,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v3lite,ID29,BS2DCE,220,170.26263731577382,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v3lite,ID29,BSDC91,220,135.14416276953736,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v3lite,ID30,BS2DCE,220,188.66552318893446,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v3lite,ID30,BSDC91,220,126.3382280894416,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v3lite,ID31,BS2DCE,220,174.56437524476627,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v3lite,ID31,BSDC91,220,136.27859800981656,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v3full,ID28,BS2DCE,220,131.2973958731815,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v3full,ID28,BSDC91,220,137.39099498055614,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v3full,ID29,BS2DCE,220,167.60766495140882,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v3full,ID29,BSDC91,220,131.5068661252624,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v3full,ID30,BS2DCE,220,184.3779291082358,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v3full,ID30,BSDC91,220,120.95146425651065,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v3full,ID31,BS2DCE,220,166.7453527363469,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v3full,ID31,BSDC91,220,134.95409000750053,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v4,ID28,BS2DCE,220,138.60736105581313,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v4,ID28,BSDC91,220,139.686887127018,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v4,ID29,BS2DCE,220,172.8370273877784,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v4,ID29,BSDC91,220,134.56218653744997,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v4,ID30,BS2DCE,220,178.29562614906982,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v4,ID30,BSDC91,220,124.91868498566258,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v4,ID31,BS2DCE,220,166.9925214042771,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v4,ID31,BSDC91,220,131.93361432876964,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
