peer_name,sweep,host_elapsed_s,x_mm,y_mm,z_mm,used_anchors
BS9336,11183,66.132464,1217.5858724106401,1692.5212306998753,694.5196415410151,8
BS9336,11184,66.187987,957.25282563173,1715.5506853554718,1117.8092041297703,7
BS9336,11185,66.285675,885.3658616285486,1467.4664802030131,899.1648154873363,8
BS9336,11186,66.390709,983.5324723919891,1296.2400046440778,1035.7401813096772,8
BS9336,11187,66.495567,1168.4934720447698,1200.0510392658573,1094.1878832228685,8
BS9336,11188,66.644092,1626.9981688482962,1142.7815687915147,1206.3918075518661,8
BS9336,11189,66.711505,1906.2447422783137,1435.1826293571032,1208.9549546542378,8
BS9336,11190,66.802948,2122.675697583535,1526.1786717789903,1409.3710080286646,8
BS9336,11191,66.878206,2104.874265407972,1626.2778165010723,1674.6927724381062,7
BS9336,11192,66.983096,1960.5170686415734,1726.9500060072198,1774.1764953750298,8
BS9336,11193,67.159578,1820.9582381066757,1560.3171626609953,1857.6205959500285,8
BS9336,11194,67.185642,1742.5345127223384,1420.0189410843254,1882.2483413057862,8
BS9336,11195,67.290751,1772.950167898998,1284.4787121122076,1768.9392924284625,8
BS9336,11196,67.39562,1744.7141549896933,1142.29538523847,1697.7380337916989,8
BS9336,11197,67.522974,1740.5647729004074,1092.6983220049822,1208.0754775364164,8
BS9336,11198,67.655277,1415.6437505085794,1228.1866502781984,700.4954700972978,8
BS9336,11199,67.680548,1052.4305167670905,1310.9332088616454,506.4894743348036,8
BS9336,11200,67.830668,711.7806991329317,1331.2038736332781,931.3821352082106,8
BS9336,11201,67.906302,485.5346338347493,1377.8450981531048,1039.694373466642,8
BS9336,11202,67.988103,406.27371981724,1300.090717221568,1092.4392957224218,8
BS9336,11203,68.141448,358.9573210749927,1101.097127858444,1072.4415422754619,8
BS9336,11204,68.190673,343.69702233428177,937.486756062173,1052.1325171582885,8
BS9336,11205,68.295523,534.7267633836799,817.9567252292751,995.3878031000353,8
