version,solver,solver_family,eval_set,ID,center_distance_mm,radial_signed_error_mm,tangential_error_mm,radially_outward
v2,T1+F1,external_position_filter,all8,ID01,904.8581057484208,90.51762738011847,118.20597072243399,True
v2,T1+F1,external_position_filter,all8,ID02,414.80151183802343,-38.333817308090836,53.191021581090034,False
v2,T1+F1,external_position_filter,all8,ID03,762.7501078007356,326.2473726254242,175.51191743755692,True
v2,T1+F1,external_position_filter,all8,ID04,1065.811558067375,183.05324790897762,176.81010955132953,True
v2,T1+F1,external_position_filter,all8,ID05,692.4979819346567,39.72151015712745,26.853551550000685,True
v2,T1+F1,external_position_filter,all8,ID06,983.0246745750289,110.90651650773792,88.6188302175701,True
v2,T1+F1,external_position_filter,all8,ID07,954.6549679640887,152.64495570105186,124.50798017475705,True
v2,T1+F1,external_position_filter,all8,ID08,580.6086421076762,53.62603858455466,47.433808372770024,True
v2,T1+F1,external_position_filter,all8,ID09,825.5734294328124,4.2697056358613885,62.19310519373638,True
v2,T1+F1,external_position_filter,all8,ID10,1063.4564290726642,104.69941509651068,35.75835158137316,True
v2,T1+F1,external_position_filter,all8,ID11,770.8923252279794,45.5429771768222,49.20368941834898,True
v2,T1+F1,external_position_filter,all8,ID12,972.8722083943702,111.44906200769725,83.91823147239711,True
v2,T1+F1,external_position_filter,all8,ID13,164.33330797041327,-72.48222853245262,17.79560564279688,False
v2,T1+F1,external_position_filter,all8,ID14,160.68776077464324,-65.05451445481562,30.027765439764394,False
v2,T1+F1,external_position_filter,all8,ID15,161.88022524167178,-85.10170804102974,21.112899093845012,False
v2,T1+F1,external_position_filter,all8,ID16,147.9126953292345,-6.662060680469216,14.406785127218884,False
v2,T1+F1,external_position_filter,all8,ID17,780.0403542483501,60.715400297653105,22.769403446816973,True
v2,T1+F1,external_position_filter,all8,ID18,785.9969931308584,16.857478887146485,41.204700061407124,True
v2,T1+F1,external_position_filter,all8,ID19,779.8893538325998,153.96751728380414,52.70914345966468,True
v2,T1+F1,external_position_filter,all8,ID20,780.296291419316,143.3604455688534,12.326969289419715,True
v2,T1+F1,external_position_filter,all8,ID21,622.457440757399,36.36551855789602,33.20753823605115,True
v2,T1+F1,external_position_filter,all8,ID22,625.807129330668,-10.943177616214683,20.56866619826675,False
v2,T1+F1,external_position_filter,all8,ID23,625.4677339212478,101.7794678327848,66.32460344674026,True
v2,T1+F1,external_position_filter,all8,ID24,623.9880940820714,63.07508685415341,32.01886922328907,True
v2,T1+F2,external_position_filter,all8,ID01,904.8581057484208,90.51762738011847,118.20597072243399,True
v2,T1+F2,external_position_filter,all8,ID02,414.80151183802343,-38.333817308090836,53.191021581090034,False
v2,T1+F2,external_position_filter,all8,ID03,762.7501078007356,326.2473726254242,175.51191743755692,True
v2,T1+F2,external_position_filter,all8,ID04,1065.811558067375,183.05324790897762,176.81010955132953,True
v2,T1+F2,external_position_filter,all8,ID05,692.4979819346567,39.72151015712745,26.853551550000685,True
v2,T1+F2,external_position_filter,all8,ID06,983.0246745750289,110.90651650773792,88.6188302175701,True
v2,T1+F2,external_position_filter,all8,ID07,954.6549679640887,152.64495570105186,124.50798017475705,True
v2,T1+F2,external_position_filter,all8,ID08,580.6086421076762,53.62603858455466,47.433808372770024,True
v2,T1+F2,external_position_filter,all8,ID09,825.5734294328124,4.2697056358613885,62.19310519373638,True
v2,T1+F2,external_position_filter,all8,ID10,1063.4564290726642,104.69941509651068,35.75835158137316,True
v2,T1+F2,external_position_filter,all8,ID11,770.8923252279794,45.5429771768222,49.20368941834898,True
v2,T1+F2,external_position_filter,all8,ID12,972.8722083943702,111.44906200769725,83.91823147239711,True
v2,T1+F2,external_position_filter,all8,ID13,164.33330797041327,-72.48222853245262,17.79560564279688,False
v2,T1+F2,external_position_filter,all8,ID14,160.68776077464324,-65.05451445481562,30.027765439764394,False
v2,T1+F2,external_position_filter,all8,ID15,161.88022524167178,-85.10170804102974,21.112899093845012,False
v2,T1+F2,external_position_filter,all8,ID16,147.9126953292345,-6.662060680469216,14.406785127218884,False
v2,T1+F2,external_position_filter,all8,ID17,780.0403542483501,60.715400297653105,22.769403446816973,True
v2,T1+F2,external_position_filter,all8,ID18,785.9969931308584,16.857478887146485,41.204700061407124,True
v2,T1+F2,external_position_filter,all8,ID19,779.8893538325998,153.96751728380414,52.70914345966468,True
v2,T1+F2,external_position_filter,all8,ID20,780.296291419316,143.3604455688534,12.326969289419715,True
v2,T1+F2,external_position_filter,all8,ID21,622.457440757399,36.36551855789602,33.20753823605115,True
v2,T1+F2,external_position_filter,all8,ID22,625.807129330668,-10.943177616214683,20.56866619826675,False
v2,T1+F2,external_position_filter,all8,ID23,625.4677339212478,101.7794678327848,66.32460344674026,True
v2,T1+F2,external_position_filter,all8,ID24,623.9880940820714,63.07508685415341,32.01886922328907,True
v2,T1+F3,external_position_filter,all8,ID01,904.8581057484208,90.91787586957605,118.06270842242795,True
v2,T1+F3,external_position_filter,all8,ID02,414.80151183802343,-40.54879145833482,54.38624087598033,False
v2,T1+F3,external_position_filter,all8,ID03,762.7501078007356,326.4592160416723,175.32598146155956,True
v2,T1+F3,external_position_filter,all8,ID04,1065.811558067375,182.54863507737437,177.04793790723167,True
v2,T1+F3,external_position_filter,all8,ID05,692.4979819346567,39.30822629360877,26.745061871584745,True
v2,T1+F3,external_position_filter,all8,ID06,983.0246745750289,111.54369906559494,88.62346699300019,True
v2,T1+F3,external_position_filter,all8,ID07,954.6549679640887,152.86755319386018,125.28617659574559,True
v2,T1+F3,external_position_filter,all8,ID08,580.6086421076762,52.900036840593685,47.405424820824614,True
v2,T1+F3,external_position_filter,all8,ID09,825.5734294328124,4.079232588598154,63.409814945171675,True
v2,T1+F3,external_position_filter,all8,ID10,1063.4564290726642,104.81001918743127,35.643196432293536,True
v2,T1+F3,external_position_filter,all8,ID11,770.8923252279794,45.58353668261969,49.95647054126844,True
v2,T1+F3,external_position_filter,all8,ID12,972.8722083943702,112.54222503550267,84.34203195712116,True
v2,T1+F3,external_position_filter,all8,ID13,164.33330797041327,-74.0167549154474,17.388804106207722,False
v2,T1+F3,external_position_filter,all8,ID14,160.68776077464324,-64.93095575604399,30.18126579925356,False
v2,T1+F3,external_position_filter,all8,ID15,161.88022524167178,-86.5405579476458,21.523221604053465,False
v2,T1+F3,external_position_filter,all8,ID16,147.9126953292345,-6.751110491321487,14.164928626775632,False
v2,T1+F3,external_position_filter,all8,ID17,780.0403542483501,59.292755970718034,22.46341973995552,True
v2,T1+F3,external_position_filter,all8,ID18,785.9969931308584,16.48802355089931,40.93738691237006,True
