ID,capture,frames_4anchor,skipped,D3_std_4anchor,X_std_4anchor,Y_std_4anchor,Z_std_4anchor,radial_p95_4anchor,radial_max_4anchor,frames_all_anchor,D3_std_all_anchor,X_std_all_anchor,Y_std_all_anchor,Z_std_all_anchor,top_selected_subsets
ID14,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800,600,0,70.50040981953714,40.18365677778891,22.005000952335966,53.58508603870335,158.6044392964421,333.0083538864045,600,40.37403441924481,20.615353488642754,12.901285345787755,32.22773172674788,BDEG:565;ADEF:23;CDEG:12
ID15,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010,600,0,61.18465257892341,29.221503704300208,18.72443178478398,50.38909690399402,106.73108225344868,325.9924626712409,600,43.644205332634264,22.33997072175991,13.69294956305026,34.903373755724715,BDEG:563;ACFG:37
ID16,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320,601,0,72.68899572550362,42.501396689926366,26.513942263519738,52.67193032948897,122.96559801698619,335.91155694362277,601,41.52073874108314,22.459263664238343,14.999891668806217,31.536589403256396,BDEG:541;ACFG:37;ADEF:23
ID17,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID17_20260513_161228,601,0,85.73869906222569,45.721447230884046,26.02710682398641,67.69980421219243,150.36081292460503,479.0236114146148,601,68.42455051901905,29.105343946540724,17.776168555951255,59.31952375865609,BDEG:566;ACFG:23;ADEF:12
ID18,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID18_20260513_161018,601,0,72.77917887743716,32.48272823335173,32.79247515350054,56.270194756187394,136.94079043994105,337.2897200890671,601,53.118477397756806,23.34364847753402,14.834527484030078,45.34957013179817,BDEG:578;ACFG:23
ID19,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID19_20260513_160549,601,0,71.17948267953183,36.73298268616238,19.775477495527912,57.67267314185928,119.0478566892215,308.0639124221857,601,64.63381278267983,28.862761686132917,15.42286859447012,55.73693449584136,BDEG:601
ID20,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID20_20260513_160806,601,0,71.32317078795818,35.71080356213648,20.658072635176197,58.180557192197256,123.6767235553643,370.48793028481606,601,59.95177848180455,23.993014657226663,14.60325008906302,52.96504580972012,BDEG:593;ACFG:8
ID21,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID21_20260513_155713,600,0,54.826475128231365,31.599009550297513,18.729905383670477,40.70178883962633,91.37782658870455,198.1835211843216,600,42.33905669180774,23.849958767732087,14.318552874360977,31.91792963075328,BDEG:600
ID22,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID22_20260513_160059,601,0,56.69335898973124,33.0179413611519,21.391446802464895,40.82105468391757,87.68540416818234,261.21225113417603,601,38.061870815861674,25.379781626057103,15.129542956917108,23.993116190520084,BDEG:588;ACFG:13
ID23,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID23_20260513_160315,601,0,55.96540802911559,34.75811293875906,18.46708335910551,39.78652175058426,95.4742050299289,279.486575315342,601,42.68446152736153,27.683741999245438,14.351018447740893,29.148275323123684,BDEG:598;CDEG:2;ACFG:1
ID24,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID24_20260513_155348,601,0,66.53998633058748,30.032377191101165,17.585022725378067,56.713253097262296,147.99043106379852,232.73282406168002,601,36.729764890693865,23.18412302374541,13.703262554039867,24.975841605850537,BDEG:542;ACFG:39;ADEF:20
