mount,temporal_region_only,segment_id,start_hardware_s,end_hardware_s,duration_s,start_plateau_center_V4_m,start_uncertainty_m,end_plateau_center_V4_m,end_uncertainty_m,signed_delta_p_V4_m,magnitude_V4_m,delta_p_N_m,magnitude_N_m,start_speed_mps,end_speed_mps,start_stationary_confidence,end_stationary_confidence,start_gyro_median_dps,end_gyro_median_dps,start_accel_norm_residual_g,end_accel_norm_residual_g,attitude_change_deg,gyro_saturated_or_clipped,acceptance_weight,decision
A,horizontal_2,A-horizontal_2-02,2606.616550,2607.216600,0.6000500000000102,"[2.9544458668804108,1.121475886409298,1.0113978843516112]",0.19769041361986955,"[2.7122700441817282,1.1835547334717593,0.7262302052691524]",0.2534489665763028,"[-0.11927440152368263,0.052491661044869575,-0.12162318216753887]",0.17825250567282494,"[0.0006054128514513305,0.008559917197127929,0.000437309782459134]",0.008592435451501707,0.0905748703955872,0.15006240788435501,0.7821782178217822,0.9900990099009901,0.3872354792839411,0.4305996749390564,0.00556422968074366,0.005922659947886322,0.6899641479452036,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
A,horizontal_2,A-horizontal_2-03,2607.216600,2613.936633,6.720032999999603,"[2.7122700441817282,1.1835547334717593,0.7262302052691524]",0.2534489665763028,"[3.6438857127218536,1.1006419063994006,0.7560878367540262]",0.28222729181167644,"[0.9291146284200784,-0.054656427427863585,0.027324619837554742]",0.931121878516784,"[0.8062884713694292,0.14753789813489032,0.007126013448433668]",0.819706844254078,0.15006240788435501,0.056621452065840905,0.9900990099009901,0.49504950495049505,0.4305996749390564,2.596823372367852,0.005922659947886322,0.0069255622467252476,1.5220316359704609,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,horizontal_2,A-horizontal_2-04,2613.936633,2615.976655,2.0400220000001354,"[3.6438857127218536,1.1006419063994006,0.7560878367540262]",0.28222729181167644,"[2.758005460515685,1.1455130056336407,0.695014557909356]",0.31932932174324485,"[-0.8915502961902124,0.008151420387109809,-0.023898629087527823]",0.8919077983533086,"[-0.6852429063117614,0.05331230647857401,0.0011929815339616792]",0.6873146774786606,0.056621452065840905,0.0723523431614383,0.49504950495049505,0.7920792079207921,2.596823372367852,0.940025127695179,0.006945096304379339,0.005928229780757466,1.4334554526613987,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,horizontal_2,A-horizontal_2-05,2615.976655,2618.136658,2.1600029999999606,"[2.758005460515685,1.1455130056336407,0.695014557909356]",0.31932932174324485,"[3.609096049289489,1.127790058570457,0.8268082712570709]",0.07688237771832236,"[0.8596891534376416,0.01413476694234328,0.05804762757394488]",0.8617625886761426,"[0.7029187739720741,-0.0630179865234211,0.0003679877968423377]",0.7057380568191634,0.0723523431614383,0.14757919016033683,0.7920792079207921,0.7227722772277227,0.940025127695179,0.5720470974666911,0.005928229780757466,0.0064501166529769005,1.3373321439424324,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,horizontal_2,A-horizontal_2-06,2618.136658,2621.976732,3.840074000000186,"[3.609096049289489,1.127790058570457,0.8268082712570709]",0.07688237771832236,"[3.728928766525017,1.1522312281818576,0.8956125396646551]",0.14597505119128373,"[0.03796364591163659,0.0005116753778133809,0.03201332230048648]",0.04966239047117252,"[0.04392658863134,0.03195041945034888,0.002467863155359705]",0.05437338356580159,0.14757919016033683,0.08599346902953435,0.7128712871287128,0.9702970297029703,0.5720470974666911,0.8399427710421042,0.0064501166529769005,0.005965914222745061,0.7660168040568801,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
A,horizontal_2,A-horizontal_2-07,2621.976732,2625.456994,3.480262000000039,"[3.728928766525017,1.1522312281818576,0.8956125396646551]",0.14597505119128373,"[2.7583476084332803,1.1768464077813432,0.7375634854475488]",0.20026970241459105,"[-0.8483264885707404,0.09294415189365446,-0.08802975193305018]",0.8579310483992217,"[-0.6499938541742863,0.08939269129777175,-0.01607264579225639]",0.6563089163378518,0.08599346902953435,0.05331072723882816,0.9603960396039604,1.0,0.8399427710421042,0.09499254931545617,0.006004545235651637,0.005073670111641393,2.199954192599928,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,horizontal_2,A-horizontal_2-08,2625.456994,2626.056776,0.5997819999997773,"[2.7583476084332803,1.1768464077813432,0.7375634854475488]",0.20026970241459105,"[2.8273105894104043,1.235373626392015,0.8403854796841961]",0.1578397168102522,"[0.01006379649064204,0.017860183569070154,0.03707584079145754]",0.04236607283333504,"[1.5702755183172635e-05,0.0008174903033536467,-5.4334049462454896e-05]",0.0008194444224769418,0.05331072723882816,0.03519331510200411,1.0,1.0,0.09499254931545617,0.03410603899157351,0.005086479641541963,0.005193219375966063,0.00995865890777719,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
A,horizontal_2,A-horizontal_2-09,2626.056776,2629.896807,3.840031000000181,"[2.8273105894104043,1.235373626392015,0.8403854796841961]",0.1578397168102522,"[2.803415300540483,1.1731562958586113,0.7350163336194631]",0.075,"[-0.022882661087679335,-0.04923443873040556,-0.06383534775067012]",0.0838009412715671,"[0.007320027828236644,-0.0035342725348438083,-0.0010379282238684188]",0.008194582646761995,0.03519331510200411,0.024941021484813593,1.0,1.0,0.03410603899157351,0.03410603899157351,0.00519428671607125,0.005144950700009643,0.03935686326718038,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
A,horizontal_2,A-horizontal_2-10,2629.896807,2630.977063,1.0802559999997356,"[2.803415300540483,1.1731562958586113,0.7350163336194631]",0.075,"[2.823716465867563,1.1824680467453041,0.7070865113247509]",0.08565312548060405,"[0.004240086259363451,0.007374152057053829,-0.021384362183013206]",0.023014069523265096,"[7.193504301597184e-06,-0.00024016398221489045,-0.00017386361538566648]",0.00029657889610089637,0.024941021484813593,0.009850421345505313,1.0,1.0,0.03410603899157351,0.03410603899157351,0.005135699927405257,0.005157996516679919,0.003776742587355555,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
A,horizontal_2,A-horizontal_2-11,2630.977063,2632.056983,1.0799200000001292,"[2.823716465867563,1.1824680467453041,0.7070865113247509]",0.08565312548060405,"[2.869953453559744,1.2314813992780227,0.8845424375563576]",0.09580929461698387,"[0.04898502179202291,0.028215903212577054,0.08016550010793932]",0.09809269576080829,"[6.916138586797231e-05,-6.424614813491257e-05,0.0003366194642037674]",0.0003496048176529939,0.009850421345505313,0.04245733206370944,1.0,1.0,0.03410603899157351,0.03410603899157351,0.005159063894186744,0.005146729684980311,0.006709400614237115,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
