segment_id,mount,time_offset_s,imu_samples,raw_end_velocity_mps,zupt_end_velocity_mps,zupt_displacement_N_m,decision
A-vertical_original-11,A,0.0,192,"[-0.005756702157405621,-0.15195548230503136,-0.03739484700692292]","[0.0,0.0,0.0]","[-0.018677259644359654,-0.0015649915578507456,0.5198104282996341]",ACCEPT
A-vertical_original-12,A,0.0,816,"[-0.057426134729779,-0.7580695554932094,0.2990464385917272]","[0.0,0.0,0.0]","[-0.016154498170381164,-0.0016572832550750232,-0.2684548930924799]",ACCEPT
A-vertical_original-13,A,0.0,432,"[-0.02867976437752516,-0.4028202926503142,0.10689039763716533]","[0.0,0.0,0.0]","[0.00019907598435940725,-0.00047967212604508626,0.0006567611371476118]",REJECT_T4_DISPLACEMENT
A-vertical_original-14,A,0.0,168,"[-0.01199002912719743,-0.1559868923623073,0.04022691679981745]","[0.0,0.0,0.0]","[4.1302237693366006e-05,-6.254683222419375e-05,9.107413046624493e-05]",REJECT_T4_DISPLACEMENT
A-vertical_original-15,A,0.0,216,"[-0.016681899579978975,-0.2015837730879779,0.0526017393166857]","[0.0,0.0,0.0]","[0.00014594959721154693,1.8184676622444597e-05,-9.56780801090243e-05]",REJECT_T4_DISPLACEMENT
A-vertical_original-16,A,0.0,144,"[-0.010933594132712273,-0.13534156726156993,0.03476898896879936]","[0.0,0.0,0.0]","[0.00017706861264825424,9.686037336938159e-05,-2.7768198332583676e-05]",REJECT_T4_DISPLACEMENT
A-vertical_original-17,A,0.0,96,"[-0.007672539387730265,-0.08980982167453933,0.023134171329773103]","[0.0,0.0,0.0]","[1.4975772099564184e-05,-4.1168388257219665e-05,3.0106512199103192e-05]",REJECT_T4_DISPLACEMENT
A-vertical_original-18,A,0.0,408,"[-0.03413905148464796,-0.38596548086126253,0.09942201266743338]","[0.0,0.0,0.0]","[0.00013217603580882825,-8.077035460672942e-06,-1.7411940386972326e-05]",REJECT_T4_DISPLACEMENT
A-vertical_retry-01,A,0.0,336,"[-0.05128462747286461,-0.4208363549922613,0.06044279541934462]","[0.0,0.0,0.0]","[-0.025289388544831638,-0.002349460421022925,0.5348431314119737]",ACCEPT
A-vertical_retry-02,A,0.0,336,"[0.04956104028165029,-0.4684011245489743,0.07838350058116784]","[0.0,0.0,0.0]","[0.024918426021010968,0.009967532416419117,-0.5318240850091738]",ACCEPT
A-vertical_retry-03,A,0.0,288,"[0.026057385503641155,-0.4094189322090501,0.015897206512322536]","[0.0,0.0,0.0]","[-0.040574003825288266,-0.002291200352629218,0.5077063455294787]",ACCEPT
A-vertical_retry-04,A,0.0,312,"[-0.029102581929276193,-0.4959375077371426,0.07456889409681547]","[0.0,0.0,0.0]","[0.005365362353209235,0.008214390213056378,-0.43277085659785874]",ACCEPT
A-vertical_retry-05,A,0.0,240,"[-9.347333681829217e-05,-0.3654297694706416,0.08625065992001747]","[0.0,0.0,0.0]","[-0.02526028690531221,-0.006304568665740597,0.42959818238220215]",ACCEPT
A-vertical_retry-06,A,0.0,216,"[0.06573851823769664,-0.3583350029239626,-0.15587164045494425]","[0.0,0.0,0.0]","[0.013654515706321221,0.006899228781635877,-0.36844265309847773]",ACCEPT
A-vertical_retry-07,A,0.0,288,"[0.03233438658416896,-0.49965087384235307,0.15430199489700525]","[0.0,0.0,0.0]","[-0.04778050090544643,0.009037589441468862,0.5549781954529107]",ACCEPT
A-vertical_retry-08,A,0.0,696,"[0.06983432368750422,-1.2363417498459195,0.18259915087445536]","[0.0,0.0,0.0]","[0.042876133426654056,0.027081727488981387,-0.39360105475023416]",ACCEPT
A-vertical_retry-09,A,0.0,120,"[0.006520204910523213,-0.21249831771434627,0.02629214952099496]","[0.0,0.0,0.0]","[-7.969801461141432e-06,0.000374997884804299,7.710547156361667e-05]",REJECT_T4_DISPLACEMENT
A-vertical_retry-10,A,0.0,120,"[0.005644698580974726,-0.21272876289563356,0.025201208437621987]","[0.0,0.0,0.0]","[-1.7167641259493192e-05,0.0002661365342410803,6.483595752534748e-05]",REJECT_T4_DISPLACEMENT
A-vertical_retry-11,A,0.0,89,"[0.0012535144958555123,-0.17162607701694851,0.024834370528164357]","[0.0,0.0,0.0]","[-0.0006369669665076216,0.000339654739335665,0.0006016338095317641]",REJECT_T4_DISPLACEMENT
A-vertical_retry-12,A,0.0,233,"[0.010105576006840991,-0.4334380144972921,0.05101324983630137]","[0.0,0.0,0.0]","[-0.00016043203045468677,0.0003891135219869726,-6.408282330755339e-05]",REJECT_T4_DISPLACEMENT
A-vertical_retry-13,A,0.0,168,"[0.007458634539950676,-0.3046447132077856,0.03679626340651295]","[0.0,0.0,0.0]","[-0.00012957321781083888,-7.457881831177991e-05,1.44394828867855e-05]",REJECT_T4_DISPLACEMENT
A-vertical_retry-14,A,0.0,144,"[0.005607563122191426,-0.2609106747696794,0.03056306730721407]","[0.0,0.0,0.0]","[6.821425347293494e-05,-1.815017981188336e-05,0.0001251254688926843]",REJECT_T4_DISPLACEMENT
A-vertical_retry-15,A,0.0,144,"[0.004952986120405483,-0.26232910175036017,0.030516201158208155]","[0.0,0.0,0.0]","[1.829223492852634e-06,8.953637671324354e-05,-3.6856909608856655e-05]",REJECT_T4_DISPLACEMENT
A-vertical_retry-16,A,0.0,528,"[0.017997635882637544,-0.9691677797921026,0.11378615511267201]","[0.0,0.0,0.0]","[0.0007587527682759768,0.0007018217565469341,0.001046416360896509]",REJECT_T4_DISPLACEMENT
A-horizontal_1-01,A,0.0,840,"[-0.18111710754206428,-2.0243561914270067,0.13201024787041443]","[0.0,0.0,0.0]","[0.0767651158884585,0.6208594876121066,0.03058828864472876]",REJECT_T4_DISPLACEMENT
A-horizontal_1-02,A,0.0,169,"[-0.0037129298501640843,0.08435899512876195,0.05404345105717109]","[0.0,0.0,0.0]","[0.003251428593347443,0.04155811496284871,0.001712439514340332]",REJECT_T4_DISPLACEMENT
A-horizontal_1-03,A,0.0,287,"[-0.08790291069383312,-0.7908700859757963,0.04962804222553448]","[0.0,0.0,0.0]","[0.022821523710466952,0.2456062477572262,0.013461201695657048]",ACCEPT
A-horizontal_1-04,A,0.0,409,"[-0.13827476885682516,-1.169952394349529,0.06857321526148911]","[0.0,0.0,0.0]","[-0.023097112013681132,-0.3236827507783704,-0.017194557903662408]",ACCEPT
A-horizontal_1-05,A,0.0,647,"[-0.20886366311194474,-1.4553523061029578,0.12953921897629944]","[0.0,0.0,0.0]","[0.05589483280568244,0.6820410292562245,0.03657004383211995]",ACCEPT
A-horizontal_1-06,A,0.0,552,"[-0.21169274569865407,-1.2958621215842907,0.1015216191290984]","[0.0,0.0,0.0]","[-0.014548299323458568,-0.5392010094918245,-0.03220304844575546]",ACCEPT
A-horizontal_1-07,A,0.0,1129,"[-0.44242609119401166,-3.169222432425665,0.1763069707988902]","[0.0,0.0,0.0]","[0.06687229358384167,0.28138855824557374,0.015846106129513864]",ACCEPT
A-horizontal_1-08,A,0.0,456,"[-0.19721612726083965,-1.2929956884196987,0.0718502282618225]","[0.0,0.0,0.0]","[-0.02870060941635449,-0.4127898796208338,-0.025910947142304935]",ACCEPT
A-horizontal_1-09,A,0.0,480,"[-0.22531549578802168,-1.4304611104048561,0.07113049186115597]","[0.0,0.0,0.0]","[0.04232750201570481,0.40957867058391023,0.025869998035193523]",ACCEPT
A-horizontal_1-10,A,0.0,120,"[-0.05255834390338805,-0.3592212227076923,0.019743918612985766]","[0.0,0.0,0.0]","[-0.0007586464804181636,-0.00041696805099615303,-6.045536144257368e-05]",REJECT_T4_DISPLACEMENT
A-horizontal_1-11,A,0.0,192,"[-0.09671062013646801,-0.5712770415462668,0.02966047253401602]","[0.0,0.0,0.0]","[9.317662409938482e-05,0.00036542320298237643,-6.826591301248279e-07]",REJECT_T4_DISPLACEMENT
A-horizontal_1-12,A,0.0,288,"[-0.14719009896428628,-0.8595225319769986,0.04666797533803277]","[0.0,0.0,0.0]","[0.0010410680702493,0.0003840873546508371,0.0009574506267504826]",REJECT_T4_DISPLACEMENT
A-horizontal_1-13,A,0.0,144,"[-0.07505665571469758,-0.4286534964098078,0.023208986369664834]","[0.0,0.0,0.0]","[0.0001719576014530097,-4.917018521703629e-05,-5.773890608537048e-05]",REJECT_T4_DISPLACEMENT
A-horizontal_1-14,A,0.0,288,"[-0.15249799615286508,-0.8594659548669125,0.04562618533626137]","[0.0,0.0,0.0]","[0.00039578214495389466,7.261900075514863e-05,-0.00010760590731466631]",REJECT_T4_DISPLACEMENT
A-horizontal_1-15,A,0.0,96,"[-0.05027282793004424,-0.28475924540816344,0.015494040463556666]","[0.0,0.0,0.0]","[1.1306621126576879e-05,1.686144490464149e-05,-6.567757171255414e-05]",REJECT_T4_DISPLACEMENT
A-horizontal_1-16,A,0.0,120,"[-0.06501624512716311,-0.35626479070351386,0.018175488715023672]","[0.0,0.0,0.0]","[1.4682186843913823e-05,-4.820498112403035e-05,-0.00010740384919707404]",REJECT_T4_DISPLACEMENT
A-horizontal_2-01,A,0.0,96,"[-0.0670714829724808,-0.2893057282657394,0.01355434303352626]","[0.0,0.0,0.0]","[-0.002489559796891388,-0.0013056287971542158,-0.00012833621801591082]",REJECT_T4_DISPLACEMENT
A-horizontal_2-02,A,0.0,120,"[-0.07731944699467787,-0.3688107257096079,0.018771226134166753]","[0.0,0.0,0.0]","[0.0006054128514513305,0.008559917197127929,0.000437309782459134]",REJECT_T4_DISPLACEMENT
A-horizontal_2-03,A,0.0,1344,"[-0.9885512560459532,-4.476653845178893,0.15502354537997406]","[0.0,0.0,0.0]","[0.8062884713694292,0.14753789813489032,0.007126013448433668]",ACCEPT
A-horizontal_2-04,A,0.0,408,"[-0.3458213447787969,-1.4315537689614106,0.039037418780704006]","[0.0,0.0,0.0]","[-0.6852429063117614,0.05331230647857401,0.0011929815339616792]",ACCEPT
A-horizontal_2-05,A,0.0,432,"[-0.38729636387735195,-1.540806148619293,0.0448390668263753]","[0.0,0.0,0.0]","[0.7029187739720741,-0.0630179865234211,0.0003679877968423377]",ACCEPT
A-horizontal_2-06,A,0.0,768,"[-0.7436833228297286,-2.7984516317288612,0.06860872173064805]","[0.0,0.0,0.0]","[0.04392658863134,0.03195041945034888,0.002467863155359705]",REJECT_T4_DISPLACEMENT
A-horizontal_2-07,A,0.0,696,"[-0.6998614858684277,-2.6397089002666316,0.049754127692726274]","[0.0,0.0,0.0]","[-0.6499938541742863,0.08939269129777175,-0.01607264579225639]",ACCEPT
A-horizontal_2-08,A,0.0,120,"[-0.1190290025877567,-0.4518346659259367,0.011005182058173977]","[0.0,0.0,0.0]","[1.5702755183172635e-05,0.0008174903033536467,-5.4334049462454896e-05]",REJECT_T4_DISPLACEMENT
A-horizontal_2-09,A,0.0,768,"[-0.7887639811089591,-2.9426108287218984,0.06912938752563536]","[0.0,0.0,0.0]","[0.007320027828236644,-0.0035342725348438083,-0.0010379282238684188]",REJECT_T4_DISPLACEMENT
A-horizontal_2-10,A,0.0,216,"[-0.22455929147336987,-0.825244431306545,0.019590653333786817]","[0.0,0.0,0.0]","[7.193504301597184e-06,-0.00024016398221489045,-0.00017386361538566648]",REJECT_T4_DISPLACEMENT
A-horizontal_2-11,A,0.0,216,"[-0.22499906916161233,-0.8239672966835747,0.019108900489134932]","[0.0,0.0,0.0]","[6.916138586797231e-05,-6.424614813491257e-05,0.0003366194642037674]",REJECT_T4_DISPLACEMENT
B-vertical_original-01,B,0.0,288,"[0.08555323798632533,-0.044678043875096426,-0.13125187961589896]","[0.0,0.0,0.0]","[-0.01829369028076321,-0.04249192872191997,-0.5158871155473874]",ACCEPT
B-vertical_original-02,B,0.0,288,"[0.10729041939410677,-0.040735345632043445,0.10011405069897474]","[0.0,0.0,0.0]","[-0.0010333234589964678,0.03410991897576767,0.5106184027844926]",ACCEPT
B-vertical_original-03,B,0.0,264,"[0.12646823243016136,-0.06285711552485343,0.019599866390366254]","[0.0,0.0,0.0]","[-0.01920289403363535,-0.025067714286656557,-0.4607334126271956]",ACCEPT
B-vertical_original-04,B,0.0,216,"[0.11636259044022793,-0.04407719658249912,0.08634743295078495]","[0.0,0.0,0.0]","[0.00825562142903836,0.013448875926796156,0.4439400797529314]",ACCEPT
B-vertical_original-05,B,0.0,288,"[0.18074449218488597,-0.09837619797724433,-0.04936327274033774]","[0.0,0.0,0.0]","[-0.032829429955789545,-0.025657776592987062,-0.5129600235392867]",ACCEPT
B-vertical_original-06,B,0.0,216,"[0.1897681976960183,-0.08619289895353434,0.012887518915119009]","[0.0,0.0,0.0]","[0.013647368306226246,0.018058063456184405,0.4751303382818512]",ACCEPT
B-vertical_original-07,B,0.0,216,"[0.17393255575559774,-0.08291582831852842,0.01614540965152069]","[0.0,0.0,0.0]","[-0.031276900702057964,-0.021132940513013305,-0.4646871764308294]",ACCEPT
B-vertical_original-08,B,0.0,216,"[0.16534721757217505,-0.17323369710459638,-0.13699859650655455]","[0.0,0.0,0.0]","[0.014568339860055332,0.046313386980980774,0.5136974883009048]",ACCEPT
B-vertical_original-09,B,0.0,408,"[0.2917818444802902,-0.2907593165678846,-0.09276216039579789]","[0.0,0.0,0.0]","[0.03809876122814433,0.13007454177373193,0.35691570236686143]",REJECT_T4_DISPLACEMENT
B-vertical_original-10,B,0.0,480,"[0.45166637126000414,-0.3372251612512716,0.2854130075793899]","[0.0,0.0,0.0]","[-0.013377794464898023,0.10359164043070664,-0.10273696155124441]",ACCEPT
B-vertical_original-11,B,0.0,168,"[0.1685146063751848,-0.1483246162672741,0.0009482587720668409]","[0.0,0.0,0.0]","[0.0001910402692933089,0.00011745203829433773,0.00039489119037494413]",REJECT_T4_DISPLACEMENT
B-vertical_original-12,B,0.0,264,"[0.2693768941545672,-0.23514095549983227,-0.0005665025727655459]","[0.0,0.0,0.0]","[0.0007859592420664689,-0.0006811890538940431,-0.00021696373797580373]",REJECT_T4_DISPLACEMENT
B-vertical_original-13,B,0.0,288,"[0.29396038030373045,-0.2554504591065996,-0.007187949071888657]","[0.0,0.0,0.0]","[-9.663287866005359e-05,-0.00018020905141760625,0.001695893984867931]",REJECT_T4_DISPLACEMENT
B-vertical_original-14,B,0.0,264,"[0.2686153449367382,-0.2333862532002542,-0.0004154673487465824]","[0.0,0.0,0.0]","[0.0004121771599467522,-0.00029709655606743906,7.100969778070963e-05]",REJECT_T4_DISPLACEMENT
B-vertical_original-15,B,0.0,168,"[0.17116698218225931,-0.14728308247942976,0.011865371596750598]","[0.0,0.0,0.0]","[-9.067298675692262e-07,-9.996438998143603e-05,-0.004591247215580032]",REJECT_T4_DISPLACEMENT
B-vertical_original-16,B,0.0,192,"[0.1954940301240154,-0.16922621460446757,-0.0006153824556707405]","[0.0,0.0,0.0]","[-8.792613152201214e-05,-0.00018315885411964968,-1.7888344947514057e-05]",REJECT_T4_DISPLACEMENT
B-vertical_retry-01,B,0.0,144,"[0.18951936380647716,-0.09163909301903045,0.01602650770092118]","[0.0,0.0,0.0]","[-0.02018748625301793,0.00025842844939483444,-0.09990452060911618]",ACCEPT
B-vertical_retry-02,B,0.0,288,"[0.33746079729654577,-0.1599497223014561,0.06744782627889628]","[0.0,0.0,0.0]","[0.021071664613346804,0.044835894946670465,0.4999588149014599]",ACCEPT
B-vertical_retry-03,B,0.0,504,"[0.6962558434763918,-0.3267028246730507,0.0024801763553303127]","[0.0,0.0,0.0]","[-0.020967799932523762,0.01364951760575477,0.19972198223353693]",REJECT_T4_DISPLACEMENT
B-vertical_retry-04,B,0.0,240,"[0.32923761435198645,-0.14384178982727464,0.1068964770727605]","[0.0,0.0,0.0]","[-0.035521411359829946,-0.014948204265432025,-0.2709148070508551]",ACCEPT
B-vertical_retry-05,B,0.0,168,"[0.24802347365282357,-0.06040967084807419,-0.010599377201831416]","[0.0,0.0,0.0]","[0.023923330376267333,-0.0001292276036904584,0.3527375415327317]",ACCEPT
B-vertical_retry-06,B,0.0,192,"[0.3129721044189347,-0.17122215881340314,-0.002138893853480401]","[0.0,0.0,0.0]","[-0.021698285337342017,-0.020836664785762446,-0.33350584036437975]",ACCEPT
B-vertical_retry-07,B,0.0,192,"[0.34936857744008915,-0.01573095337299259,0.21390771156266453]","[0.0,0.0,0.0]","[-0.0006949496345575986,0.013590376336189662,0.23365199798715555]",ACCEPT
B-vertical_retry-08,B,0.0,240,"[0.3933819275845463,-0.16684157425014973,-0.2451496679000793]","[0.0,0.0,0.0]","[-0.0566585558486633,-0.04703199693540406,-0.3939949667835879]",ACCEPT
B-vertical_retry-09,B,0.0,120,"[0.2097325221837737,-0.03502398198606478,0.008850586317965708]","[0.0,0.0,0.0]","[-0.0033690044615930326,-0.0023342336660090238,-0.0023017473230572943]",REJECT_T4_DISPLACEMENT
B-vertical_retry-10,B,0.0,192,"[0.3526017815500045,-0.08834520164458057,-0.003343802865182781]","[0.0,0.0,0.0]","[0.00039576650683752234,-0.002581728724515745,-0.00015421266386993982]",REJECT_T4_DISPLACEMENT
B-vertical_retry-11,B,0.0,168,"[0.3082060806634527,-0.07426433339005772,-0.0033001132822734667]","[0.0,0.0,0.0]","[-0.0005075554680990975,-0.0002491336556707189,-0.00017110193146971023]",REJECT_T4_DISPLACEMENT
B-vertical_retry-12,B,0.0,312,"[0.5730339461939772,-0.1381737851207836,-0.0017829070237138534]","[0.0,0.0,0.0]","[-0.0007467009640770239,0.0006599131287002209,0.0005758050059657269]",REJECT_T4_DISPLACEMENT
B-vertical_retry-13,B,0.0,264,"[0.4853294743766249,-0.11795351983075203,-0.003739881776134154]","[0.0,0.0,0.0]","[5.717039809465142e-05,-9.232944551615963e-05,0.00030218095263764795]",REJECT_T4_DISPLACEMENT
B-vertical_retry-14,B,0.0,144,"[0.26391449430267117,-0.06461877369168853,-0.008493575333165028]","[0.0,0.0,0.0]","[2.945761773513704e-05,-9.047862070637406e-05,0.001182412605464045]",REJECT_T4_DISPLACEMENT
B-vertical_retry-15,B,0.0,120,"[0.21980711957041194,-0.05257324596866825,-0.002579531729241304]","[0.0,0.0,0.0]","[3.881654252967543e-05,4.7634694624642336e-05,4.713654369943535e-06]",REJECT_T4_DISPLACEMENT
B-horizontal_1-01,B,0.0,312,"[0.5804312756210193,-0.15651886094155412,-0.018698122431829816]","[0.0,0.0,0.0]","[0.5280721688859824,-0.022073682888808756,-0.027633234084656375]",ACCEPT
B-horizontal_1-02,B,0.0,216,"[0.5648566450120445,-0.10916626599594387,-0.004563178225425081]","[0.0,0.0,0.0]","[-0.3913463263232164,-0.004252330558792662,0.013070967015219042]",ACCEPT
B-horizontal_1-03,B,0.0,1872,"[4.2099841882866,-1.0079386786550226,-0.06776370335398775]","[0.0,0.0,0.0]","[0.025171148587229998,0.021744742045204987,-0.055061130283762326]",REJECT_IMU_PREINTEGRATION_SNR
B-horizontal_1-04,B,0.0,216,"[0.5216947493830459,-0.1145674899223009,-0.010753923263134483]","[0.0,0.0,0.0]","[-3.1668001204528565e-05,0.00044889975770070383,-0.0001627606996483006]",REJECT_T4_DISPLACEMENT
B-horizontal_1-05,B,0.0,408,"[0.9860301067296503,-0.216509432052301,-0.01952856078889213]","[0.0,0.0,0.0]","[-0.0001159320873487852,-0.0003038593369271727,-0.0004190680641128747]",REJECT_T4_DISPLACEMENT
B-horizontal_1-06,B,0.0,216,"[0.5214842530212239,-0.11439995002811289,-0.009606922440255187]","[0.0,0.0,0.0]","[-9.586767020684828e-05,1.9119963872563142e-05,0.00031512498887299907]",REJECT_T4_DISPLACEMENT
B-horizontal_1-07,B,0.0,168,"[0.4051087052182431,-0.08934057268477971,-0.007424397028583821]","[0.0,0.0,0.0]","[3.848350102421016e-05,-0.00010619127809687645,-2.560817852038309e-05]",REJECT_T4_DISPLACEMENT
B-horizontal_1-08,B,0.0,264,"[0.6395117057542243,-0.13923291524561632,-0.012345053395897553]","[0.0,0.0,0.0]","[3.254760402144626e-05,-0.0005131888757960272,-5.3440941505646026e-05]",REJECT_T4_DISPLACEMENT
B-horizontal_1-09,B,0.0,144,"[0.34716649053777976,-0.07672653322701052,-0.006276307272916175]","[0.0,0.0,0.0]","[4.673294010506908e-06,5.0208611305055856e-05,8.888534154078728e-05]",REJECT_T4_DISPLACEMENT
B-horizontal_1-10,B,0.0,264,"[0.6387983053900028,-0.1411139992759708,-0.01169293347776086]","[0.0,0.0,0.0]","[-3.738793217682823e-06,0.00016985899191750766,0.0004310802819339397]",REJECT_T4_DISPLACEMENT
B-horizontal_1-11,B,0.0,192,"[0.4645370099589354,-0.10203813927688417,-0.0027216437298354748]","[0.0,0.0,0.0]","[0.0002821577327811646,8.309654954664165e-05,0.002083720697579159]",REJECT_T4_DISPLACEMENT
B-horizontal_2-01,B,0.0,624,"[1.7851310959698925,-0.4624249724547387,-0.03480227132011513]","[0.0,0.0,0.0]","[-0.007198304218668051,-0.033660734043929,-0.001192085241913668]",REJECT_T4_DISPLACEMENT
B-horizontal_2-02,B,0.0,336,"[0.976228252275856,-0.25668465387826667,-0.018323311736552123]","[0.0,0.0,0.0]","[-0.011603720967626699,0.6348964645383356,0.0030865312341170994]",ACCEPT
B-horizontal_2-03,B,0.0,240,"[0.6995623027861201,-0.232291302132487,-0.018889812850873544]","[0.0,0.0,0.0]","[-0.0015970495220893218,-0.020649079922178674,-0.0002620498164882982]",REJECT_IMU_PREINTEGRATION_SNR
B-horizontal_2-04,B,0.0,168,"[0.49087313797380383,-0.1327753077026877,-0.013037789591519537]","[0.0,0.0,0.0]","[-8.088845290727935e-05,7.94766990674659e-05,5.701747963794545e-06]",REJECT_T4_DISPLACEMENT
B-horizontal_2-05,B,0.0,216,"[0.6329881833430613,-0.172076477581423,-0.02225576132995361]","[0.0,0.0,0.0]","[0.0005635630281633804,4.8345430613182724e-05,0.00017484442258930806]",REJECT_T4_DISPLACEMENT
B-horizontal_2-06,B,0.0,144,"[0.4222964348862803,-0.11476906143009136,-0.01098846554293532]","[0.0,0.0,0.0]","[-2.0934660635789692e-06,-4.34343151600104e-05,-0.00014143636662442794]",REJECT_T4_DISPLACEMENT
B-horizontal_2-07,B,0.0,120,"[0.35267189347705286,-0.09586866413703392,-0.008971177749967649]","[0.0,0.0,0.0]","[6.969057068755394e-05,8.345187528989041e-05,-7.812862840135192e-06]",REJECT_T4_DISPLACEMENT
B-horizontal_2-08,B,0.0,144,"[0.42272645968427924,-0.11588773599878151,-0.01034773277063749]","[0.0,0.0,0.0]","[-0.00012894975045033092,3.332106298957045e-05,4.6591762235673154e-05]",REJECT_T4_DISPLACEMENT
B-horizontal_2-09,B,0.0,168,"[0.4945003465171744,-0.13457770812744632,-0.012535744716406698]","[0.0,0.0,0.0]","[-3.686672682073564e-05,5.5573282304212455e-05,2.9955341344683886e-05]",REJECT_T4_DISPLACEMENT
B-horizontal_2-10,B,0.0,120,"[0.3519586274148453,-0.09644742290031458,-0.008630245640068035]","[0.0,0.0,0.0]","[1.9353953632305565e-05,-5.458289208805669e-05,7.731030049616872e-05]",REJECT_T4_DISPLACEMENT
B-horizontal_2-11,B,0.0,144,"[0.4229965104853295,-0.11534631259712883,-0.011009620309989065]","[0.0,0.0,0.0]","[2.6920197632704635e-05,-1.827275179909067e-05,0.00010543620340199301]",REJECT_T4_DISPLACEMENT
