peer_name,sweep,x_mm,y_mm,z_mm,used_anchors,median_abs_residual_mm,p80_abs_residual_mm,rms_residual_mm,median_quality_percent
BSCCF4,10777,1945.750181023537,1929.6006895113412,2045.6373967671248,8,37.3806896457711,56.67127206355917,115.94309128482293,100.0
BSCCF4,10778,2100.1547248556035,1839.3427396309332,1880.0371290475045,8,28.03151103564892,86.01531782068862,102.71455114779889,100.0
BSCCF4,10779,2137.480524254843,1764.6663817515637,1604.0968553292628,8,45.710294739745905,106.45130602706817,100.68597573588112,100.0
BSCCF4,10780,2076.145502632659,1747.4870629278678,1344.8548489003292,8,144.31455527150763,242.46438670466216,199.49852563326027,100.0
BSCCF4,10781,1981.7864045638257,1719.0883359733962,1033.7595586015352,8,36.28398775862411,115.41684472084673,160.15638325790863,100.0
BSCCF4,10782,2016.3640663739495,1625.507322614577,1161.1213403190318,8,51.36624876196902,114.09498539796625,275.4402340277899,100.0
BSCCF4,10783,2045.4601591654507,1652.925370157569,1077.2641092121153,8,38.55303243858725,75.47945266966829,203.60295984487803,100.0
BSCCF4,10784,2104.7188088535772,1604.6911721137528,1183.9797286182707,8,41.925643810210204,201.16054672541657,227.12901550828403,100.0
BSCCF4,10785,2153.7234859882537,1542.8699531625987,1182.706759487262,7,68.99871972823803,184.73657996760087,126.26228314939203,100.0
BSCCF4,10786,2191.3257499276056,1479.8734121791128,960.1913841876726,7,59.09107603945745,106.00317061285085,113.45545138951069,100.0
BSCCF4,10787,2220.416732201549,1533.3561534860376,1236.128906134003,8,55.14876702525885,160.08156128618324,152.72474539411226,100.0
BSCCF4,10788,2501.850808818935,1554.2360289703292,1374.704342624641,7,62.75142033941165,221.95888676728515,146.98737260313925,100.0
BSCCF4,10789,2538.7891854350714,1491.3825886922325,1684.7022947043602,8,48.789596116550456,123.34551848590729,92.57236167013478,100.0
BSCCF4,10790,2626.8465114146466,1547.2474732055637,1777.3532467391728,8,78.6368727321335,155.21633158126733,217.96724770454983,100.0
BSCCF4,10791,2691.646012598676,1684.6391218353356,1820.954103428469,7,47.421742142110816,496.1077865665241,359.38031109280166,100.0
BSCCF4,10792,2713.1639245132633,1688.0108197744505,1815.1639712641918,7,47.61172548482227,222.07844776630216,165.3215106118753,100.0
BSCCF4,10793,2634.402479459304,1737.1353537983598,1806.4499183275639,8,36.93043079672839,112.56380579936327,199.45082388367854,100.0
BSCCF4,10794,2523.8113787539583,1718.9655639031514,1874.6158301057753,8,79.81498376771742,158.24200046402913,134.25098621176667,100.0
BSCCF4,10795,2341.9950205201744,1701.4677248647938,2138.5869261591056,7,51.68644683147272,101.65675207396026,77.31615312578076,100.0
BSCCF4,10796,2194.157152200161,1750.2806910870245,2161.18013710175,8,68.55059868563887,158.82310189506546,110.27601246677658,100.0
BSCCF4,10797,1896.4671898812178,1841.3154997172817,2222.7384547306633,7,47.99035498398098,101.82800216719383,79.69228069408608,100.0
BSCCF4,10798,1712.5659012134647,1813.0811260271835,2018.664120178647,7,46.56807888519643,255.17296194387674,192.04491962609413,100.0
BSCCF4,10799,1570.4966775617809,1792.2646395382485,1805.8788324197062,8,39.435900325220246,267.873100258975,208.14493579330332,100.0
BSCCF4,10800,1527.5702832254824,1855.763397648369,1807.5727833248325,7,30.148179788633115,61.798321801030056,127.72109897364058,100.0
BSCCF4,10801,1368.532097635515,1843.7801308267801,1696.017054425729,7,42.54386401958391,57.12249152248296,81.34451631916278,100.0
BSCCF4,10802,1273.0023683003758,1841.9112915662452,1567.1383777460956,8,16.496292880009605,36.45459761619305,29.286415817000673,100.0
BSCCF4,10803,1332.1514734138857,1847.8935698024773,1506.146451414881,8,23.256325840382033,34.15409381731615,48.2151976772409,100.0
BSCCF4,10804,1391.9821278663574,1787.3823390271887,1553.9986560065654,8,40.72156330636767,104.06803126664812,73.65077577186541,100.0
BSCCF4,10805,1455.8040934241726,1731.6708393441922,1599.0383934453016,7,61.35764102631629,111.35990688088398,80.40310223957415,100.0
BSCCF4,10806,1574.1898583871987,1682.999227210582,1671.0622625825931,8,40.487208058251326,138.6507893160717,98.65333408136593,100.0
BSCCF4,10807,1501.8402989052859,1595.6165074617738,1647.8712678129987,8,37.84317230819579,98.37601425877779,78.5161244509112,100.0
BSCCF4,10808,1485.4650910626563,1525.5724353914236,1501.686228857015,8,51.823682724838136,58.464728086101424,54.520326709728856,100.0
BSCCF4,10809,1442.713576317624,1460.3458252096848,1362.013672425158,8,34.71411873111106,55.02156379966155,42.638212105227645,100.0
BSCCF4,10810,1410.5105677924682,1363.0431991127657,1450.879633937343,8,62.71469623499081,74.24666336515338,65.4982006019076,100.0
BSCCF4,10811,1463.083090138617,1309.5878343590591,1333.8017460780545,8,35.498340344363896,46.966128044996196,48.685618739979674,100.0
BSCCF4,10812,1446.11493221609,1290.3334238849502,1449.524234359089,7,18.18141617451647,37.27957232093727,63.42544997758103,100.0
BSCCF4,10813,1247.4717207591302,1360.6774572595702,1529.1770389630178,8,37.03509857478957,91.7093107665956,72.55667256094836,100.0
BSCCF4,10814,1125.9414969346494,1447.0379556114203,1416.9240578930903,7,26.0232663788006,31.302976335873154,46.62781529231022,100.0
BSCCF4,10815,1039.6929419304315,1442.4118885261098,1506.4895141723805,8,58.09794298063275,97.98025557656976,72.21651744194892,100.0
BSCCF4,10816,996.7719159803229,1483.423508243054,1520.348927616962,8,29.489300728459057,43.38420298204474,51.88340405402591,100.0
BSCCF4,10817,855.7557164946538,1521.0459610067041,1585.7399875607225,8,57.5719317398341,88.19659986361842,67.81087498028464,100.0
BSCCF4,10818,912.2876366593548,1503.2148716386441,1667.3548399731544,8,25.20204776593721,40.48812034073308,30.281699735511612,100.0
BSCCF4,10819,910.2150488345477,1414.3813275328678,1389.421649668414,8,35.45513779904161,72.07682069282184,50.16391096200344,100.0
BSCCF4,10820,895.0742326578718,1394.1567979910587,1668.6580413242,8,36.40658758568043,70.95635271258926,61.71522763377913,100.0
BSCCF4,10821,927.7162130197194,1272.199225541203,1608.480732402681,7,14.505158508981822,42.489618029940154,79.65613851860873,100.0
BSCCF4,10822,887.5172090342162,1195.6575336501678,1658.1054189081024,8,47.278534206848576,92.72819448030042,112.32503785761759,100.0
BSCCF4,10823,770.0912017646585,1131.2109089924265,1781.1517711907227,7,56.84541747760136,183.9994492671595,141.1662540337586,100.0
BSCCF4,10824,928.190946482675,1127.750591002429,1725.5146048078905,7,47.56946371062895,113.31292967265468,111.1945217943055,100.0
BSCCF4,10825,989.2032053444868,974.0071590084215,1855.8738546966156,8,50.09930770454616,118.16865362105368,83.57419837956216,100.0
BSCCF4,10826,1024.423287270601,924.7002748720247,1857.3328006965899,8,32.22565121304115,49.731874234348474,43.24562443775858,100.0
BSCCF4,10827,1085.4451295615265,888.2981049468308,1800.661085215917,8,41.79921381400061,104.87426531568458,86.57807027549143,100.0
BSCCF4,10828,1064.999976961732,801.1535205236631,1847.0879418688291,8,32.50727773460551,55.30261126711159,44.01356308622234,100.0
BSCCF4,10829,1180.5446419217476,762.0360369607762,2234.8796846231103,8,133.33155146178615,315.42542094403,210.36416959181327,100.0
BSCCF4,10830,982.3232192201808,783.2552780268776,1658.2301661355295,8,50.35485711337947,138.87312459732667,131.53798816362743,100.0
BSCCF4,10831,985.2160252867385,787.7737869203639,1523.4634594703716,8,32.36124565769933,66.43318657424011,55.5483140755096,100.0
BSCCF4,10832,1043.3713976456718,668.6800425006006,1656.9739056518415,8,20.491055247272698,54.157787973101776,40.675933943048285,100.0
BSCCF4,10833,1154.8265971431795,432.8643515319282,1744.9665039939318,8,71.45639151905073,228.30103335078965,199.18072005555052,100.0
BSCCF4,10834,1178.1156279748288,407.9328129159201,1844.2483600232895,8,33.54481316197007,85.6977983443855,110.56493730417006,100.0
BSCCF4,10835,1148.5065789568343,417.8133696518999,2038.9890117212217,7,56.19707003836993,58.10978524048751,51.92526339140596,100.0
BSCCF4,10836,1000.4315601617542,513.7673102795222,2154.989776589066,8,56.01908304566359,151.8908089375366,117.52143555429315,100.0
BSCCF4,10837,752.0286989781331,645.8887382869948,1982.7902407091683,7,36.77020212641037,68.1740766531677,205.30708075526923,100.0
BSCCF4,10838,662.8370386249521,668.0319857882179,1894.0419084775695,7,3.77883718713656,42.94154033263141,31.973141552730883,100.0
BSCCF4,10839,520.2984906157625,686.7560596068392,1750.828590391744,8,19.103675297182008,29.024646240748552,25.638927966520658,100.0
BSCCF4,10840,486.4352942481557,746.4464259739214,1665.0907652647643,8,21.2904062079092,30.09272069039098,24.40509800349249,100.0
BSCCF4,10841,381.163104615264,724.9393497040277,1637.0436889684597,7,40.03925454640557,108.64209117206069,79.95547270591246,100.0
BSCCF4,10842,347.1821634503184,885.7991486033,1613.2380864478614,8,37.69916377761626,52.28544209912225,48.64414201700907,100.0
BSCCF4,10843,292.60305018796515,946.1139935121613,1580.0758898086024,7,27.616245389206142,37.12004389486856,31.85936774024342,100.0
BSCCF4,10844,230.6848710770773,1063.5330325547072,1648.7539163683045,8,27.056181599251545,163.57357843690244,155.07759131985722,100.0
BSCCF4,10845,184.3095833400243,1205.184824815418,1664.1550557085066,8,108.04991068129243,176.49869568639062,128.37560701849117,100.0
BSCCF4,10846,66.87164490945041,1458.9842698313673,1486.3002279051098,7,48.64108349931303,126.87850558988207,125.73410243975519,100.0
BSCCF4,10847,272.8052294899843,1534.4679023191457,1483.7849671371132,7,51.27651708549456,89.98122838877518,93.71186197326745,100.0
BSCCF4,10848,456.99422740612454,1592.1757425797548,1510.076996391987,7,53.81264634361219,90.79615507047731,72.24698902409884,100.0
BSCCF4,10849,558.4179612990133,1644.1965408509263,1615.8593514871245,8,41.77457115072821,264.2407054380086,183.38020527101605,100.0
BSCCF4,10850,622.5250210948038,1753.7998131531078,1614.779874906038,7,47.179585517244504,216.12997655089833,152.94938515412602,100.0
BSCCF4,10851,755.0377332287235,1753.5761220118889,1702.561272514985,8,36.091263038034185,222.81755510566558,172.05256500175497,100.0
BSCCF4,10852,775.5486451545313,1750.2753308447982,1700.4975797667403,8,63.59337219100348,121.02684428312698,93.36457725639652,100.0
BSCCF4,10853,845.2343235199996,1759.8617253128903,1835.9775218418445,7,47.71749316694468,55.417608625533376,56.868656756825075,100.0
BSCCF4,10854,839.5768871838465,1744.1023892813744,1834.3542268665883,8,34.488743251499045,128.591901527942,96.55183834593176,100.0
BSCCF4,10855,806.9604888014601,1777.5528416072032,1919.6078769929304,8,35.25879672277813,60.64993666958645,45.74271526394133,100.0
