host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
192.989,1777159015.447357,5712036,1720,H,7,0xa107,0xb103,0xe1,18308,7,1978,119,2491,20
193.419,1777159015.878074,5712466,1721,G,6,0xa106,0xb101,0xe1,19155,7,2211,123,5475,20
193.620,1777159016.078664,5712667,1722,G,6,0xa106,0xb101,0xe1,18302,7,2147,124,6447,20
193.666,1777159016.124788,5712713,1723,G,6,0xa106,0xb102,0xe1,18211,7,1902,117,5986,20
195.020,1777159017.478734,5714068,1724,G,6,0xa106,0xb101,0xe1,17450,7,360,52,2805,20
195.420,1777159017.878381,5714467,1725,G,6,0xa106,0xb101,0xe1,19238,7,2149,121,5692,20
195.466,1777159017.924433,5714513,1726,G,6,0xa106,0xb102,0xe1,19005,7,2019,118,5881,20
195.788,1777159018.246415,5714835,1727,H,7,0xa107,0xb103,0xe1,18651,7,2118,122,3075,20
196.267,1777159018.725338,5715314,1728,G,6,0xa106,0xb102,0xe1,17965,7,544,63,3481,20
196.866,1777159019.324793,5715913,1729,G,6,0xa106,0xb102,0xe1,17991,7,2043,122,6867,20
197.266,1777159019.724513,5716313,1730,G,6,0xa106,0xb102,0xe1,18158,7,2096,123,5235,20
197.988,1777159020.446377,5717035,1731,D,3,0xa103,0xb103,0xe1,17403,7,1944,121,4891,20
198.188,1777159020.646517,5717236,1732,G,6,0xa106,0xb103,0xe1,10365,6,62,28,1152,20
198.266,1777159020.724423,5717313,1733,G,6,0xa106,0xb102,0xe1,16629,7,330,51,2477,20
198.466,1777159020.924984,5717514,1734,G,6,0xa106,0xb102,0xe1,19065,7,2165,122,6049,20
199.020,1777159021.478188,5718067,1735,E,4,0xa104,0xb101,0xe1,18713,7,2160,123,6972,20
199.066,1777159021.524253,5718113,1736,F,5,0xa105,0xb102,0xe1,19525,7,1936,114,6667,20
199.260,1777159021.719151,5718308,1737,B,1,0xa101,0xb102,0xe1,16315,7,719,76,3663,20
199.819,1777159022.277588,5718866,1738,G,6,0xa106,0xb101,0xe1,17854,7,1929,119,5273,20
200.020,1777159022.478255,5719067,1739,G,6,0xa106,0xb101,0xe1,18081,7,1550,106,4465,20
200.066,1777159022.524380,5719113,1740,G,6,0xa106,0xb102,0xe1,18958,7,2224,124,6946,20
200.265,1777159022.723984,5719313,1741,G,6,0xa106,0xb102,0xe1,18540,7,2175,124,5587,20
200.466,1777159022.924627,5719514,1742,F,5,0xa105,0xb102,0xe1,20157,7,2289,122,7847,20
200.666,1777159023.125138,5719714,1743,F,5,0xa105,0xb102,0xe1,18702,7,2194,124,7778,20
201.065,1777159023.523784,5720113,1744,G,6,0xa106,0xb102,0xe1,19708,7,2238,122,5133,20
201.588,1777159024.046430,5720635,1745,D,3,0xa103,0xb103,0xe1,15806,7,1355,106,3088,20
202.187,1777159024.645811,5721235,1746,H,7,0xa107,0xb103,0xe1,18687,7,2019,119,1454,20
202.265,1777159024.724087,5721313,1747,F,5,0xa105,0xb102,0xe1,18195,7,1999,120,7019,20
202.419,1777159024.877999,5721467,1748,G,6,0xa106,0xb101,0xe1,18719,7,1955,117,5365,20
202.465,1777159024.924173,5721513,1749,G,6,0xa106,0xb102,0xe1,17968,7,2074,123,6086,20
202.619,1777159025.077976,5721667,1750,G,6,0xa106,0xb101,0xe1,18413,7,2091,122,5181,20
202.665,1777159025.124025,5721713,1751,G,6,0xa106,0xb102,0xe1,18553,7,1971,118,4504,20
202.866,1777159025.324588,5721914,1752,G,6,0xa106,0xb102,0xe1,17937,7,1938,119,4806,20
203.066,1777159025.524343,5722114,1753,G,6,0xa106,0xb102,0xe1,8598,5,41,25,855,20
203.265,1777159025.723910,5722313,1754,G,6,0xa106,0xb102,0xe1,18817,7,2172,123,6233,20
203.587,1777159026.045907,5722635,1755,D,3,0xa103,0xb103,0xe1,17935,7,2104,124,3384,20
204.019,1777159026.477719,5723067,1756,G,6,0xa106,0xb101,0xe1,19301,7,2156,121,6188,20
204.065,1777159026.523762,5723113,1757,G,6,0xa106,0xb102,0xe1,19435,7,2171,121,6120,20
204.466,1777159026.924206,5723513,1758,G,6,0xa106,0xb102,0xe1,18449,7,2095,122,6713,20
204.666,1777159027.124721,5723714,1759,G,6,0xa106,0xb102,0xe1,18582,7,1974,118,4446,20
