number,value,params_batch_size,params_conv_channels,params_dropout,params_lr,params_lstm_hidden_size,params_num_conv_layers,params_window_size,state,user_attrs_epochs_run,user_attrs_val_capture
35,0.09094798793856251,512,64,0.31033532334138075,0.0005725676275269755,128,3,20,PRUNED,,
36,0.07593867602690188,512,128,0.1957819717180306,0.0008588067843020595,256,2,30,PRUNED,,
37,0.07680500586249028,256,64,0.17320538137435554,0.00041097908296560716,256,3,20,PRUNED,,
38,0.04325247699332595,256,128,0.14596680895184477,0.00012573164975707537,128,2,20,COMPLETE,30.0,R12
39,0.20066622882489654,256,128,0.14465552204527857,0.00011767818428081849,128,2,20,PRUNED,,
40,0.14419257503983138,256,128,0.11938445749814951,0.00014984907501277154,128,2,20,PRUNED,,
41,0.15229846810427936,256,128,0.15603998365383787,0.00012546456179974457,128,2,20,PRUNED,,
42,0.21400569157570112,256,128,0.2592010978071864,0.00017105984523078246,128,2,20,PRUNED,,
43,0.1617004545836783,256,128,0.288857051901687,0.00013627046356698048,128,2,20,PRUNED,,
44,0.09168201115768668,512,256,0.1568541255019049,0.0002079515306305515,256,3,10,PRUNED,,
45,0.13138316209189202,512,128,0.2224996391122052,0.0001082620394367947,256,4,20,PRUNED,,
46,0.155999344843914,256,64,0.19088849613355097,0.0001239087143010664,128,2,30,PRUNED,,
47,0.05299600349091996,512,256,0.35369618716679085,0.0005137556721971238,256,3,20,PRUNED,,
48,0.12929073974934369,512,128,0.12168374564500695,0.00016598671582957212,256,4,20,PRUNED,,
49,0.1089156269295025,256,64,0.2499818625370226,0.00019595473613518818,128,3,30,PRUNED,,
50,0.0982648713523291,512,256,0.2798396281192118,0.00033634391517795313,256,4,10,PRUNED,,
51,0.032653590679907384,256,256,0.10308046821989478,0.0009724382621232534,128,4,30,COMPLETE,25.0,R12
52,0.1815967717569748,256,256,0.10098671006918485,0.0009106736624732681,128,4,30,PRUNED,,
53,0.041621459488707935,256,256,0.16982868130969309,0.0007589854430842526,128,4,30,COMPLETE,30.0,R04
54,0.11570249182086771,256,256,0.16861193770664437,0.0008035410719245434,128,4,30,PRUNED,,
55,0.08553966740218792,256,256,0.14338942394888943,0.0009177432367320352,128,4,30,PRUNED,,
56,0.08267430135392091,256,256,0.12238499745700147,0.0007459499847170371,128,4,20,PRUNED,,
57,0.06612486728868472,256,256,0.17929726976041152,0.0006708627472094238,128,4,30,PRUNED,,
58,0.09936952745429067,256,256,0.13468117417614142,0.00011055335739036139,128,4,30,PRUNED,,
59,0.0926954177251058,256,256,0.11393066637905652,0.00022485511561760814,128,4,20,PRUNED,,
60,0.1201776810610371,256,256,0.20959315365553632,0.0009250680135939124,128,4,10,PRUNED,,
61,0.07452452598046727,256,256,0.15800865055731922,0.0007743661490031995,128,4,30,PRUNED,,
62,0.08018780752761005,512,64,0.14606252003578862,0.0008581481068604042,256,4,30,PRUNED,,
63,0.08798421106445373,256,256,0.23290352130174674,0.0009832433919254432,128,3,30,PRUNED,,
64,0.0802964896855034,512,256,0.10053186184872809,0.0006580770298267499,256,4,30,PRUNED,,
65,0.19101217696605025,512,64,0.24790417286621702,0.00010051581369429624,128,3,30,PRUNED,,
66,0.07675985890295967,256,256,0.3016468559664793,0.0006340035489444952,256,2,30,PRUNED,,
67,0.1547122479474119,512,64,0.13063462824081015,0.000720802563601418,256,4,20,PRUNED,,
68,0.11330513226119317,256,128,0.40718539189292136,0.0005744484750455458,128,3,30,PRUNED,,
69,0.03344991122942932,512,256,0.3298276080244158,0.000441060084815343,256,4,20,COMPLETE,24.0,R12
70,0.13122493766431303,256,256,0.39018781561112925,0.00045326623710760603,128,4,20,PRUNED,,
71,0.11058868746148419,512,256,0.3336476573531283,0.00030571372882208996,256,4,20,PRUNED,,
72,0.06551729189358767,512,256,0.32210933228379246,0.0008133734143258789,256,4,20,PRUNED,,
73,0.0484983177570567,512,256,0.4302850757498007,0.00046830317002409224,256,4,20,COMPLETE,18.0,R04
74,0.06192751792694052,512,256,0.4565351381678659,0.00038968155765370865,256,4,20,PRUNED,,
75,0.2010219356845903,512,256,0.4449745833436475,0.00046185091239809206,256,4,20,PRUNED,,
76,0.07325361740566735,512,256,0.37452911546014067,0.0002360503241072066,256,4,20,PRUNED,,
77,0.19395138380814989,512,256,0.49783117305151525,0.0002724336340678265,256,4,20,PRUNED,,
78,0.11517681453614657,256,256,0.48294597871187583,0.00014316650259842912,128,4,20,PRUNED,,
79,0.09116479183992389,512,256,0.4282613138817419,0.00036578895569805485,256,2,20,PRUNED,,
80,0.10266407538014227,256,128,0.11315232416389988,0.0001251431464187817,128,4,20,PRUNED,,
81,0.08021583810431844,512,64,0.2741199488397004,0.0005393643115241824,256,3,30,PRUNED,,
82,0.07829598557722839,512,64,0.19842215916312564,0.00047916732387337003,256,2,10,PRUNED,,
83,0.08090364937752914,512,256,0.22184784157757317,0.0005973732525168659,256,4,20,PRUNED,,
84,0.07293263165583276,512,256,0.16468901023139026,0.00042215948094496313,256,3,30,PRUNED,,
85,0.12606654480241852,512,64,0.18577428294960804,0.000514447393518053,256,4,20,PRUNED,,
86,0.05253804760146751,512,128,0.12813345272826965,0.0009528987166986464,256,3,30,COMPLETE,17.0,R05
87,0.07250608091110139,256,256,0.14239626723769291,0.0008567095471328508,128,4,20,PRUNED,,
88,0.10287218675686441,512,256,0.2548327187215417,0.0001160436452687981,256,2,30,PRUNED,,
89,0.12601691746421784,256,64,0.267350796971388,0.00015926921277733055,128,4,20,PRUNED,,
90,0.08041557983371037,512,128,0.34266296919451,0.0004266781868863745,256,3,10,PRUNED,,
91,0.05870419274604435,512,256,0.12888566230805043,0.0009520441651151662,256,3,30,PRUNED,,
92,0.08793261139332842,512,256,0.11357195231290432,0.0007748138533804122,256,3,30,PRUNED,,
93,0.0806414745732034,512,128,0.1397159315177877,0.0008995842460639322,256,3,30,PRUNED,,
94,0.10909017585187918,512,128,0.125801825487999,0.0009560655701777273,256,3,30,PRUNED,,
95,0.12062061330457559,512,128,0.10885146646091251,0.00018507448737454488,256,3,30,PRUNED,,
96,0.0773900577319697,256,128,0.1698971342270999,0.0009995772480423763,128,4,30,PRUNED,,
97,0.07365854841568774,512,128,0.15327254097098827,0.0007519084601731251,256,4,20,PRUNED,,
98,0.04786975970158291,256,64,0.2961173132659992,0.0008715855504323595,128,2,30,COMPLETE,16.0,R04
99,0.08531454992441632,256,64,0.29846820492746823,0.0007069469063632887,128,2,20,PRUNED,,
