eval_set,ID,location,height,facing,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,distance_from_anchor_centroid_mm,distance_from_anchor_centroid_m,radial_component_mm,radial_outward,tangential_magnitude_mm,radial_unit_x,radial_unit_y_vertical,radial_unit_z
all8,ID13,center,mid,ABEF,-189.628155,1139.0976,-197.96616,30.648770871970555,-68.5111876030212,5.099413602350353,75.22721583194975,210.42408004244712,0.21042408004244711,-74.53247326395517,False,10.200217202812926,-0.359312845681674,0.9314364678959903,0.05762278370210347
all8,ID14,center,mid,BCGF,-198.69532,1132.6278,-194.690585,20.827986090516877,-52.288434082789536,19.382234008661896,59.52777787372481,208.15261748624962,0.20815261748624964,-54.648247259798616,False,23.603504189323957,-0.40679401980421215,0.9105187538058223,0.07398800186126607
all8,ID15,center,mid,CDHG,-200.165335,1132.2551,-184.312585,32.93148679741168,-70.44637352431641,-33.300908911510646,84.59388216501438,209.439366523459,0.20943936652345901,-81.26730756073323,False,23.48935123790203,-0.4113135769552235,0.9031452157959675,0.12308476996425875
all8,ID16,center,mid,ADHE,-184.854655,1122.0572,-185.780155,1.478842253915218,7.792104795474415,10.131768560342664,12.866880185809164,193.9946298264024,0.1939946298264024,7.917788770472013,True,10.142249587845676,-0.36513678272118616,0.9224804935844895,0.1253190682224303
all8,ID17,center,low,ABEF,-180.3984,209.458655,-328.203235,14.928122075235876,-53.59670328075211,-2.530602553161714,55.69433885540071,746.0479146483464,0.7460479146483464,51.77790527786862,True,20.516040202150656,-0.08897326659144648,-0.9833715351524119,-0.15831671321763913
all8,ID18,center,low,BCGF,-295.4243,206.90585,-224.00141,-30.88373231130652,-23.702728516777,-41.974052269436754,57.24897662433697,758.3430541074473,0.7583430541074473,31.168126121329106,True,48.02075841361529,-0.2392112896893461,-0.9707942653888814,-0.018342659927665247
all8,ID19,center,low,CDHG,-188.530555,205.96057,-114.135095,-9.144639520439398,-142.43035462408767,53.38086123634676,152.37961378293443,747.084561529067,0.747084561529067,148.30284331996828,True,35.01161749832759,-0.09973499498838329,-0.9866893335558775,0.12844099743355042
all8,ID20,center,low,ADHE,-80.19599149999999,202.56013,-220.692665,37.37427701390038,-183.53876813042908,-11.846434252363707,187.67965791114057,741.3886596640334,0.7413886596640334,185.2033803701203,True,30.386870406859586,0.04562261380599976,-0.998856400717786,-0.014299225664989302
all8,ID21,center,high,ABEF,-212.053465,1598.6443,-226.934745,28.291348461204308,62.12598441182581,0.3956848716959484,68.26562021551844,663.0470140007798,0.6630470140007798,57.229901590336944,True,37.21469155279604,-0.14785284139728397,0.9886830768145636,-0.025402970519945882
all8,ID22,center,high,BCGF,-232.83767,1599.3212,-235.17408,21.187416149668707,-1.1001790517507288,-11.251339226399525,24.01477943751868,667.3618160827641,0.6673618160827641,-4.431154865419197,False,23.60242568024189,-0.17804073762779477,0.9833050768874343,-0.03758485748739524
all8,ID23,center,high,CDHG,-230.87733,1599.6642499999998,-223.24148,44.93663326183818,122.41115165818746,-46.82203050527451,138.5499678810124,667.011187668517,0.667011187668517,113.544143607908,True,79.39660604948006,-0.1751953372903159,0.9843362810299526,-0.019714959798448135
all8,ID24,center,high,ADHE,-218.202475,1599.5815,-226.071175,0.693792423358957,56.60898998253856,-29.69661905310753,63.9292443092772,664.8880006105873,0.6648880006105873,56.49818677380052,True,29.91493221165649,-0.15669164566712904,0.9873551053292188,-0.024033812815579814
