capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R04,BS2DCE,1200,1200,0.00039031843921693215,0.0006617332124072138,0.0008853400113022252,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R04,BSDC91,1200,1200,0.0004521113444624049,0.0008386388674408637,0.0012443563651758794,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R05,BS2DCE,1200,1200,0.0003741374141139869,0.0006302155396003202,0.0008788991726275905,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R05,BSDC91,1201,1201,0.00041826836975949544,0.0007558721044511627,0.0009990142454975512,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R06,BS2DCE,1200,1200,0.00045164596936182933,0.0008797006532045378,0.0013410105636231847,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R06,BSDC91,1201,1201,0.0005158042119387169,0.0010246527211842178,0.0015901112199120284,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R07,BS2DCE,1200,1200,0.00039390946934471615,0.00063621095848118,0.0008864672500776508,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R07,BSDC91,1201,1201,0.0005556703804322987,0.0010962097776919036,0.0017610599070581306,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R08,BS2DCE,1201,1201,0.0003029516429505981,0.00042959832873235346,0.0005489034692203772,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R08,BSDC91,1200,1200,0.0003209766382964019,0.0005059564586274343,0.0008129603404956425,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R09,BS2DCE,1200,1200,0.0002990522799831162,0.0005085975692467465,0.0007297268663345815,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R09,BSDC91,1200,1200,0.00039670005654907585,0.0006759306610932159,0.000864505264337849,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R10,BS2DCE,1200,1200,0.00039461039606670574,0.0007632801875380677,0.0009482661224423799,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R10,BSDC91,1200,1200,0.0003710637047443546,0.0006743086507095268,0.001056853907114945,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R11,BS2DCE,1201,1201,0.0003315149709291009,0.0004816439513625217,0.000624643518771343,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R11,BSDC91,1200,1200,0.0003484148733954685,0.0005988859892663353,0.0008971519430555883,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R12,BS2DCE,1200,1200,0.0002707455243311206,0.00039815473569553727,0.0005124171890157796,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R12,BSDC91,1200,1200,0.0002807865125092516,0.00040264552109226946,0.000512416570222143,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R13,BS2DCE,1201,1201,17.124115157646276,0.0012595166601026557,509.8566803823591,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R13,BSDC91,1200,1200,0.00025289791526433657,0.0003956142178353097,0.0005371789196356986,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R14,BS2DCE,1201,1201,0.0002745508200981859,0.000469449991083829,0.000758353006006694,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R14,BSDC91,1200,1200,0.00028019586370176957,0.0005155653276332792,0.0006951721832693249,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R15,BS2DCE,1200,1200,0.000302167659683575,0.00042281525417218124,0.000531039111144878,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R15,BSDC91,1200,1200,0.0003496559546554284,0.0005478489527270646,0.0007034869621118761,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R16,BS2DCE,1201,1201,0.0002870024105115768,0.0004553163704126737,0.0008104093815770108,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R16,BSDC91,1200,1200,0.00026464284459370974,0.0003910490544478447,0.0005658664042272286,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R17,BS2DCE,1201,1201,0.0002827287489915405,0.0003964528350206235,0.0004926290874589514,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
R17,BSDC91,1200,1200,0.00027939071520835973,0.0004093629517066757,0.0007074463914761248,1.0,1.0,R2:L19:I8:T8,S02,R2,L19,I8,T8,90.277075,1.0,True
