start,parameter_index,parameter_name,unit,value,lower_bound,upper_bound,normalized_bound_clearance,raw_robust_gradient,scaled_gradient,projected_gradient,near_bound,gradient_direction_relative_to_bound,active_mask
0,32,yaw_drift:pelvis:knot_3,rad,0.06883705778738766,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,9.209508925245302e-06,9.209508925245302e-06,9.209508925245302e-06,False,INTERIOR_UNBOUNDED,0.0
0,33,yaw_drift:pelvis:knot_4,rad,0.056043777498083355,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-5.043417177774678e-07,-5.043417177774678e-07,-5.043417177774678e-07,False,INTERIOR_UNBOUNDED,0.0
0,34,yaw_drift:pelvis:knot_5,rad,0.040478624365840835,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,8.600431511407436e-08,8.600431511407436e-08,8.600431511407436e-08,False,INTERIOR_UNBOUNDED,0.0
0,35,yaw_drift:pelvis:knot_6,rad,0.026031819780155074,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-6.0518375311069406e-09,-6.0518375311069406e-09,-6.0518375311069406e-09,False,INTERIOR_UNBOUNDED,0.0
0,36,yaw_drift:pelvis:knot_7,rad,0.014492825270327057,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,3.0102340065063515e-10,3.0102340065063515e-10,3.0102340065063515e-10,False,INTERIOR_UNBOUNDED,0.0
0,37,yaw_drift:pelvis:knot_8,rad,0.006293997744410433,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.713339440964859e-11,-4.713339440964859e-11,-4.713339440964859e-11,False,INTERIOR_UNBOUNDED,0.0
0,38,yaw_drift:pelvis:knot_9,rad,0.0011094073383123484,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,6.947181718786055e-11,6.947181718786055e-11,6.947181718786055e-11,False,INTERIOR_UNBOUNDED,0.0
0,39,yaw_drift:pelvis:knot_10,rad,-0.0017159937553066359,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.415900978216314e-11,-4.415900978216314e-11,-4.415900978216314e-11,False,INTERIOR_UNBOUNDED,0.0
0,40,yaw_drift:pelvis:knot_11,rad,-0.002894778306561392,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,3.455104605198933e-11,3.455104605198933e-11,3.455104605198933e-11,False,INTERIOR_UNBOUNDED,0.0
0,41,yaw_drift:pelvis:knot_12,rad,-0.003049456538234372,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,1.4293424083211548e-11,1.4293424083211548e-11,1.4293424083211548e-11,False,INTERIOR_UNBOUNDED,0.0
0,42,yaw_drift:pelvis:knot_13,rad,-0.00265111235695099,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-1.3531318426851513e-11,-1.3531318426851513e-11,-1.3531318426851513e-11,False,INTERIOR_UNBOUNDED,0.0
0,43,yaw_drift:pelvis:knot_14,rad,-0.0020114585967074185,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,4.734605069112163e-12,4.734605069112163e-12,4.734605069112163e-12,False,INTERIOR_UNBOUNDED,0.0
0,44,yaw_drift:pelvis:knot_15,rad,-0.0013036939280636302,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.422028715422854e-12,-4.422028715422854e-12,-4.422028715422854e-12,False,INTERIOR_UNBOUNDED,0.0
0,45,yaw_drift:torso:knot_1,rad,5.529987390435454e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.305029887593072e-07,-4.305029887593072e-07,-4.305029887593072e-07,False,INTERIOR_UNBOUNDED,0.0
0,46,yaw_drift:torso:knot_2,rad,7.42941339894938e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,2.6805698055741654e-07,2.6805698055741654e-07,2.6805698055741654e-07,False,INTERIOR_UNBOUNDED,0.0
0,47,yaw_drift:torso:knot_3,rad,7.184505362339501e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,1.2205515822329507e-07,1.2205515822329507e-07,1.2205515822329507e-07,False,INTERIOR_UNBOUNDED,0.0
0,48,yaw_drift:torso:knot_4,rad,5.89505723495482e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,2.3567250996808691e-07,2.3567250996808691e-07,2.3567250996808691e-07,False,INTERIOR_UNBOUNDED,0.0
0,49,yaw_drift:torso:knot_5,rad,4.2862903740986225e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,8.560974962315809e-08,8.560974962315809e-08,8.560974962315809e-08,False,INTERIOR_UNBOUNDED,0.0
0,50,yaw_drift:torso:knot_6,rad,2.7769477773940406e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,8.876290129437687e-08,8.876290129437687e-08,8.876290129437687e-08,False,INTERIOR_UNBOUNDED,0.0
0,51,yaw_drift:torso:knot_7,rad,1.5623835416596737e-06,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,4.473091919772523e-08,4.473091919772523e-08,4.473091919772523e-08,False,INTERIOR_UNBOUNDED,0.0
0,52,yaw_drift:torso:knot_8,rad,6.934384930183424e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,1.550387278001291e-08,1.550387278001291e-08,1.550387278001291e-08,False,INTERIOR_UNBOUNDED,0.0
0,53,yaw_drift:torso:knot_9,rad,1.3961316676742235e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,3.4500491737768694e-09,3.4500491737768694e-09,3.4500491737768694e-09,False,INTERIOR_UNBOUNDED,0.0
0,54,yaw_drift:torso:knot_10,rad,-1.6572130031902533e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.130200249880816e-09,-4.130200249880816e-09,-4.130200249880816e-09,False,INTERIOR_UNBOUNDED,0.0
0,55,yaw_drift:torso:knot_11,rad,-2.9646576680328645e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-8.734902921179029e-09,-8.734902921179029e-09,-8.734902921179029e-09,False,INTERIOR_UNBOUNDED,0.0
0,56,yaw_drift:torso:knot_12,rad,-3.17889432103947e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-8.80586292416134e-09,-8.80586292416134e-09,-8.80586292416134e-09,False,INTERIOR_UNBOUNDED,0.0
