experiment_id,seed_id,wall_time_s,status,backend,device
X_A0_U4_P3_L19_I7_T5,S02,2.2600129679995007,ok,,
X_A0_U4_P3_L19_I8_T1,S02,0.07018205700296676,ok,,
X_A0_U4_P3_L19_I8_T2,S02,2.255605716993159,ok,,
X_A0_U4_P3_L19_I8_T3,S02,2.238312574001611,ok,,
X_A0_U4_P3_L19_I8_T4,S02,1.4178590909941704,ok,,
X_A0_U4_P3_L19_I8_T5,S02,2.343174713998451,ok,,
X_A0_U4_P4_L19_I0_T1,S02,0.07284271399839781,ok,,
X_A0_U4_P4_L19_I0_T2,S02,2.3448279410004034,ok,,
X_A0_U4_P4_L19_I0_T3,S02,2.3418565619940637,ok,,
X_A0_U4_P4_L19_I0_T4,S02,1.3846409489997313,ok,,
X_A0_U4_P4_L19_I0_T5,S02,2.237119633005932,ok,,
X_A0_U4_P4_L19_I1_T1,S02,0.07051955800125143,ok,,
X_A0_U4_P4_L19_I1_T2,S02,1.530474791994493,ok,,
X_A0_U4_P4_L19_I1_T3,S02,2.2570372280024458,ok,,
X_A0_U4_P4_L19_I1_T4,S02,2.2562210530013544,ok,,
X_A0_U4_P4_L19_I1_T5,S02,1.3904882139977417,ok,,
X_A0_U4_P4_L19_I2_T1,S02,0.07250854999438161,ok,,
X_A0_U4_P4_L19_I2_T2,S02,2.34156198099663,ok,,
X_A0_U4_P4_L19_I2_T3,S02,1.3675984799992875,ok,,
X_A0_U4_P4_L19_I2_T4,S02,2.3251485920045525,ok,,
X_A0_U4_P4_L19_I2_T5,S02,2.3479635789990425,ok,,
X_A0_U4_P4_L19_I3_T1,S02,0.06941173999803141,ok,,
X_A0_U4_P4_L19_I3_T2,S02,2.2556305949983653,ok,,
X_A0_U4_P4_L19_I3_T3,S02,2.2529460950026987,ok,,
X_A0_U4_P4_L19_I3_T4,S02,2.2544953449978493,ok,,
X_A0_U4_P4_L19_I3_T5,S02,1.3870695360019454,ok,,
X_A0_U4_P4_L19_I4_T1,S02,0.04304169900569832,ok,,
X_A0_U4_P4_L19_I4_T2,S02,1.3723774160025641,ok,,
X_A0_U4_P4_L19_I4_T3,S02,1.3753330660038046,ok,,
X_A0_U4_P4_L19_I4_T4,S02,2.341383118997328,ok,,
X_A0_U4_P4_L19_I4_T5,S02,2.342671626000083,ok,,
X_A0_U4_P4_L19_I5_T1,S02,0.07249346799653722,ok,,
X_A0_U4_P4_L19_I5_T2,S02,2.3214265269998577,ok,,
X_A0_U4_P4_L19_I5_T3,S02,1.365139026005636,ok,,
X_A0_U4_P4_L19_I5_T4,S02,2.2554377259948524,ok,,
X_A0_U4_P4_L19_I5_T5,S02,2.3696923490060726,ok,,
X_A0_U4_P4_L19_I6_T1,S02,0.06906839599832892,ok,,
X_A0_U4_P4_L19_I6_T2,S02,2.2459144899985404,ok,,
X_A0_U4_P4_L19_I6_T3,S02,1.4923150179965887,ok,,
X_A0_U4_P4_L19_I6_T4,S02,1.3767526559968246,ok,,
X_A0_U4_P4_L19_I6_T5,S02,2.4591377770047984,ok,,
X_A0_U4_P4_L19_I7_T1,S02,0.07265082900266862,ok,,
X_A0_U4_P4_L19_I7_T2,S02,2.335122966003837,ok,,
