capture_id,tag,raw_range_path,frames,ge4_ratio,full8_ratio,valid_anchor_count_median,bias_rows
R06,BS2DCE,captures/erlangen_20260528_optitrack/roto_R06_BS2DCE_BSDC91_120s_20260528_131147/tag_capture_20260528_131147/tr_all.csv,1200,1.0,0.96,8.0,8
R06,BSDC91,captures/erlangen_20260528_optitrack/roto_R06_BS2DCE_BSDC91_120s_20260528_131147/tag_capture_20260528_131147/tr_all.csv,1201,1.0,0.9533721898417985,8.0,8
R07,BS2DCE,captures/erlangen_20260528_optitrack/roto_R07_BS2DCE_BSDC91_120s_20260528_131506/tag_capture_20260528_131506/tr_all.csv,1200,1.0,0.965,8.0,8
R07,BSDC91,captures/erlangen_20260528_optitrack/roto_R07_BS2DCE_BSDC91_120s_20260528_131506/tag_capture_20260528_131506/tr_all.csv,1201,1.0,0.951706910907577,8.0,8
R08,BS2DCE,captures/erlangen_20260528_optitrack/roto_R08_BS2DCE_BSDC91_120s_20260528_131827/tag_capture_20260528_131827/tr_all.csv,1201,1.0,0.9533721898417985,8.0,8
R08,BSDC91,captures/erlangen_20260528_optitrack/roto_R08_BS2DCE_BSDC91_120s_20260528_131827/tag_capture_20260528_131827/tr_all.csv,1200,1.0,0.915,8.0,8
R09,BS2DCE,captures/erlangen_20260528_optitrack/roto_R09_BS2DCE_BSDC91_120s_20260528_132144/tag_capture_20260528_132144/tr_all.csv,1200,1.0,0.9625,8.0,8
R09,BSDC91,captures/erlangen_20260528_optitrack/roto_R09_BS2DCE_BSDC91_120s_20260528_132144/tag_capture_20260528_132144/tr_all.csv,1200,1.0,0.9291666666666667,8.0,8
R10,BS2DCE,captures/erlangen_20260528_optitrack/roto_R10_BS2DCE_BSDC91_120s_20260528_132554/tag_capture_20260528_132555/tr_all.csv,1200,1.0,0.9516666666666667,8.0,8
R10,BSDC91,captures/erlangen_20260528_optitrack/roto_R10_BS2DCE_BSDC91_120s_20260528_132554/tag_capture_20260528_132555/tr_all.csv,1200,1.0,0.9325,8.0,8
R11,BS2DCE,captures/erlangen_20260528_optitrack/roto_R11_BS2DCE_BSDC91_120s_20260528_132910/tag_capture_20260528_132910/tr_all.csv,1201,1.0,0.9567027477102414,8.0,8
R11,BSDC91,captures/erlangen_20260528_optitrack/roto_R11_BS2DCE_BSDC91_120s_20260528_132910/tag_capture_20260528_132910/tr_all.csv,1200,1.0,0.9275,8.0,8
R12,BS2DCE,captures/erlangen_20260528_optitrack/roto_R12_BS2DCE_BSDC91_120s_20260528_133222/tag_capture_20260528_133222/tr_all.csv,1199,1.0,0.9457881567973311,8.0,8
R12,BSDC91,captures/erlangen_20260528_optitrack/roto_R12_BS2DCE_BSDC91_120s_20260528_133222/tag_capture_20260528_133222/tr_all.csv,1200,1.0,0.9233333333333333,8.0,8
R13,BS2DCE,captures/erlangen_20260528_optitrack/roto_R13_BS2DCE_BSDC91_120s_20260528_133559/tag_capture_20260528_133559/tr_all.csv,1200,1.0,0.9258333333333333,8.0,8
R13,BSDC91,captures/erlangen_20260528_optitrack/roto_R13_BS2DCE_BSDC91_120s_20260528_133559/tag_capture_20260528_133559/tr_all.csv,1200,1.0,0.9358333333333333,8.0,8
R14,BS2DCE,captures/erlangen_20260528_optitrack/roto_R14_BS2DCE_BSDC91_120s_20260528_134048/tag_capture_20260528_134048/tr_all.csv,1201,1.0,0.9533721898417985,8.0,8
R14,BSDC91,captures/erlangen_20260528_optitrack/roto_R14_BS2DCE_BSDC91_120s_20260528_134048/tag_capture_20260528_134048/tr_all.csv,1200,1.0,0.9516666666666667,8.0,8
R15,BS2DCE,captures/erlangen_20260528_optitrack/roto_R15_BS2DCE_BSDC91_120s_20260528_134410/tag_capture_20260528_134410/tr_all.csv,1200,1.0,0.95,8.0,8
R15,BSDC91,captures/erlangen_20260528_optitrack/roto_R15_BS2DCE_BSDC91_120s_20260528_134410/tag_capture_20260528_134410/tr_all.csv,1200,1.0,0.9175,8.0,8
R16,BS2DCE,captures/erlangen_20260528_optitrack/roto_R16_BS2DCE_BSDC91_120s_20260528_134727/tag_capture_20260528_134728/tr_all.csv,1201,1.0,0.9492089925062448,8.0,8
R16,BSDC91,captures/erlangen_20260528_optitrack/roto_R16_BS2DCE_BSDC91_120s_20260528_134727/tag_capture_20260528_134728/tr_all.csv,1200,1.0,0.95,8.0,8
R17,BS2DCE,captures/erlangen_20260528_optitrack/roto_R17_BS2DCE_BSDC91_120s_20260528_135050/tag_capture_20260528_135050/tr_all.csv,1201,1.0,0.9533721898417985,8.0,8
R17,BSDC91,captures/erlangen_20260528_optitrack/roto_R17_BS2DCE_BSDC91_120s_20260528_135050/tag_capture_20260528_135050/tr_all.csv,1200,1.0,0.9175,8.0,8
