experiment_id,deployability,description,capture_id,tag,n_samples,availability_fraction,effective_update_rate_hz,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,max_gap_s,turn_center_abs_error_3d_mm,turn_center_abs_error_xz_mm,turn_center_abs_error_y_mm,fused_radius_mm,opti_radius_mm,nominal_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,A,U,P,L,I,T,kind
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R06,BS2DCE,1200,1.0,9.541347429083926,100.88169169573032,168.81749670289236,108.15720216366124,47.223769191350044,115.67424100079504,67.33302590968174,155.89956419610147,0.19066100000000574,52.130618613069046,34.412908484042305,39.15805315194041,395.74999618536117,361.6911856341384,440.0,34.05881055122279,34.05881055122279,80.75291803877221,132.56634823347318,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R06,BSDC91,1201,1.0,9.664403585493515,75.61844318223808,109.73199751926677,76.64269021806125,42.56123457595393,94.06192863211677,40.24196716199913,97.53173167762452,0.2421109999999942,33.547979273607744,27.511468417421824,19.19859418966962,486.2887793153109,469.19249804748443,560.0,17.09628126782644,17.09628126782644,93.03151399819528,163.5685664713464,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R07,BS2DCE,1200,1.0,9.925656830340007,97.50994403041523,165.81970510891966,107.3527382686595,62.82227097690834,135.7108433823506,58.725071443947854,127.40638282754666,0.20860400000000823,89.8060320702495,77.51785311996498,45.34430332328657,399.3854156224082,359.8923130975424,440.0,39.493102524865776,39.493102524865776,68.32388733010963,113.46834473698972,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R07,BSDC91,1201,1.0,9.795326649655625,68.60988554340972,116.6676401567566,75.16689872613274,38.69679586189701,108.07979506045768,40.26600465661659,87.28768909952714,0.22745200000000132,54.074369998366464,40.42869254473621,35.91042063027703,479.4912024057726,467.0012460447542,560.0,12.489956361018358,12.489956361018358,78.01656809581475,126.12754745300157,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R08,BS2DCE,1201,1.0,9.895503483217244,91.00093092695825,175.82953790293845,105.05479130407215,64.77986412931591,115.67135918624844,61.13946426895768,145.85171098711555,0.23738199999999665,77.39271970240196,72.41225567999525,27.3147998394561,380.53265290791273,360.6086329403899,440.0,19.924019967522838,19.924019967522838,68.78872706224405,119.99433401930753,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R08,BSDC91,1200,1.0,9.686074330934694,52.63648698708582,86.83027604476432,56.72753185277475,43.73283033961361,71.87838957502686,22.47001915080932,57.244513872159615,0.2214879999999999,35.859971622684725,24.83167795150223,25.871322635161732,479.24472951499905,468.3368491162471,560.0,10.907880398751956,10.907880398751956,79.30941138170095,134.37364513226817,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R09,BS2DCE,1200,1.0,9.553014453711114,116.12687744992247,200.09549995413747,129.06398314082918,86.2688180411242,172.76157974718186,60.17737287772758,134.71123056420421,0.2122150000000005,142.90837194212256,85.82170592187968,114.26914528343355,426.13048752880076,362.34192685475176,440.0,63.788560674048995,63.788560674048995,92.99603888408535,177.38331476842825,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R09,BSDC91,1200,1.0,9.76286012750288,80.43389666207554,115.55992214058105,83.55487706583253,63.26164907478953,104.74972826196303,34.926891637575295,83.36838972373512,0.23627600000000015,29.225934535918537,26.08843514939055,13.173792200951084,513.1746721722353,470.4331214231617,560.0,42.74155074907361,42.74155074907361,94.54101150196252,178.49153275309965,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R10,BS2DCE,1200,1.0,10.230807006056772,68.14071360320301,175.48358285504997,90.89526147594817,38.14966590912207,90.57735020127244,48.16636468240222,155.95933029977095,0.22822800000000143,96.76724061527115,96.76482304559276,0.6840155326476633,329.05356758273234,313.7983706055772,440.0,15.255196977155151,15.255196977155151,115.15407991704554,244.8069613106698,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R10,BSDC91,1200,1.0,9.706193522086027,50.8628117700775,109.34194152189525,61.75460108381611,28.23051911270086,83.62995071929716,38.892618649162955,79.51051077165674,0.20685799999999688,47.468140345496984,46.43783834372266,9.836234941382827,419.6276751199339,405.59485612190014,560.0,14.032818998033747,14.032818998033747,141.7936675202886,291.95377710070306,A0,U4,P4,B0,I0,T1,uwb_only
