L,A,R,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,b0_uwb_p95_mean,b0_delta_p95_mean,b0_improved_seed_fraction,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short
L20,A0,R3,I6,T10,range_fusion,5,350.95399426759536,542.701295765047,3.4078915651969064,386.3082089590507,489.2344345962717,319.59928574098706,231.8021379954777,-310.8991577695694,0.0,134.11621721846814,144.08118798219158,195.48655933347422,L20 Xsens MTi-3,X_A0_R3_L20_I6_T10
L16,A0,R4,I3,T10,range_fusion,5,365.3935378017412,545.6734132654011,8.84304078089853,384.13732250925716,491.65020614190115,326.7046742055353,231.8021379954777,-313.87127526992344,0.0,134.8498714705616,147.20725207871175,134.3631387427873,L16 ICM-45686,X_A0_R4_L16_I3_T10
L16,A0,R4,I4,T10,range_fusion,5,356.96502415356656,546.339028433634,14.194535722645785,379.9799458590334,492.76200796533493,322.83952663560274,231.8021379954777,-314.5368904381563,0.0,124.00435288153594,160.53789405560252,173.6870457587126,L16 ICM-45686,X_A0_R4_L16_I4_T10
L20,A0,R4,I3,T10,range_fusion,5,343.9769896688362,546.4681676604016,10.837927724612287,375.2491906529694,480.1113960594169,316.43796563878294,231.8021379954777,-314.66602966492394,0.0,132.1397535673895,142.92863072362724,242.1757521759533,L20 Xsens MTi-3,X_A0_R4_L20_I3_T10
L16,A0,R4,I5,T9,range_fusion,5,351.6388444417779,549.1822676236498,13.973180133729873,385.1721356517486,492.50109021734625,319.6704417204115,231.8021379954777,-317.3801296281721,0.0,132.05601065430167,154.00334304744527,213.1483527026562,L16 ICM-45686,X_A0_R4_L16_I5_T9
L20,A0,R4,I7,T10,range_fusion,5,361.5539046253045,554.1152390838082,14.112924728303158,386.98682533725275,509.3734900314488,337.6622664277994,231.8021379954777,-322.3131010883306,0.0,134.65981451881555,153.87381979055573,240.99231610523913,L20 Xsens MTi-3,X_A0_R4_L20_I7_T10
L16,A0,R3,I6,T10,range_fusion,5,369.95775891314713,556.9868445925051,5.383602497570018,395.3737341968461,502.6280934576065,341.08143544016514,231.8021379954777,-325.1847065970275,0.0,133.49447643155787,151.26402292536733,168.52639067103695,L16 ICM-45686,X_A0_R3_L16_I6_T10
L20,A0,R2,I6,T10,range_fusion,5,359.82974478569355,557.437275493475,5.5604103206323465,394.9511914048051,501.5257252491121,326.9239704160499,231.8021379954777,-325.6351374979973,0.0,138.85943413711516,145.6340001282462,185.37363383792785,L20 Xsens MTi-3,X_A0_R2_L20_I6_T10
L20,A0,R3,I8,T10,range_fusion,5,364.7430262358896,559.3542340983249,11.290253138618612,394.17642628790423,507.8783245784165,323.4391504645176,231.8021379954777,-327.55209610284726,0.0,137.64512709130582,152.15766603406823,198.14781462718793,L20 Xsens MTi-3,X_A0_R3_L20_I8_T10
L20,A0,R4,I1,T10,range_fusion,5,370.8434701850424,565.02520949792,11.565516323446957,396.10464883744334,510.3687112377682,323.8224487307811,231.8021379954777,-333.22307150244234,0.0,138.99677538288975,156.83475529425294,175.433784467414,L20 Xsens MTi-3,X_A0_R4_L20_I1_T10
L20,A0,R4,I6,T9,range_fusion,5,365.7542189379621,566.3151802631785,5.482194456971652,401.1846374091524,508.9091589687617,333.0332653823127,231.8021379954777,-334.51304226770077,0.0,135.6136250726876,150.26994371127518,204.73450062428748,L20 Xsens MTi-3,X_A0_R4_L20_I6_T9
L16,A0,R2,I6,T10,range_fusion,5,375.49862044830405,568.8685554246422,7.631583358779789,404.7306194151674,515.3442953287117,348.6954764803173,231.8021379954777,-337.0664174291645,0.0,138.21359999914858,149.56488001842717,161.26962229079965,L16 ICM-45686,X_A0_R2_L16_I6_T10
L20,A0,R2,I8,T10,range_fusion,5,373.00224369060896,571.8584091538414,6.977513226446716,402.7963353075002,520.1750241922533,331.1610068148445,231.8021379954777,-340.05627115836376,0.0,141.61546635054825,153.2006176706361,183.5357767053387,L20 Xsens MTi-3,X_A0_R2_L20_I8_T10
L20,A0,R4,I2,T10,range_fusion,5,374.46829125873336,571.8658404146897,12.397135424333355,408.4777240691054,506.2189164252779,337.0007823781167,231.8021379954777,-340.06370241921206,0.0,136.3313663529746,164.64413482213348,223.8998038767129,L20 Xsens MTi-3,X_A0_R4_L20_I2_T10
L20,A0,R3,I4,T10,range_fusion,5,379.7073100378645,574.2972453023797,7.2737417046649595,407.1685448324773,529.2010970515544,339.47914888036587,231.8021379954777,-342.49510730690196,0.0,149.73320445072562,145.23775838976871,143.63411162971258,L20 Xsens MTi-3,X_A0_R3_L20_I4_T10
L16,A0,R3,I8,T10,range_fusion,5,378.1250092486833,574.8703565093103,9.916148864875355,404.94515365897024,514.017168310763,338.2821420111101,231.8021379954777,-343.0682185138327,0.0,138.786369950773,152.46829914524196,137.78795403691097,L16 ICM-45686,X_A0_R3_L16_I8_T10
L16,A0,R4,I6,T9,range_fusion,5,378.99646919756077,580.5649426810951,7.416074628905112,409.8829577069402,522.1735083725646,353.5588922283549,231.8021379954777,-348.7628046856174,0.0,134.78111970016238,151.67601592570264,178.79451301872933,L16 ICM-45686,X_A0_R4_L16_I6_T9
L16,A0,R4,I7,T10,range_fusion,5,377.60075952710156,581.6277054556424,11.581451193397186,404.8124082890333,515.7385137645819,351.2594615096715,231.8021379954777,-349.8255674601648,0.0,136.4218572773253,162.2819680365314,138.0701569818707,L16 ICM-45686,X_A0_R4_L16_I7_T10
L20,A0,R4,I8,T9,range_fusion,5,380.4498682493862,582.7394153853309,4.772896675614858,409.3937598225668,527.0622476996984,337.35964099855516,231.8021379954777,-350.9372773898532,0.0,139.1566848313784,156.89714037483483,189.66862022347888,L20 Xsens MTi-3,X_A0_R4_L20_I8_T9
L16,A0,R2,I8,T10,range_fusion,5,387.54988035556397,584.7089741001221,8.29292416389238,413.64965331302375,525.5019404231629,346.64607260402124,231.8021379954777,-352.9068361046444,0.0,142.83576735726155,152.13476330628936,127.8861430903291,L16 ICM-45686,X_A0_R2_L16_I8_T10
L20,A0,R2,I4,T10,range_fusion,5,388.3791509605497,589.31507697452,9.299479970420219,416.9693125953968,542.4799418189845,348.31231819916746,231.8021379954777,-357.5129389790423,0.0,153.93763315699732,149.71645293688138,132.08639662495887,L20 Xsens MTi-3,X_A0_R2_L20_I4_T10
L16,A0,R4,I8,T9,range_fusion,5,391.73071044483106,593.0659689958578,6.424066029944089,420.91105114006575,533.2906926771268,353.6808295140553,231.8021379954777,-361.26383100038015,0.0,139.45250990484087,155.69601238854094,134.64405650125195,L16 ICM-45686,X_A0_R4_L16_I8_T9
L20,A0,R3,I5,T9,range_fusion,5,389.51824722732016,601.9085981506948,2.1186956208867174,424.6426615608917,543.3941172215052,353.40614139566344,231.8021379954777,-370.10646015521723,0.0,149.7614927802885,149.17409835594785,123.10728074829282,L20 Xsens MTi-3,X_A0_R3_L20_I5_T9
L20,A0,R4,I4,T9,range_fusion,5,395.80848212496227,602.1200937126717,7.525610689109261,425.4481665596815,552.2832789607294,356.81993177411834,231.8021379954777,-370.31795571719414,0.0,151.2485372297039,153.8183725545604,134.49891142519314,L20 Xsens MTi-3,X_A0_R4_L20_I4_T9
L16,A0,R3,I4,T10,range_fusion,5,397.082537682941,604.9421487220999,14.936086301660811,423.41180146232045,538.106744479391,356.3183391478148,231.8021379954777,-373.1400107266222,0.0,147.46545953459272,157.99567880213658,142.106743201384,L16 ICM-45686,X_A0_R3_L16_I4_T10
L16,A0,R4,I2,T10,range_fusion,5,386.33733924447836,605.876713460893,22.783181544369896,414.47486696851803,536.4205012863805,368.3989601092792,231.8021379954777,-374.07457546541536,0.0,136.29735813399662,170.7835116828898,127.61443701129008,L16 ICM-45686,X_A0_R4_L16_I2_T10
L20,A0,R4,I5,T7,range_fusion,5,393.12863570256474,605.9701675336162,3.512558508136484,428.14524560042616,548.0384426002179,357.4928460469392,231.8021379954777,-374.1680295381385,0.0,148.31085437178993,151.9791265577454,123.43238586986502,L20 Xsens MTi-3,X_A0_R4_L20_I5_T7
L20,A0,R3,I3,T10,range_fusion,5,392.2477344090566,609.295317938226,5.689939303032135,422.82911451716,546.1160761686893,360.7275863125069,231.8021379954777,-377.4931799427483,0.0,155.17445481314917,151.7869767205958,162.34640896137873,L20 Xsens MTi-3,X_A0_R3_L20_I3_T10
L16,A0,R4,I1,T10,range_fusion,5,386.1231402425489,611.8307504219068,20.90112818037497,416.255051299631,550.7771135098931,360.3524248143238,231.8021379954777,-380.0286124264292,0.0,135.93207348657074,170.22824363249168,210.35533755938417,L16 ICM-45686,X_A0_R4_L16_I1_T10
L16,A0,R3,I3,T10,range_fusion,5,406.3831255865345,613.1131837356943,9.790084336174566,432.5949816530207,562.4414093666431,364.6722229089313,231.8021379954777,-381.3110457402166,0.0,155.71013158041643,156.96845977398584,113.79129182040506,L16 ICM-45686,X_A0_R3_L16_I3_T10
L20,A0,R2,I5,T9,range_fusion,5,401.26749276244556,615.4714378966344,3.8671746529261615,434.8255120725829,556.3703079621961,363.01446126016475,231.8021379954777,-383.6692999011567,0.0,154.0820125185308,154.2314200984048,110.9321020200241,L20 Xsens MTi-3,X_A0_R2_L20_I5_T9
L16,A0,R2,I4,T10,range_fusion,5,406.024246569564,619.52091397685,12.80162242695537,432.2135205388232,548.9432753436998,362.2451517825175,231.8021379954777,-387.71877598137235,0.0,150.8491452453241,158.3091714019493,129.46650645077852,L16 ICM-45686,X_A0_R2_L16_I4_T10
L16,A0,R3,I5,T9,range_fusion,5,398.8693835666809,622.7554590970345,12.17816865033905,433.29323530947806,554.5592975864155,364.2756810498866,231.8021379954777,-390.95332110155687,0.0,152.7637029355795,152.81787751493638,135.0154373290747,L16 ICM-45686,X_A0_R3_L16_I5_T9
L20,A0,R2,I3,T10,range_fusion,5,403.97983665456934,624.639427043612,4.7812713661977835,434.1013939541368,559.1534576900323,369.703224362146,231.8021379954777,-392.8372890481344,0.0,158.67081241579305,155.00134527011647,142.32760101665076,L20 Xsens MTi-3,X_A0_R2_L20_I3_T10
L16,A0,R2,I3,T10,range_fusion,5,417.8856759254889,627.2496925827343,9.237747724951447,442.3396699846609,576.3946021892388,372.4662464961086,231.8021379954777,-395.44755458725666,0.0,157.7524101981742,162.2797884085994,106.16322828192878,L16 ICM-45686,X_A0_R2_L16_I3_T10
L16,A0,R4,I5,T7,range_fusion,5,402.1100382048335,628.6865587968059,13.206903241905541,436.526886607052,559.6671307057502,368.4262527739761,231.8021379954777,-396.88442080132825,0.0,150.62511095838153,155.7478073417182,133.52694399462302,L16 ICM-45686,X_A0_R4_L16_I5_T7
L20,A0,R3,I7,T10,range_fusion,5,405.8620003385697,629.4717705969441,13.701329223668909,439.41889806783337,571.2055526051375,379.4640567661125,231.8021379954777,-397.66963260146645,0.0,155.94520359670702,159.4153868501483,144.15102562513547,L20 Xsens MTi-3,X_A0_R3_L20_I7_T10
L16,A0,R4,I4,T9,range_fusion,5,410.6235836837656,633.2394500844686,8.771163902712019,439.0861094210171,556.1517903704178,370.4480565664535,231.8021379954777,-401.4373120889909,0.0,149.1620010288096,164.3766783933537,129.99907114286276,L16 ICM-45686,X_A0_R4_L16_I4_T9
L20,A0,R4,I3,T9,range_fusion,5,412.6089420044882,635.4993719369143,4.766707900638018,443.28232685428463,566.6697619009424,378.63365136394174,231.8021379954777,-403.69723394143665,0.0,153.4435632515221,158.88532925330105,138.3277248230849,L20 Xsens MTi-3,X_A0_R4_L20_I3_T9
L16,A0,R4,I3,T9,range_fusion,5,427.23750991699853,636.5552960958496,6.621553225659933,450.73514982174703,586.4807985271939,381.81198843883936,231.8021379954777,-404.75315810037193,0.0,150.8927738072499,165.51264368584665,106.39723022077587,L16 ICM-45686,X_A0_R4_L16_I3_T9
L20,A0,R3,I6,T9,range_fusion,5,419.163849485436,636.6105153059864,5.5053952866590095,449.0736478543171,582.0202341642777,379.3700995840669,231.8021379954777,-404.8083773105088,0.0,149.92601554454646,155.46729129111833,121.61748062044128,L20 Xsens MTi-3,X_A0_R3_L20_I6_T9
L16,A0,R2,I5,T9,range_fusion,5,408.8425817423186,636.9580669506219,12.133278139989805,443.27663182208545,568.192719424918,374.2059407313949,231.8021379954777,-405.1559289551442,0.0,153.51073789129003,157.33288992539264,120.33324992843659,L16 ICM-45686,X_A0_R2_L16_I5_T9
L20,A0,R3,I1,T10,range_fusion,5,418.77363833717135,638.5844309618025,20.108582240474977,444.1632496339469,572.2785084382025,368.1325465049031,231.8021379954777,-406.7822929663248,0.0,156.18045953147129,162.47701659028561,104.1376271484016,L20 Xsens MTi-3,X_A0_R3_L20_I1_T10
L20,A0,R2,I7,T10,range_fusion,5,418.17659761196694,642.9630112410489,14.712261143842994,449.0761879084099,581.0917402826999,386.93931270821656,231.8021379954777,-411.1608732455713,0.0,157.03584761165942,161.58389319185133,126.9057073737537,L20 Xsens MTi-3,X_A0_R2_L20_I7_T10
L20,A0,R4,I6,T7,range_fusion,5,422.86342418197216,644.0334694127051,5.784372965279699,453.5152037232072,589.3943185182932,383.0451317367262,231.8021379954777,-412.23133141722735,0.0,147.37947884277838,159.25058113546316,118.44122591934111,L20 Xsens MTi-3,X_A0_R4_L20_I6_T7
L16,A0,R3,I7,T10,range_fusion,5,423.08795657749835,644.2767945304527,11.616822749102592,452.6030688515655,575.6812384234491,381.1973631416703,231.8021379954777,-412.47465653497494,0.0,154.96661114738555,159.6437958145713,109.66889488253018,L16 ICM-45686,X_A0_R3_L16_I7_T10
L20,A0,R3,I2,T10,range_fusion,5,415.91274535639616,648.5599144931414,11.623027628282442,449.6240521775633,570.761470870021,373.886963773561,231.8021379954777,-416.7577764976637,0.0,156.18947543714646,163.82574450185342,125.19003359695871,L20 Xsens MTi-3,X_A0_R3_L20_I2_T10
L20,A0,R2,I6,T9,range_fusion,5,429.42816663937344,651.6675820506993,6.53028943711737,460.0555234984945,597.2313706183716,387.5978978222288,231.8021379954777,-419.86544405522153,0.0,152.01869440347784,154.47781232725313,111.1727476217118,L20 Xsens MTi-3,X_A0_R2_L20_I6_T9
L20,A0,R4,I7,T9,range_fusion,5,427.7103315817361,652.4032811599735,16.464609401767735,458.02062509992146,587.7017712749846,394.4335860213104,231.8021379954777,-420.6011431644959,0.0,153.04909816896603,166.0868083258735,123.76842102640164,L20 Xsens MTi-3,X_A0_R4_L20_I7_T9
L16,A0,R3,I6,T9,range_fusion,5,429.6015949680985,654.9180707774376,5.030141336787659,460.1156145313419,591.1969974872886,390.1147724703595,231.8021379954777,-423.11593278195994,0.0,150.1527184442304,167.36692858307825,113.21870261793106,L16 ICM-45686,X_A0_R3_L16_I6_T9
L20,A0,R4,I5,T6,range_fusion,5,437.85571255771555,656.2286270585371,5.975709778603867,464.6550667112573,591.1331115703852,390.86429566627197,231.8021379954777,-424.4264890630595,0.0,157.46046022796705,167.32051151113993,98.20028359610922,L20 Xsens MTi-3,X_A0_R4_L20_I5_T6
L20,A0,R2,I1,T10,range_fusion,5,427.4646901827058,656.2871838898334,21.38735196303423,454.37924106438805,583.6605992274987,377.0372861066223,231.8021379954777,-424.4850458943558,0.0,154.80230852560734,163.67960871209442,95.43138121091428,L20 Xsens MTi-3,X_A0_R2_L20_I1_T10
L16,A0,R2,I7,T10,range_fusion,5,432.62432020707803,656.9003176662549,12.241579411806242,461.28969895839543,588.2134419674179,388.6855182389737,231.8021379954777,-425.09817967077726,0.0,155.42228591458334,161.17469759086515,101.6962144477133,L16 ICM-45686,X_A0_R2_L16_I7_T10
L16,A0,R3,I2,T10,range_fusion,5,432.8410960666305,660.7119548822602,25.217308946925783,460.63073979642894,590.1979715319418,406.843817121549,231.8021379954777,-428.90981688678255,0.0,155.82226197720297,168.1443215325217,101.8290809317428,L16 ICM-45686,X_A0_R3_L16_I2_T10
L20,A0,R3,I8,T9,range_fusion,5,433.50541208362813,660.7975709431541,11.627240410866424,463.68362477477285,595.7981300437734,384.45453671472245,231.8021379954777,-428.99543294767636,0.0,151.80538701639242,160.1732332365947,112.96939438168674,L20 Xsens MTi-3,X_A0_R3_L20_I8_T9
L16,A0,R4,I6,T7,range_fusion,5,433.2853209493284,660.9679095502204,6.1865174999998,463.93615008825384,595.9601316559877,394.1922625576459,231.8021379954777,-429.1657715547426,0.0,148.8629184320606,173.71782619384845,110.04753281295538,L16 ICM-45686,X_A0_R4_L16_I6_T7
L20,A0,R2,I2,T10,range_fusion,5,426.3546061445313,663.2981139111045,14.436243651921592,458.42849520905366,582.203658970198,382.1265073950939,231.8021379954777,-431.4959759156268,0.0,156.7213768168379,158.91259525627663,111.40917489821285,L20 Xsens MTi-3,X_A0_R2_L20_I2_T10
L16,A0,R3,I8,T9,range_fusion,5,444.0582250803145,667.9719722722015,7.467501256762249,471.1943391861204,596.6145834011626,396.4670960796705,231.8021379954777,-436.16983427672386,0.0,156.16191439544738,159.39314840035803,98.70395085434109,L16 ICM-45686,X_A0_R3_L16_I8_T9
L16,A0,R4,I7,T9,range_fusion,5,440.85423898656666,668.1565917377368,13.014330727556947,468.37142968260196,597.5983066919104,397.3773873924127,231.8021379954777,-436.3544537422592,0.0,153.63527393820897,168.7192785111749,103.85231519319723,L16 ICM-45686,X_A0_R4_L16_I7_T9
L20,A0,R4,I8,T7,range_fusion,5,437.2447927350657,668.512144038915,10.87702269671689,467.7676121755161,601.1747823594803,389.2130928449666,231.8021379954777,-436.7100060434374,0.0,153.00951174465843,170.59291696124842,109.36946905497143,L20 Xsens MTi-3,X_A0_R4_L20_I8_T7
L16,A0,R2,I6,T9,range_fusion,5,440.18565865869834,668.7207081749121,4.748470140458593,469.72887504704687,605.9999548847585,398.5854811152118,231.8021379954777,-436.9185701794345,0.0,157.28895480184147,166.58513542608733,105.67673978212618,L16 ICM-45686,X_A0_R2_L16_I6_T9
L20,A0,R4,I1,T9,range_fusion,5,438.3507580323443,668.8960559092232,21.420975443375113,462.3984953960161,592.0103173620071,387.43333374758237,231.8021379954777,-437.09391791374554,0.0,150.8152769227648,168.36068693934482,93.16390735537259,L20 Xsens MTi-3,X_A0_R4_L20_I1_T9
L16,A0,R3,I1,T10,range_fusion,5,432.77231564500136,670.9729961706041,15.021089710744079,462.07204700284956,606.2537421780341,390.9672853278824,231.8021379954777,-439.17085817512645,0.0,152.09487696709772,168.09562930350063,121.26025812892871,L16 ICM-45686,X_A0_R3_L16_I1_T10
L16,A0,R4,I8,T7,range_fusion,5,448.37082737672034,674.5397376534384,8.401980422843788,475.31982843538174,602.5925318833606,400.4722322583275,231.8021379954777,-442.73759965796063,0.0,152.9284272236428,163.09732064286092,97.93235492315735,L16 ICM-45686,X_A0_R4_L16_I8_T7
L20,A0,R4,I2,T9,range_fusion,5,435.07050094266407,675.5634827193701,15.984347237462371,466.57529864816814,591.9246391175689,389.9545212002583,231.8021379954777,-443.7613447238924,0.0,152.30698316118028,169.91013286888307,107.63018895532727,L20 Xsens MTi-3,X_A0_R4_L20_I2_T9
L20,A0,R2,I8,T9,range_fusion,5,443.47747707863556,675.8256759516665,11.769064754905964,473.6475202688005,611.1571135170382,393.96798985570393,231.8021379954777,-444.02353795618893,0.0,156.29529201864383,157.29539662864983,107.03198236064767,L20 Xsens MTi-3,X_A0_R2_L20_I8_T9
L16,A0,R2,I2,T10,range_fusion,5,441.5021696294246,676.342754443069,24.652418968381472,469.83288921141667,602.1537187184775,413.77610958511104,231.8021379954777,-444.54061644759133,0.0,156.96679045283028,168.57681722664185,96.03397440896819,L16 ICM-45686,X_A0_R2_L16_I2_T10
L16,A0,R4,I5,T6,range_fusion,5,443.90752356416033,678.2950101346484,17.76233920347192,472.8246164218285,610.0754479274917,400.17557766163935,231.8021379954777,-446.4928721391707,0.0,154.83348123262368,166.0236870231666,101.77481748900819,L16 ICM-45686,X_A0_R4_L16_I5_T6
L20,A0,R3,I4,T9,range_fusion,5,455.4909567234719,681.5965159102212,6.921606530089433,480.024537868725,620.8276564029441,399.97715852117096,231.8021379954777,-449.79437791474356,0.0,156.8356415133225,153.46162527432926,105.19150001750877,L20 Xsens MTi-3,X_A0_R3_L20_I4_T9
L20,A0,R3,I5,T7,range_fusion,5,458.0444171036603,681.7538302951399,7.814927146040665,484.317193130092,615.2019684595837,407.199503382198,231.8021379954777,-449.9516922996622,0.0,155.65284417335062,155.78672485216788,107.6920321794133,L20 Xsens MTi-3,X_A0_R3_L20_I5_T7
L16,A0,R2,I8,T9,range_fusion,5,454.61552067134653,683.060573552856,10.098322005128665,481.5656375867452,613.6964865493425,404.99795864011355,231.8021379954777,-451.2584355573784,0.0,157.4954345558337,156.96882176812898,100.60737046592988,L16 ICM-45686,X_A0_R2_L16_I8_T9
L16,A0,R2,I1,T10,range_fusion,5,443.32347871907723,683.2906082202838,12.884334191314533,471.69704734497725,618.0215735358514,397.9743669670344,231.8021379954777,-451.48847022480624,0.0,156.66622501392357,169.18821138036859,112.09226157536914,L16 ICM-45686,X_A0_R2_L16_I1_T10
L20,A0,R4,I4,T7,range_fusion,5,460.1039476411058,687.5548714523236,7.060094493861772,485.0715459431106,626.4052821388025,404.34314326600065,231.8021379954777,-455.75273345684593,0.0,155.3952486840677,157.12564516167112,105.32873557156877,L20 Xsens MTi-3,X_A0_R4_L20_I4_T7
L16,A0,R4,I2,T9,range_fusion,5,449.3870412195366,687.6516991505898,23.78705661067481,477.10788023096427,613.5722519707208,419.6060031202147,231.8021379954777,-455.84956115511216,0.0,156.23183537045637,172.55244626785708,96.13243327671125,L16 ICM-45686,X_A0_R4_L16_I2_T9
L16,A0,R4,I1,T9,range_fusion,5,451.58955902345076,693.2131671625036,11.203406043864831,479.27576641021096,626.533991780987,406.49807122400586,231.8021379954777,-461.41102916702596,0.0,153.90303568517953,171.6367136536052,112.30659270718438,L16 ICM-45686,X_A0_R4_L16_I1_T9
L20,A0,R4,I6,T6,range_fusion,5,467.2774710556582,694.9744585769552,8.606091634055499,489.59522005871895,640.868253181259,411.7141814426075,231.8021379954777,-463.1723205814775,0.0,155.70870712431233,157.31970806746804,108.12721662387756,L20 Xsens MTi-3,X_A0_R4_L20_I6_T6
L20,A0,R2,I4,T9,range_fusion,5,466.78946679646543,695.6904689411085,7.763862008498099,491.5847271115614,636.2051422770855,408.4482808704912,231.8021379954777,-463.88833094563086,0.0,161.8249813491579,155.00254616694093,106.78006073722119,L20 Xsens MTi-3,X_A0_R2_L20_I4_T9
L20,A0,R2,I5,T7,range_fusion,5,471.2328909905579,697.4132967665139,9.049320477526834,495.7541271913595,633.8432930415776,416.48087451163246,231.8021379954777,-465.61115877103623,0.0,157.52225072363768,161.60277101066868,114.87926681174517,L20 Xsens MTi-3,X_A0_R2_L20_I5_T7
L16,A0,R3,I4,T9,range_fusion,5,464.27585919830636,702.1869285156474,11.146728862823068,490.23464908993446,628.38297043548,414.3477436470389,231.8021379954777,-470.38479052016964,0.0,156.30022339203134,160.35397098040943,103.96672577099999,L16 ICM-45686,X_A0_R3_L16_I4_T9
L16,A0,R3,I5,T7,range_fusion,5,467.6425825543321,702.9669830594241,18.18249687736889,491.6276605605402,636.823212618037,415.20804539594235,231.8021379954777,-471.1648450639465,0.0,160.48952219098558,159.48350913562888,106.22431549980823,L16 ICM-45686,X_A0_R3_L16_I5_T7
L16,A0,R4,I6,T6,range_fusion,5,474.2459598589693,706.786904535912,2.666044675139536,497.4779822785878,647.8597310302354,423.0918772804991,231.8021379954777,-474.98476654043435,0.0,155.46394464697087,169.47614866763752,103.65665193518767,L16 ICM-45686,X_A0_R4_L16_I6_T6
L16,A0,R4,I4,T7,range_fusion,5,469.3302210608787,709.7873625002742,9.694362424152391,494.898918995795,633.6545608281809,417.7273842738039,231.8021379954777,-477.9852245047965,0.0,154.8057173189033,165.31433435993748,105.59339517167734,L16 ICM-45686,X_A0_R4_L16_I4_T7
L20,A0,R3,I3,T9,range_fusion,5,478.31157383895544,710.281297993703,4.893102845319022,500.6845099957477,649.8000244681098,421.3490323327827,231.8021379954777,-478.4791599982253,0.0,160.43122139691044,158.03007850652708,108.65510409540266,L20 Xsens MTi-3,X_A0_R3_L20_I3_T9
