row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I7:T8,S00,torch_gpu,,10.54397784199955,0.0,1.0,10.54397784199955,10.54397784199955,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I8:T6,S00,simulate_imu_prior,L0:I8,0.1631208029994013,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I8:T6,S00,build_track_tensors,L0:I8,14.025802117999774,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I8:T6,S00,torch_gpu,,1.9923893670002144,0.0,1.0,1.9923893670002144,1.9923893670002144,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I8:T8,S00,torch_gpu,,4.578885210999943,0.0,1.0,4.578885210999943,4.578885210999943,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I3+I7:T6,S00,simulate_imu_prior,L0:I1+I3+I7,0.0910221550002461,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I3+I7:T6,S00,build_track_tensors,L0:I1+I3+I7,15.106948326999373,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I3+I7:T6,S00,torch_gpu,,4.711156772000322,0.0,1.0,4.711156772000322,4.711156772000322,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I3+I7:T8,S00,torch_gpu,,3.7140562570002658,0.0,1.0,3.7140562570002658,3.7140562570002658,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I2+I3+I8:T6,S00,simulate_imu_prior,L0:I1+I2+I3+I8,0.2615818310005124,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I2+I3+I8:T6,S00,build_track_tensors,L0:I1+I2+I3+I8,19.13256257899957,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I2+I3+I8:T6,S00,torch_gpu,,9.40578045300026,0.0,1.0,9.40578045300026,9.40578045300026,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I1+I2+I3+I8:T8,S00,torch_gpu,,4.850007355999878,0.0,1.0,4.850007355999878,4.850007355999878,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L1:I0:T6,S00,simulate_imu_prior,L1:I0,0.9900158410000586,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I0:T6,S00,build_track_tensors,L1:I0,15.878404769000554,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I0:T6,S00,torch_gpu,,12.491581755999505,0.0,1.0,12.491581755999505,12.491581755999505,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
