subset_mask,n_anchors,anchor_labels,median_3d,rmse_3d,p95_3d,median_vert,gdop_condition,fail_rate
01000110,3,BCG,nan,nan,nan,nan,nan,1.0
01000111,4,ABCG,209.7200927734375,267.5679674166921,451.95263671875,122.63459777832031,8.077306747436523,0.0
01001000,2,DG,nan,nan,nan,nan,nan,1.0
01001001,3,ADG,nan,nan,nan,nan,nan,1.0
01001010,3,BDG,nan,nan,nan,nan,nan,1.0
01001011,4,ABDG,125.17830657958984,246.50826399686886,391.4924011230469,99.57086944580078,5.560997009277344,0.0
01001100,3,CDG,nan,nan,nan,nan,nan,1.0
01001101,4,ACDG,196.61676025390625,265.4848748045734,488.9449462890625,120.17578125,8.09298038482666,0.0
01001110,4,BCDG,119.58734130859375,194.88350887453254,420.0362854003906,56.368507385253906,3.09039306640625,0.0
01001111,5,ABCDG,104.50148010253906,146.31904753611198,225.0572052001953,76.90692138671875,3.0924246311187744,0.0
01010000,2,EG,nan,nan,nan,nan,nan,1.0
01010001,3,AEG,nan,nan,nan,nan,nan,1.0
01010010,3,BEG,nan,nan,nan,nan,nan,1.0
01010011,4,ABEG,131.23110961914062,241.94643647923397,523.714111328125,69.7655029296875,10.655807495117188,0.0
01010100,3,CEG,nan,nan,nan,nan,nan,1.0
01010101,4,ACEG,211.02505493164062,407.3282229971304,756.1386108398438,90.11614990234375,136.413330078125,0.0
01010110,4,BCEG,146.3502197265625,267.69883089490696,540.7642211914062,87.63248443603516,12.348527908325195,0.0
01010111,5,ABCEG,159.4654998779297,236.70666016981863,424.96551513671875,99.592529296875,7.447393894195557,0.0
01011000,3,DEG,nan,nan,nan,nan,nan,1.0
01011001,4,ADEG,143.678466796875,352.824019962502,550.8742065429688,79.76348876953125,12.246513366699219,0.0
01011010,4,BDEG,73.66355895996094,201.4714716932648,419.6890869140625,63.01507568359375,2.770885467529297,0.0
01011011,5,ABDEG,89.87544250488281,178.3314538208978,332.0216369628906,63.616729736328125,3.2580699920654297,0.0
01011100,4,CDEG,177.41351318359375,244.00554713212978,508.80718994140625,58.70405578613281,9.893404006958008,0.0
01011101,5,ACDEG,177.22569274902344,240.50044666018815,472.7102966308594,100.22015380859375,7.198184013366699,0.0
01011110,5,BCDEG,94.18315887451172,169.04101642611772,306.9967956542969,60.45790100097656,3.2260854244232178,0.0
01011111,6,ABCDEG,108.60735321044922,151.8505574467048,229.06394958496094,75.38226318359375,3.7054853439331055,0.0
01100000,2,FG,nan,nan,nan,nan,nan,1.0
01100001,3,AFG,nan,nan,nan,nan,nan,1.0
01100010,3,BFG,nan,nan,nan,nan,nan,1.0
01100011,4,ABFG,135.77479553222656,226.11222497080956,453.6714172363281,104.81239318847656,6.038209915161133,0.0
01100100,3,CFG,nan,nan,nan,nan,nan,1.0
01100101,4,ACFG,171.77249145507812,223.5564456127356,369.94873046875,150.93954467773438,6.981895923614502,0.0
01100110,4,BCFG,155.04232788085938,224.8816789586248,381.5455627441406,120.91466522216797,5.520775318145752,0.0
01100111,5,ABCFG,141.1402130126953,184.66144063190345,310.70416259765625,111.22923278808594,3.8306360244750977,0.0
01101000,3,DFG,nan,nan,nan,nan,nan,1.0
01101001,4,ADFG,466.64874267578125,847.543398593842,1407.16650390625,348.60504150390625,6.433521270751953,0.0
01101010,4,BDFG,165.871337890625,251.00431862569616,494.20001220703125,96.12600708007812,6.1135573387146,0.0
01101011,5,ABDFG,140.87008666992188,187.695033981323,372.7747497558594,115.17169189453125,5.517060279846191,0.0
01101100,4,CDFG,184.43853759765625,215.84050824625112,332.4598693847656,165.30694580078125,6.171969413757324,0.0
01101101,5,ACDFG,155.04580688476562,184.98690832056198,298.60223388671875,128.2130126953125,5.122936248779297,0.0
01101110,5,BCDFG,159.0041961669922,192.50452510915164,299.4335632324219,92.08673095703125,3.7287747859954834,0.0
01101111,6,ABCDFG,112.21318817138672,141.50732230391824,230.41368103027344,84.16748046875,3.4364137649536133,0.0
01110000,3,EFG,nan,nan,nan,nan,nan,1.0
01110001,4,AEFG,163.7504425048828,311.6091301614893,625.3046875,92.9342041015625,9.793604850769043,0.0
01110010,4,BEFG,144.24835205078125,211.1284876118095,397.67413330078125,125.68301391601562,5.183781623840332,0.0
01110011,5,ABEFG,97.32711791992188,182.2314376692452,298.78460693359375,69.5496826171875,5.391993522644043,0.0
01110100,4,CEFG,151.73123168945312,257.40028409075234,487.3692626953125,121.81707000732422,10.190256118774414,0.0
01110101,5,ACEFG,151.39450073242188,227.00422456146052,377.4505920410156,120.814453125,7.42595100402832,0.0
01110110,5,BCEFG,115.13409423828125,187.224964948588,333.8313293457031,99.7913818359375,5.1566667556762695,0.0
01110111,6,ABCEFG,133.3797149658203,176.76890037737124,299.9233703613281,106.82907104492188,4.1550092697143555,0.0
01111000,4,DEFG,190.47943115234375,237.85462833157146,389.65362548828125,168.737548828125,11.401683807373047,0.0
01111001,5,ADEFG,156.462646484375,227.01751722058808,365.1033630371094,131.4810791015625,7.341546535491943,0.0
01111010,5,BDEFG,80.88922119140625,188.60106914132274,388.1158447265625,66.310546875,3.406555414199829,0.0
01111011,6,ABDEFG,92.09501647949219,164.48986599673853,329.51007080078125,68.08252716064453,3.070404529571533,0.0
01111100,5,CDEFG,162.8007354736328,175.90650814957075,324.714599609375,112.01971435546875,6.415577411651611,0.0
01111101,6,ACDEFG,137.22396850585938,174.548507987393,322.3934020996094,91.25350952148438,4.700318336486816,0.0
01111110,6,BCDEFG,99.33502197265625,156.64748816012022,304.0171813964844,84.06246185302734,3.239142417907715,0.0
01111111,7,ABCDEFG,93.9664077758789,139.0853141398293,217.0823974609375,79.874267578125,3.2076895236968994,0.0
10000000,1,H,nan,nan,nan,nan,nan,1.0
10000001,2,AH,nan,nan,nan,nan,nan,1.0
10000010,2,BH,nan,nan,nan,nan,nan,1.0
10000011,3,ABH,nan,nan,nan,nan,nan,1.0
10000100,2,CH,nan,nan,nan,nan,nan,1.0
10000101,3,ACH,nan,nan,nan,nan,nan,1.0
10000110,3,BCH,nan,nan,nan,nan,nan,1.0
10000111,4,ABCH,157.5513916015625,216.20715796719128,354.001953125,128.59060668945312,5.985506057739258,0.0
10001000,2,DH,nan,nan,nan,nan,nan,1.0
10001001,3,ADH,nan,nan,nan,nan,nan,1.0
10001010,3,BDH,nan,nan,nan,nan,nan,1.0
10001011,4,ABDH,172.91494750976562,244.66112565393382,422.7515563964844,75.02716064453125,7.858712196350098,0.0
10001100,3,CDH,nan,nan,nan,nan,nan,1.0
10001101,4,ACDH,102.443603515625,179.09578115669,363.4341125488281,64.4998779296875,3.360609531402588,0.0
10001110,4,BCDH,176.68914794921875,270.87958579413106,590.4736938476562,100.75200653076172,8.377265930175781,0.0
10001111,5,ABCDH,109.35379028320312,139.54438278062287,234.84689331054688,78.19390869140625,3.1689133644104004,0.0
10010000,2,EH,nan,nan,nan,nan,nan,1.0
10010001,3,AEH,nan,nan,nan,nan,nan,1.0
10010010,3,BEH,nan,nan,nan,nan,nan,1.0
10010011,4,ABEH,109.81007385253906,149.84491331665217,253.06668090820312,73.40837097167969,5.907784461975098,0.0
10010100,3,CEH,nan,nan,nan,nan,nan,1.0
10010101,4,ACEH,137.12078857421875,214.93768173880073,433.7486877441406,98.23260498046875,6.350149631500244,0.0
10010110,4,BCEH,264.1319885253906,859.4701492780305,1521.4398193359375,185.56246948242188,6.513515472412109,0.0
10010111,5,ABCEH,124.10922241210938,155.02281208139982,309.6139831542969,85.4052734375,5.293213367462158,0.0
10011000,3,DEH,nan,nan,nan,nan,nan,1.0
10011001,4,ADEH,134.39834594726562,184.03637335795878,359.0718994140625,87.84008026123047,5.58659553527832,0.0
10011010,4,BDEH,124.827392578125,234.94454132837393,443.0329895019531,78.20361328125,6.935327529907227,0.0
10011011,5,ABDEH,120.466796875,158.26700639267807,267.6340026855469,68.62754821777344,3.970003128051758,0.0
10011100,4,CDEH,106.62206268310547,159.29895244476657,292.4573059082031,54.76542663574219,6.202564239501953,0.0
10011101,5,ACDEH,101.80467987060547,161.43012589623723,340.6331481933594,54.88043212890625,4.064558029174805,0.0
10011110,5,BCDEH,104.11088562011719,142.8981827211249,222.40444946289062,57.782257080078125,5.071606159210205,0.0
10011111,6,ABCDEH,89.65762329101562,114.72485341976908,211.92724609375,72.61090087890625,3.550006866455078,0.0
10100000,2,FH,nan,nan,nan,nan,nan,1.0
10100001,3,AFH,nan,nan,nan,nan,nan,1.0
10100010,3,BFH,nan,nan,nan,nan,nan,1.0
10100011,4,ABFH,218.091552734375,254.93598307957626,414.6458740234375,150.74200439453125,13.633970260620117,0.0
10100100,3,CFH,nan,nan,nan,nan,nan,1.0
10100101,4,ACFH,128.3443603515625,213.93033328632944,421.9494323730469,102.45849609375,3.050867795944214,0.0
10100110,4,BCFH,155.60635375976562,244.3195269518996,471.3191833496094,82.51167297363281,9.766378402709961,0.0
10100111,5,ABCFH,125.31558227539062,172.21537319770556,296.91290283203125,104.72332763671875,3.1403164863586426,0.0
10101000,3,DFH,nan,nan,nan,nan,nan,1.0
10101001,4,ADFH,147.7847137451172,277.3747042585174,423.5622253417969,97.7879638671875,9.837919235229492,0.0
10101010,4,BDFH,285.2142028808594,483.5041364869591,810.6128540039062,84.09814453125,99.75121307373047,0.0
10101011,5,ABDFH,147.66989135742188,230.33921147679132,397.14306640625,78.39398193359375,6.731361389160156,0.0
10101100,4,CDFH,179.48269653320312,300.28812986446866,543.830078125,88.29867553710938,11.092545509338379,0.0
10101101,5,ACDFH,91.83023071289062,180.71298138380928,334.2519836425781,66.17059326171875,3.2756714820861816,0.0
10101110,5,BCDFH,127.27407836914062,259.4821013817716,481.01220703125,79.07386779785156,6.835850238800049,0.0
10101111,6,ABCDFH,89.79386138916016,147.7418567975914,263.7928771972656,76.72755432128906,3.5165905952453613,0.0
10110000,3,EFH,nan,nan,nan,nan,nan,1.0
10110001,4,AEFH,105.48137664794922,273.07214877665575,464.54443359375,83.4468002319336,5.407693862915039,0.0
10110010,4,BEFH,172.62252807617188,248.22498772534968,413.59521484375,120.22695922851562,8.542251586914062,0.0
10110011,5,ABEFH,127.38524627685547,157.76731407558728,266.6092529296875,78.02252197265625,5.3395586013793945,0.0
10110100,4,CEFH,144.18771362304688,239.9380535289265,471.8226318359375,108.26998901367188,9.955255508422852,0.0
10110101,5,ACEFH,122.51368713378906,192.04221134297532,406.03387451171875,93.55853271484375,3.637042760848999,0.0
10110110,5,BCEFH,146.46165466308594,166.4140931250265,282.44842529296875,94.7154312133789,6.242417335510254,0.0
10110111,6,ABCEFH,113.70455932617188,148.5048071086421,244.3804473876953,93.20660400390625,3.207958459854126,0.0
10111000,4,DEFH,135.25648498535156,272.47054026536523,511.9625549316406,85.8670654296875,10.45733642578125,0.0
10111001,5,ADEFH,118.62606811523438,195.22759154381842,384.95440673828125,77.4365234375,5.415038585662842,0.0
10111010,5,BDEFH,130.17913818359375,219.9815333158672,415.10015869140625,75.33650970458984,5.811191558837891,0.0
10111011,6,ABDEFH,128.89768981933594,168.57205316829655,308.08599853515625,64.15536499023438,4.041434288024902,0.0
10111100,5,CDEFH,132.76036071777344,163.2155579574907,256.9033508300781,65.6607666015625,6.528580665588379,0.0
10111101,6,ACDEFH,88.70227813720703,159.6950401840176,311.97119140625,67.40003204345703,3.3891592025756836,0.0
10111110,6,BCDEFH,127.37092590332031,152.94435134837443,238.13597106933594,81.90447998046875,4.368452072143555,0.0
10111111,7,ABCDEFH,90.79525756835938,127.15211424215485,216.2552947998047,78.1004638671875,3.1123127937316895,0.0
11000000,2,GH,nan,nan,nan,nan,nan,1.0
11000001,3,AGH,nan,nan,nan,nan,nan,1.0
11000010,3,BGH,nan,nan,nan,nan,nan,1.0
11000011,4,ABGH,213.53573608398438,664.0036003290946,1338.8157958984375,171.5567626953125,5.620321273803711,0.0
11000100,3,CGH,nan,nan,nan,nan,nan,1.0
11000101,4,ACGH,162.68441772460938,214.944142453336,376.0152893066406,112.98634338378906,6.777127265930176,0.0
11000110,4,BCGH,109.03559875488281,169.66863960562955,281.43145751953125,83.14952087402344,6.619625091552734,0.0
11000111,5,ABCGH,124.72372436523438,172.21275336593106,311.0059814453125,101.47138977050781,5.552825927734375,0.0
11001000,3,DGH,nan,nan,nan,nan,nan,1.0
11001001,4,ADGH,108.23739624023438,204.78177218382987,339.0827331542969,90.64703369140625,6.022634029388428,0.0
11001010,4,BDGH,116.81318664550781,205.07808154761443,444.24066162109375,78.15313720703125,6.012777328491211,0.0
11001011,5,ABDGH,115.8674545288086,176.4542311851008,315.7623291015625,76.70833587646484,5.473687171936035,0.0
11001100,4,CDGH,92.87396240234375,166.41760818044466,337.7789306640625,42.72479248046875,4.8968987464904785,0.0
11001101,5,ACDGH,87.61766815185547,148.43980919256464,308.54925537109375,61.78727722167969,3.8060410022735596,0.0
11001110,5,BCDGH,90.49998474121094,154.49843875627028,267.2079772949219,52.11407470703125,3.957355260848999,0.0
11001111,6,ABCDGH,94.54820251464844,117.26353783119244,196.26914978027344,72.13641357421875,3.349297523498535,0.0
11010000,3,EGH,nan,nan,nan,nan,nan,1.0
11010001,4,AEGH,97.28971862792969,294.58307402157374,745.6780395507812,78.322509765625,9.76535415649414,0.0
11010010,4,BEGH,92.02439880371094,258.196312788351,638.8109130859375,73.41551208496094,11.34045124053955,0.0
11010011,5,ABEGH,84.5770263671875,151.83886530011017,299.5424499511719,67.20947265625,6.043226718902588,0.0
11010100,4,CEGH,110.99095153808594,242.92668647145376,488.66998291015625,90.311279296875,9.68914794921875,0.0
11010101,5,ACEGH,136.75851440429688,218.4539067515159,378.9310607910156,91.50323486328125,7.351014614105225,0.0
11010110,5,BCEGH,101.85404205322266,146.55337791441383,285.7091369628906,75.07965087890625,6.909262180328369,0.0
11010111,6,ABCEGH,130.57196044921875,153.0986010407182,289.7397155761719,88.36322021484375,4.322938919067383,0.0
11011000,4,DEGH,79.71556091308594,194.8354975197025,459.355712890625,55.4703369140625,5.1845855712890625,0.0
11011001,5,ADEGH,87.4953842163086,171.75461693212208,310.97576904296875,69.494140625,5.325943470001221,0.0
11011010,5,BDEGH,70.01499938964844,169.0381509730126,327.9314270019531,58.49967956542969,3.2801575660705566,0.0
11011011,6,ABDEGH,80.46129608154297,143.52660630959681,308.2762756347656,48.50615692138672,3.1405577659606934,0.0
11011100,5,CDEGH,76.01930236816406,165.346180406443,343.47198486328125,48.81890869140625,5.312111854553223,0.0
11011101,6,ACDEGH,93.82833862304688,160.27902915696737,313.5671081542969,47.472938537597656,4.298243522644043,0.0
11011110,6,BCDEGH,81.2233657836914,136.68965047462444,279.7183837890625,56.50651550292969,3.1341400146484375,0.0
11011111,7,ABCDEGH,91.63037872314453,121.34504570516054,207.10394287109375,66.06509399414062,3.3431663513183594,0.0
11100000,3,FGH,nan,nan,nan,nan,nan,1.0
11100001,4,AFGH,130.78199768066406,191.67656677330174,392.39990234375,93.36241149902344,9.71230411529541,0.0
11100010,4,BFGH,172.32266235351562,255.70868892892554,506.4789123535156,121.79501342773438,9.57154655456543,0.0
11100011,5,ABFGH,135.3941650390625,174.22052409410608,260.4310607910156,93.43836975097656,6.25091552734375,0.0
11100100,4,CFGH,119.47306823730469,208.39622904757658,350.6841735839844,87.21746826171875,4.966447353363037,0.0
11100101,5,ACFGH,131.45779418945312,180.49065072739918,312.046875,104.49751281738281,3.5153892040252686,0.0
11100110,5,BCFGH,122.82237243652344,161.76112669419373,275.39154052734375,103.32379150390625,5.015931129455566,0.0
11100111,6,ABCFGH,124.58456420898438,150.30565862809357,236.83485412597656,104.92718505859375,3.2017574310302734,0.0
11101000,4,DFGH,128.52215576171875,266.14604778204017,526.3096313476562,94.29682922363281,8.263945579528809,0.0
11101001,5,ADFGH,115.56681823730469,159.2682424304199,260.5752258300781,85.04296875,6.320831298828125,0.0
11101010,5,BDFGH,106.6189193725586,215.30513412654608,442.2218322753906,74.08069610595703,5.9928154945373535,0.0
11101011,6,ABDFGH,120.595703125,157.26821362126867,293.731689453125,77.61888885498047,3.988119602203369,0.0
11101100,5,CDFGH,91.93270874023438,181.4972989640617,340.6622314453125,60.16455078125,5.12869930267334,0.0
11101101,6,ACDFGH,93.24226379394531,146.2229675871749,266.2207946777344,76.28411865234375,3.2659482955932617,0.0
11101110,6,BCDFGH,95.80821228027344,167.29502383513983,277.707275390625,77.25006103515625,4.197978496551514,0.0
11101111,7,ABCDFGH,97.75704193115234,125.84362195796814,219.4266357421875,80.158203125,3.249026298522949,0.0
11110000,4,EFGH,136.30239868164062,172.0051155216757,259.18255615234375,118.55769348144531,7.071579933166504,0.0
11110001,5,AEFGH,103.4200668334961,255.9939574482179,377.1792297363281,82.69073486328125,6.7357940673828125,0.0
11110010,5,BEFGH,123.43898010253906,179.562728419625,301.05718994140625,117.44438934326172,6.35219144821167,0.0
11110011,6,ABEFGH,91.74742126464844,135.26405743720318,208.73251342773438,75.30144500732422,5.290046691894531,0.0
11110100,5,CEFGH,109.92820739746094,176.8838281807441,258.4541931152344,87.71844482421875,6.204903602600098,0.0
11110101,6,ACEFGH,118.90351104736328,172.07281797977274,306.6278076171875,107.48316955566406,4.549374103546143,0.0
11110110,6,BCEFGH,102.99211883544922,141.05199063643164,234.55831909179688,91.09698486328125,5.694737911224365,0.0
11110111,7,ABCEFGH,115.61117553710938,138.56068870038501,226.8727264404297,103.1163330078125,3.70936918258667,0.0
11111000,5,DEFGH,100.236328125,177.55043297609836,381.5772399902344,90.33734893798828,6.207045555114746,0.0
11111001,6,ADEFGH,115.13392639160156,147.30827714566823,251.46778869628906,96.67704772949219,5.959636688232422,0.0
11111010,6,BDEFGH,69.32282257080078,165.16182878468015,316.3265686035156,64.5482177734375,4.364673137664795,0.0
11111011,7,ABDEFGH,103.30191040039062,138.23453660129584,263.4618225097656,65.89376831054688,3.6118788719177246,0.0
11111100,6,CDEFGH,98.05699157714844,144.60014911818038,248.46725463867188,69.23623657226562,4.698530197143555,0.0
11111101,7,ACDEFGH,84.47286224365234,140.82978838610458,257.0298767089844,75.34149169921875,3.8867294788360596,0.0
11111110,7,BCDEFGH,86.87907409667969,135.44998067783177,225.4398193359375,80.69001770019531,3.760618209838867,0.0
11111111,8,ABCDEFGH,92.156494140625,118.81300959911755,207.2322235107422,81.60528564453125,2.6253442764282227,0.0
