bibkey,authors,year,title,venue,doi_or_url,cluster,read_status,relevance_1to5,addresses_coupling,addresses_identifiability,uses_ground_truth,shows_wrong_cal_wins
schwarzbach_2026_evaluation_of_grid_based_uncerta,Paul Schwarzbach; Andrea Jung,2026,Evaluation of Grid-Based Uncertainty Propagation for Collaborative Self-Calibration in Indoor Positioning Systems,IEEE Journal of Indoor and Seamless Positioning and Navigation,https://doi.org/10.1109/jispin.2026.3687458,A,FULL_TEXT_READ,5,no,no,no,no
wang_2019_design_and_implementation_of,W. Wang; Jun Huang; Shaotang Cai; Jifeng Yang,2019,Design and Implementation of Synchronization-free TDOA Localization System Based on UWB,Radioengineering,https://doi.org/10.13164/re.2019.0320,A;B,FULL_TEXT_READ,5,no,no,no,no
shah_2021_antenna_delay_calibration_of,Shashi Shah; Krit Chaiwong; La-or Kovavisaruch; Kamol Kaemarungsi; Tanee Demeechai,2021,Antenna Delay Calibration of UWB Nodes,IEEE Access,https://doi.org/10.1109/access.2021.3075448,A;B,FULL_TEXT_READ,5,no,no,no,no
piavanini_2022_a_calibration_method_for,Marco Piavanini; Luca Barbieri; Mattia Brambilla; Mattia Cerutti; Simone Ercoli; Andrea Agili; Monica Nicoli,2022,A Calibration Method for Antenna Delay Estimation and Anchor Self-Localization in UWB Systems,2022 IEEE International Workshop on Metrology for Industry 4.0 & IoT (MetroInd4.0&IoT),https://doi.org/10.1109/metroind4.0iot54413.2022.9831579,A;B,abstract_read_via_openalex,5,no,no,no,no
piavanini_2022_a_self_calibrating_localization_,Marco Piavanini; Luca Barbieri; Mattia Brambilla; Mattia Cerutti; Simone Ercoli; Andrea Agili; Monica Nicoli,2022,A Self-Calibrating Localization Solution for Sport Applications with UWB Technology,Sensors,https://doi.org/10.3390/s22239363,A;B,FULL_TEXT_READ,5,no,no,no,no
shah_2022_antenna_delay_independent_simult,Shashi Shah; Sushank Chaudhary; Rizwan Ullah; Amir Parnianifard; Muhammad Zain Siddiqi; Pisit Vanichchanunt; Wiroonsak Santipach; Lunchakorn Wuttisittikulkij,2022,Antenna Delay-Independent Simultaneous Ranging for UWB-Based RTLSs,Journal of Sensor and Actuator Networks,https://doi.org/10.3390/jsan12010001,A;B,FULL_TEXT_READ,5,no,no,no,no
shah_2022_node_calibration_in_uwb_based,Shashi Shah; La-or Kovavisaruch; Kamol Kaemarungsi; Tanee Demeechai,2022,Node Calibration in UWB-Based RTLSs Using Multiple Simultaneous Ranging,Sensors,https://doi.org/10.3390/s22030864,A;B,FULL_TEXT_READ,5,no,no,no,no
de_preter_2019_range_bias_modeling_autocalibration,Andreas De Preter; Glenn Goysens; Jan Anthonis; Jan Swevers; Goele Pipeleers,2019,Range Bias Modeling and Autocalibration of an UWB Positioning System,2019 International Conference on Indoor Positioning and Indoor Navigation (IPIN),https://doi.org/10.1109/IPIN.2019.8911815,A;B;C;D,ABSTRACT_AND_METADATA_ONLY_NO_LOCAL_PDF,5,partially,no,yes,no
santamaria_pedr_n_2025_machine_learning_integration_in,Juan Carlos Santamaria-Pedrón; Rafael Berkvens; Ignacio Miralles; Carlos Reaño; Joaquín Torres-Sospedra,2025,Machine Learning Integration in Ultra-Wideband-Based Indoor Positioning Systems: A Comprehensive Review,Electronics,https://doi.org/10.3390/electronics15010181,A;B;C;D,FULL_TEXT_READ,5,no,no,no,no
lutz_2019_visual_inertial_slam_uwb_error_model,Philipp Lutz; Martin J. Schuster; Florian Steidle,2019,Visual-inertial SLAM aided estimation of anchor poses and sensor error model parameters of UWB radio modules,2019 19th International Conference on Advanced Robotics (ICAR),https://doi.org/10.1109/ICAR46387.2019.8981544,A;B;D;E,FULL_TEXT_READ,5,partially,partially,yes,no
ridolfi_2021_uwb_anchor_nodes_self_calibratio,Matteo Ridolfi; Jaron Fontaine; Ben Van Herbruggen; Wout Joseph; Jeroen Hoebeke; Eli De Poorter,2021,UWB anchor nodes self-calibration in NLOS conditions: a machine learning and adaptive PHY error correction approach,Wireless Networks,https://doi.org/10.1007/s11276-021-02631-0,A;C,metadata_read_via_openalex,5,no,no,no,no
wang_2024_multipath_assisted_single_anchor,Tianyu Wang; Yuxiao Li; Junchen Liu; Keke Hu; Yuan Shen,2024,Multipath-Assisted Single-Anchor Localization via Deep Variational Learning,IEEE Transactions on Wireless Communications,https://doi.org/10.1109/twc.2024.3359047,A;C,abstract_read_via_openalex,5,no,no,no,no
kong_2023_nlos_identification_for_uwb,Qiankun Kong,2023,NLOS Identification for UWB Positioning Based on IDBO and Convolutional Neural Networks,IEEE Access,https://doi.org/10.1109/access.2023.3344640,A;C;D,FULL_TEXT_READ,5,no,no,yes,no
difranco_2017_calibration_free_network_localization_nlos_uwb,Carmelo Di Franco; Amanda Prorok; Nikolay Atanasov; Benjamin Kempke; Prabal Dutta; Vijay Kumar; George J. Pappas,2017,Calibration-Free Network Localization using Non-Line-of-Sight UWB Measurements,IPSN,https://doi.org/10.1145/3055031.3055081,A;C;D;E,FULL_TEXT_READ,5,partially,yes,yes,no
wymeersch_2012_a_machine_learning_approach,Henk Wymeersch; Stefano Maranò; Wesley M. Gifford; Moe Z. Win,2012,A Machine Learning Approach to Ranging Error Mitigation for UWB Localization,IEEE Transactions on Communications,https://doi.org/10.1109/tcomm.2012.042712.110035,A;C;D;F,FULL_TEXT_READ,5,no,no,no,no
prorok_2013_models_algorithms_uwb_localization_thesis,Amanda Prorok,2013,Models and Algorithms for Ultra-Wideband Localization in Single- and Multi-Robot Systems,EPFL PhD thesis,https://infoscience.epfl.ch/record/186761,A;C;D;F,FULL_TEXT_READ,5,no,no,yes,no
chen_2022_nlos_identification_and_correcti,Zhijian Chen; Aigong Xu; Xin Sui; Yuting Hao; Cong Zhang; Zhengxu Shi,2022,NLOS Identification- and Correction-Focused Fusion of UWB and LiDAR-SLAM Based on Factor Graph Optimization for High-Precision Positioning with Reduced Drift,Remote Sensing,https://doi.org/10.3390/rs14174258,A;C;D;F,FULL_TEXT_READ,5,no,yes,no,no
ledergerber_2015_robot_self_localization_one_way_uwb,Anton Ledergerber; Michael Hamer; Raffaello D'Andrea,2015,A robot self-localization system using one-way ultra-wideband communication,2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/IROS.2015.7353810,A;D,FULL_TEXT_READ,5,no,no,yes,no
poulose_2020_uwb_indoor_localization_using,Alwin Poulose; Dong Seog Han,2020,UWB Indoor Localization Using Deep Learning LSTM Networks,Applied Sciences,https://doi.org/10.3390/app10186290,A;D,FULL_TEXT_READ,5,no,no,no,no
herbruggen_2023_multihop_self_calibration_algori,Ben Van Herbruggen; Stijn Luchie; Jaron Fontaine; Eli De Poorter,2023,Multihop Self-Calibration Algorithm for Ultra-Wideband (UWB) Anchor Node Positioning,IEEE Journal of Indoor and Seamless Positioning and Navigation,https://doi.org/10.1109/jispin.2023.3276826,A;D,FULL_TEXT_READ,5,no,no,no,no
corbalan_2023_self_localization_uwb_anchors,Pablo Corbalan; Gian Pietro Picco; Martin Coors; Vivek Jain,2023,Self-Localization of Ultra-Wideband Anchors: From Theory to Practice,IEEE Access,https://doi.org/10.1109/ACCESS.2023.3261567,A;D;E,FULL_TEXT_READ,5,no,yes,yes,no
almansa_2020_autocalibration_mobile_uwb_localization,Carmen Martinez Almansa; Wang Shule; Jorge Pena Queralta; Tomi Westerlund,2020,Autocalibration of a Mobile UWB Localization System for Ad-Hoc Multi-Robot Deployments in GNSS-Denied Environments,arXiv / CEUR Workshop Proceedings,https://doi.org/10.48550/arXiv.2004.06762,A;D;F,FULL_TEXT_READ,5,no,no,yes,no
jim_nez_2021_improving_the_accuracy_of,Antonio R. Jiménez; Fernando Seco,2021,Improving the Accuracy of Decawave’s UWB MDEK1001 Location System by Gaining Access to Multiple Ranges,Sensors,https://doi.org/10.3390/s21051787,A;D;F,FULL_TEXT_READ,5,no,no,no,no
hamer_2018_self_calibrating_ultra_wideband_network,Michael Hamer; Raffaello D'Andrea,2018,Self-Calibrating Ultra-Wideband Network Supporting Multi-Robot Localization,IEEE Access,https://doi.org/10.1109/ACCESS.2018.2829020,A;E,FULL_TEXT_READ,5,partially,partially,no,no
li_2020_uwb_based_localization_system_ai,Menggang Li; Hua Zhu; Shaoze You; Chaoquan Tang,2020,UWB-Based Localization System Aided With Inertial Sensor for Underground Coal Mine Applications,IEEE Sensors Journal,https://doi.org/10.1109/jsen.2020.2976097,A;F,abstract_read_via_openalex,5,no,no,no,no
horv_th_2017_calibration_method_of_antenna,Kristóf Horváth; Gergely Ill; Ákos Milánkovich,2017,Calibration method of antenna delays for UWB-based localization systems,2017 IEEE 17th International Conference on Ubiquitous Wireless Broadband (ICUWB),https://doi.org/10.1109/icuwb.2017.8250969,B,abstract_read_via_openalex,5,no,no,no,no
gui_2018_a_new_calibration_method,Xinzhe Gui; Shuli Guo; Qiming Chen; Lina Han,2018,A New Calibration Method of UWB Antenna Delay Based on the ADS-TWR,2018 37th Chinese Control Conference (CCC),https://doi.org/10.23919/chicc.2018.8483104,B,abstract_read_via_openalex,5,no,no,no,no
fishberg_2022_multi_agent_relative_pose_estima,Andrew Fishberg; Jonathan P. How,2022,Multi-Agent Relative Pose Estimation with UWB and Constrained Communications,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros47612.2022.9982005,B,abstract_read_via_openalex,5,no,no,no,no
shalaby_2023_calibration_and_uncertainty_char,Mohammed Shalaby; Charles Champagne Cossette; James Richard Forbes; Jérôme Le Ny,2023,Calibration and Uncertainty Characterization for Ultra-Wideband Two-Way-Ranging Measurements,2023 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra48891.2023.10160769,B,FULL_TEXT_READ,5,no,no,no,no
liu_2024_data_driven_antenna_delay_calibr,Zuoya Liu; Teemu Hakala; Juha Hyyppä; Antero Kukko; Harri Kaartinen; Ruizhi Chen,2024,Data-Driven Antenna Delay Calibration for UWB Devices for Network Positioning,IEEE Transactions on Instrumentation and Measurement,https://doi.org/10.1109/tim.2023.3348891,B,FULL_TEXT_READ,5,no,no,no,no
liu_2024_ranging_offset_calibration_and,Junhao Liu; Zhouzheng Gao; Yan Li; Siao Lv; Jia Liu; Cheng Yang,2024,Ranging Offset Calibration and Moving Average Filter Enhanced Reliable UWB Positioning in Classic User Environments,Remote Sensing,https://doi.org/10.3390/rs16142511,B,FULL_TEXT_READ,5,no,no,no,no
schrive_2024_a_genetic_algorithm_approach,Julien Schrive; Adrien van den Bossche; Réjane Dalcé; Thierry Val,2024,A Genetic Algorithm approach for Antenna Delay calibration in UWB ranging,2024 IEEE 100th Vehicular Technology Conference (VTC2024-Fall),https://doi.org/10.1109/vtc2024-fall63153.2024.10757616,B,abstract_read_via_openalex,5,no,no,no,no
ledergerber_2018_calibrating_away_inaccuracies_uwb,Anton Ledergerber; Raffaello D'Andrea,2018,Calibrating Away Inaccuracies in Ultra Wideband Range Measurements: A Maximum Likelihood Approach,IEEE Access,https://doi.org/10.1109/ACCESS.2018.2885195,B;C;D;F,FULL_TEXT_READ,5,partially,no,yes,no
ledergerber_2017_uwb_range_measurement_gp,Anton Ledergerber; Raffaello D'Andrea,2017,Ultra-Wideband Range Measurement Model with Gaussian Processes,2017 IEEE Conference on Control Technology and Applications (CCTA),https://doi.org/10.1109/CCTA.2017.8062738,B;C;F,FULL_TEXT_READ,5,partially,no,yes,no
goudar_2021_online_spatiotemporal_calibration_uwb_imu,Abhishek Goudar; Wenda Zhao; Angela P. Schoellig,2021,Online Spatio-temporal Calibration of Tightly-coupled Ultrawideband-aided Inertial Localization,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/IROS51168.2021.9635904,B;D;E,FULL_TEXT_READ,5,partially,partially,yes,no
shalaby_2022_calibration_and_uncertainty_char,Mohammed Shalaby; Charles Champagne Cossette; James Richard Forbes; Jérôme Le Ny,2022,Calibration and Uncertainty Characterization for Ultra-Wideband Two-Way-Ranging Measurements,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2210.05888,B;F,FULL_TEXT_READ,5,no,no,no,no
g_ven_2007_nlos_identification_and_mitigati,İsmail Güvenç; Chia‐Chin Chong; Fujio Watanabe,2007,NLOS Identification and Mitigation for UWB Localization Systems,2007 IEEE Wireless Communications and Networking Conference,https://doi.org/10.1109/wcnc.2007.296,C,abstract_read_via_openalex,5,no,no,no,no
venkatesh_2007_non_line_of_sight_identification,S. Venkatesh; R. Michael Buehrer,2007,Non-line-of-sight identification in ultra-wideband systems based on received signal statistics,IET Microwaves Antennas & Propagation,https://doi.org/10.1049/iet-map:20060273,C,abstract_read_via_openalex,5,no,no,no,no
wu_2007_nlos_error_mitigation_for,Shaohua Wu; Yongkui Ma; Qinyu Zhang; Naitong Zhang,2007,NLOS Error Mitigation for UWB Ranging in Dense Multipath Environments,2007 IEEE Wireless Communications and Networking Conference,https://doi.org/10.1109/wcnc.2007.295,C,abstract_read_via_openalex,5,no,no,no,no
xiao_2014_non_line_of_sight_identification,Zhuoling Xiao; Hongkai Wen; Andrew Markham; Niki Trigoni; Phil Blunsom; Jeff Frolík,2014,Non-Line-of-Sight Identification and Mitigation Using Received Signal Strength,IEEE Transactions on Wireless Communications,https://doi.org/10.1109/twc.2014.2372341,C,abstract_read_via_openalex,5,no,no,no,no
savic_2015_kernel_methods_for_accurate,Vladimir Savic; Erik G. Larsson; Javier Ferrer-Coll; Peter Stenumgaard,2015,Kernel Methods for Accurate UWB-Based Ranging With Reduced Complexity,IEEE Transactions on Wireless Communications,https://doi.org/10.1109/twc.2015.2496584,C,abstract_read_via_openalex,5,no,no,no,no
yin_2015_entropy_based_toa_estimation_and,Zhendong Yin; Kai Cui; Zhilu Wu; Liang Yin,2015,Entropy-Based TOA Estimation and SVM-Based Ranging Error Mitigation in UWB Ranging Systems,Sensors,https://doi.org/10.3390/s150511701,C,abstract_read_via_openalex,5,no,no,no,no
gururaj_2017_real_time_identification_of_nlos,Karthikeyan Gururaj; Anojh Kumaran Rajendra; Yang Song; Choi Look Law; Guofa Cai,2017,Real-time identification of NLOS range measurements for enhanced UWB localization,2017 International Conference on Indoor Positioning and Indoor Navigation (IPIN),https://doi.org/10.1109/ipin.2017.8115877,C,abstract_read_via_openalex,5,no,no,no,no
wen_2017_nlos_identification_and_compensa,Kai Wen; Kegen Yu; Yingbing Li,2017,NLOS identification and compensation for UWB ranging based on obstruction classification,2017 25th European Signal Processing Conference (EUSIPCO),https://doi.org/10.23919/eusipco.2017.8081702,C,abstract_read_via_openalex,5,no,no,no,no
yin_2017_wub_ip_a_high_precision_uwb,Zhendong Yin; Xu Jiang; Zhutian Yang; Nan Zhao; Yunfei Chen,2017,WUB-IP: A High-Precision UWB Positioning Scheme for Indoor Multiuser Applications,IEEE Systems Journal,https://doi.org/10.1109/jsyst.2017.2766690,C,abstract_read_via_openalex,5,no,no,no,no
caso_2018_performance_comparison_of_wifi,Giuseppe Caso; Mai T. P. Le; Luca De Nardis; Maria‐Gabriella Di Benedetto,2018,Performance Comparison of WiFi and UWB Fingerprinting Indoor Positioning Systems,Technologies,https://doi.org/10.3390/technologies6010014,C,abstract_read_via_openalex,5,no,no,no,no
heydariaan_2018_toward_standard_non_line_of_sigh,Milad Heydariaan; Hessam Mohammadmoradi; Omprakash Gnawali,2018,Toward Standard Non-Line-of-Sight Benchmarking of Ultra-Wideband Radio-Based Localization,2018 IEEE Workshop on Benchmarking Cyber-Physical Networks and Systems (CPSBench),https://doi.org/10.1109/cpsbench.2018.00010,C,abstract_read_via_openalex,5,no,no,yes,no
krishnan_2018_improving_uwb_based_indoor,Sivanand Krishnan; Rochelle Xenia Mendoza Santos; Enhao Ranier Yap; May Thu Zin,2018,Improving UWB Based Indoor Positioning in Industrial Environments Through Machine Learning,"2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV)",https://doi.org/10.1109/icarcv.2018.8581305,C,abstract_read_via_openalex,5,no,no,no,no
yang_2018_nlos_mitigation_for_uwb,Xiaofeng Yang,2018,NLOS Mitigation for UWB Localization Based on Sparse Pseudo-Input Gaussian Process,IEEE Sensors Journal,https://doi.org/10.1109/jsen.2018.2818158,C,abstract_read_via_openalex,5,no,no,no,no
zeng_2018_nlos_identification_for_uwb,Zhuoqi Zeng; Steven Liu; Lei Wang,2018,NLOS Identification for UWB Based on Channel Impulse Response,2018 12th International Conference on Signal Processing and Communication Systems (ICSPCS),https://doi.org/10.1109/icspcs.2018.8631718,C,abstract_read_via_openalex,5,no,no,no,no
barral_2019_environmental_cross_validation_o,Valentín Barral; Carlos J. Escudero; José A. García‐Naya; Pedro Suárez-Casal,2019,Environmental Cross-Validation of NLOS Machine Learning Classification/Mitigation with Low-Cost UWB Positioning Systems,Sensors,https://doi.org/10.3390/s19245438,C,abstract_read_via_openalex,5,no,no,no,no
barral_2019_nlos_classification_based_on,Valentín Barral; Carlos J. Escudero; José A. García‐Naya,2019,NLOS Classification Based on RSS and Ranging Statistics Obtained from Low-Cost UWB Devices,2019 27th European Signal Processing Conference (EUSIPCO),https://doi.org/10.23919/eusipco.2019.8902949,C,abstract_read_via_openalex,5,no,no,no,no
meghani_2019_empirical_based_ranging_error,Sunil Kumar Meghani; Muhammad Asif; Faroq Awin; Kemal Tepe,2019,Empirical Based Ranging Error Mitigation in IR-UWB: A Fuzzy Approach,IEEE Access,https://doi.org/10.1109/access.2019.2904201,C,FULL_TEXT_READ,5,no,yes,no,no
schmid_2019_accuracy_assessment_and_learned,Lorenz Schmid; David Salido-Monzú; Andreas Wieser,2019,Accuracy Assessment and Learned Error Mitigation of UWB ToF Ranging,2019 International Conference on Indoor Positioning and Indoor Navigation (IPIN),https://doi.org/10.1109/ipin.2019.8911769,C,abstract_read_via_openalex,5,no,no,yes,no
zeng_2019_nlos_identification_and_mitigati,Zhuoqi Zeng; Rubing Bai; Lei Wang; Steven Liu,2019,NLOS identification and mitigation based on CIR with particle filter,2019 IEEE Wireless Communications and Networking Conference (WCNC),https://doi.org/10.1109/wcnc.2019.8886002,C,abstract_read_via_openalex,5,no,no,no,no
chen_2020_uwb_system_for_indoor,Yuyao Chen; Shihping Kevin Huang; Tingwei Wu; Wei‐Ting Tsai; Chong‐Yi Liou; Shau‐Gang Mao,2020,"UWB System for Indoor Positioning and Tracking with Arbitrary Target Orientation, Optimal Anchor Location, and Adaptive NLOS Mitigation",IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/tvt.2020.2972578,C,abstract_read_via_openalex,5,no,no,no,no
cheng_2020_real_time_indoor_positioning,Long Cheng; Hao Chang; Kexin Wang; Zhaoqi Wu,2020,Real Time Indoor Positioning System for Smart Grid based on UWB and Artificial Intelligence Techniques,2020 IEEE Conference on Technologies for Sustainability (SusTech),https://doi.org/10.1109/sustech47890.2020.9150486,C,abstract_read_via_openalex,5,no,no,no,no
jiang_2020_an_uwb_channel_impulse,Changhui Jiang; Shuai Chen; Yuwei Chen; Di Liu; Yuming Bo,2020,An UWB Channel Impulse Response De-Noising Method for NLOS/LOS Classification Boosting,IEEE Communications Letters,https://doi.org/10.1109/lcomm.2020.3009659,C,abstract_read_via_openalex,5,no,no,no,no
jiang_2020_uwb_nlos_los_classification_usin,Changhui Jiang; Jichun Shen; Shuai Chen; Yuwei Chen; Di Liu; Yuming Bo,2020,UWB NLOS/LOS Classification Using Deep Learning Method,IEEE Communications Letters,https://doi.org/10.1109/lcomm.2020.2999904,C,abstract_read_via_openalex,5,no,no,no,no
deng_2023_uwb_nlos_identification_and,Bowen Deng; T. Xu; Maode Yan,2023,UWB NLOS Identification and Mitigation Based on Gramian Angular Field and Parallel Deep Learning Model,IEEE Sensors Journal,https://doi.org/10.1109/jsen.2023.3323564,C,abstract_read_via_openalex,5,no,no,no,no
zhu_2023_robust_los_nlos_identification_f,Feiyang Zhu; Kegen Yu; Yiruo Lin; Changyang Wang; Jin Wang; Minghua Chao,2023,Robust LOS/NLOS Identification for UWB Signals Using Improved Fuzzy Decision Tree Under Volatile Indoor Conditions,IEEE Transactions on Instrumentation and Measurement,https://doi.org/10.1109/tim.2023.3276521,C,abstract_read_via_openalex,5,no,no,no,no
nkrow_2024_nlos_identification_and_mitigati,Raphael E. Nkrow; Bruno Silva; Dutliff Boshoff; Gerhard P. Hancke; Mikael Gidlund; Adnan M. Abu‐Mahfouz,2024,NLOS Identification and Mitigation for Time-based Indoor Localization Systems: Survey and Future Research Directions,ACM Computing Surveys,https://doi.org/10.1145/3663473,C,abstract_read_via_openalex,5,no,no,no,no
yang_2024_uwb_nlos_identification_and,Hongchao Yang; Yunjia Wang; Cheekiat Seow; Meng Sun; David Plets,2024,UWB NLOS Identification and Mitigation based on Bidirectional Encoder Representations from Transformer (BERT) Deep Learning,2024 14th International Conference on Indoor Positioning and Indoor Navigation (IPIN),https://doi.org/10.1109/ipin62893.2024.10786116,C,FULL_TEXT_READ,5,no,no,no,no
wang_2025_improved_uwb_based_indoor_positi,Shoude Wang; Nur Syazreen Ahmad,2025,Improved UWB-based indoor positioning system via NLOS classification and error mitigation,Engineering Science and Technology an International Journal,https://doi.org/10.1016/j.jestch.2025.101979,C,abstract_read_via_openalex,5,no,no,no,no
wang_2025_parallel_deep_learning_for,Qiu Wang; Ming-Song Chen; J F Liu; Z. Li; Xin Yan; Y.C. Lin; Kai Li; Chizhou Zhang,2025,Parallel Deep Learning for NLOS Detection and Error Mitigation in UWB Positioning,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2025.3597300,C,abstract_read_via_openalex,5,no,no,no,no
jourdan_2008_position_error_bound_for,Damien Jourdan; Davide Dardari; Moe Z. Win,2008,Position error bound for UWB localization in dense cluttered environments,IEEE Transactions on Aerospace and Electronic Systems,https://doi.org/10.1109/taes.2008.4560210,C;D,abstract_read_via_openalex,5,no,no,no,no
maran_2010_nlos_identification_and_mitigati,Stefano Maranò; Wesley M. Gifford; Henk Wymeersch; Moe Z. Win,2010,NLOS identification and mitigation for localization based on UWB experimental data,IEEE Journal on Selected Areas in Communications,https://doi.org/10.1109/jsac.2010.100907,C;D,abstract_read_via_openalex,5,no,no,no,no
sang_2020_identification_of_nlos_and,Cung Lian Sang; Bastian Steinhagen; Jonas Dominik Homburg; Michael Adams; Marc Hesse; Ulrich Rückert,2020,Identification of NLOS and Multi-Path Conditions in UWB Localization Using Machine Learning Methods,Applied Sciences,https://doi.org/10.3390/app10113980,C;D,abstract_read_via_openalex,5,no,no,no,no
kim_2022_uwb_positioning_system_based,Daeho Kim; Arshad Farhad; Jae-Young Pyun,2022,UWB Positioning System Based on LSTM Classification With Mitigated NLOS Effects,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2022.3209735,C;D,abstract_read_via_openalex,5,no,no,no,no
wang_2022_multi_classification_of_uwb_sign,Jin Wang; Kegen Yu; Jinwei Bu; Yiruo Lin; Shuai Han,2022,Multi-Classification of UWB Signal Propagation Channels Based on One-Dimensional Wavelet Packet Analysis and CNN,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/tvt.2022.3172863,C;D,abstract_read_via_openalex,5,no,no,no,no
