listener,azimuth_deg,excess_delay_ns,bistatic_range_m,power_dB
LF,71.5,19.03,5.705,-3.64
LF,79.0,19.03,5.705,-1.82
LF,87.0,19.03,5.705,-2.12
LF,95.5,19.03,5.705,-0.2
LF,99.0,19.03,5.705,-4.64
LF,107.5,19.03,5.705,-1.83
LF,112.0,19.03,5.705,-0.3
LF,116.0,19.03,5.705,0.0
LF,120.5,19.03,5.705,-0.5
LF,125.0,19.03,5.705,-2.58
LF,131.5,19.03,5.705,-3.41
LF,136.0,19.03,5.705,-0.41
LF,143.0,19.03,5.705,-2.51
LF,150.0,19.03,5.705,-3.09
LF,158.5,19.03,5.705,-1.82
LF,170.5,19.03,5.705,-2.71
LF,174.5,19.03,5.705,-1.95
LF,178.5,19.03,5.705,-2.06
LF,-173.0,20.032,6.005,-5.33
LF,-169.0,20.032,6.005,-4.5
LF,-156.5,20.032,6.005,-4.7
LF,-148.5,20.032,6.005,-5.1
LF,-140.5,20.032,6.005,-4.42
LF,-128.5,20.032,6.005,-5.99
LF,-124.0,20.032,6.005,-5.06
LF,-119.0,20.032,6.005,-4.92
LF,-114.5,20.032,6.005,-5.61
LF,-107.0,20.032,6.005,-3.92
LF,-102.5,20.032,6.005,-3.15
LF,-98.5,20.032,6.005,-5.11
LF,-94.5,20.032,6.005,-2.37
LF,-90.5,20.032,6.005,-4.43
LF,-86.5,20.032,6.005,-2.07
LF,-82.5,20.032,6.005,-2.66
LF,-78.5,20.032,6.005,-3.72
LF,-74.5,20.032,6.005,-2.44
LF,-70.0,20.032,6.005,-1.56
LF,-66.0,20.032,6.005,-1.27
LF,-61.5,20.032,6.005,-1.24
LF,-57.0,20.032,6.005,-1.59
LF,-52.5,20.032,6.005,-3.17
LF,-46.0,20.032,6.005,-2.62
LF,-41.5,20.032,6.005,-1.89
LF,-34.5,20.032,6.005,-1.66
LF,-26.5,20.032,6.005,-1.75
LF,-19.5,20.032,6.005,-3.85
LF,-15.0,20.032,6.005,-2.07
LF,-10.5,20.032,6.005,-4.75
LF,12.0,20.032,6.005,-4.38
LF,16.0,20.032,6.005,-2.71
LF,19.0,20.032,6.005,-4.7
LF,27.5,20.032,6.005,-2.72
LF,35.0,20.032,6.005,-2.58
LF,40.5,20.032,6.005,-2.94
LF,47.0,20.032,6.005,-2.44
LF,52.0,20.032,6.005,-1.96
LF,57.0,20.032,6.005,-1.85
LF,61.5,20.032,6.005,-1.76
LF,66.0,20.032,6.005,-1.98
LF,70.5,20.032,6.005,-2.91
LF,74.0,20.032,6.005,-2.75
LF,78.5,20.032,6.005,-1.79
LF,82.5,20.032,6.005,-3.61
LF,86.5,20.032,6.005,-2.15
LF,90.5,20.032,6.005,-4.2
LF,94.5,20.032,6.005,-2.63
LF,98.5,20.032,6.005,-3.78
LF,102.5,20.032,6.005,-5.12
LF,106.5,20.032,6.005,-4.53
LF,111.0,20.032,6.005,-4.24
LF,115.0,20.032,6.005,-4.42
LF,119.5,20.032,6.005,-4.82
LF,124.0,20.032,6.005,-5.59
LF,135.0,20.032,6.005,-5.8
LF,147.0,20.032,6.005,-5.96
LF,169.0,20.032,6.005,-5.32
LF,173.5,20.032,6.005,-5.95
LF,-101.5,21.034,6.306,-5.65
LF,-93.5,21.034,6.306,-5.28
LF,-85.5,21.034,6.306,-5.44
LF,-82.0,21.034,6.306,-5.72
LF,-70.0,21.034,6.306,-5.12
LF,-65.5,21.034,6.306,-4.58
LF,-61.5,21.034,6.306,-4.43
LF,-57.0,21.034,6.306,-4.56
LF,-52.0,21.034,6.306,-5.29
LF,-46.5,21.034,6.306,-3.98
LF,-41.5,21.034,6.306,-3.51
LF,-34.5,21.034,6.306,-2.57
LF,-27.0,21.034,6.306,-2.12
LF,-19.5,21.034,6.306,-3.68
LF,-15.5,21.034,6.306,-1.96
LF,-10.5,21.034,6.306,-5.56
LF,-5.0,21.034,6.306,-5.91
LF,-0.5,21.034,6.306,-5.02
LF,4.0,21.034,6.306,-5.54
LF,12.5,21.034,6.306,-4.14
LF,16.5,21.034,6.306,-1.63
LF,20.0,21.034,6.306,-3.87
LF,24.5,21.034,6.306,-4.88
LF,28.0,21.034,6.306,-2.37
LF,35.5,21.034,6.306,-3.51
LF,40.5,21.034,6.306,-3.36
LF,47.0,21.034,6.306,-4.83
LF,52.0,21.034,6.306,-4.17
LF,57.0,21.034,6.306,-4.27
LF,61.5,21.034,6.306,-4.62
LF,65.5,21.034,6.306,-5.35
LF,73.5,21.034,6.306,-5.92
LF,78.0,21.034,6.306,-5.3
LF,85.5,21.034,6.306,-5.6
LF,93.5,21.034,6.306,-5.79
LF,-46.0,22.035,6.606,-5.01
LF,-34.5,22.035,6.606,-5.38
LF,-27.0,22.035,6.606,-5.72
LF,-15.5,22.035,6.606,-5.44
LF,15.5,22.035,6.606,-4.65
LF,27.5,22.035,6.606,-5.42
LF,40.0,22.035,6.606,-4.86
LF,-170.0,23.037,6.906,-5.6
LF,-158.0,23.037,6.906,-5.39
LF,-141.5,23.037,6.906,-4.45
LF,-124.5,23.037,6.906,-5.92
LF,130.0,23.037,6.906,-5.48
LF,141.5,23.037,6.906,-5.55
LF,148.5,23.037,6.906,-5.98
LF,156.0,23.037,6.906,-5.99
LF,-21.0,24.038,7.207,-5.6
LF,-9.5,24.038,7.207,-4.64
LF,-5.0,24.038,7.207,-4.57
LF,-0.5,24.038,7.207,-4.93
LF,4.0,24.038,7.207,-4.89
LF,8.5,24.038,7.207,-4.97
LF,-50.0,25.04,7.507,-5.47
LF,-38.5,25.04,7.507,-5.65
LF,-9.5,25.04,7.507,-5.34
LF,-5.0,25.04,7.507,-5.27
LF,-0.5,25.04,7.507,-5.41
LF,4.0,25.04,7.507,-4.73
LF,8.5,25.04,7.507,-4.0
LF,13.0,25.04,7.507,-5.43
LF,21.0,25.04,7.507,-5.13
LF,25.0,25.04,7.507,-5.11
LF,33.0,25.04,7.507,-4.97
LF,37.5,25.04,7.507,-5.6
LF,45.0,25.04,7.507,-5.07
LF,50.0,25.04,7.507,-4.18
LF,55.0,25.04,7.507,-4.68
LF,60.0,25.04,7.507,-4.98
LF,64.5,25.04,7.507,-4.98
LF,110.5,26.042,7.807,-5.99
LF,115.0,26.042,7.807,-5.86
