position_id,anchor_id,anchor_label,raw_frame_count,clean_window_available,clean_window_start,clean_window_end,clean_window_median_mm,clean_window_mad_mm,clean_window_range_mm,clean_window_count,clean_window_fraction,clean_window_fallback,lower_trim_20_range_mm,p50_range_mm
ID08,7,H,1171,True,555,605,1733.0,22.5,1733.0,1122,1.0,,1702.136170212766,1746.0
ID09,0,A,1194,True,239,289,2659.0,15.5,2659.0,1145,1.0,,2643.970711297071,2671.5
ID09,1,B,1199,True,880,930,2579.5,18.5,2579.5,1150,1.0,,2560.9583333333335,2590.0
ID09,2,C,1197,True,470,520,1976.5,19.0,1976.5,1148,1.0,,1956.7916666666667,1984.0
ID09,3,D,1200,True,408,458,2406.0,11.0,2406.0,1151,1.0,,2388.5291666666667,2414.0
ID09,4,E,1198,True,420,470,2244.5,18.0,2244.5,851,0.7406440382941688,,2209.3333333333335,2263.0
ID09,5,F,1195,False,488,538,2329.5,36.5,2155.715481171548,0,0.0,lower_trim_20,2155.715481171548,2311.0
ID09,6,G,1161,True,878,928,1461.0,18.0,1461.0,1073,0.9649280575539568,,1432.1115879828326,1474.0
ID09,7,H,1184,True,924,974,1743.0,17.5,1743.0,1121,0.9876651982378855,,1719.3164556962026,1756.0
ID10,0,A,1200,True,642,692,1504.0,10.5,1504.0,1151,1.0,,1490.0833333333333,1513.0
ID10,1,B,1201,True,1024,1074,2563.5,16.5,2563.5,1144,0.9930555555555556,,2539.02489626556,2574.0
ID10,2,C,1201,True,820,870,2449.0,13.0,2449.0,1152,1.0,,2423.0041493775934,2462.0
ID10,3,D,1199,True,28,78,1288.5,14.0,1288.5,1150,1.0,,1269.9,1299.0
ID10,4,E,1201,True,602,652,2093.5,18.0,2093.5,1152,1.0,,2069.6846473029045,2102.0
ID10,5,F,1173,True,518,568,3089.5,24.5,3089.5,920,0.8185053380782918,,3058.3702127659576,3108.0
ID10,6,G,1139,True,116,166,2802.0,23.5,2802.0,992,0.9100917431192661,,2775.504385964912,2820.0
ID10,7,H,1182,True,438,488,1976.0,23.5,1976.0,1058,0.9338040600176523,,1933.8565400843881,1989.0
ID11,0,A,1201,True,596,646,1711.0,17.5,1711.0,1152,1.0,,1692.1161825726142,1724.0
ID11,1,B,1199,True,332,382,2602.0,9.0,2602.0,1150,1.0,,2583.8875,2610.0
ID11,2,C,1198,True,819,869,2760.0,10.0,2760.0,1149,1.0,,2743.7,2767.0
ID11,3,D,1201,True,678,728,1725.0,13.5,1725.0,1152,1.0,,1708.5726141078837,1736.0
ID11,4,E,1201,True,231,281,1519.5,12.5,1519.5,1152,1.0,,1503.8630705394191,1531.0
ID11,5,F,1194,True,713,763,2559.5,14.0,2559.5,1104,0.9641921397379912,,2533.7907949790797,2572.0
ID11,6,G,1137,True,664,714,2607.0,16.0,2607.0,1076,0.9889705882352942,,2585.3903508771928,2620.0
ID11,7,H,1179,True,518,568,1460.5,17.5,1460.5,1123,0.9938053097345133,,1434.1101694915253,1474.0
ID12,0,A,1199,True,805,855,2109.0,9.0,2109.0,1150,1.0,,2094.079166666667,2117.0
ID12,1,B,1201,True,323,373,2804.5,18.0,2804.5,1134,0.984375,,2767.8091286307053,2820.0
ID12,2,C,1199,True,70,120,2998.5,11.0,2998.5,1150,1.0,,2982.4958333333334,3010.0
ID12,3,D,1201,True,621,671,1954.0,15.0,1954.0,1149,0.9973958333333334,,1933.5145228215767,1966.0
ID12,4,E,1201,True,88,138,1464.5,15.5,1464.5,1152,1.0,,1445.1244813278008,1474.0
ID12,5,F,1190,True,1094,1144,2520.5,21.0,2520.5,830,0.7274320771253286,,2484.575630252101,2538.0
ID12,6,G,1136,True,1059,1109,2483.0,24.0,2483.0,1018,0.9365225390984361,,2458.7017543859647,2496.0
ID12,7,H,1177,True,330,380,1250.0,25.5,1250.0,894,0.7925531914893617,,1211.4661016949153,1270.0
ID13,0,A,1199,True,875,925,2071.0,11.0,2071.0,1150,1.0,,2057.6375,2081.0
ID13,1,B,1199,True,480,530,2010.0,21.5,2010.0,971,0.8443478260869566,,1978.4875,2024.0
ID13,2,C,1198,True,220,270,2009.5,19.0,2009.5,1149,1.0,,1986.5875,2018.0
ID13,3,D,1199,True,33,83,2179.5,27.0,2179.5,943,0.82,,2153.9375,2197.0
ID13,4,E,1195,True,817,867,1905.5,12.5,1905.5,1146,1.0,,1885.0585774058577,1915.0
ID13,5,F,1192,False,896,946,1860.0,41.5,1754.9205020920501,0,0.0,lower_trim_20,1754.9205020920501,1877.0
ID13,6,G,1137,True,915,965,2043.5,18.0,2043.5,1086,0.9981617647058824,,2019.4912280701753,2053.0
ID13,7,H,1179,True,842,892,1960.0,26.0,1960.0,964,0.8530973451327434,,1926.0254237288136,1974.0
ID14,0,A,1198,True,266,316,2120.5,9.0,2120.5,1149,1.0,,2106.6041666666665,2130.0
ID14,1,B,1199,True,140,190,1932.0,12.0,1932.0,1150,1.0,,1912.7041666666667,1940.0
ID14,2,C,1196,True,167,217,2044.0,17.5,2044.0,1147,1.0,,2024.7875,2054.0
ID14,3,D,1200,True,870,920,2117.0,13.0,2117.0,1151,1.0,,2090.266666666667,2129.0
ID14,4,E,1199,True,180,230,1844.0,24.5,1844.0,982,0.8539130434782609,,1813.0375,1858.0
ID14,5,F,1198,True,663,713,1894.0,29.5,1894.0,652,0.5674499564838991,,1863.9208333333333,1915.0
ID14,6,G,1138,True,626,676,1966.5,17.5,1966.5,1048,0.9623507805325987,,1946.188596491228,1980.0
ID14,7,H,1182,True,150,200,2000.0,12.0,2000.0,1133,1.0,,1983.0506329113923,2017.0
ID15,0,A,1199,True,931,981,2016.5,16.5,2016.5,1150,1.0,,2001.1,2031.0
ID15,1,B,1199,True,570,620,2007.5,12.5,2007.5,1094,0.951304347826087,,1982.5458333333333,2019.0
ID15,2,C,1200,True,190,240,2013.0,28.0,2013.0,1135,0.9860990443092963,,1986.475,2029.0
ID15,3,D,1201,True,1115,1165,2187.0,17.5,2187.0,1152,1.0,,2161.103734439834,2198.0
ID15,4,E,1200,True,884,934,1857.0,14.0,1857.0,1151,1.0,,1834.7041666666667,1865.5
ID15,5,F,1196,True,213,263,1886.0,26.5,1886.0,165,0.14385353095030515,,1827.8791666666666,1908.0
ID15,6,G,1158,True,822,872,2010.5,16.0,2010.5,918,0.8277727682596934,,1984.0991379310344,2018.0
ID15,7,H,1201,True,698,748,1965.5,22.0,1965.5,1108,0.9618055555555556,,1931.734439834025,1980.0
ID16,0,A,1199,True,60,110,2134.0,16.0,2134.0,1118,0.9721739130434782,,2113.1208333333334,2145.0
ID16,1,B,1199,True,840,890,1961.5,14.5,1961.5,1150,1.0,,1936.4291666666666,1972.0
ID16,2,C,1199,True,332,382,2085.5,10.5,2085.5,1150,1.0,,2070.429166666667,2094.0
ID16,3,D,1198,True,733,783,2156.0,9.0,2156.0,1118,0.9730200174064404,,2133.1375,2163.0
ID16,4,E,1199,True,46,96,1863.5,18.0,1863.5,1150,1.0,,1841.2375,1877.0
ID16,5,F,1176,True,226,276,1932.5,23.5,1932.5,447,0.3966282165039929,,1881.2881355932204,1950.0
ID16,6,G,1155,True,17,67,1977.0,14.0,1977.0,1046,0.945750452079566,,1949.1601731601731,1989.0
ID16,7,H,1159,True,987,1037,1992.0,17.0,1992.0,1083,0.9756756756756757,,1962.2370689655172,2011.0
ID17,0,A,1199,True,844,894,1702.5,17.5,1702.5,1076,0.9356521739130435,,1680.5708333333334,1722.0
ID17,1,B,1198,True,533,583,1835.5,20.0,1835.5,1149,1.0,,1809.7166666666667,1852.0
ID17,2,C,1197,True,1077,1127,1923.5,19.5,1923.5,1148,1.0,,1898.8791666666666,1934.0
ID17,3,D,1197,True,159,209,1765.5,18.0,1765.5,1148,1.0,,1746.7625,1779.0
ID17,4,E,1198,True,929,979,2358.5,13.5,2358.5,1149,1.0,,2341.3791666666666,2372.0
ID17,5,F,1192,False,836,886,2384.0,30.0,2289.317991631799,0,0.0,lower_trim_20,2289.317991631799,2385.0
ID17,6,G,1160,True,62,112,2552.0,12.0,2552.0,1111,1.0,,2531.344827586207,2562.0
ID17,7,H,1159,True,1029,1079,2246.5,19.5,2246.5,802,0.7225225225225225,,2220.3577586206898,2273.0
ID18,0,A,1192,True,615,665,1687.5,10.0,1687.5,1143,1.0,,1665.062761506276,1695.0
ID18,1,B,1198,True,872,922,1718.0,15.5,1718.0,1149,1.0,,1692.5791666666667,1728.0
ID18,2,C,1195,True,553,603,1980.0,15.0,1980.0,1146,1.0,,1958.836820083682,1994.0
ID18,3,D,1199,True,802,852,1974.0,22.0,1974.0,1085,0.9434782608695652,,1947.9375,1991.0
ID18,4,E,1199,True,364,414,2200.5,23.5,2200.5,1066,0.9269565217391305,,2169.9041666666667,2217.0
ID18,5,F,1192,True,1076,1126,2309.0,20.5,2309.0,946,0.8276465441819773,,2279.5020920502093,2329.0
ID18,6,G,1154,True,575,625,2471.0,18.0,2471.0,1041,0.9420814479638009,,2446.7056277056276,2483.0
ID18,7,H,1176,True,939,989,2458.0,20.5,2458.0,930,0.8251996450754214,,2422.7457627118642,2474.0
ID19,0,A,1195,True,10,60,1944.5,12.0,1944.5,1146,1.0,,1925.4644351464435,1953.0
ID19,1,B,1198,True,809,859,1618.5,13.5,1618.5,1149,1.0,,1594.4208333333333,1626.0
ID19,2,C,1200,True,952,1002,1717.5,12.0,1717.5,1151,1.0,,1698.1916666666666,1727.0
ID19,3,D,1199,True,1075,1125,1972.0,15.5,1972.0,1150,1.0,,1942.7416666666666,1983.0
ID19,4,E,1199,True,1012,1062,2708.5,16.0,2708.5,1150,1.0,,2687.1,2719.0
ID19,5,F,1190,True,377,427,2308.5,28.0,2308.5,3,0.0026292725679228747,,2187.0,2293.0
ID19,6,G,1143,True,728,778,2785.5,23.5,2785.5,822,0.7513711151736746,,2753.3449781659388,2808.0
ID19,7,H,1161,True,501,551,2390.0,19.5,2390.0,1017,0.914568345323741,,2355.5236051502147,2404.0
ID20,0,A,1199,True,1103,1153,1896.0,24.5,1896.0,1091,0.948695652173913,,1858.7416666666666,1908.0
ID20,1,B,1198,True,131,181,1878.5,12.5,1878.5,1149,1.0,,1859.1125,1890.0
ID20,2,C,1199,True,515,565,1791.0,15.5,1791.0,1150,1.0,,1772.8666666666666,1808.0
ID20,3,D,1197,True,544,594,1783.0,10.0,1783.0,1058,0.921602787456446,,1754.5541666666666,1793.0
ID20,4,E,1201,True,640,690,2292.5,24.0,2292.5,1133,0.9835069444444444,,2266.352697095436,2311.0
ID20,5,F,1184,True,830,880,2668.0,24.5,2668.0,827,0.7286343612334801,,2630.15611814346,2683.0
ID20,6,G,1157,True,415,465,2322.5,18.0,2322.5,1015,0.9160649819494585,,2295.793103448276,2341.0
ID20,7,H,1170,True,366,416,2497.5,28.5,2497.5,22,0.019625334522747548,,2437.965811965812,2518.0
ID21,0,A,1198,True,885,935,2276.0,20.0,2276.0,667,0.5805047867711053,,2251.3791666666666,2295.0
ID21,1,B,1200,True,250,300,2330.0,15.0,2330.0,1150,0.9991311902693311,,2308.454166666667,2339.0
ID21,2,C,1200,True,475,525,2326.0,10.0,2326.0,1151,1.0,,2311.5625,2338.0
ID21,3,D,1201,True,511,561,2625.0,17.0,2625.0,1141,0.9904513888888888,,2608.2116182572613,2642.0
ID21,4,E,1200,True,885,935,1774.0,17.0,1774.0,1151,1.0,,1751.4875,1786.0
ID21,5,F,1174,False,140,190,1805.5,33.5,1721.9404255319148,0,0.0,lower_trim_20,1721.9404255319148,1816.0
ID21,6,G,1150,True,265,315,1954.0,13.0,1954.0,1100,0.9990917347865577,,1933.1608695652174,1963.0
ID21,7,H,1180,True,621,671,1882.0,24.5,1882.0,1113,0.9840848806366048,,1848.1610169491526,1897.0
ID22,0,A,1199,True,538,588,2599.0,12.5,2599.0,1150,1.0,,2584.508333333333,2614.0
ID22,1,B,1200,True,798,848,2225.0,17.0,2225.0,1151,1.0,,2202.1666666666665,2237.0
ID22,2,C,1196,True,97,147,2391.0,9.0,2391.0,1147,1.0,,2374.8125,2405.0
ID22,3,D,1199,True,1066,1116,2343.0,20.0,2343.0,1150,1.0,,2317.3458333333333,2353.0
ID22,4,E,1200,True,972,1022,1720.5,21.0,1720.5,959,0.8331885317115552,,1685.8375,1738.0
ID22,5,F,1194,True,514,564,1816.0,24.5,1816.0,550,0.48034934497816595,,1782.4686192468619,1837.0
ID22,6,G,1146,True,310,360,2011.5,14.0,2011.5,1097,1.0,,1988.1260869565217,2021.0
ID22,7,H,1184,True,1017,1067,1899.0,13.5,1899.0,1131,0.9964757709251101,,1880.0759493670887,1915.0
ID23,0,A,1201,True,1136,1186,2276.0,11.0,2276.0,1152,1.0,,2256.4771784232366,2281.0
ID23,1,B,1200,True,564,614,2501.5,11.0,2501.5,1151,1.0,,2480.4625,2509.0
ID23,2,C,1196,True,990,1040,2375.5,14.5,2375.5,1147,1.0,,2352.425,2391.0
ID23,3,D,1197,True,516,566,2442.5,14.5,2442.5,1148,1.0,,2421.733333333333,2452.0
ID23,4,E,1199,True,683,733,1779.0,22.0,1779.0,1123,0.9765217391304348,,1750.5583333333334,1794.0
ID23,5,F,1193,False,436,486,1842.0,32.0,1714.0920502092051,0,0.0,lower_trim_20,1714.0920502092051,1808.0
ID23,6,G,1159,True,810,860,1992.0,16.0,1992.0,1100,0.990990990990991,,1971.3879310344828,2006.0
ID23,7,H,1188,True,266,316,1898.0,22.0,1898.0,1139,1.0,,1875.218487394958,1912.0
ID24,0,A,1197,True,804,854,2408.5,12.5,2408.5,1148,1.0,,2395.366666666667,2424.0
ID24,1,B,1197,True,945,995,2234.0,17.0,2234.0,1148,1.0,,2211.175,2244.0
ID24,2,C,1199,True,919,969,2830.0,10.5,2830.0,1150,1.0,,2812.929166666667,2839.0
ID24,3,D,1201,True,107,157,2335.5,23.5,2335.5,1147,0.9956597222222222,,2307.6016597510375,2354.0
ID24,4,E,1201,True,382,432,1751.5,28.0,1751.5,1139,0.9887152777777778,,1720.4066390041494,1765.0
ID24,5,F,1188,True,1010,1060,1823.0,28.5,1823.0,158,0.13871817383669885,,1738.6554621848738,1833.0
ID24,6,G,1146,True,744,794,2002.5,16.0,2002.5,1097,1.0,,1979.5652173913043,2015.0
ID24,7,H,1189,True,863,913,1914.5,11.5,1914.5,1140,1.0,,1886.9453781512605,1927.0
