position_id,baseline_error_3d_mm,selected_anchor_id,selected_anchor_label,selected_abs_residual_mm,gated_error_3d_mm,error_reduction_mm,d_tag_train_mm,baseline_median_mm,baseline_p95_mm,baseline_rmse_mm,gated_median_mm,gated_p95_mm,gated_rmse_mm,median_improvement_mm,p95_improvement_mm,rmse_improvement_mm,bootstrap_median_improvement_ci95_low,bootstrap_median_improvement_ci95_high,bootstrap_p95_improvement_ci95_low,bootstrap_p95_improvement_ci95_high,bootstrap_p_median_improvement_le0,bootstrap_p_p95_improvement_le0
ID11,75.37242772952652,2,C,95.49750501173048,25.615862826767284,49.75656490275924,9.898760571251287,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID12,123.37760608210466,2,C,144.04123974820368,106.24466998387845,17.13293609822621,12.169401210236686,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID13,37.273722407354164,2,C,107.33638172442352,52.52290854621699,-15.249186138862825,12.655186006293562,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID14,68.10481393791733,2,C,68.46853237476716,61.7196269045967,6.385187033320626,12.655186006293562,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID15,40.94067514965518,2,C,99.87587649621946,25.55936705743171,15.381308092223467,12.655186006293562,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID16,37.795609857213684,5,F,77.27569641776813,54.67010160786978,-16.874491750656098,5.733173015021663,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID17,90.42945757380272,4,E,145.31738206346927,128.93845068681443,-38.50899311301171,6.935637359749677,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID18,38.2491183735532,0,A,113.99382325956753,39.39354869685549,-1.1444303233022879,9.898760571251287,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID19,34.31845513763424,6,G,398.96495469776573,117.40938298821487,-83.09092785058064,8.154825947434034,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID20,27.03112135710006,5,F,279.22059786621867,69.83880695998134,-42.80768560288128,6.58125672340708,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID21,28.186359485922296,3,D,277.48874340107477,52.91820856687808,-24.731849080955783,4.210119101017739,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID22,30.582907868555047,0,A,314.37897668443475,59.80459748438029,-29.22168961582524,8.273689230277341,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID23,34.76452812108995,1,B,246.85483164277775,22.913081572824506,11.851446548265447,9.898760571251287,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID24,16.798701111294797,2,C,438.40973988134283,32.456632242693516,-15.657931131398719,12.169401210236686,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
