candidate,matrix_source,target_device,dataset,bias_treatment,samples,pose_count,rmse_g,median_abs_g,p95_abs_g,p99_abs_g,worst_pose_rmse_g,maximum_systematic_per_pose_abs_g,identity_rmse_g,rmse_gain_vs_identity_g,poses_improved_vs_identity,poses_materially_degraded_vs_identity,maximum_systematic_per_pose_degradation_vs_identity_g,matrix_condition,distance_from_identity_fro,off_diagonal_fro,maximum_abs_off_diagonal
C2CC_FROZEN_DIAGONAL,BSFC2CC,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.00236028429787479,0.0013150328041085,0.00372298806297655,0.00457179075369285,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.00186091566930734,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00135874303336,0.00495719848276236,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00176035312489053,0.000995421966398069,0.00333827747574785,0.00441203298521986,0.00329326506846681,0.00322569419281882,0.00329346566674335,0.00153311254185282,14,3,0.00285970497670718,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.00263663291504496,0.0018006770812895,0.00414428682183277,0.00500052385394245,0.00422713547990278,0.00339831459123419,0.00370232381282411,0.00106569089777915,2,2,0.00333471357800397,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.00152692677267831,0.000929134651674657,0.0022795543040359,0.00288235209700127,0.0020179761101737,0.00144770809043648,0.00342806842260441,0.00190114164992609,6,0,-0.000782684189112981,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.00265867173587878,0.000950898801252986,0.00283099492362238,0.00433438755343058,0.00713947787728866,0.00220741135789404,0.00452226038134168,0.0018635886454629,16,1,0.00109485587649383,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.00289746867379261,0.00187442231687229,0.00320166743714083,0.0038769422791554,0.00481184625821572,0.00235301193787363,0.00604445145913198,0.00314698278533936,4,0,-0.00354048148574293,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.00225339766979991,0.000971914799165807,0.00311363892789895,0.00441203298521986,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.00170066759621823,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.00276975783831706,0.00181564626042097,0.00377927776162688,0.00470183278207189,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.00223916870939476,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_DIAGONAL_PROJECTION,BSF31CC,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.00218186143970657,0.00127135900536079,0.00329435001524037,0.00435996692214458,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.00203933852747555,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00108544485901,0.00636880945552881,0.0,0.0
BSF31CC_FROZEN_FULL_SPD,BSF31CC,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00131649171674785,0.000746834824039477,0.00215614275168829,0.00332917007533647,0.00229719926289666,0.00102539669565405,0.00329346566674335,0.00197697394999551,18,0,-4.49499887629212e-05,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.00184904720567604,0.00106949771238274,0.00232743117391743,0.00314726754374139,0.00274578118176397,0.00124235295516983,0.00370232381282411,0.00185327660714807,3,0,0.00100537820125624,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.00152506049048399,0.000910862170754867,0.00223914426676086,0.00285821722652824,0.00203645726700532,0.00141519078885222,0.00342806842260441,0.00190300793212042,6,0,-0.000815201490697248,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.0023834952319254,0.000485468056740324,0.00155098162237877,0.0040326379419205,0.00713931177865146,0.000370041649587538,0.00452226038134168,0.00213876514941628,18,0,-0.000943297879843596,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.0021472395854155,0.000464050923412118,0.00143266959300714,0.00208426872015055,0.00409478925412291,4.01333903332635e-05,0.00604445145913198,0.00389721187371647,4,0,-0.00469749943190556,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.00192386176805448,0.000599451301744103,0.00197408455550141,0.00362650395898327,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.00203020349796366,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.0020032819937488,0.000711403901905383,0.00207293038765988,0.00292210476403936,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.00300564455396302,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
BSF31CC_FROZEN_FULL_SPD,BSF31CC,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.00175878364293707,0.000838541605622911,0.00210519259574216,0.00287274528216108,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.00246241632424505,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0055176282137,0.00744013784029449,0.00384628615702845,0.00243322395831032
POOLED_SCALAR,BOTH_TRAINING_ONLY,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00162278678855091,0.000966193945601268,0.00294373634439164,0.00403350167272312,0.00287502246090076,0.00279456010993606,0.00329346566674335,0.00167067887819244,15,3,0.00242857089382442,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.00260514836086744,0.00186163712312515,0.00396180437505622,0.00482441484187823,0.0040870958082049,0.00322279309490503,0.00370232381282411,0.00109717545195667,2,1,0.00315919208167481,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.00145749937354576,0.000679767902702189,0.00210233612893929,0.00287041554714929,0.00203672756886354,0.00140757394486335,0.00342806842260441,0.00197056904905864,6,0,-0.00129434485102187,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.00272509608785085,0.0011861135574911,0.00287321783597005,0.00435277929529969,0.00716643020234536,0.00213175090652262,0.00452226038134168,0.00179716429349083,16,1,0.00093779705949637,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.00330824733127951,0.00239179163405767,0.00385042598986884,0.00443984925675611,0.00515087439998116,0.00295756632893118,0.00604445145913198,0.00273620412785247,4,0,-0.0031742848742784,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.00224113449949878,0.0010795815698833,0.00289954207667309,0.00412791290770675,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.00171293076651936,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.00297654660695113,0.0021692738087522,0.00391700812176793,0.00469954883498106,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.00203237994076069,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0,0.00547222923565403,0.0,0.0
POOLED_SCALAR,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.0022777341028117,0.00129915823586213,0.00352469148806622,0.00433324821328163,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.00194346586437042,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0,0.00547222923565403,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00160267155080832,0.000894295834277137,0.00295502225871302,0.00402274296862499,0.00282827682307748,0.00274509749501528,0.00329346566674335,0.00169079411593503,15,3,0.00237910827890364,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.00253069147429313,0.00185971549526354,0.00370702408319334,0.0045751610251068,0.00388185083933408,0.00295472053541401,0.00370232381282411,0.00117163233853098,2,1,0.00289111952218379,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.00141265479145098,0.000689163287198702,0.0020521837234887,0.00274687827554021,0.0019290563867805,0.00127198644614279,0.00342806842260441,0.00201541363115343,6,0,-0.00116038797918538,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.00270825664655145,0.00110763743134035,0.00290093391543178,0.00435327404233852,0.00715576939126918,0.00239825110471381,0.00452226038134168,0.00181400373479023,16,1,0.00064888512988559,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.00324433730123813,0.00235303232628792,0.00373520389793214,0.00437481708221793,0.00510768160282616,0.00288034735145559,0.00604445145913198,0.00280011415789384,4,0,-0.00310964476821418,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.0022236311694806,0.000999460234898164,0.00292948258417514,0.00411763696969126,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.00173043409653755,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.00290848643761272,0.00212012784152571,0.00370930587320317,0.00454464976511932,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.0021004401100991,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_DIAGONAL,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.00222164743738733,0.00123802336375323,0.00333947265408185,0.00419671052808883,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.00199955252979479,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00089310279442,0.00556168343909511,0.0,0.0
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00117826372879186,0.000601986820384814,0.00188462783130705,0.00323328098334585,0.00222142683721985,0.000665933066825941,0.00329346566674335,0.00211520193795149,18,0,-0.000296062810346998,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.00169017009564678,0.000784667721119403,0.00201759713843116,0.00296993619774399,0.00263067587522804,0.000983802266549372,0.00370232381282411,0.00201215371717732,3,0,0.000648342048336525,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.00143460061415641,0.000745623539279539,0.00202305671024416,0.00278941104402119,0.00195768735867806,0.00131259966407149,0.00342806842260441,0.00199346780844799,6,0,-0.00126971328365177,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.00241204702125259,0.000555540865832427,0.00171637321628459,0.00404204850875691,0.00715998693276658,0.000653848081584085,0.00452226038134168,0.0021102133600891,18,0,-0.000919384194693063,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.00216965219678103,0.000520955234923015,0.00149108671690647,0.00220000923862274,0.0041122643883803,0.000343125378928777,0.00604445145913198,0.00387479926235095,4,0,-0.00437518355288646,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.0018964618759098,0.000570697054897762,0.00181428223928204,0.00350869351579692,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.00205760339010835,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.00194407879914218,0.000631974727551721,0.00181726484818978,0.0026738106788049,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.00306484774856964,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
POOLED_FULL_SPD,BOTH_TRAINING_ONLY,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.00168554749669099,0.000660729682390504,0.00192975511216142,0.00277654572832509,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.00253565247049113,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00562659148807,0.00693142263945948,0.0039231221458039,0.00250897052293579
