layout_id,family,geometry,all8_vdop_p90,drop_worst_vdop_p90,drop_delta_vdop_p90,all8_gdop_p90,drop_worst_gdop_p90,drop_delta_gdop_p90,drop_worst_bad_ratio_sum
139,irregular,true,2.5109941959381104,2.919219493865967,0.40822529792785645,2.6132843494415283,3.029895544052124,0.4166111946105957,0.08704356166542687
139,irregular,v1-old,2.50974178314209,2.9165964126586914,0.40685462951660156,2.6120707988739014,3.027304172515869,0.4152333736419678,0.08641886320256953
139,irregular,v2,2.5125956535339355,2.9189014434814453,0.40630578994750977,2.6147947311401367,3.0294039249420166,0.4146091938018799,0.08694745420960266
139,irregular,v3-full,2.5101542472839355,2.9171252250671387,0.4069709777832031,2.6124064922332764,3.0278031826019287,0.41539669036865234,0.08652650355309265
139,irregular,v3-lite,2.510694980621338,2.917891502380371,0.4071965217590332,2.6129138469696045,3.0285298824310303,0.4156160354614258,0.0867081466446004
139,irregular,v4-io,2.514247417449951,2.919243335723877,0.4049959182739258,2.6164536476135254,3.0281426906585693,0.41168904304504395,0.08668027548241138
186,irregular,true,2.857287883758545,3.2749686241149902,0.4176807403564453,2.9462618827819824,3.3683552742004395,0.42209339141845703,0.1681524879337089
186,irregular,v1-old,2.856076955795288,3.274838447570801,0.4187614917755127,2.945169448852539,3.368258237838745,0.42308878898620605,0.16844561567397273
186,irregular,v2,2.860659599304199,3.2756216526031494,0.4149620532989502,2.94952392578125,3.369013547897339,0.41948962211608887,0.16851289089304972
186,irregular,v3-full,2.8580684661865234,3.276516914367676,0.41844844818115234,2.94694185256958,3.3697471618652344,0.4228053092956543,0.16854460635347168
186,irregular,v3-lite,2.8570735454559326,3.2766549587249756,0.41958141326904297,2.9460349082946777,3.3699607849121094,0.42392587661743164,0.1686772346425091
186,irregular,v4-io,2.8653180599212646,3.277475595474243,0.4121575355529785,2.9538400173187256,3.3705105781555176,0.416670560836792,0.16681371107407772
195,irregular,true,2.7941062450408936,3.381920576095581,0.5878143310546875,2.885894298553467,3.473684549331665,0.5877902507781982,0.19383912765184497
195,irregular,v1-old,2.7928245067596436,3.3777999877929688,0.5849754810333252,2.8846559524536133,3.4700167179107666,0.5853607654571533,0.19314715396991067
195,irregular,v2,2.7977447509765625,3.373978853225708,0.5762341022491455,2.889261245727539,3.4665963649749756,0.5773351192474365,0.19259645824803798
195,irregular,v3-full,2.7950382232666016,3.379777431488037,0.5847392082214355,2.886776924133301,3.471605062484741,0.5848281383514404,0.19334032995611736
195,irregular,v3-lite,2.7943668365478516,3.37797474861145,0.5836079120635986,2.886063814163208,3.470217704772949,0.5841538906097412,0.19323941712750192
195,irregular,v4-io,2.796753406524658,3.358604669570923,0.5618512630462646,2.888174057006836,3.4527759552001953,0.5646018981933594,0.18868872909422568
222,irregular,true,2.527233600616455,3.021601438522339,0.4943678379058838,2.6382246017456055,3.14359450340271,0.5053699016571045,0.11011031213779503
222,irregular,v1-old,2.5260941982269287,3.0206127166748047,0.494518518447876,2.6372134685516357,3.1426267623901367,0.505413293838501,0.10992770797172903
222,irregular,v2,2.529350757598877,3.021017551422119,0.4916667938232422,2.640204906463623,3.1422715187072754,0.5020666122436523,0.11017854843143021
222,irregular,v3-full,2.528021812438965,3.0216877460479736,0.4936659336090088,2.6389641761779785,3.143205404281616,0.5042412281036377,0.1100958960194214
222,irregular,v3-lite,2.526674747467041,3.02073073387146,0.49405598640441895,2.637693166732788,3.1427290439605713,0.5050358772277832,0.10991136970423891
222,irregular,v4-io,2.5308876037597656,3.027580738067627,0.49669313430786133,2.6418840885162354,3.149158239364624,0.5072741508483887,0.11149233735254714
230,irregular,true,2.7987067699432373,3.243110179901123,0.44440340995788574,2.8895089626312256,3.338329792022705,0.4488208293914795,0.15834568314140673
230,irregular,v1-old,2.7966601848602295,3.244072675704956,0.44741249084472656,2.8876168727874756,3.3393421173095703,0.4517252445220947,0.15857634103538484
230,irregular,v2,2.7996866703033447,3.2480807304382324,0.4483940601348877,2.8906047344207764,3.3431568145751953,0.45255208015441895,0.15951723302790385
230,irregular,v3-full,2.800901412963867,3.2425193786621094,0.4416179656982422,2.891709804534912,3.3377983570098877,0.4460885524749756,0.15812367491845283
230,irregular,v3-lite,2.797834873199463,3.245304822921753,0.44746994972229004,2.888864517211914,3.3405134677886963,0.4516489505767822,0.158922327876352
230,irregular,v4-io,2.803678035736084,3.256483316421509,0.4528052806854248,2.8946213722229004,3.351226806640625,0.4566054344177246,0.16142688817513084
233,irregular,true,2.7697088718414307,3.192408323287964,0.4226994514465332,2.8614351749420166,3.2898430824279785,0.4284079074859619,0.14868015630916614
233,irregular,v1-old,2.769217014312744,3.1939690113067627,0.42475199699401855,2.860764503479004,3.291457176208496,0.4306926727294922,0.1491155230840498
233,irregular,v2,2.772254228591919,3.1967434883117676,0.42448925971984863,2.8637073040008545,3.2941110134124756,0.4304037094116211,0.14979308064761046
233,irregular,v3-full,2.770282506942749,3.199185609817505,0.42890310287475586,2.8617711067199707,3.2964656352996826,0.4346945285797119,0.15050043152247666
233,irregular,v3-lite,2.770681142807007,3.1955325603485107,0.4248514175415039,2.8621416091918945,3.29290771484375,0.43076610565185547,0.14956915027554007
233,irregular,v4-io,2.775175094604492,3.2101666927337646,0.43499159812927246,2.8664677143096924,3.306746244430542,0.4402785301208496,0.15316741342159843
236,irregular,true,2.4892024993896484,2.850722312927246,0.36151981353759766,2.592820167541504,2.9582712650299072,0.3654510974884033,0.07255632377448577
236,irregular,v1-old,2.4887757301330566,2.8480148315429688,0.3592391014099121,2.592459201812744,2.9556055068969727,0.3631463050842285,0.07218823221867905
236,irregular,v2,2.491628646850586,2.851830005645752,0.360201358795166,2.595174789428711,2.9592273235321045,0.36405253410339355,0.07293018177764195
236,irregular,v3-full,2.488744020462036,2.851283311843872,0.36253929138183594,2.592397689819336,2.9589946269989014,0.36659693717956543,0.0729407535977826
236,irregular,v3-lite,2.4900851249694824,2.8504042625427246,0.3603191375732422,2.593763589859009,2.9579710960388184,0.36420750617980957,0.07256112914727698
236,irregular,v4-io,2.4932875633239746,2.856755256652832,0.3634676933288574,2.5968265533447266,2.963993787765503,0.36716723442077637,0.07364618232353229
241,irregular,true,3.0309946537017822,3.4557712078094482,0.424776554107666,3.115086555480957,3.543764591217041,0.428678035736084,0.2100351561073405
241,irregular,v1-old,3.030196189880371,3.4548380374908447,0.42464184761047363,3.11431884765625,3.5429799556732178,0.4286611080169678,0.20959786718334034
241,irregular,v2,3.03332257270813,3.45974063873291,0.4264180660247803,3.117354393005371,3.5476574897766113,0.43030309677124023,0.21066369886843084
241,irregular,v3-full,3.032860279083252,3.4508285522460938,0.4179682731628418,3.116889715194702,3.538853406906128,0.4219636917114258,0.20955461882821946
241,irregular,v3-lite,3.0315752029418945,3.453333616256714,0.42175841331481934,3.1156578063964844,3.5411863327026367,0.42552852630615234,0.20929608977205236
241,irregular,v4-io,3.0349345207214355,3.4580492973327637,0.4231147766113281,3.118933916091919,3.5460989475250244,0.42716503143310547,0.2110904159722903
295,irregular,true,2.9822771549224854,3.3625645637512207,0.38028740882873535,3.067197561264038,3.454498529434204,0.387300968170166,0.19761903388941107
295,irregular,v1-old,2.9806230068206787,3.3604178428649902,0.3797948360443115,3.0656380653381348,3.452526092529297,0.3868880271911621,0.19689534474705478
295,irregular,v2,2.983851432800293,3.3647818565368652,0.38093042373657227,3.0687685012817383,3.4567651748657227,0.3879966735839844,0.19784680855971445
295,irregular,v3-full,2.980194568634033,3.359570026397705,0.3793754577636719,3.06512451171875,3.4515886306762695,0.38646411895751953,0.1963888584548612
295,irregular,v3-lite,2.9812631607055664,3.360410451889038,0.3791472911834717,3.0662732124328613,3.4524080753326416,0.3861348628997803,0.1967406117431778
