node,mode,status,coordinate_frame,position_rms_m,position_p95_m,velocity_rms_mps,velocity_p95_mps,stationary_occupancy,zupt_updates,zaru_updates,uwb_accepted,uwb_rejected,covariance_min_eigenvalue,covariance_max_asymmetry,reinitializations
BSF8BC4,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.00861780244713,0.0140646088216,0.000796666023745,0.00182024843276,1.0,21369,0,2028,5,1.40185478486e-05,0.0,0
BSF1120,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0533894196963,0.0875910359644,,,,0,0,2033,0,,,0
BSF1120,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,1647.24115889,2972.20020169,23.8337235515,31.7961928639,,0,0,0,0,7.40450326793e-08,0.0,0
BSF1120,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.10796337027,0.177420757531,0.00205820898297,0.0023173460023,,34420,0,0,0,7.3407655018e-08,0.0,0
BSF1120,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF1120,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF1120,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF1120,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0104113148708,0.0167134213718,0.000897049840297,0.00209644046057,1.0,28411,0,2027,6,1.90542439276e-05,0.0,0
BSF31CC,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0602903339486,0.103151956042,,,,0,0,2033,0,,,0
BSF31CC,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,786.587251801,1674.18801296,12.3843698955,21.3919236822,,0,0,0,0,7.40475329756e-08,0.0,0
BSF31CC,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.00559872302613,0.00910147369452,0.000640811854042,0.000456480665321,,34020,0,0,0,7.34109395841e-08,0.0,0
BSF31CC,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF31CC,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF31CC,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF31CC,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0120742574591,0.0201089776884,0.000890984583287,0.00214453351294,1.0,11854,0,2023,10,1.58644253529e-05,0.0,0
BSFAA61,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.165895583641,0.324545623461,,,,0,0,2033,0,,,0
BSFAA61,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,2056.08967424,4159.6645956,31.3789002827,50.8244448354,,0,0,0,0,7.40461758496e-08,0.0,0
BSFAA61,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.0563063667805,0.0924811133362,0.00159641309726,0.00203681246361,,34018,0,0,0,7.34090257842e-08,0.0,0
BSFAA61,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFAA61,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFAA61,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFAA61,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0183759774899,0.0336347725791,0.00070023695914,0.00158745936415,1.0,25865,0,2002,31,2.40191911712e-05,0.0,0
BSFB165,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0614270916767,0.103232361613,,,,0,0,2033,0,,,0
BSFB165,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,1993.23776557,3789.98497646,29.8265847756,44.3821887159,,0,0,0,0,7.40446769364e-08,0.0,0
BSFB165,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.120633223186,0.197941824574,0.00171908355378,0.00209891540294,,32600,0,0,0,7.34071182802e-08,0.0,0
BSFB165,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFB165,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFB165,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFB165,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0133139109633,0.0235731699519,0.000772480826006,0.00177442683148,1.0,20540,0,2026,7,3.06940083879e-05,0.0,0
BSFEC35,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0480274024012,0.0811471178985,,,,0,0,2033,0,,,0
BSFEC35,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,4242.50705312,8634.68703208,64.856898273,105.440060431,,0,0,0,0,7.40454880979e-08,0.0,0
BSFEC35,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.0663172199659,0.109831624695,0.00200783949839,0.00234176201807,,33698,0,0,0,7.34088747919e-08,0.0,0
BSFEC35,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFEC35,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFEC35,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFEC35,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.00976368083051,0.0161163816464,0.000997825635727,0.00229285971787,1.0,34775,0,2033,0,1.40143427723e-05,0.0,0
