event_id,node,mode,status,onset_s,end_s,state_classification,lock_release,max_position_excursion_m,max_velocity_mps,recovery_settling_s,false_persistent_platform_transition,post_event_shift_m,reinitializations
E005,BSFC2CC,B0,INPUT_RESPONSE,518.0,519.0,,,0.136263962311,,,,,
E005,BSFC2CC,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,74.7463654321,,,,
E005,BSFC2CC,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00499048426654,,,,
E005,BSFC2CC,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFC2CC,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFC2CC,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFC2CC,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.152695562831,0.881511983529,0.0,0,0.0367239317659,0
E005,BSF44AD,B0,INPUT_RESPONSE,518.0,519.0,,,0.15495105173,,,,,
E005,BSF44AD,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,30.557603891,,,,
E005,BSF44AD,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00117234023787,,,,
E005,BSF44AD,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF44AD,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF44AD,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF44AD,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.0082417964823,0.00408126682042,0.0,0,0.0115867717884,0
E005,BSF6C53,B0,INPUT_RESPONSE,518.0,519.0,,,0.278042741681,,,,,
E005,BSF6C53,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,36.258713948,,,,
E005,BSF6C53,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00302173810311,,,,
E005,BSF6C53,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF6C53,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF6C53,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF6C53,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.0066546885477,0.000853899958511,0.0,0,0.0142646351768,0
E005,BSF8BC4,B0,INPUT_RESPONSE,518.0,519.0,,,0.109225348861,,,,,
E005,BSF8BC4,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,47.9680220967,,,,
E005,BSF8BC4,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00654594750328,,,,
E005,BSF8BC4,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF8BC4,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF8BC4,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF8BC4,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.000271097511046,0.000141184326647,0.0,0,0.022474419487,0
E005,BSF1120,B0,INPUT_RESPONSE,518.0,519.0,,,0.144809798885,,,,,
E005,BSF1120,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,36.7236845602,,,,
E005,BSF1120,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00272980571852,,,,
E005,BSF1120,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF1120,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF1120,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF1120,S1,OK,518.0,519.0,STATIONARY_LOCK,0,1.7296629315e-08,9.60953640776e-09,0.0,0,0.0551069207571,0
E005,BSF31CC,B0,INPUT_RESPONSE,518.0,519.0,,,0.509095650505,,,,,
E005,BSF31CC,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,26.3283488569,,,,
E005,BSF31CC,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.000596423418581,,,,
E005,BSF31CC,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF31CC,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF31CC,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF31CC,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.658424833154,1.85159975577,0.0,0,0.164925992194,0
E005,BSFAA61,B0,INPUT_RESPONSE,518.0,519.0,,,0.279620903752,,,,,
E005,BSFAA61,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,63.1801030086,,,,
E005,BSFAA61,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00301585111723,,,,
E005,BSFAA61,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
