capture_id,delta_from_best_s,beta_s,score_median_3d_mm,n_overlap
R11,0.05,45.56248100000013,98.03871161342806,2401
R11,0.1,45.61248100000014,113.09864781591898,2401
R11,0.2,45.71248100000014,159.2530490686302,2401
R11,0.5,46.012481000000136,323.98111925954794,2401
R12,-0.5,46.434825000000124,319.6097929919323,2400
R12,-0.2,46.73482500000012,164.0644537015172,2400
R12,-0.1,46.83482500000012,121.36798056963585,2400
R12,-0.05,46.88482500000013,106.56380711210312,2400
R12,0.0,46.934825000000124,103.03069638019778,2400
R12,0.05,46.98482500000012,110.00420249203597,2400
R12,0.1,47.034825000000126,124.60693055076118,2400
R12,0.2,47.13482500000013,166.75878398229673,2400
R12,0.5,47.434825000000124,330.0390482020996,2400
R13,-0.5,44.41856400000012,322.9587707361323,2401
R13,-0.2,44.718564000000114,161.2431204322771,2401
R13,-0.1,44.818564000000116,118.08273603463006,2401
R13,-0.05,44.86856400000012,104.93782855077542,2401
R13,0.0,44.91856400000012,99.0858084942981,2401
R13,0.05,44.968564000000114,104.22130389329072,2401
R13,0.1,45.01856400000012,116.90118398935108,2401
R13,0.2,45.11856400000012,154.59742978355595,2401
R13,0.5,45.41856400000012,318.01771436683975,2401
R14,-0.5,45.09368200000013,312.6559380769518,2401
R14,-0.2,45.393682000000126,149.8822263619022,2401
R14,-0.1,45.49368200000013,105.7552342664921,2401
R14,-0.05,45.54368200000013,91.87884557347084,2401
R14,0.0,45.59368200000013,86.54816473244047,2401
R14,0.05,45.643682000000126,91.83325855702256,2401
R14,0.1,45.69368200000013,106.27364429312385,2401
R14,0.2,45.79368200000013,145.79714134630538,2401
R14,0.5,46.09368200000013,298.1488828854636,2401
R15,-0.5,43.147452000000136,286.8818684114219,2400
R15,-0.2,43.44745200000013,144.67738601131026,2400
R15,-0.1,43.547452000000135,112.03870537809559,2400
R15,-0.05,43.59745200000014,100.9754869521361,2400
R15,0.0,43.647452000000136,93.09666896465929,2400
R15,0.05,43.69745200000013,95.98910260359432,2400
R15,0.1,43.74745200000014,108.6819708835151,2400
R15,0.2,43.84745200000014,149.2846920367826,2400
R15,0.5,44.147452000000136,303.3276704691132,2400
R16,-0.5,44.009039000000136,318.2027725570331,2401
R16,-0.2,44.30903900000013,162.7638857563657,2401
R16,-0.1,44.409039000000135,121.0445425637694,2401
R16,-0.05,44.45903900000014,107.44707105819782,2401
R16,0.0,44.509039000000136,101.80163657312802,2401
R16,0.05,44.55903900000013,105.06022588661953,2401
R16,0.1,44.60903900000014,117.18119118860545,2401
R16,0.2,44.70903900000014,155.49600631290033,2401
R16,0.5,45.009039000000136,314.73608420087646,2401
R17,-0.5,45.04838000000013,315.7082084835776,2401
R17,-0.2,45.34838000000013,159.94654548605445,2401
R17,-0.1,45.44838000000013,118.33053894442781,2401
R17,-0.05,45.49838000000013,105.86361637564232,2401
R17,0.0,45.54838000000013,100.44378170631413,2401
R17,0.05,45.59838000000013,106.52889394273821,2401
R17,0.1,45.64838000000013,119.0944864268706,2401
R17,0.2,45.74838000000013,155.4391683768958,2401
R17,0.5,46.04838000000013,318.7800650227849,2401
