host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T01:35:27.901+02:00,BSF66F,4592,0,A,2742,3064084935,5582,48043,17154,1815,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004592_A.bin
2026-06-02T01:35:28.861+02:00,BSF66F,4594,1,B,3203,3890161409,6060,47853,9421,519,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004594_B.bin
2026-06-02T01:35:29.832+02:00,BSF66F,4596,2,C,2585,1171585151,6736,47707,11540,675,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004596_C.bin
2026-06-02T01:35:30.806+02:00,BSF66F,4598,3,D,2656,2877729495,6593,47803,10309,727,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004598_D.bin
2026-06-02T01:35:31.748+02:00,BSF66F,4599,7,H,2255,2115363804,7556,48056,18932,1828,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004599_H.bin
2026-06-02T01:35:32.652+02:00,BSF66F,4600,0,A,2721,1718845344,5562,48004,13503,1872,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004600_A.bin
2026-06-02T01:35:33.612+02:00,BSF66F,4602,1,B,3205,2562713172,6101,47672,9044,517,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004602_B.bin
2026-06-02T01:35:34.534+02:00,BSF66F,4603,5,F,2846,894531747,377,47767,21288,1969,64,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004603_F.bin
2026-06-02T01:35:35.468+02:00,BSF66F,4604,2,C,2588,509570979,6617,48015,11567,688,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004604_C.bin
2026-06-02T01:35:36.403+02:00,BSF66F,4605,6,G,2441,3580062288,11745,47644,16057,2193,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004605_G.bin
2026-06-02T01:35:37.335+02:00,BSF66F,4606,3,D,2626,3410799468,6650,47952,12139,709,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004606_D.bin
2026-06-02T01:35:38.288+02:00,BSF66F,4608,0,A,2723,1066043453,5556,47649,14677,1810,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004608_A.bin
2026-06-02T01:35:39.203+02:00,BSF66F,4609,4,E,2682,3283365480,8392,47692,13089,676,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004609_E.bin
2026-06-02T01:35:40.133+02:00,BSF66F,4610,1,B,3219,2566253681,5991,47701,10011,473,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004610_B.bin
2026-06-02T01:35:41.058+02:00,BSF66F,4611,5,F,2845,1216926128,462,48028,21191,2340,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004611_F.bin
