link_id,mu_half1,mu_half2,diff,stable
ID16_F,1946.0,1955.0,9.0,True
ID16_G,1988.0,1989.0,1.0,True
ID16_H,2010.0,2011.0,1.0,True
ID17_A,1722.0,1720.0,-2.0,True
ID17_B,1852.0,1851.0,-1.0,True
ID17_C,1934.0,1934.0,0.0,True
ID17_D,1779.0,1780.0,1.0,True
ID17_E,2373.0,2371.0,-2.0,True
ID17_F,2385.0,2384.0,-1.0,True
ID17_G,2562.0,2562.0,0.0,True
ID17_H,2274.0,2271.5,-2.5,True
ID18_A,1695.5,1694.5,-1.0,True
ID18_B,1728.0,1729.0,1.0,True
ID18_C,1994.0,1994.0,0.0,True
ID18_D,1991.0,1992.5,1.5,True
ID18_E,2215.0,2220.0,5.0,True
ID18_F,2332.0,2326.0,-6.0,True
ID18_G,2485.0,2482.0,-3.0,True
ID18_H,2472.5,2476.0,3.5,True
ID19_A,1953.0,1954.0,1.0,True
ID19_B,1626.0,1626.0,0.0,True
ID19_C,1728.0,1726.0,-2.0,True
ID19_D,1982.0,1983.0,1.0,True
ID19_E,2721.0,2717.0,-4.0,True
ID19_F,2290.0,2293.0,3.0,True
ID19_G,2811.0,2804.0,-7.0,True
ID19_H,2403.0,2404.0,1.0,True
ID20_A,1908.0,1909.0,1.0,True
ID20_B,1888.0,1891.0,3.0,True
ID20_C,1808.0,1809.0,1.0,True
ID20_D,1794.0,1792.0,-2.0,True
ID20_E,2311.0,2312.0,1.0,True
ID20_F,2681.0,2684.0,3.0,True
ID20_G,2339.0,2342.0,3.0,True
ID20_H,2517.0,2519.0,2.0,True
ID21_A,2293.0,2299.0,6.0,True
ID21_B,2339.0,2339.0,0.0,True
ID21_C,2338.0,2337.0,-1.0,True
ID21_D,2641.0,2643.0,2.0,True
ID21_E,1786.0,1785.5,-0.5,True
ID21_F,1810.0,1821.0,11.0,False
ID21_G,1964.0,1962.0,-2.0,True
ID21_H,1898.0,1896.0,-2.0,True
ID22_A,2613.0,2614.0,1.0,True
ID22_B,2238.0,2236.0,-2.0,True
ID22_C,2406.0,2404.0,-2.0,True
ID22_D,2352.0,2353.0,1.0,True
ID22_E,1738.0,1738.0,0.0,True
ID22_F,1837.0,1838.0,1.0,True
ID22_G,2020.0,2022.0,2.0,True
ID22_H,1915.0,1914.0,-1.0,True
ID23_A,2281.0,2281.0,0.0,True
ID23_B,2508.5,2509.0,0.5,True
ID23_C,2392.5,2389.0,-3.5,True
ID23_D,2451.5,2453.0,1.5,True
ID23_E,1793.0,1795.0,2.0,True
ID23_F,1807.0,1810.0,3.0,True
ID23_G,2006.0,2006.5,0.5,True
ID23_H,1911.0,1913.0,2.0,True
ID24_A,2426.0,2422.0,-4.0,True
ID24_B,2245.0,2242.0,-3.0,True
ID24_C,2839.0,2839.0,0.0,True
ID24_D,2354.0,2355.0,1.0,True
ID24_E,1766.5,1763.0,-3.5,True
ID24_F,1830.5,1835.0,4.5,True
ID24_G,2016.0,2013.0,-3.0,True
ID24_H,1928.0,1927.0,-1.0,True
