link_id,position_id,anchor_id,anchor_label,model,best_loglik,bic,mu_los,sigma,pi,lambda_or_equiv,n_inits_tried,adam_steps,lbfgs_steps,device
ID20_B,ID20,1,B,M0,-5434.921627301014,10884.02007215938,1890.2771284913504,22.594893444865516,,,100,500,200,cuda:0
ID20_C,ID20,2,C,M0,-5578.542322194265,11171.263130698584,1808.6271893354765,25.373972756509094,,,100,500,200,cuda:0
ID20_D,ID20,3,D,M0,-5595.041915800332,11204.25897901178,1791.9281537305487,25.926923543449565,,,100,500,200,cuda:0
ID20_E,ID20,4,E,M0,-5789.3919502150975,11592.965720074355,2309.3213987661575,30.010211142062232,,,100,500,200,cuda:0
ID20_F,ID20,5,F,M0,-7062.888955960461,14139.93121955181,2699.0320944709383,94.28662032077993,,,100,500,200,cuda:0
ID20_G,ID20,6,G,M0,-6835.983530437607,13686.074232329602,2354.2402765772777,89.07074828983367,,,100,500,200,cuda:0
ID20_H,ID20,7,H,M0,-7297.51589347296,14609.161305001504,2562.4709400769384,123.74890253838203,,,100,500,200,cuda:0
ID21_A,ID21,0,A,M0,-5973.334012628471,11960.844842814293,2298.087646018399,35.41551348355977,,,100,500,200,cuda:0
ID21_B,ID21,1,B,M0,-5464.997773003288,10944.175699678128,2339.5583333333293,22.99383824467514,,,100,500,200,cuda:0
ID21_C,ID21,2,C,M0,-5223.174322303893,10460.528798279338,2337.73333333334,18.797177757460506,,,100,500,200,cuda:0
ID21_D,ID21,3,D,M0,-5786.837254690676,11587.856329025512,2645.2689424512073,29.9464430556921,,,100,500,200,cuda:0
ID21_E,ID21,4,E,M0,-5535.310220693963,11084.800595059478,1785.0683333330007,24.381386285475177,,,100,500,200,cuda:0
ID21_F,ID21,5,F,M0,-7123.474954186287,14261.086252373349,1825.501433824152,104.44851154831206,,,100,500,200,cuda:0
ID21_G,ID21,6,G,M0,-6856.201391501622,13726.49781744596,1980.2723174023424,93.96666815623689,,,100,500,200,cuda:0
ID21_H,ID21,7,H,M0,-6065.6003312877665,12145.347202010453,1895.9347457700103,41.32223490937383,,,100,500,200,cuda:0
ID22_A,ID22,0,A,M0,-5307.380094303698,10628.93867491745,2613.0250208507164,20.23810000313414,,,100,500,200,cuda:0
ID22_B,ID22,1,B,M0,-5555.622749402019,11125.42565247559,2236.5458333309,24.797605380822567,,,100,500,200,cuda:0
ID22_C,ID22,2,C,M0,-5308.434379396392,10631.042234661805,2403.864548494983,20.482108532096344,,,100,500,200,cuda:0
ID22_D,ID22,3,D,M0,-5525.258664347753,11064.695815005562,2352.0041701376604,24.271040056272764,,,100,500,200,cuda:0
ID22_E,ID22,4,E,M0,-5980.064528471748,11974.309210615049,1736.4208333402614,35.3199715614265,,,100,500,200,cuda:0
ID22_F,ID22,5,F,M0,-6803.503429687531,13621.176987962966,1848.7001675040642,72.17819851804873,,,100,500,200,cuda:0
ID22_G,ID22,6,G,M0,-6861.327412381054,13736.742890556658,2038.156101157859,96.37603182132719,,,100,500,200,cuda:0
ID22_H,ID22,7,H,M0,-5632.873234699571,11279.89977703003,1916.037162163021,28.178400728648636,,,100,500,200,cuda:0
ID23_A,ID23,0,A,M0,-5256.24822121941,10526.67826208298,2282.185678601165,19.25212000333302,,,100,500,200,cuda:0
ID23_B,ID23,1,B,M0,-5309.260634929853,10632.701423531258,2508.9475000000025,20.195207610140223,,,100,500,200,cuda:0
ID23_C,ID23,2,C,M0,-5686.698534334893,11387.570544538808,2391.3821070227427,28.10158913564164,,,100,500,200,cuda:0
ID23_D,ID23,3,D,M0,-5516.118894918983,11046.41293724908,2453.103592314059,24.272594819584715,,,100,500,200,cuda:0
ID23_E,ID23,4,E,M0,-5823.832200844461,11661.842887998977,1793.6438699137846,31.13406846044757,,,100,500,200,cuda:0
ID23_F,ID23,5,F,M0,-7118.561890350173,14251.292233544542,1818.1383067565146,94.44366593319393,,,100,500,200,cuda:0
ID23_G,ID23,6,G,M0,-6874.531887737926,13763.17440116253,2021.2605694627507,91.14898403556026,,,100,500,200,cuda:0
ID23_H,ID23,7,H,M0,-6043.368426622394,12100.896906244632,1915.1523567198178,39.17629822903269,,,100,500,200,cuda:0
ID24_A,ID24,0,A,M0,-5436.038961234747,10886.25306988061,2425.656641625664,22.70187225595837,,,100,500,200,cuda:0
ID24_B,ID24,1,B,M0,-5532.204709816766,11078.584567044647,2244.9014202421467,24.600982240326065,,,100,500,200,cuda:0
ID24_C,ID24,2,C,M0,-5250.286532667544,10514.751551645142,2839.0366972477073,19.296993705569914,,,100,500,200,cuda:0
ID24_D,ID24,3,D,M0,-5847.57773443232,11709.3372885088,2353.4721065831436,31.49993477553604,,,100,500,200,cuda:0
ID24_E,ID24,4,E,M0,-5757.314991214624,11528.811802073407,1763.0566194835951,29.219291328524985,,,100,500,200,cuda:0
ID24_F,ID24,5,F,M0,-6992.299177845478,13998.758408690801,1835.4680138848466,87.08069199769096,,,100,500,200,cuda:0
ID24_G,ID24,6,G,M0,-6809.579648190964,13633.247362176477,2030.0750438973278,92.12101247670336,,,100,500,200,cuda:0
ID24_H,ID24,7,H,M0,-5997.9490458747505,12010.059827542882,1926.5634985741,37.54701533562247,,,100,500,200,cuda:0
ID01_A,ID01,0,A,M1,-5553.325801331668,11135.008575283446,1512.839062310501,24.84820772524141,0.0012185307696253034,17.9430777748951,100,500,200,cuda:0
ID01_B,ID01,1,B,M1,-5364.889721318228,10758.136415256566,1767.9999996128015,21.430909308281517,0.008190474823912474,2.488340060448556,100,500,200,cuda:0
ID01_C,ID01,2,C,M1,-5682.959415502739,11394.26912582771,2177.86327859673,27.906538731449167,0.00038921962277283976,8.915131840193197,100,500,200,cuda:0
ID01_D,ID01,3,D,M1,-5423.1984096958495,10874.7504545064,2110.9938365339103,22.469596299607243,0.009641369502380912,7.717105893624445,100,500,200,cuda:0
ID01_E,ID01,4,E,M1,-5446.677722647822,10921.719084583963,2314.802851792331,21.32603172493284,0.043596322699151285,35.14884672967286,100,500,200,cuda:0
ID01_F,ID01,5,F,M1,-6198.464280891947,12425.262113174394,2407.384228651022,37.861915530505335,0.039672371571238464,200.36349605180683,100,500,200,cuda:0
ID01_G,ID01,6,G,M1,-5656.259516684435,11340.677674768318,2765.877888104522,20.976619663107968,0.08095816142664655,301.0165453494782,100,500,200,cuda:0
ID01_H,ID01,7,H,M1,-7524.928453946476,15078.146595495102,2463.8462410192324,145.5369951208799,0.014057185845345793,105.60802880949065,100,500,200,cuda:0
