k,subset_id,anchor_labels,ranges,params,redundancy,d_tag_mm,median_3d,rmse,n_solved,method
4,42,BCFG,6,10,-4,43.8980180117542,140.4208144587056,205.46146821269969,24,median_range_huber_ls
4,43,BCFH,6,10,-4,47.721835377487835,156.62839260614578,245.7018185527372,24,median_range_huber_ls
4,44,BCGH,6,10,-4,29.16404339010306,125.97270523991679,174.22399378020404,24,median_range_huber_ls
4,45,BDEF,6,10,-4,71.01474276475649,171.43100230377792,222.7791237737428,24,median_range_huber_ls
4,46,BDEG,6,10,-4,49.621032516254864,73.6636473226449,205.17409952228127,24,median_range_huber_ls
4,47,BDEH,6,10,-4,50.77618461959965,127.28617451493693,238.50251073103485,24,median_range_huber_ls
4,48,BDFG,6,10,-4,62.43180683055274,163.18776595711617,244.3303353464874,24,median_range_huber_ls
4,49,BDFH,6,10,-4,62.43180683055274,178.9979658716392,294.2894660350436,24,median_range_huber_ls
4,50,BDGH,6,10,-4,47.93694671853872,116.2868710415139,208.822233050063,24,median_range_huber_ls
4,51,BEFG,6,10,-4,59.07496708936064,135.9956870639715,203.16718868638824,24,median_range_huber_ls
4,52,BEFH,6,10,-4,61.79967727222876,166.07297058803022,243.97467415766033,24,median_range_huber_ls
4,53,BEGH,6,10,-4,43.50874348887042,84.24477360140293,223.21970864801676,24,median_range_huber_ls
4,54,BFGH,6,10,-4,52.79779589367921,174.86251376225658,255.0539476271927,24,median_range_huber_ls
4,55,CDEF,6,10,-4,71.01474276475649,181.50535882170652,257.2717653374931,24,median_range_huber_ls
4,56,CDEG,6,10,-4,46.415723263206274,181.2959775073527,251.31378684201445,24,median_range_huber_ls
4,57,CDEH,6,10,-4,48.10606494503249,85.7269143106856,161.62871920855244,24,median_range_huber_ls
4,58,CDFG,6,10,-4,55.67041747775475,171.64552173053548,212.160168863407,24,median_range_huber_ls
4,59,CDFH,6,10,-4,58.982197662109144,166.58149837804052,292.1687620810701,24,median_range_huber_ls
4,60,CDGH,6,10,-4,45.49226268034043,92.94734745108171,131.7386649808708,24,median_range_huber_ls
4,61,CEFG,6,10,-4,52.818382067288084,149.84641599242119,252.31528735113838,24,median_range_huber_ls
4,62,CEFH,6,10,-4,54.97287941629216,147.7120455914652,234.5395567178855,24,median_range_huber_ls
4,63,CEGH,6,10,-4,40.550874473843066,121.2957421850954,249.93511895765988,24,median_range_huber_ls
4,64,CFGH,6,10,-4,47.721835377487835,117.57802930327682,207.7212872738781,24,median_range_huber_ls
4,65,DEFG,6,10,-4,72.7639163637883,160.9696635361392,208.92238098797557,24,median_range_huber_ls
4,66,DEFH,6,10,-4,74.63034178472984,134.4285596851697,257.8554347290864,24,median_range_huber_ls
4,67,DEGH,6,10,-4,51.41545039397018,78.37339139515558,198.81280245821372,24,median_range_huber_ls
4,68,DFGH,6,10,-4,63.042661528044526,121.15122444716054,257.8975772491359,24,median_range_huber_ls
4,69,EFGH,6,10,-4,62.41053196972055,82.30628007281784,128.65189679972445,24,median_range_huber_ls
5,0,ABCDE,10,14,-4,41.88990930926669,91.33834509538002,132.9879226467072,24,median_range_huber_ls
5,1,ABCDF,10,14,-4,50.799349774930754,96.15624038103903,160.43543941434174,24,median_range_huber_ls
5,2,ABCDG,10,14,-4,40.06718506133423,93.17805372912608,125.84692420414795,24,median_range_huber_ls
5,3,ABCDH,10,14,-4,42.15153660073306,98.29416909546006,135.02037662815917,24,median_range_huber_ls
5,4,ABCEF,10,14,-4,48.173345238288235,118.70537123349878,171.32060375481802,24,median_range_huber_ls
5,5,ABCEG,10,14,-4,28.87423734511107,164.9746407163604,245.27315857309856,24,median_range_huber_ls
5,6,ABCEH,10,14,-4,32.987653288378674,98.54794260335075,154.46704769608868,24,median_range_huber_ls
5,7,ABCFG,10,14,-4,40.962722792560655,133.1331225711653,185.8736850660894,24,median_range_huber_ls
5,8,ABCFH,10,14,-4,45.64103159366519,124.46453053132588,183.6707216770803,24,median_range_huber_ls
5,9,ABCGH,10,14,-4,29.16404339010306,115.90786665000394,162.71683600798488,24,median_range_huber_ls
5,10,ABDEF,10,14,-4,64.18303618991476,134.90014803718702,184.50466984736272,24,median_range_huber_ls
5,11,ABDEG,10,14,-4,47.93694671853872,82.58132562125864,183.63731898596384,24,median_range_huber_ls
5,12,ABDEH,10,14,-4,49.621032516254864,88.26387088830418,146.93661466928916,24,median_range_huber_ls
5,13,ABDFG,10,14,-4,55.14474228079057,110.7581184898405,174.86498624086758,24,median_range_huber_ls
5,14,ABDFH,10,14,-4,56.37092805736531,140.93985460423528,228.3594542713494,24,median_range_huber_ls
5,15,ABDGH,10,14,-4,45.66177600071727,105.331284309237,147.58881346164745,24,median_range_huber_ls
5,16,ABEFG,10,14,-4,52.818382067288084,82.02264443295036,171.0265925335294,24,median_range_huber_ls
5,17,ABEFH,10,14,-4,53.860134217841704,97.3933138425671,141.32205232109627,24,median_range_huber_ls
5,18,ABEGH,10,14,-4,40.962722792560655,91.50679216399247,161.5821449091431,24,median_range_huber_ls
5,19,ABFGH,10,14,-4,50.04334500865565,135.74298286792418,168.0002863825684,24,median_range_huber_ls
5,20,ACDEF,10,14,-4,63.33574210362589,136.61796295876218,169.26285673070564,24,median_range_huber_ls
5,21,ACDEG,10,14,-4,43.8980180117542,165.80135356014466,239.37759077291688,24,median_range_huber_ls
5,22,ACDEH,10,14,-4,47.55271715099406,66.50064397297152,147.06272797320858,24,median_range_huber_ls
5,23,ACDFG,10,14,-4,51.85372117029915,148.2895019956156,162.0741869146993,24,median_range_huber_ls
5,24,ACDFH,10,14,-4,52.967174600123855,88.54370980815821,180.38011278329105,24,median_range_huber_ls
5,25,ACDGH,10,14,-4,43.8980180117542,83.16150991715585,117.34598092208637,24,median_range_huber_ls
5,26,ACEFG,10,14,-4,49.16527405405635,152.9109669718777,224.7074628687833,24,median_range_huber_ls
5,27,ACEFH,10,14,-4,51.43861554930129,130.06562592027294,194.72631184845207,24,median_range_huber_ls
5,28,ACEGH,10,14,-4,37.6792728349925,126.00467444161109,229.12882616999596,24,median_range_huber_ls
5,29,ACFGH,10,14,-4,45.66177600071727,130.5693756415584,174.27282872993007,24,median_range_huber_ls
5,30,ADEFG,10,14,-4,64.47092692650838,124.87507620847717,161.36490008694477,24,median_range_huber_ls
5,31,ADEFH,10,14,-4,64.47092692650838,92.03617894595645,169.68602776577544,24,median_range_huber_ls
5,32,ADEGH,10,14,-4,50.37703728252997,86.78568877096394,153.54909587228727,24,median_range_huber_ls
5,33,ADFGH,10,14,-4,56.37092805736531,106.34275596157829,147.31261179179566,24,median_range_huber_ls
5,34,AEFGH,10,14,-4,54.27236883668159,102.01585587381005,148.66843865960286,24,median_range_huber_ls
5,35,BCDEF,10,14,-4,59.02725721894684,110.55863310333942,157.4916863550392,24,median_range_huber_ls
5,36,BCDEG,10,14,-4,42.54081112361684,82.90439614733532,180.12729243477398,24,median_range_huber_ls
5,37,BCDEH,10,14,-4,46.56449217653103,102.25305117077428,142.91297001940558,24,median_range_huber_ls
5,38,BCDFG,10,14,-4,50.37703728252997,108.59307032850222,182.79381182641512,24,median_range_huber_ls
5,39,BCDFH,10,14,-4,52.382690272681344,128.2298328414078,258.4050096351463,24,median_range_huber_ls
5,40,BCDGH,10,14,-4,42.54081112361684,86.85871982237188,156.33334970517083,24,median_range_huber_ls
5,41,BCEFG,10,14,-4,46.415723263206274,109.91108179454486,168.6224369222305,24,median_range_huber_ls
5,42,BCEFH,10,14,-4,50.02017985332454,132.3656752810528,171.68413183525527,24,median_range_huber_ls
5,43,BCEGH,10,14,-4,35.56050511000697,114.50055135563329,167.92119962075,24,median_range_huber_ls
5,44,BCFGH,10,14,-4,45.49226268034043,121.06896972741399,154.05083638384622,24,median_range_huber_ls
5,45,BDEFG,10,14,-4,63.2583048549066,79.27085113311198,185.1755510916814,24,median_range_huber_ls
5,46,BDEFH,10,14,-4,63.203811976582614,129.96203432965802,218.9155832111998,24,median_range_huber_ls
5,47,BDEGH,10,14,-4,48.57674117675603,69.66235173334968,181.77368509297654,24,median_range_huber_ls
5,48,BDFGH,10,14,-4,55.14474228079057,105.66525395515606,216.62917136559435,24,median_range_huber_ls
5,49,BEFGH,10,14,-4,52.967174600123855,116.20177786683114,187.05160170121576,24,median_range_huber_ls
5,50,CDEFG,10,14,-4,59.02725721894684,100.97462936704838,146.8134791149587,24,median_range_huber_ls
5,51,CDEFH,10,14,-4,61.638526823690675,93.62440003404086,153.70614642837936,24,median_range_huber_ls
5,52,CDEGH,10,14,-4,46.56449217653103,68.93280035222136,154.90607460680846,24,median_range_huber_ls
5,53,CDFGH,10,14,-4,52.79779589367921,89.12900634898114,179.6731711266894,24,median_range_huber_ls
5,54,CEFGH,10,14,-4,51.41545039397018,109.25033238653704,174.38372679851418,24,median_range_huber_ls
5,55,DEFGH,10,14,-4,63.869159552398386,98.06915270818013,165.13013378405066,24,median_range_huber_ls
6,0,ABCDEF,15,18,-3,52.0230998767438,87.84116606150928,131.4614518825299,24,median_range_huber_ls
6,1,ABCDEG,15,18,-3,40.962722792560655,88.17355867352012,149.11058163165728,24,median_range_huber_ls
6,2,ABCDEH,15,18,-3,44.05615988381517,73.26304046131757,93.57275762618939,24,median_range_huber_ls
6,3,ABCDFG,15,18,-3,48.55757480583289,87.95994013493765,109.92813142993344,24,median_range_huber_ls
6,4,ABCDFH,15,18,-3,50.37703728252997,83.64723236910977,129.0780571071923,24,median_range_huber_ls
6,5,ABCDGH,15,18,-3,41.600625157108055,87.9631762836461,89.39314092725486,24,median_range_huber_ls
6,6,ABCEFG,15,18,-3,43.8980180117542,113.11311421123561,168.6312040884365,24,median_range_huber_ls
6,7,ABCEFH,15,18,-3,47.721835377487835,103.65153396350925,140.52800073853925,24,median_range_huber_ls
6,8,ABCEGH,15,18,-3,34.282825623632334,114.98067047056824,154.28523288738774,24,median_range_huber_ls
6,9,ABCFGH,15,18,-3,43.8980180117542,123.20884219715917,134.52177075628697,24,median_range_huber_ls
6,10,ABDEFG,15,18,-3,55.67041747775475,70.87566325296794,164.54976467612826,24,median_range_huber_ls
6,11,ABDEFH,15,18,-3,58.16309450123481,85.08327941969468,155.02139070616377,24,median_range_huber_ls
6,12,ABDEGH,15,18,-3,47.93694671853872,66.82006216393248,149.79988899894568,24,median_range_huber_ls
6,13,ABDFGH,15,18,-3,52.79779589367921,101.78508133263028,142.4471018403092,24,median_range_huber_ls
6,14,ABEFGH,15,18,-3,51.43861554930129,82.71097638824706,135.02489173314873,24,median_range_huber_ls
6,15,ACDEFG,15,18,-3,52.818382067288084,117.13591926646448,150.38878978618564,24,median_range_huber_ls
6,16,ACDEFH,15,18,-3,54.385809414805884,86.32341436237766,150.65624526727356,24,median_range_huber_ls
6,17,ACDEGH,15,18,-3,45.49226268034043,69.23246073954726,149.1100040016072,24,median_range_huber_ls
6,18,ACDFGH,15,18,-3,50.799349774930754,84.54458991912881,128.40801552420854,24,median_range_huber_ls
6,19,ACEFGH,15,18,-3,47.721835377487835,111.95298445435267,152.59780757058317,24,median_range_huber_ls
6,20,ADEFGH,15,18,-3,58.16309450123481,91.31909897274993,109.33328335473995,24,median_range_huber_ls
6,21,BCDEFG,15,18,-3,51.830556014968046,75.04310205553426,156.7938272315416,24,median_range_huber_ls
6,22,BCDEFH,15,18,-3,52.967174600123855,104.03046929675385,144.52372159906534,24,median_range_huber_ls
6,23,BCDEGH,15,18,-3,45.31337640122739,72.52228839685546,141.89187760445517,24,median_range_huber_ls
6,24,BCDFGH,15,18,-3,49.621032516254864,84.75408518709224,159.6823440158248,24,median_range_huber_ls
6,25,BCEFGH,15,18,-3,46.56449217653103,101.5289893332781,138.91022843887103,24,median_range_huber_ls
6,26,BDEFGH,15,18,-3,55.67041747775475,70.17220038604046,154.07975164907586,24,median_range_huber_ls
6,27,CDEFGH,15,18,-3,52.967174600123855,73.92054889239583,117.21139871297181,24,median_range_huber_ls
7,0,ABCDEFG,21,22,-1,50.37703728252997,79.11670824657298,115.7162099075223,24,median_range_huber_ls
7,1,ABCDEFH,21,22,-1,51.03527382442376,81.46632500291037,102.92689463273273,24,median_range_huber_ls
7,2,ABCDEGH,21,22,-1,42.54081112361684,77.31294516895665,111.32956640776601,24,median_range_huber_ls
7,3,ABCDFGH,21,22,-1,48.10606494503249,83.34705611400534,98.08072572363287,24,median_range_huber_ls
7,4,ABCEFGH,21,22,-1,45.49226268034043,95.29229949184165,125.57840997156771,24,median_range_huber_ls
7,5,ABDEFGH,21,22,-1,52.967174600123855,75.99228543703443,119.14399785180335,24,median_range_huber_ls
7,6,ACDEFGH,21,22,-1,51.43861554930129,69.00423458682894,105.4162013543704,24,median_range_huber_ls
7,7,BCDEFGH,21,22,-1,50.77618461959965,74.47717542369305,125.38587180006263,24,median_range_huber_ls
8,0,ABCDEFGH,28,26,2,49.621032516254864,68.73280887712593,88.47374171055033,24,median_range_huber_ls
