scenario,ID,capture,n_samples,bias_3d_mm,bias_xz_mm,bias_y_mm,scatter_3d_rms_mm,scatter_xz_rms_mm,scatter_y_rms_mm,gdop,residual_rms_median_mm,anchors_used_median,tag_truth_source,tag_truth_corrected
self_cal_v4io_T4,ID23,static_ID23_BSF66F_120s_20260528_123303,1201,110.05878319159858,71.15579174808624,83.96302196990223,76.54832106460871,67.84726690824796,35.445646148594605,1.1399962876318248,89.88259258584799,8.0,motive_iantenna,False
self_cal_v4io_T4,ID24,static_ID24_BSF66F_120s_20260528_123717,1201,46.84969709697911,29.603668274555776,36.31138860975648,73.98744298348716,60.88825312219501,42.03287226638542,1.1398148068508027,165.46992289342774,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID01,static_ID01_BSF66F_120s_20260528_110629,1201,146.03789946018415,114.4132668101099,90.7561152572181,43.17461383499957,29.27401394329982,31.734514136013242,1.1324253951913783,95.52510209417675,8.0,reconstructed_from_relabelled_balls,True
vicon_truth_delaycal_T4,ID02,static_ID02_BSF66F_120s_20260528_111027,1201,69.29266482223944,53.935308760268526,43.50236622416901,72.83625671125526,52.41348929562986,50.57614488634706,1.2159713757473727,80.69703886750946,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID03,static_ID03_BSF66F_120s_20260528_111354,1201,67.34215165853998,44.00118448109143,50.97902661156604,68.44634932825807,60.203308946780645,32.564771275481355,1.1466591652598934,156.54866747788955,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID04,static_ID04_BSF66F_120s_20260528_111732,1201,113.87358868170243,68.69740586536021,90.81773299647773,70.44347918311561,42.876809268542715,55.891528753211354,1.115014956197922,87.08906014038195,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID05,static_ID05_BSF66F_120s_20260528_112057,1200,19.004713713579864,18.947671560337284,1.4713550817923533,62.72755362252195,41.73345468111861,46.8301691631088,1.1773049265709892,143.5866846679928,8.0,reconstructed_from_relabelled_balls,True
vicon_truth_delaycal_T4,ID06,static_ID06_BSF66F_120s_20260528_112429,1201,7.213516863124704,7.203392460820268,0.38205050710894284,59.26920654342448,48.40342664166897,34.20448996303968,1.114104484459904,72.74524339511647,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID07,static_ID07_BSF66F_120s_20260528_112810,1201,107.46019651096489,76.66111630609197,75.3044957547624,79.77217167775322,57.82161500878473,54.95689412585842,1.144258500123504,122.02610628517682,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID08,static_ID08_BSF66F_120s_20260528_113136,1201,126.37168157009633,57.45185072707271,112.55703776702717,58.39690661342955,42.87424966437588,39.64842263866719,1.210667704216458,119.8669726216584,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID09,static_ID09_BSF66F_120s_20260528_113816,1201,114.65695668028772,35.56710831989378,109.00091064273875,74.44931595345956,51.689383291598524,53.58085759739446,1.1555260178415385,119.61645354376662,8.0,motive_iantenna,False
