scenario,capture_id,n,t_ref_s,beta0_s,const_offset_beta_best_s,beta_best_s,alpha_best_ppm,const_offset_best_p50_mm,const_offset_best_p95_mm,skew_best_p50_mm,skew_best_p95_mm,marginal_drop_vs_const_p50_mm,marginal_drop_vs_const_p95_mm,coarse_best_beta_s,coarse_best_alpha_ppm,coarse_best_p50_mm
self_cal_v4io_T4,R14,2401,0.001318,45.59368200000013,45.59268199999955,45.604681999999436,-112.0,86.54797554973037,209.71576969125576,86.40814166618497,209.54235944824003,0.13983388354539272,0.1734102430157236,45.60368199999941,-100.0,86.44410374182488
self_cal_v4io_T4,R15,2400,0.002548,43.647452000000136,43.64845199999955,43.648951999999454,-4.0,92.91714646160025,207.49854594104866,92.82850759371745,207.44667190627635,0.08863886788280695,0.051874034772311006,43.649451999999435,-10.0,92.85737839731138
self_cal_v4io_T4,R16,2401,0.000961,44.509039000000136,44.521038999999526,44.52253899999944,-188.0,101.73553129708408,215.04982343729444,101.29080548507257,214.77846036186025,0.4447258120115123,0.2713630754341807,44.52103899999941,-170.0,101.33243204583403
self_cal_v4io_T4,R17,2401,0.00162,45.54838000000013,45.54737999999955,45.53637999999948,98.0,100.33675205833583,237.0375834115637,100.19678696361456,239.60949237068883,0.13996509472127627,-2.5719089591251247,45.53637999999946,100.0,100.1977076334065
vicon_truth_delaycal_T4,R01,2401,0.002044,37.70795600000014,37.694955999999586,37.680955999999526,138.0,120.78604826924892,302.4200082565937,120.64675691135605,305.0033254113045,0.13929135789287272,-2.5833171547108122,37.680955999999505,130.0,120.64768280635246
vicon_truth_delaycal_T4,R02,2401,0.002642,46.52235800000014,46.50935799999959,46.49735799999952,197.0,114.87720295265567,213.9928104704583,114.81051201024545,213.2514092239303,0.06669094241021867,0.7414012465279995,46.4973579999995,200.0,114.83022662800963
vicon_truth_delaycal_T4,R03,2250,0.002418,46.37758200000015,46.35058199999963,46.36408199999951,-220.0,112.90065259859853,213.04497536347907,112.2193950929882,212.70771903599513,0.6812575056103327,0.3372563274839422,46.36358199999949,-210.0,112.2741660777793
vicon_truth_delaycal_T4,R04,2400,0.001789,47.29321100000013,47.27921099999958,47.29671099999944,-201.0,109.10717066073892,200.99936535861355,108.93738760799403,201.87444992719335,0.16978305274489003,-0.8750845685798083,47.29721099999942,-210.0,108.98097025140774
vicon_truth_delaycal_T4,R05,2401,0.002422,48.70257800000013,48.707577999999536,48.707577999999444,40.0,107.6766403678521,224.13946954637842,107.58535890398535,223.77959741418718,0.09128146386674985,0.35987213219124214,48.70757799999942,40.0,107.58535890397911
vicon_truth_delaycal_T4,R06,2401,0.001209,45.52379100000014,45.53379099999953,45.52579099999946,105.0,104.72439932087116,186.79130439296483,104.35871944615214,187.27275335923875,0.36567987471902086,-0.4814489662739163,45.52579099999944,110.0,104.43830956173652
vicon_truth_delaycal_T4,R07,2401,0.000196,45.22980400000012,45.291803999999395,45.2928039999993,-48.0,104.1535881506785,185.94949474613358,104.07421996594847,185.92002094715951,0.07936818473002916,0.029473798974066767,45.29280399999928,-40.0,104.096433916589
vicon_truth_delaycal_T4,R08,2401,0.002523,44.84747700000013,44.84747699999955,44.852476999999446,-97.0,91.16997117477544,177.35540876287527,90.91380192749726,177.77512076856442,0.25616924727818,-0.41971200568914924,44.852476999999425,-80.0,90.91425737172209
vicon_truth_delaycal_T4,R09,2400,0.002561,44.96743900000014,44.977438999999535,44.96393899999947,168.0,117.85234928832026,245.79206733133566,117.66293188615188,245.34223473047476,0.18941740216837388,0.44983260086090127,44.96443899999945,160.0,117.68740699983533
vicon_truth_delaycal_T4,R10,2400,0.014291,45.34070900000013,45.34470899999954,45.334208999999476,94.0,93.21007544412177,179.0717689789232,92.91396533613593,179.13556294104106,0.2961101079858395,-0.06379396211787025,45.33370899999945,100.0,92.92923148943342
vicon_truth_delaycal_T4,R11,2401,0.002519,45.512481000000136,45.54448099999948,45.545480999999384,-10.0,104.345704922932,199.6510414820781,104.29238821633872,199.69678941065186,0.053316706593278695,-0.04574792857374632,45.54548099999936,-10.0,104.2923882163293
vicon_truth_delaycal_T4,R12,2400,0.000175,46.93482500000013,46.931824999999556,46.93782499999945,-164.0,92.99574334728379,204.26717396399803,92.54155510063872,202.84085727676353,0.4541882466450744,1.4263166872345039,46.93782499999943,-160.0,92.60228681942843
vicon_truth_delaycal_T4,R13,2401,0.001436,44.91856400000012,44.952563999999455,44.933063999999405,274.0,94.45114027915179,185.9440001077987,94.31269045135257,185.80698933341722,0.13844982779922077,0.1370107743814799,44.933563999999386,260.0,94.35108060739148
vicon_truth_delaycal_T4,R14,2401,0.001318,45.59368200000013,45.576681999999586,45.588681999999466,-131.0,90.1803724576249,180.89684172038633,89.96324247570642,181.2225829295485,0.21712998191847532,-0.3257412091621745,45.588681999999444,-130.0,89.96931870326361
vicon_truth_delaycal_T4,R15,2400,0.002548,43.647452000000136,43.6284519999996,43.651951999999454,-223.0,113.82084288963824,207.85501850290837,113.43944137918461,205.50552458319402,0.38140151045362813,2.349493919714348,43.65145199999943,-220.0,113.47808140247308
vicon_truth_delaycal_T4,R16,2401,0.000961,44.509039000000136,44.509038999999554,44.51403899999944,-95.0,100.98481687786486,210.25331523657195,100.86738588873733,210.44703148886916,0.11743098912752714,-0.19371625229720735,44.515038999999426,-100.0,100.91014552247192
vicon_truth_delaycal_T4,R17,2401,0.00162,45.54838000000013,45.55037999999954,45.56487999999942,-142.0,98.43482927927437,190.58856987489165,98.02454408023851,190.30119825784223,0.4102851990358545,0.2873716170494163,45.564379999999396,-140.0,98.0859823666907
