position,anchor,range_std_mm,n_valid
ID14,E,30.466902022746925,1199
ID14,F,72.70561694914004,1198
ID14,G,114.13005712313081,1138
ID14,H,27.768458522699735,1182
ID15,A,21.76298075507949,1199
ID15,B,29.81988892057821,1199
ID15,C,30.013324802387913,1200
ID15,D,23.13044909957769,1201
ID15,E,23.124856016953647,1200
ID15,F,70.95171722823453,1196
ID15,G,135.49502113380098,1158
ID15,H,32.988799434789456,1201
ID16,A,30.505922597848592,1199
ID16,B,27.698243266380793,1199
ID16,C,16.610176576116576,1199
ID16,D,30.35966846224621,1198
ID16,E,26.01286976454324,1199
ID16,F,84.41138505673516,1176
ID16,G,120.79572249787816,1155
ID16,H,41.17907610607065,1159
ID17,A,31.126301447771485,1199
ID17,B,27.67440622572797,1198
ID17,C,27.609043087195367,1197
ID17,D,24.859509299476592,1197
ID17,E,22.19536228203528,1198
ID17,F,107.06755455755055,1192
ID17,G,80.12898988928885,1160
ID17,H,44.79976192954219,1159
ID18,A,19.283879053210338,1192
ID18,B,23.367634233116863,1198
ID18,C,23.728437348946283,1195
ID18,D,30.799285213328407,1199
ID18,E,31.741388658127715,1199
ID18,F,78.62096380267492,1192
ID18,G,104.80284782065885,1154
ID18,H,45.77364569939446,1176
ID19,A,23.256332571768823,1195
ID19,B,20.970316629706748,1198
ID19,C,21.87659521964572,1200
ID19,D,26.54484998388314,1199
ID19,E,22.67001197949211,1199
ID19,F,104.35386082090626,1190
ID19,G,88.16726478829968,1143
ID19,H,39.31567232101169,1161
ID20,A,31.343852319068198,1199
ID20,B,22.604329608753183,1198
ID20,C,25.3845606860823,1199
ID20,D,25.937760293567855,1197
ID20,E,30.022712791734282,1201
ID20,F,94.32646309621312,1184
ID20,G,89.10926578289346,1157
ID20,H,123.8018212412758,1170
ID21,A,35.430303842580265,1198
ID21,B,23.00342500274912,1200
ID21,C,18.805014740002164,1200
ID21,D,29.958918142975886,1201
ID21,E,24.391551550583237,1200
ID21,F,104.49961730985989,1174
ID21,G,94.0108960296278,1150
ID21,H,41.33975546660607,1180
ID22,A,20.246544860214875,1199
ID22,B,24.80794417891594,1200
ID22,C,20.490676660500444,1196
ID22,D,24.281167760305163,1199
ID22,E,35.33469753675416,1200
ID22,F,72.20844291914061,1194
ID22,G,96.41816836044443,1146
ID22,H,28.19030793418601,1184
ID23,A,19.260140049506823,1201
ID23,B,20.20362754280132,1200
ID23,C,28.113344663926426,1196
ID23,D,24.28274010521876,1197
ID23,E,31.147059935207874,1199
ID23,F,94.48327405769147,1193
ID23,G,91.18833264394934,1159
ID23,H,39.192796986648254,1188
ID24,A,22.711361022205974,1197
ID24,B,24.611264781977123,1197
ID24,C,19.30504586268881,1199
ID24,D,31.513057023641778,1201
ID24,E,29.231463497903306,1201
ID24,F,87.11736549202513,1188
ID24,G,92.16122926767578,1146
ID24,H,37.56281446021807,1189
