mode,heldout_position,train_links,delta_tag_mm,rms_train_mm,rho_distance_percent,elevation_coeff_mm_per_deg
distance_plus_elevation,ID13,184,-100.60185207328082,93.42907036681655,4.5383850374321355,1.6573923334013427
distance_plus_elevation,ID14,184,-97.29431166777584,93.20655936768748,4.480012602984118,1.6630401761123508
distance_plus_elevation,ID15,184,-98.18645782709802,93.26261785456458,4.49963556809827,1.6593204012895761
distance_plus_elevation,ID16,184,-102.16393375129472,93.64185702694753,4.573999156509956,1.6415314694931926
distance_plus_elevation,ID17,184,-107.30395560302208,92.77653984913695,4.745433077440708,1.6688762425569292
distance_plus_elevation,ID18,184,-110.92779087861497,92.37171652917327,4.721011072235015,1.7799158807041628
distance_plus_elevation,ID19,184,-88.7987822913974,87.16202412336224,4.36610743921495,1.4210996130908118
distance_plus_elevation,ID20,184,-103.76025609991429,91.25163732240533,4.594048370163151,1.6302308875110292
distance_plus_elevation,ID21,184,-105.4578401693168,92.45159041725138,4.626343404426692,1.6379169352053546
distance_plus_elevation,ID22,184,-110.34956870643585,91.3843480643641,4.7395715021950835,1.638608324944772
distance_plus_elevation,ID23,184,-108.97669998523047,92.30682943815766,4.6866020688142385,1.6471944384599353
distance_plus_elevation,ID24,184,-100.89222096425003,87.93492619611665,4.463386557963744,1.5990952893810944
