position,fit,heldout_facing,delta_tag_for_position_mm,train_rms_mm,train_links,rank,delta_tag_ABEF_mm,delta_tag_BCGF_mm,delta_tag_CDHG_mm,delta_tag_ADHE_mm,common_offset_c_p_mm
ID12,per_facing_delta_tag,ADHE,164.12464189869536,99.3814556536971,184,11,119.51905133501116,151.53697083545174,148.59460929974904,164.12464189869536,
ID13,per_facing_delta_tag,ABEF,124.96083095730697,100.34475935088565,184,11,124.96083095730697,151.5369708354517,148.59460929974918,162.59568974522614,
ID14,per_facing_delta_tag,BCGF,169.04770454614953,99.87651997047955,184,11,119.51905133501106,169.04770454614953,148.59460929974892,162.5956897452261,
ID15,per_facing_delta_tag,CDHG,164.27186747645493,99.97188763364534,184,11,119.51905133501103,151.53697083545197,164.27186747645493,162.5956897452261,
ID16,per_facing_delta_tag,ADHE,172.92595454545085,100.27796281827204,184,11,119.51905133501111,151.5369708354517,148.59460929974895,172.92595454545085,
ID17,per_facing_delta_tag,ABEF,132.89257948601912,99.61102997283244,184,11,132.89257948601912,151.53697083545177,148.59460929974932,162.5956897452262,
ID18,per_facing_delta_tag,BCGF,171.37966624426218,99.46053835368083,184,11,119.51905133501114,171.37966624426218,148.59460929974895,162.5956897452261,
ID19,per_facing_delta_tag,CDHG,136.44734646198023,92.51044618834196,184,11,119.51905133501113,151.53697083545214,136.44734646198023,162.59568974522597,
ID20,per_facing_delta_tag,ADHE,165.88749818589778,97.6186532966011,184,11,119.51905133501107,151.53697083545163,148.59460929974898,165.88749818589778,
ID21,per_facing_delta_tag,ABEF,114.49261319323617,98.95953181763089,184,11,114.49261319323617,151.53697083545157,148.594609299749,162.59568974522605,
ID22,per_facing_delta_tag,BCGF,151.1002962653878,98.12657372628105,184,11,119.51905133501106,151.1002962653878,148.594609299749,162.5956897452261,
ID23,per_facing_delta_tag,CDHG,145.9114316614823,98.97847835379338,184,11,119.51905133501114,151.536970835452,145.9114316614823,162.59568974522605,
ID24,per_facing_delta_tag,ADHE,150.12496865676613,94.52490512200393,184,11,119.51905133501111,151.53697083545183,148.5946092997492,150.12496865676613,
ID01,position_common_offset_oracle,ABEF,105.66114953755124,nan,184,24,,,,,-20.264944109819567
ID02,position_common_offset_oracle,ABEF,45.95565688495951,nan,184,24,,,,,-51.31619866413087
ID03,position_common_offset_oracle,ABEF,85.44358314346576,nan,184,24,,,,,-28.430668523826625
ID04,position_common_offset_oracle,BCGF,133.26937534616405,nan,184,24,,,,,-4.387062558440448
ID05,position_common_offset_oracle,BCGF,90.97446187856735,nan,184,24,,,,,-25.73745723532386
ID06,position_common_offset_oracle,BCGF,155.94898830902878,nan,184,24,,,,,6.280952199246485
ID07,position_common_offset_oracle,CDHG,39.745972054252036,nan,184,24,,,,,-53.14881288582603
ID08,position_common_offset_oracle,CDHG,67.03771245871543,nan,184,24,,,,,-39.01008513258808
ID09,position_common_offset_oracle,CDHG,100.72696380758833,nan,184,24,,,,,-22.138296635988013
ID10,position_common_offset_oracle,ADHE,125.12079989906638,nan,184,24,,,,,-9.652983763758698
ID11,position_common_offset_oracle,ADHE,159.6486169736446,nan,184,24,,,,,7.508062774782047
ID12,position_common_offset_oracle,ADHE,83.10222672676127,nan,184,24,,,,,-31.025560513026903
ID13,position_common_offset_oracle,ABEF,109.34795491790658,nan,184,24,,,,,-19.264452412114
ID14,position_common_offset_oracle,BCGF,25.650224462753172,nan,184,24,,,,,-61.7291187471161
ID15,position_common_offset_oracle,CDHG,92.42874892610217,nan,184,24,,,,,-28.2045300777404
ID16,position_common_offset_oracle,ADHE,124.83549349377245,nan,184,24,,,,,-11.115591547646886
ID17,position_common_offset_oracle,ABEF,-3.8479915612544744,nan,184,24,,,,,-76.72457223090237
ID18,position_common_offset_oracle,BCGF,52.80766374413139,nan,184,24,,,,,-48.403873204047954
ID19,position_common_offset_oracle,CDHG,36.48487782066063,nan,184,24,,,,,-53.15206117236608
ID20,position_common_offset_oracle,ADHE,69.63611288828693,nan,184,24,,,,,-37.95023224609042
ID21,position_common_offset_oracle,ABEF,67.95175569696895,nan,184,24,,,,,-38.82470226561861
ID22,position_common_offset_oracle,BCGF,106.30083548846596,nan,184,24,,,,,-19.453007986350823
ID23,position_common_offset_oracle,CDHG,122.12182391448914,nan,184,24,,,,,-11.36229303844118
ID24,position_common_offset_oracle,ADHE,113.21039748696697,nan,184,24,,,,,-14.44977151967089
