trial,train_pairs,heldout_pairs,train_rms_mm,heldout_rms_mm,heldout_median_abs_mm,heldout_p95_abs_mm
21,"A-B,A-C,A-D,A-E,A-F,A-G,B-C,B-D,B-E,B-F,B-G,B-H,C-E,C-F,C-H,D-F,D-H,E-G,E-H,F-H,G-H","A-H,C-D,C-G,D-E,D-G,E-F,F-G",46.912275683219114,38.63613467182247,14.086102337344471,72.36947214932583
22,"A-B,A-C,A-D,A-E,A-F,B-C,B-D,B-E,B-F,B-G,B-H,C-F,C-G,D-E,D-F,D-G,D-H,E-F,E-H,F-G,G-H","A-G,A-H,C-D,C-E,C-H,E-G,F-H",36.831161189454704,83.53673830531848,52.131119643039455,144.02797201778586
23,"A-D,A-F,A-G,A-H,B-D,B-E,B-F,C-D,C-E,C-F,C-G,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-B,A-C,A-E,B-C,B-G,B-H,C-H",35.79198503085171,84.55218581203272,71.84338542739209,138.25199070208743
24,"A-B,A-D,A-E,A-F,A-G,A-H,B-D,B-E,B-G,C-D,C-E,C-G,C-H,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-C,B-C,B-F,B-H,C-F,D-E,D-F",36.775970328091084,76.54728569628942,66.73390901756025,122.32034851076827
25,"A-B,A-C,A-D,A-E,A-F,A-H,B-C,B-D,B-E,B-F,B-H,C-D,C-E,C-G,C-H,D-E,D-F,D-H,E-F,E-G,E-H","A-G,B-G,C-F,D-G,F-G,F-H,G-H",36.627235459834154,79.25665920461223,57.19970204324221,135.39353375505976
26,"A-B,A-E,A-F,A-G,A-H,B-C,B-E,B-G,B-H,C-D,C-E,C-F,C-G,D-E,D-F,D-G,D-H,E-H,F-G,F-H,G-H","A-C,A-D,B-D,B-F,C-H,E-F,E-G",39.90100458656213,60.5455707493543,29.532247718410105,106.30780773257145
27,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-F,C-D,C-F,C-H,D-E,D-F,D-G,E-G,F-G,F-H,G-H","B-G,B-H,C-E,C-G,D-H,E-F,E-H",36.72467268469309,80.88426588617517,36.19481943999057,144.27825885957566
28,"A-C,A-D,A-F,A-G,A-H,B-C,B-E,B-F,B-G,C-D,C-E,C-F,C-G,C-H,D-E,D-F,D-G,E-F,E-H,F-H,G-H","A-B,A-E,B-D,B-H,D-H,E-G,F-G",40.43487634773979,62.417179375491656,47.52665961881752,98.18666620354253
29,"A-B,A-C,A-D,A-H,B-C,B-D,B-F,B-G,B-H,C-E,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-H,G-H","A-E,A-F,A-G,B-E,C-D,C-F,F-G",40.44232447479218,64.43892753342409,55.200087759645726,100.20526007443864
30,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-E,B-F,B-G,B-H,C-D,C-F,C-H,D-H,E-F,E-G,E-H,F-G,F-H,G-H","B-C,B-D,C-E,C-G,D-E,D-F,D-G",45.49465703779131,69.36788319365975,44.336132937833355,120.48076773306082
31,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-E,B-G,B-H,C-D,C-E,C-F,D-F,D-G,E-F,E-G,E-H,F-G,F-H,G-H","B-C,B-D,B-F,C-G,C-H,D-E,D-H",33.07403591363695,106.43510138184038,80.4946229469287,174.64402756680994
32,"A-B,A-C,A-E,A-G,B-C,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-H,D-E,D-F,D-H,E-F,E-G,E-H,F-G,G-H","A-D,A-F,A-H,B-D,C-G,D-G,F-H",46.32162590109673,40.11674431904701,21.875466645537045,72.00369873704456
33,"A-B,A-C,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-G,C-E,C-G,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-D,B-F,B-H,C-D,C-F,C-H,D-E",40.966947181312186,58.38106741544411,34.268606354694015,106.16584275627851
34,"A-B,A-C,A-D,A-E,A-F,A-H,B-D,B-E,B-F,B-G,C-D,C-E,C-F,C-G,C-H,D-F,E-F,E-G,E-H,F-H,G-H","A-G,B-C,B-H,D-E,D-G,D-H,F-G",45.08329143695319,46.86063138145043,29.3500379912239,82.00712117074664
35,"A-B,A-C,A-D,A-E,A-F,A-H,B-C,B-D,B-E,B-F,B-G,C-E,C-F,C-G,C-H,D-E,D-G,E-F,E-G,F-H,G-H","A-G,B-H,C-D,D-F,D-H,E-H,F-G",43.26234121384383,54.60250068396836,36.206351542092534,94.33532912781153
36,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-H,C-D,C-E,C-F,C-G,C-H,D-E,D-H,E-G,F-G","B-G,D-F,D-G,E-F,E-H,F-H,G-H",38.99781649194107,73.71254268912833,59.160172182183715,129.1033745831685
37,"A-C,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-G,C-D,C-E,C-F,C-G,C-H,D-E,D-F,E-F,E-G,F-G,F-H,G-H","A-B,A-D,A-E,B-H,D-G,D-H,E-H",44.5222490744839,54.27658338409847,31.089193729797188,98.27620009881446
38,"A-D,A-F,A-H,B-C,B-D,B-E,B-G,B-H,C-D,C-E,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,G-H","A-B,A-C,A-E,A-G,B-F,C-F,F-H",39.34969512894561,60.24922221600064,65.9667885726623,90.21331217276638
39,"A-B,A-C,A-D,A-F,A-H,B-D,B-E,B-F,C-D,C-E,C-F,C-G,C-H,D-E,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-E,A-G,B-C,B-G,B-H,D-F,D-G",38.4067243804043,67.0788637186428,45.38452384819266,116.14860311947913
40,"A-C,A-D,A-E,A-G,A-H,B-C,B-D,B-E,B-F,C-D,C-E,C-F,C-G,C-H,D-F,D-H,E-F,E-G,E-H,F-G,F-H","A-B,A-F,B-G,B-H,D-E,D-G,G-H",33.38823900189175,100.02461094502227,91.07380092802569,162.43515229831178
41,"A-B,A-C,A-D,A-E,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,D-E,D-F,D-G,D-H,E-F,G-H","A-F,A-G,C-H,E-G,E-H,F-G,F-H",34.64239881737664,99.0492485083735,61.849200768816786,154.46406476875225
42,"A-C,A-F,A-G,A-H,B-E,B-G,B-H,C-D,C-E,C-F,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-B,A-D,A-E,B-C,B-D,B-F,C-G",41.47790822770179,71.83534052480779,55.619041983929804,130.42155542917715
43,"A-B,A-C,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-G,B-H,C-D,C-G,C-H,D-E,D-F,E-F,E-G,F-G,F-H,G-H","A-D,B-F,C-E,C-F,D-G,D-H,E-H",29.932951293465024,117.36775098161824,104.59580007021505,185.86149493679338
44,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-D,B-E,B-G,B-H,C-D,C-E,C-F,C-G,C-H,D-G,E-G,F-G,F-H,G-H","B-C,B-F,D-E,D-F,D-H,E-F,E-H",34.088806841467424,92.26245090911972,62.454866114841366,151.36913669961302
45,"A-C,A-D,A-E,A-F,A-H,B-C,B-D,B-F,B-G,B-H,C-D,C-E,C-G,C-H,D-F,D-G,D-H,E-F,E-G,F-G,G-H","A-B,A-G,B-E,C-F,D-E,E-H,F-H",42.88092331352903,58.55701155169344,37.95036810879006,104.06354016577754
46,"A-B,A-C,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-G,B-H,C-E,C-G,C-H,D-E,D-F,D-G,D-H,E-G,F-G,F-H","A-D,B-F,C-D,C-F,E-F,E-H,G-H",41.55020286287748,57.83801016914916,19.35860228726409,108.00338279731132
47,"A-B,A-C,A-D,A-F,A-G,A-H,B-E,B-F,B-H,C-D,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-H,G-H","A-E,B-C,B-D,B-G,C-E,C-F,F-G",37.39059910252059,73.21241876219376,36.69360555307989,122.64835791638875
48,"A-C,A-D,A-E,A-G,A-H,B-D,B-E,B-F,B-G,B-H,C-D,C-F,C-G,C-H,D-F,D-G,D-H,E-F,E-G,F-G,G-H","A-B,A-F,B-C,C-E,D-E,E-H,F-H",47.21472667795867,43.76748677581562,33.403838226515546,75.9677022906679
49,"A-E,A-F,A-G,A-H,B-D,B-E,B-F,B-G,B-H,C-E,C-F,C-G,C-H,D-E,D-F,D-H,E-F,E-G,F-G,F-H,G-H","A-B,A-C,A-D,B-C,C-D,D-G,E-H",49.716001483501955,21.583198866262318,10.206895690494832,39.90512012035845
50,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-D,B-F,B-H,C-F,C-G,C-H,D-E,D-G,D-H,E-G,E-H,F-G,F-H,G-H","B-C,B-E,B-G,C-D,C-E,D-F,E-F",41.45716478750473,57.171806946658045,22.546136083276366,109.4385764386033
51,"A-C,A-E,A-G,A-H,B-C,B-D,B-E,B-F,B-H,C-D,C-E,C-F,C-G,D-F,D-G,D-H,E-G,E-H,F-G,F-H,G-H","A-B,A-D,A-F,B-G,C-H,D-E,E-F",38.302297451748736,70.82843544256133,44.75573490301318,124.35712669772515
52,"A-C,A-E,A-F,A-H,B-C,B-D,B-E,B-F,B-G,C-D,C-E,C-F,C-G,C-H,D-F,D-G,D-H,E-G,E-H,F-G,F-H","A-B,A-D,A-G,B-H,D-E,E-F,G-H",46.38247927261555,42.7942415869879,37.97408073058203,69.97738218444064
53,"A-B,A-D,A-E,A-F,A-G,A-H,B-C,B-G,B-H,C-D,C-E,C-G,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,G-H","A-C,B-D,B-E,B-F,C-F,C-H,F-H",38.88802625996167,70.44987404795373,55.98358279699349,118.34778884092515
54,"A-C,A-D,A-F,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-F,C-G,C-H,D-E,D-F,D-G,E-F,F-G,F-H,G-H","A-B,A-E,A-G,C-E,D-H,E-G,E-H",38.569409880101354,69.70596144471287,57.78189840427356,119.30918522739529
55,"A-B,A-C,A-E,A-F,A-G,A-H,B-E,B-F,B-G,C-F,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-D,B-C,B-D,B-H,C-D,C-E,C-G",49.66910760364612,21.388454431874106,14.963323716053367,35.20721984071471
56,"A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-E,C-D,C-E,C-F,C-G,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,G-H","A-B,A-C,B-F,B-G,B-H,C-H,F-H",35.43310318991574,75.66004015549862,44.444454781167394,126.05951394081623
57,"A-B,A-C,A-D,A-E,A-G,A-H,B-C,B-E,C-D,C-E,C-G,C-H,D-E,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-F,B-D,B-F,B-G,B-H,C-F,D-F",31.0571547216246,79.105070993305,67.4233323218047,117.0243281003502
58,"A-B,A-D,A-E,A-F,A-G,A-H,B-C,B-F,B-H,C-E,C-F,C-H,D-E,D-F,D-G,D-H,E-F,E-H,F-G,F-H,G-H","A-C,B-D,B-E,B-G,C-D,C-G,E-G",38.427880980408354,64.66549064756012,45.635967825402304,111.13393622969053
59,"A-B,A-C,A-E,A-G,A-H,B-C,B-G,B-H,C-D,C-F,C-G,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-D,A-F,B-D,B-E,B-F,C-E,C-H",38.308889777228586,81.86351814218149,49.35701648124237,147.87890655937167
60,"A-D,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-F,C-G,C-H,D-F,D-G,D-H,E-F,E-G,E-H,F-H,G-H","A-B,A-C,A-E,C-D,C-E,D-E,F-G",46.291941147985646,49.16036933353719,26.079051769485545,90.82996972039248
61,"A-C,A-E,A-F,A-G,A-H,B-D,B-E,B-G,B-H,C-D,C-E,C-F,C-G,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-B,A-D,B-C,B-F,C-H,D-E,D-F",37.248018561824715,90.26060441512954,79.1440725098991,143.7026481205097
62,"A-B,A-C,A-D,A-E,A-F,A-H,B-C,B-F,B-G,C-D,C-F,C-G,C-H,D-E,D-F,D-G,D-H,E-G,E-H,F-G,G-H","A-G,B-D,B-E,B-H,C-E,E-F,F-H",47.08229468997603,37.66347605047586,29.889145677122414,65.96218111436994
63,"A-B,A-C,A-D,A-E,A-H,B-C,B-D,B-F,B-G,C-D,C-G,C-H,D-E,D-F,D-G,E-F,E-G,E-H,F-G,F-H,G-H","A-F,A-G,B-E,B-H,C-E,C-F,D-H",38.31127045048358,70.2350048297444,56.329323279891014,106.39310930711206
64,"A-B,A-C,A-E,A-F,A-H,B-D,B-G,B-H,C-D,C-E,C-F,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H","A-D,A-G,B-C,B-E,B-F,C-G,G-H",39.94597485885178,81.0145342729249,58.11230823047751,146.66583941495753
65,"A-B,A-C,A-D,A-E,A-F,A-G,B-D,B-E,B-F,B-H,C-D,C-F,C-G,C-H,D-E,D-F,D-G,E-F,E-H,F-G,F-H","A-H,B-C,B-G,C-E,D-H,E-G,G-H",33.1426566916785,75.06295451916642,68.51004822861142,118.03720386082767
66,"A-B,A-D,A-E,A-G,A-H,B-C,B-D,B-E,B-G,C-D,C-E,C-H,D-E,D-F,D-G,D-H,E-F,E-G,F-G,F-H,G-H","A-C,A-F,B-F,B-H,C-F,C-G,E-H",39.73931028273748,64.95266644004398,35.831487223903906,117.63829357890128
67,"A-B,A-C,A-E,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-D,C-F,C-G,C-H,D-F,D-G,D-H,E-F,E-H,F-G,F-H","A-D,A-F,B-E,C-E,D-E,E-G,G-H",41.86533712264656,64.57505963543453,33.55141696738423,115.85126109007743
68,"A-B,A-D,A-E,A-G,B-D,B-E,B-F,B-G,B-H,C-E,C-F,C-G,C-H,D-E,D-F,D-G,E-F,E-H,F-G,F-H,G-H","A-C,A-F,A-H,B-C,C-D,D-H,E-G",39.54234267736006,59.90081473231892,49.02162342552677,98.54913842516623
69,"A-B,A-D,A-E,A-G,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-G,D-E,D-F,E-F,E-G,E-H,F-G,F-H,G-H","A-C,A-F,C-E,C-F,C-H,D-G,D-H",39.97305164737646,69.17613659607332,47.51854776897491,120.91338975121899
70,"A-B,A-C,A-D,A-E,A-H,B-D,B-F,B-G,B-H,C-E,C-F,C-G,C-H,D-E,D-F,D-H,E-G,E-H,F-G,F-H,G-H","A-F,A-G,B-C,B-E,C-D,D-G,E-F",45.3532041465276,51.19591225996469,16.15968282083621,94.50381473578678
71,"A-B,A-C,A-D,A-E,A-G,A-H,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,D-F,D-G,E-F,E-H,F-G,F-H,G-H","A-F,B-C,B-D,C-H,D-E,D-H,E-G",40.204796700860875,59.87531989411219,50.17864106098389,92.98591746496147
72,"A-B,A-C,A-E,A-F,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-F,C-G,C-H,D-E,D-H,E-F,E-H,F-G,F-H,G-H","A-D,B-E,C-D,C-E,D-F,D-G,E-G",40.14461237182003,80.81963735966013,46.44190133046692,134.48014115706252
73,"A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-G,B-H,C-D,C-E,C-G,C-H,D-E,D-F,D-G,E-F,E-H,F-G,F-H,G-H","A-B,A-C,A-D,B-F,C-F,D-H,E-G",33.02949716140205,80.53469782049733,83.5273035990048,120.84503153092987
74,"A-B,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-D,C-F,C-G,C-H,D-E,D-F,D-H,E-F,E-G,F-H","A-C,B-E,C-E,D-G,E-H,F-G,G-H",48.12954406546768,39.23376152564767,28.320636883584626,58.93391885991707
75,"A-B,A-C,A-D,A-E,A-F,A-H,B-D,B-E,B-F,B-G,B-H,C-F,C-G,C-H,D-E,D-F,D-G,D-H,E-G,E-H,F-G","A-G,B-C,C-D,C-E,E-F,F-H,G-H",47.77249703276271,33.82240928259887,17.896271050992425,63.032389272960124
76,"A-B,A-C,A-E,A-G,A-H,B-C,B-D,B-E,B-F,B-H,C-D,C-G,C-H,D-E,D-F,D-G,D-H,E-G,E-H,F-H,G-H","A-D,A-F,B-G,C-E,C-F,E-F,F-G",37.486828593062974,72.5069161958694,41.25439412825531,125.07099528369794
77,"A-B,A-C,A-E,A-F,A-G,A-H,B-C,B-D,B-F,C-D,C-E,C-G,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-H,G-H","A-D,B-E,B-G,B-H,C-F,C-H,F-G",37.64854166419655,70.36763712384807,39.9652603855244,126.87081618508293
78,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-G,B-H,C-E,C-F,C-G,D-E,D-H,E-G,E-H,F-G,F-H","B-F,C-D,C-H,D-F,D-G,E-F,G-H",40.215835938903645,68.4503463096168,45.2905727050435,121.37355766802658
79,"A-B,A-C,A-D,A-F,A-G,A-H,B-C,B-D,B-E,B-G,C-F,C-G,C-H,D-E,D-F,D-H,E-F,E-H,F-G,F-H,G-H","A-E,B-F,B-H,C-D,C-E,D-G,E-G",39.69123588659208,61.32897092399928,24.60092363636832,109.54574044039863
80,"A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-G,B-H,C-D,C-E,C-G,D-E,D-F,D-G,D-H,E-G,E-H,F-G,G-H","A-B,B-E,B-F,C-F,C-H,E-F,F-H",40.023882430876625,64.70011147741477,31.978662528371217,114.76105408232543
81,"A-B,A-C,A-D,A-E,A-H,B-D,B-G,B-H,C-D,C-E,C-F,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,F-H,G-H","A-F,A-G,B-C,B-E,B-F,E-H,F-G",36.537470651087276,90.63887815895754,64.20968478700904,157.4602877610102
82,"A-B,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,D-E,D-F,D-H,E-F,E-G,G-H","A-C,A-D,C-H,D-G,E-H,F-G,F-H",47.80052768949408,41.837150893303594,21.15807436731248,75.05894508971434
83,"A-B,A-C,A-D,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-G,C-D,C-F,C-G,C-H,D-E,D-G,D-H,E-F,E-G,F-H","A-E,B-H,C-E,D-F,E-H,F-G,G-H",45.903918967484245,43.111698302583655,41.241755963760994,65.10794222235697
84,"A-B,A-C,A-E,A-F,A-G,B-C,B-D,B-G,B-H,C-D,C-F,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,F-G,F-H","A-D,A-H,B-E,B-F,C-E,E-H,G-H",35.869435791021694,89.89260730922598,77.56421628802099,153.63792082774282
85,"A-B,A-D,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-F,C-H,D-F,D-G,D-H,E-F,E-G,E-H,G-H","A-C,A-E,C-E,C-G,D-E,F-G,F-H",45.933241854355465,54.616757257301586,30.642959399237924,97.01708179384447
86,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-E,B-F,B-H,C-D,C-E,C-F,D-E,D-H,E-F,E-G,E-H,F-G,F-H,G-H","B-C,B-D,B-G,C-G,C-H,D-F,D-G",38.41801935064865,79.03198344870675,63.38641979337967,133.3685332391784
87,"A-C,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-E,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-B,A-D,A-E,A-F,B-E,C-D,C-F",43.670409240325775,49.71188461816659,38.118784007627994,86.83504430730095
88,"A-B,A-D,A-E,A-F,A-H,B-C,B-D,B-F,B-G,C-D,C-F,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-C,A-G,B-E,B-H,C-E,C-G,C-H",44.52418814276236,62.38660295776065,33.86923260999737,95.96133834145658
89,"A-B,A-D,A-F,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-E,C-F,C-G,D-E,D-G,D-H,E-F,E-G,E-H,F-H,G-H","A-C,A-E,B-E,C-D,C-H,D-F,F-G",43.591738635386164,57.161564524210334,57.19837606047582,81.64451348298515
90,"A-B,A-C,A-F,A-G,A-H,B-C,B-G,B-H,C-D,C-E,C-G,C-H,D-E,D-F,D-G,E-F,E-G,E-H,F-G,F-H,G-H","A-D,A-E,B-D,B-E,B-F,C-F,D-H",31.284682482577217,94.43630064279955,79.61045527599967,144.94246608937794
91,"A-B,A-D,A-F,A-G,B-C,B-D,B-E,B-G,C-D,C-E,C-F,C-G,C-H,D-E,D-F,D-G,E-F,E-G,E-H,F-G,G-H","A-C,A-E,A-H,B-F,B-H,D-H,F-H",34.17052596143073,84.9086444484322,77.58677346718562,138.3144290333397
92,"A-B,A-C,A-D,A-E,A-F,A-G,B-C,B-D,B-F,B-G,C-D,C-F,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-H","A-H,B-E,B-H,C-E,C-G,F-G,G-H",44.112745624011815,60.40656675327579,49.963246171962766,103.23279419477664
93,"A-B,A-C,A-E,A-F,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,D-E,D-F,D-G,D-H,E-F,E-H,G-H","A-D,A-G,A-H,C-H,E-G,F-G,F-H",36.747524607223724,82.63066655717874,42.11464315400464,143.13419346779946
