variant,pair,autopos_distance_mm,vicon_distance_mm,scale_error_percent,positive
V-A_unbounded,G-H,2851.6923802417173,2739.7245543524423,4.0868278422879545,True
V-B_calibrated,A-B,2693.224188942238,2665.0643575793506,1.0566285681920418,True
V-B_calibrated,A-C,3439.357863371834,3414.1085019320158,0.7395594318554854,True
V-B_calibrated,A-D,2154.2246357638273,2165.8598471827554,-0.5372098030286931,False
V-B_calibrated,A-E,1350.246198816494,1403.6365517390243,-3.8037163435493904,False
V-B_calibrated,A-F,3106.597236663515,3074.024420727174,1.0596147420532276,True
V-B_calibrated,A-G,3778.6347229161233,3734.3841559079856,1.1849495167263635,True
V-B_calibrated,A-H,2492.7207480977286,2517.200327023951,-0.9724922829310256,False
V-B_calibrated,B-C,2164.7520035415882,2179.133082966119,-0.6599449816509728,False
V-B_calibrated,B-D,3436.027710044309,3440.4790686576366,-0.12938194142434467,False
V-B_calibrated,B-E,2957.751136931284,2955.9630981271275,0.06048921264576457,True
V-B_calibrated,B-F,1465.8681910359276,1392.3829235074895,5.277662221203094,True
V-B_calibrated,B-G,2725.763822304946,2658.9595708272213,2.5124207306747914,True
V-B_calibrated,B-H,3743.5385611117363,3745.511858044666,-0.052684306116701496,False
V-B_calibrated,C-D,2656.453627153791,2636.9464765477865,0.7397628575132265,True
V-B_calibrated,C-E,3727.954982838559,3718.707957323416,0.248662320926063,True
V-B_calibrated,C-F,2515.8746891866426,2566.2905209564447,-1.9645410898767701,False
V-B_calibrated,C-G,1398.9258586848698,1406.489122081887,-0.5377406250979044,False
V-B_calibrated,C-H,3121.1251956295605,3091.2461466183227,0.9665697131211681,True
V-B_calibrated,D-E,2656.5857528296356,2660.813628381067,-0.15889408812159722,False
V-B_calibrated,D-F,3705.019677828544,3737.3010362894142,-0.8637612583898502,False
V-B_calibrated,D-G,2958.8774390817935,2964.7456840920613,-0.19793417835989313,False
V-B_calibrated,D-H,1444.056553517301,1395.6256482556894,3.470193122499765,True
V-B_calibrated,E-F,2692.589593954415,2682.8449302921804,0.36322127873313903,True
V-B_calibrated,E-G,3560.8579847413416,3495.0033830335615,1.8842500132466355,True
V-B_calibrated,E-H,2182.411016951555,2198.9630417696453,-0.7527195547938681,False
V-B_calibrated,F-G,2233.229138981865,2236.1352352837457,-0.1299606685689514,False
V-B_calibrated,F-H,3432.2921686043437,3509.9137150979086,-2.21149443530978,False
V-B_calibrated,G-H,2736.647913928509,2739.7245543524423,-0.11229743585156049,False
V-C_calibrated_residual,A-B,2694.7498468019658,2665.0643575793506,1.1138751354424326,True
V-C_calibrated_residual,A-C,3424.9770358734063,3414.1085019320158,0.31834178483900466,True
V-C_calibrated_residual,A-D,2140.1700295123665,2165.8598471827554,-1.1861255798155668,False
V-C_calibrated_residual,A-E,1348.6128879590558,1403.6365517390243,-3.9200791481097674,False
V-C_calibrated_residual,A-F,3107.6558371102965,3074.024420727174,1.0940516983650728,True
V-C_calibrated_residual,A-G,3788.3581494325654,3734.3841559079856,1.4453251532569267,True
V-C_calibrated_residual,A-H,2478.1254882264125,2517.200327023951,-1.5523134324289645,False
V-C_calibrated_residual,B-C,2143.4238686571166,2179.133082966119,-1.6386890084013173,False
V-C_calibrated_residual,B-D,3410.4741706678433,3440.4790686576366,-0.8721139524763943,False
V-C_calibrated_residual,B-E,2953.2615060184867,2955.9630981271275,-0.0913946493565021,False
V-C_calibrated_residual,B-F,1456.0330839095614,1392.3829235074895,4.571311478148088,True
V-C_calibrated_residual,B-G,2720.838665812859,2658.9595708272213,2.32719202144116,True
V-C_calibrated_residual,B-H,3724.629788105331,3745.511858044666,-0.557522462370108,False
V-C_calibrated_residual,C-D,2632.3872712372495,2636.9464765477865,-0.17289715021087115,False
V-C_calibrated_residual,C-E,3709.1904018180035,3718.707957323416,-0.2559371592133042,False
V-C_calibrated_residual,C-F,2504.333338060595,2566.2905209564447,-2.4142700286621688,False
V-C_calibrated_residual,C-G,1396.2138210587702,1406.489122081887,-0.7305638459476516,False
V-C_calibrated_residual,C-H,3099.1740980444506,3091.2461466183227,0.25646457933479194,True
V-C_calibrated_residual,D-E,2640.430651729841,2660.813628381067,-0.7660430040576593,False
V-C_calibrated_residual,D-F,3687.0813182148904,3737.3010362894142,-1.3437429200079842,False
V-C_calibrated_residual,D-G,2951.611036714786,2964.7456840920613,-0.4430277931679494,False
V-C_calibrated_residual,D-H,1423.0085483283644,1395.6256482556894,1.9620519375592727,True
V-C_calibrated_residual,E-F,2691.9889473851676,2682.8449302921804,0.3408328595418064,True
V-C_calibrated_residual,E-G,3568.3492041638965,3495.0033830335615,2.098590847905646,True
V-C_calibrated_residual,E-H,2175.3933230930475,2198.9630417696453,-1.0718560625570972,False
V-C_calibrated_residual,F-G,2243.3243141624216,2236.1352352837457,0.3214957112271266,True
V-C_calibrated_residual,F-H,3430.2543412304044,3509.9137150979086,-2.269553622496445,False
V-C_calibrated_residual,G-H,2741.1837711154208,2739.7245543524423,0.05326144048534154,True
