variant,position,frames_input,frames_solved,delta_tag_train_mm,rho_tag_train_percent,anchor_delay_min_mm,anchor_delay_max_mm,correction_description,anchor_registration,anchor_registration_det,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,d3_std_mm,pct_solved_ge8,residual_rms_median_mm
V-B_tagfit_delta_only_LOO_T4,ID15,1201,1201,-153.74550784741785,7.645960329086066,-40.400877312800446,83.908202944088,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,54.395520004255076,15.103977297412484,-85.63884012341475,101.45384928240577,15.103977297412484,102.57199259260716,90.88639210867885,95.58701082431307,139.32522042627696
V-B_tagfit_delta_plus_rho_LOO_T4,ID15,1201,1201,-153.74550784741785,7.645960329086066,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-1.0588010132627517,-51.01588829145999,-14.023255766160332,14.063170406022792,51.01588829145999,52.91874545031807,57.63029072280232,95.58701082431307,56.23307114624201
V-B_tagfit_delta_only_LOO_T4,ID16,1201,1201,-157.16663442290277,7.687433410372968,-42.96658229521439,78.201078317903,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,10.593128563923443,4.8463559568529035,-55.82196205830465,56.818182132224315,4.8463559568529035,57.0244946217951,166.00566916401692,89.75853455453789,151.95633656551945
V-B_tagfit_delta_plus_rho_LOO_T4,ID16,1201,1201,-157.16663442290277,7.687433410372968,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-8.136281672772583,-36.52324943497956,2.0671900597945694,8.394781367135685,36.52324943497956,37.475593437486,52.834746902473505,89.75853455453789,50.3127025474179
V-B_tagfit_delta_only_LOO_T4,ID17,1199,1199,-153.04508803772416,7.666517010662766,-38.2759946470875,81.6194337092781,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-14.556521980141412,-199.24930893621286,-8.496514342514445,16.85476455281692,199.24930893621286,199.96092168143576,68.69527179852115,92.49374478732277,69.34180815375623
V-B_tagfit_delta_plus_rho_LOO_T4,ID17,1199,1199,-153.04508803772416,7.666517010662766,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,2.065423218239715,71.33387954431564,19.535351976563845,19.644234521067006,71.33387954431564,73.98931220630189,62.251191870437694,92.49374478732277,70.21073474634242
V-B_tagfit_delta_only_LOO_T4,ID18,1199,1199,-159.6853714099253,7.835805960977638,-44.625629567178336,80.77228197053451,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-81.17719794550169,-187.95324009632355,-34.25861198083848,88.1101013569773,187.95324009632355,207.58085273898234,60.58892784154101,92.91075896580485,73.88181933320784
V-B_tagfit_delta_plus_rho_LOO_T4,ID18,1199,1199,-159.6853714099253,7.835805960977638,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-33.396669453926165,89.91882658373822,-30.134529200912397,44.98252305924432,89.91882658373822,100.54264147600179,46.6509850287853,92.91075896580485,54.3444129469899
V-B_tagfit_delta_only_LOO_T4,ID19,1201,1201,-127.59827833669618,6.849482840148546,-21.584315139681195,95.84778785056616,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-44.31308439930575,-259.54892298219227,47.781136685321286,65.16660549638404,259.54892298219227,267.60480170045025,106.12587936058186,89.84179850124896,167.7153990296479
V-B_tagfit_delta_plus_rho_LOO_T4,ID19,1201,1201,-127.59827833669618,6.849482840148546,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-21.546406394785947,9.853714459504573,19.476958069335893,29.04478480147411,9.853714459504573,30.670755008858045,102.6213453157198,89.84179850124896,170.24460822376406
