mode,position,final_subset,dropped_links,score,frames_solved,decisions
B1_session_t1.3_g1.5,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t1.3_g1.5,ID12,ABDEFGH,C,3.6638551778369046,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 4.813475741453486, 'score_after': 3.6638551778369046, 'vgdop_y_after_mm': 14.664008424892643, 'normal_cond_after': 2.9439524978864107}]"
B1_session_t1.3_g1.5,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t1.3_g1.5,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t1.3_g1.5,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t1.3_g1.5,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t1.3_g1.5,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t1.3_g1.5,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t1.3_g1.5,ID19,ABCDFH,"E,G",5.371668104277414,1201,"[{'step': 1, 'dropped_anchor': 'G', 'score_before': 10.854232258827698, 'score_after': 7.69575503227392, 'vgdop_y_after_mm': 16.947174422238547, 'normal_cond_after': 3.6551686632603335}, {'step': 2, 'dropped_anchor': 'E', 'score_before': 7.69575503227392, 'score_after': 5.371668104277414, 'vgdop_y_after_mm': 17.932207084397962, 'normal_cond_after': 4.003909663139699}]"
B1_session_t1.3_g1.5,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t1.3_g1.5,ID21,ABCEFGH,D,3.855108247898285,1201,"[{'step': 1, 'dropped_anchor': 'D', 'score_before': 5.6547532054147815, 'score_after': 3.855108247898285, 'vgdop_y_after_mm': 15.645241181460557, 'normal_cond_after': 4.009011953527519}]"
B1_session_t1.3_g1.5,ID22,BCDEFH,"A,G",2.072100261571988,1201,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 6.399994503556952, 'score_after': 3.4826176993370925, 'vgdop_y_after_mm': 15.474743587385603, 'normal_cond_after': 4.27623663520337}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.4826176993370925, 'score_after': 2.072100261571988, 'vgdop_y_after_mm': 20.53614867072106, 'normal_cond_after': 5.884488880097845}]"
B1_session_t1.3_g1.5,ID23,ACDEFGH,B,3.4258419911134417,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 4.9187726003019545, 'score_after': 3.4258419911134417, 'vgdop_y_after_mm': 15.714636309094615, 'normal_cond_after': 4.527820194711707}]"
B1_session_t1.3_g1.5,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t1.3_g2,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t1.3_g2,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t1.3_g2,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t1.3_g2,ID04,ABCDEG,"F,H",2.167314974835488,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 5.490954922355313, 'score_after': 3.8978038714518064, 'vgdop_y_after_mm': 15.372734286630795, 'normal_cond_after': 3.864418717537303}, {'step': 2, 'dropped_anchor': 'H', 'score_before': 3.8978038714518064, 'score_after': 2.167314974835488, 'vgdop_y_after_mm': 15.503888597017292, 'normal_cond_after': 3.9146737406888588}]"
B1_session_t1.3_g2,ID05,BCDEFH,"A,G",3.0673911344397387,1200,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 7.698243887990997, 'score_after': 4.5202213068196615, 'vgdop_y_after_mm': 13.711411750541995, 'normal_cond_after': 2.84301840199285}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 4.5202213068196615, 'score_after': 3.0673911344397387, 'vgdop_y_after_mm': 19.11784019569596, 'normal_cond_after': 4.921958142341841}]"
B1_session_t1.3_g2,ID06,ABDEFGH,C,3.436082832475835,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 4.783734934771787, 'score_after': 3.436082832475835, 'vgdop_y_after_mm': 14.197877745366046, 'normal_cond_after': 4.180928162834594}]"
B1_session_t1.3_g2,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t1.3_g2,ID08,ACDEFGH,B,4.117217685842032,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 6.246042002547684, 'score_after': 4.117217685842032, 'vgdop_y_after_mm': 16.220909927967114, 'normal_cond_after': 4.57499365146784}]"
B1_session_t1.3_g2,ID09,ABCDEGH,F,5.35351896514054,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 7.125590584005152, 'score_after': 5.35351896514054, 'vgdop_y_after_mm': 18.077259755137902, 'normal_cond_after': 2.841271547014873}]"
B1_session_t1.3_g2,ID10,ABCDEH,"F,G",1.8280485092557488,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 4.4107659569665785, 'score_after': 3.160455833205637, 'vgdop_y_after_mm': 14.56922895595886, 'normal_cond_after': 2.3216512718050697}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.160455833205637, 'score_after': 1.8280485092557488, 'vgdop_y_after_mm': 15.186738938702128, 'normal_cond_after': 2.9204619764783106}]"
B1_session_t1.3_g2,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t1.3_g2,ID12,ABDEFGH,C,3.6638551778369046,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 4.813475741453486, 'score_after': 3.6638551778369046, 'vgdop_y_after_mm': 14.664008424892643, 'normal_cond_after': 2.9439524978864107}]"
B1_session_t1.3_g2,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t1.3_g2,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t1.3_g2,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t1.3_g2,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t1.3_g2,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t1.3_g2,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t1.3_g2,ID19,ABCDFH,"E,G",5.371668104277414,1201,"[{'step': 1, 'dropped_anchor': 'G', 'score_before': 10.854232258827698, 'score_after': 7.69575503227392, 'vgdop_y_after_mm': 16.947174422238547, 'normal_cond_after': 3.6551686632603335}, {'step': 2, 'dropped_anchor': 'E', 'score_before': 7.69575503227392, 'score_after': 5.371668104277414, 'vgdop_y_after_mm': 17.932207084397962, 'normal_cond_after': 4.003909663139699}]"
B1_session_t1.3_g2,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t1.3_g2,ID21,ABCEFGH,D,3.855108247898285,1201,"[{'step': 1, 'dropped_anchor': 'D', 'score_before': 5.6547532054147815, 'score_after': 3.855108247898285, 'vgdop_y_after_mm': 15.645241181460557, 'normal_cond_after': 4.009011953527519}]"
B1_session_t1.3_g2,ID22,BCDEFH,"A,G",2.072100261571988,1201,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 6.399994503556952, 'score_after': 3.4826176993370925, 'vgdop_y_after_mm': 15.474743587385603, 'normal_cond_after': 4.27623663520337}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.4826176993370925, 'score_after': 2.072100261571988, 'vgdop_y_after_mm': 20.53614867072106, 'normal_cond_after': 5.884488880097845}]"
B1_session_t1.3_g2,ID23,ACDEFGH,B,3.4258419911134417,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 4.9187726003019545, 'score_after': 3.4258419911134417, 'vgdop_y_after_mm': 15.714636309094615, 'normal_cond_after': 4.527820194711707}]"
B1_session_t1.3_g2,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t1.3_g3,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t1.3_g3,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t1.3_g3,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t1.3_g3,ID04,ABCDEG,"F,H",2.167314974835488,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 5.490954922355313, 'score_after': 3.8978038714518064, 'vgdop_y_after_mm': 15.372734286630795, 'normal_cond_after': 3.864418717537303}, {'step': 2, 'dropped_anchor': 'H', 'score_before': 3.8978038714518064, 'score_after': 2.167314974835488, 'vgdop_y_after_mm': 15.503888597017292, 'normal_cond_after': 3.9146737406888588}]"
B1_session_t1.3_g3,ID05,BCDEFH,"A,G",3.0673911344397387,1200,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 7.698243887990997, 'score_after': 4.5202213068196615, 'vgdop_y_after_mm': 13.711411750541995, 'normal_cond_after': 2.84301840199285}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 4.5202213068196615, 'score_after': 3.0673911344397387, 'vgdop_y_after_mm': 19.11784019569596, 'normal_cond_after': 4.921958142341841}]"
B1_session_t1.3_g3,ID06,ABDEFGH,C,3.436082832475835,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 4.783734934771787, 'score_after': 3.436082832475835, 'vgdop_y_after_mm': 14.197877745366046, 'normal_cond_after': 4.180928162834594}]"
B1_session_t1.3_g3,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t1.3_g3,ID08,ACDEFGH,B,4.117217685842032,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 6.246042002547684, 'score_after': 4.117217685842032, 'vgdop_y_after_mm': 16.220909927967114, 'normal_cond_after': 4.57499365146784}]"
B1_session_t1.3_g3,ID09,ABCDEGH,F,5.35351896514054,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 7.125590584005152, 'score_after': 5.35351896514054, 'vgdop_y_after_mm': 18.077259755137902, 'normal_cond_after': 2.841271547014873}]"
B1_session_t1.3_g3,ID10,ABCDEH,"F,G",1.8280485092557488,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 4.4107659569665785, 'score_after': 3.160455833205637, 'vgdop_y_after_mm': 14.56922895595886, 'normal_cond_after': 2.3216512718050697}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.160455833205637, 'score_after': 1.8280485092557488, 'vgdop_y_after_mm': 15.186738938702128, 'normal_cond_after': 2.9204619764783106}]"
B1_session_t1.3_g3,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t1.3_g3,ID12,ABDEFGH,C,3.6638551778369046,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 4.813475741453486, 'score_after': 3.6638551778369046, 'vgdop_y_after_mm': 14.664008424892643, 'normal_cond_after': 2.9439524978864107}]"
B1_session_t1.3_g3,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t1.3_g3,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t1.3_g3,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t1.3_g3,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t1.3_g3,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t1.3_g3,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t1.3_g3,ID19,ABCDFH,"E,G",5.371668104277414,1201,"[{'step': 1, 'dropped_anchor': 'G', 'score_before': 10.854232258827698, 'score_after': 7.69575503227392, 'vgdop_y_after_mm': 16.947174422238547, 'normal_cond_after': 3.6551686632603335}, {'step': 2, 'dropped_anchor': 'E', 'score_before': 7.69575503227392, 'score_after': 5.371668104277414, 'vgdop_y_after_mm': 17.932207084397962, 'normal_cond_after': 4.003909663139699}]"
B1_session_t1.3_g3,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t1.3_g3,ID21,ABCEFGH,D,3.855108247898285,1201,"[{'step': 1, 'dropped_anchor': 'D', 'score_before': 5.6547532054147815, 'score_after': 3.855108247898285, 'vgdop_y_after_mm': 15.645241181460557, 'normal_cond_after': 4.009011953527519}]"
B1_session_t1.3_g3,ID22,BCDEFH,"A,G",2.072100261571988,1201,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 6.399994503556952, 'score_after': 3.4826176993370925, 'vgdop_y_after_mm': 15.474743587385603, 'normal_cond_after': 4.27623663520337}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.4826176993370925, 'score_after': 2.072100261571988, 'vgdop_y_after_mm': 20.53614867072106, 'normal_cond_after': 5.884488880097845}]"
B1_session_t1.3_g3,ID23,ACDEFGH,B,3.4258419911134417,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 4.9187726003019545, 'score_after': 3.4258419911134417, 'vgdop_y_after_mm': 15.714636309094615, 'normal_cond_after': 4.527820194711707}]"
B1_session_t1.3_g3,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t1.5_g1.5,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t1.5_g1.5,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t1.5_g1.5,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t1.5_g1.5,ID04,ABCDEFGH,,5.490954922355313,1201,[]
B1_session_t1.5_g1.5,ID05,BCDEFGH,A,4.5202213068196615,1200,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 7.698243887990997, 'score_after': 4.5202213068196615, 'vgdop_y_after_mm': 13.711411750541995, 'normal_cond_after': 2.84301840199285}]"
B1_session_t1.5_g1.5,ID06,ABCDEFGH,,4.783734934771787,1201,[]
B1_session_t1.5_g1.5,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t1.5_g1.5,ID08,ACDEFGH,B,4.117217685842032,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 6.246042002547684, 'score_after': 4.117217685842032, 'vgdop_y_after_mm': 16.220909927967114, 'normal_cond_after': 4.57499365146784}]"
B1_session_t1.5_g1.5,ID09,ABCDEFGH,,7.125590584005152,1201,[]
B1_session_t1.5_g1.5,ID10,ABCDEFGH,,4.4107659569665785,1201,[]
B1_session_t1.5_g1.5,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t1.5_g1.5,ID12,ABCDEFGH,,4.813475741453486,1201,[]
B1_session_t1.5_g1.5,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t1.5_g1.5,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t1.5_g1.5,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t1.5_g1.5,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t1.5_g1.5,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t1.5_g1.5,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t1.5_g1.5,ID19,ABCDEFGH,,10.854232258827698,1201,[]
B1_session_t1.5_g1.5,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t1.5_g1.5,ID21,ABCDEFGH,,5.6547532054147815,1201,[]
B1_session_t1.5_g1.5,ID22,BCDEFH,"A,G",2.072100261571988,1201,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 6.399994503556952, 'score_after': 3.4826176993370925, 'vgdop_y_after_mm': 15.474743587385603, 'normal_cond_after': 4.27623663520337}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.4826176993370925, 'score_after': 2.072100261571988, 'vgdop_y_after_mm': 20.53614867072106, 'normal_cond_after': 5.884488880097845}]"
B1_session_t1.5_g1.5,ID23,ABCDEFGH,,4.9187726003019545,1201,[]
B1_session_t1.5_g1.5,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t1.5_g2,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t1.5_g2,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t1.5_g2,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t1.5_g2,ID04,ABCDEFGH,,5.490954922355313,1201,[]
B1_session_t1.5_g2,ID05,BCDEFGH,A,4.5202213068196615,1200,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 7.698243887990997, 'score_after': 4.5202213068196615, 'vgdop_y_after_mm': 13.711411750541995, 'normal_cond_after': 2.84301840199285}]"
B1_session_t1.5_g2,ID06,ABCDEFGH,,4.783734934771787,1201,[]
B1_session_t1.5_g2,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t1.5_g2,ID08,ACDEFGH,B,4.117217685842032,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 6.246042002547684, 'score_after': 4.117217685842032, 'vgdop_y_after_mm': 16.220909927967114, 'normal_cond_after': 4.57499365146784}]"
B1_session_t1.5_g2,ID09,ABCDEFGH,,7.125590584005152,1201,[]
B1_session_t1.5_g2,ID10,ABCDEFGH,,4.4107659569665785,1201,[]
B1_session_t1.5_g2,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t1.5_g2,ID12,ABCDEFGH,,4.813475741453486,1201,[]
B1_session_t1.5_g2,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t1.5_g2,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t1.5_g2,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t1.5_g2,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t1.5_g2,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t1.5_g2,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t1.5_g2,ID19,ABCDEFGH,,10.854232258827698,1201,[]
B1_session_t1.5_g2,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t1.5_g2,ID21,ABCDEFGH,,5.6547532054147815,1201,[]
B1_session_t1.5_g2,ID22,BCDEFH,"A,G",2.072100261571988,1201,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 6.399994503556952, 'score_after': 3.4826176993370925, 'vgdop_y_after_mm': 15.474743587385603, 'normal_cond_after': 4.27623663520337}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.4826176993370925, 'score_after': 2.072100261571988, 'vgdop_y_after_mm': 20.53614867072106, 'normal_cond_after': 5.884488880097845}]"
B1_session_t1.5_g2,ID23,ABCDEFGH,,4.9187726003019545,1201,[]
B1_session_t1.5_g2,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t1.5_g3,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t1.5_g3,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t1.5_g3,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t1.5_g3,ID04,ABCDEFGH,,5.490954922355313,1201,[]
B1_session_t1.5_g3,ID05,BCDEFGH,A,4.5202213068196615,1200,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 7.698243887990997, 'score_after': 4.5202213068196615, 'vgdop_y_after_mm': 13.711411750541995, 'normal_cond_after': 2.84301840199285}]"
B1_session_t1.5_g3,ID06,ABCDEFGH,,4.783734934771787,1201,[]
B1_session_t1.5_g3,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t1.5_g3,ID08,ACDEFGH,B,4.117217685842032,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 6.246042002547684, 'score_after': 4.117217685842032, 'vgdop_y_after_mm': 16.220909927967114, 'normal_cond_after': 4.57499365146784}]"
B1_session_t1.5_g3,ID09,ABCDEFGH,,7.125590584005152,1201,[]
B1_session_t1.5_g3,ID10,ABCDEFGH,,4.4107659569665785,1201,[]
B1_session_t1.5_g3,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t1.5_g3,ID12,ABCDEFGH,,4.813475741453486,1201,[]
B1_session_t1.5_g3,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t1.5_g3,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t1.5_g3,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t1.5_g3,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t1.5_g3,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t1.5_g3,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t1.5_g3,ID19,ABCDEFGH,,10.854232258827698,1201,[]
B1_session_t1.5_g3,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t1.5_g3,ID21,ABCDEFGH,,5.6547532054147815,1201,[]
B1_session_t1.5_g3,ID22,BCDEFH,"A,G",2.072100261571988,1201,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 6.399994503556952, 'score_after': 3.4826176993370925, 'vgdop_y_after_mm': 15.474743587385603, 'normal_cond_after': 4.27623663520337}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.4826176993370925, 'score_after': 2.072100261571988, 'vgdop_y_after_mm': 20.53614867072106, 'normal_cond_after': 5.884488880097845}]"
B1_session_t1.5_g3,ID23,ABCDEFGH,,4.9187726003019545,1201,[]
B1_session_t1.5_g3,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t2_g1.5,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t2_g1.5,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t2_g1.5,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t2_g1.5,ID04,ABCDEFGH,,5.490954922355313,1201,[]
B1_session_t2_g1.5,ID05,ABCDEFGH,,7.698243887990997,1200,[]
B1_session_t2_g1.5,ID06,ABCDEFGH,,4.783734934771787,1201,[]
B1_session_t2_g1.5,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t2_g1.5,ID08,ABCDEFGH,,6.246042002547684,1201,[]
B1_session_t2_g1.5,ID09,ABCDEFGH,,7.125590584005152,1201,[]
B1_session_t2_g1.5,ID10,ABCDEFGH,,4.4107659569665785,1201,[]
B1_session_t2_g1.5,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t2_g1.5,ID12,ABCDEFGH,,4.813475741453486,1201,[]
B1_session_t2_g1.5,ID13,ABCDEFGH,,3.3645044511212707,1200,[]
B1_session_t2_g1.5,ID14,ABCDEFGH,,4.028149005676363,1201,[]
B1_session_t2_g1.5,ID15,ABCDEFGH,,3.883427486637597,1201,[]
B1_session_t2_g1.5,ID16,ABCDEFGH,,3.8691196413248523,1201,[]
B1_session_t2_g1.5,ID17,ABCDEFGH,,4.976782439357635,1199,[]
B1_session_t2_g1.5,ID18,ABCDEFGH,,4.078815966651736,1199,[]
B1_session_t2_g1.5,ID19,ABCDEFGH,,10.854232258827698,1201,[]
B1_session_t2_g1.5,ID20,ABCDEFGH,,8.293557099010235,1201,[]
B1_session_t2_g1.5,ID21,ABCDEFGH,,5.6547532054147815,1201,[]
B1_session_t2_g1.5,ID22,ABCDEFGH,,6.399994503556952,1201,[]
B1_session_t2_g1.5,ID23,ABCDEFGH,,4.9187726003019545,1201,[]
B1_session_t2_g1.5,ID24,ABDEFGH,C,4.112318349288076,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 9.337309475004371, 'score_after': 4.112318349288076, 'vgdop_y_after_mm': 15.526646912646967, 'normal_cond_after': 4.02756883734785}]"
B1_session_t2_g2,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t2_g2,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t2_g2,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t2_g2,ID04,ABCDEFGH,,5.490954922355313,1201,[]
B1_session_t2_g2,ID05,ABCDEFGH,,7.698243887990997,1200,[]
B1_session_t2_g2,ID06,ABCDEFGH,,4.783734934771787,1201,[]
B1_session_t2_g2,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t2_g2,ID08,ABCDEFGH,,6.246042002547684,1201,[]
B1_session_t2_g2,ID09,ABCDEFGH,,7.125590584005152,1201,[]
B1_session_t2_g2,ID10,ABCDEFGH,,4.4107659569665785,1201,[]
B1_session_t2_g2,ID11,ABCDEFGH,,3.425368992148485,1201,[]
B1_session_t2_g2,ID12,ABCDEFGH,,4.813475741453486,1201,[]
