measurement_id,provenance_class,side,measurement_mode,landmark_a,landmark_b_or_axis,repeat_1_mm,repeat_2_mm,repeat_3_mm,instrument,instrument_resolution_mm,source_reference,measurement_date,operator,required_for,notes
body_mass_optional,SANITY_CHECK_ONLY,MIDLINE,DIRECT_MASS,whole_body,kg_not_mm,,,,,,,2026-08-14,,sanity_check_only,Optional; repeats are kg despite repeat column suffix and excluded from derivation/calibration
scapula_L_AC_x,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AC,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,Each repeat is one complete digitization pass in a common frame
scapula_L_AC_y,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AC,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AC_z,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AC,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AA_x,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AA,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AA_y,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AA,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AA_z,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AA,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_TS_x,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,TS,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_TS_y,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,TS,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_TS_z,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,TS,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AI_x,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AI,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AI_y,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AI,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_AI_z,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,AI,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_PC_x,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,PC,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_PC_y,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,PC,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_L_PC_z,DIRECT_SURFACE_MEASUREMENT,L,THREE_DIMENSIONAL_DIGITIZATION,PC,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AC_x,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AC,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,Each repeat is one complete digitization pass in a common frame
scapula_R_AC_y,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AC,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AC_z,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AC,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AA_x,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AA,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AA_y,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AA,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AA_z,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AA,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_TS_x,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,TS,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_TS_y,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,TS,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_TS_z,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,TS,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AI_x,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AI,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AI_y,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AI,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_AI_z,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,AI,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_PC_x,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,PC,x,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_PC_y,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,PC,y,,,,,,,2026-08-14,,Meskers_1998_GH_center,
scapula_R_PC_z,DIRECT_SURFACE_MEASUREMENT,R,THREE_DIMENSIONAL_DIGITIZATION,PC,z,,,,,,,2026-08-14,,Meskers_1998_GH_center,
