eval_set,ID,location,height,facing,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,distance_from_anchor_centroid_mm,distance_from_anchor_centroid_m,radial_component_mm,radial_outward,tangential_magnitude_mm,radial_unit_x,radial_unit_y_vertical,radial_unit_z
all8,ID17,center,low,ABEF,-180.3984,209.458655,-328.203235,22.7062160184434,-41.44321296889882,2.3116398856082583,47.31232213728738,759.197218346439,0.7591972183464389,38.41431005408619,True,27.618772765837853,-0.08916297322247367,-0.9842722221145043,-0.15250625226496267
all8,ID18,center,low,BCGF,-295.4243,206.90585,-224.00141,-23.23518492871881,-12.321808286908777,-37.13211607060504,45.502690272246326,771.8383154164356,0.7718383154164357,18.027750386391133,True,41.77912203503031,-0.23673116195510033,-0.9714593369473369,-0.015003786762972293
all8,ID19,center,low,CDHG,-188.530555,205.96057,-114.135095,-0.1899519090514445,-128.10705402070363,59.09283608266324,141.07946926425453,760.9482531632328,0.7609482531632328,134.04246388244127,True,44.00039231879836,-0.09964466826068755,-0.9866042993122607,0.12916228809440017
all8,ID20,center,low,ADHE,-80.19599149999999,202.56013,-220.692665,46.44626197286175,-169.4568621900889,-5.965886199255039,175.80806350308552,754.9009760364719,0.7549009760364719,171.3550650660139,True,39.31814935786135,0.04306541954772795,-0.999012164594902,-0.010957400722184688
all8,ID21,center,high,ABEF,-212.053465,1598.6443,-226.934745,23.53092973321648,74.9502918105045,-8.286314662082077,78.99312569628059,649.7332332902304,0.6497332332902304,70.63712870815598,True,35.35972221519549,-0.15290482487236787,0.9879884219932701,-0.0223381408805308
all8,ID22,center,high,BCGF,-232.83767,1599.3212,-235.17408,16.926335066441766,11.314777648653036,-19.32630528186951,28.071891419495262,654.13418018977,0.65413418018977,8.679090348369117,True,26.696525590285674,-0.18364970809987155,0.9823761413729742,-0.034783639487236506
all8,ID23,center,high,CDHG,-230.87733,1599.6642499999998,-223.24148,39.59529902585561,134.8200615994583,-56.050756187747226,151.28094388867007,653.8078913837548,0.6538078913837548,126.35191896126132,True,83.19324827564908,-0.18074301764681366,0.9833911005788376,-0.016550071729936926
all8,ID24,center,high,ADHE,-218.202475,1599.5815,-226.071175,-4.069711261266264,68.88598087933383,-38.28402124544826,78.91455628830435,651.6077413947949,0.6516077413947948,69.42273159979896,True,37.523213233973316,-0.16190163122399445,0.9865845216923251,-0.020948588595311936
noG,ID01,edge,low,ABEF,-542.215344349341,182.54280058407932,-383.3240609304319,75.23655518974749,-121.3678863198874,2.17720917569892,142.81261606164833,901.6813496563984,0.9016813496563985,67.9539442184975,True,125.60933393470849,-0.47634258572944094,-0.8585877791926524,-0.18953829808674377
noG,ID02,edge,mid,ABEF,-543.22998,1105.589,-259.92136,29.26901291784509,-44.35737004558223,34.204473586501024,63.199663036090186,458.00703043841764,0.4580070304384176,-45.47829348875015,False,43.885330455933115,-0.9399940014848462,0.32504656474922183,-0.10371117546936155
noG,ID03,edge,high,ABEF,-554.00287,1625.56145,-256.2951,-7.100039501276569,365.64942179121,2.883574102830778,365.7297160701772,802.5103248421703,0.8025103248421703,308.49433088030787,True,196.44203478757677,-0.5498954188991773,0.8334423136631193,-0.05467118134415116
noG,ID04,edge,low,BCGF,-321.178815,182.16379,479.93382,84.88648189822811,-282.29674761644014,17.816615425318332,295.3211816126503,1059.5971493236866,1.0595971493236866,201.29565410617957,True,216.08947208750666,-0.1967471282676277,-0.7309868647904312,0.6534131702240914
noG,ID05,edge,mid,BCGF,-184.9818897969324,1103.586616559577,473.7040289339493,37.21547177966866,-6.468922092907405,56.202778347376864,67.71698890818901,705.3810176635394,0.7053810176635394,49.508353181249056,True,46.200796011243135,-0.10246344774960663,0.20821545343120246,0.9727011703641065
noG,ID06,edge,high,BCGF,-193.231255,1684.95255,476.52298,23.09299457895085,181.11575499976107,18.4001922595678,183.5068668550199,1005.7123587372721,1.005712358737272,141.90176315842595,True,116.35574672303889,-0.08006776047885483,0.7241008381256667,0.6850307511036332
noG,ID07,edge,low,CDHG,352.14755,211.565355,53.795866,3.903343222410399,-168.16142207356287,42.41659920225372,173.4723835369755,917.719389776331,0.917719389776331,150.8216831662173,True,85.70582090446774,0.5065313797753531,-0.8119584716485176,0.290085162704128
noG,ID08,edge,mid,CDHG,391.90054,1132.2804,-71.53192899999999,80.66827899278462,1.9629366491355995,-19.85436725080558,83.09885832474546,552.5401877883373,0.5525401877883374,69.23136624485535,True,45.96126828914559,0.9132487914947838,0.31774161546101715,0.2549841380116421
noG,ID09,edge,high,CDHG,408.80994,1568.1853500000002,-62.4257885,57.766243747541125,-1.4007958126396716,-2.022804667595622,57.81862056753248,817.5408558801957,0.8175408558801958,35.43072882606004,True,45.69087807414613,0.6379082525343835,0.7479381091195354,0.183471104741927
noG,ID10,edge,low,ADHE,65.499245,238.64973,-938.19342,37.42615482395783,-105.95823694833308,-47.16113783557887,121.86893765046295,1036.3981733342628,1.0363981733342629,112.87434979682098,True,45.95018087012632,0.17194681381643517,-0.6928472826373913,-0.7002834684328618
noG,ID11,edge,mid,ADHE,-63.9057945,1133.4998500000002,-956.990295,-27.87959745414305,18.059922765117108,-47.728810310524864,58.15042646572009,766.8231758128921,0.7668231758128922,48.73299651196131,True,31.726442427575872,0.06363960530831353,0.23054136527315425,-0.9709792374372338
noG,ID12,edge,high,ADHE,-43.6886845,1590.1300500000002,-956.35754,97.41379828529496,113.53234474229156,-39.88715764021879,154.82256535681853,979.4994874142343,0.9794994874142343,110.5766987141191,True,108.36429506600993,0.07046194014067128,0.646671764522452,-0.759506908435355
noG,ID13,center,mid,ABEF,-189.628155,1139.0976,-197.96616,42.73674367342255,-62.10312571018426,11.878289840569153,76.3172408589261,198.4671527963758,0.1984671527963758,-72.76874200174242,False,23.00068346382749,-0.3875806911429864,0.9189541407999204,0.0728319638606918
noG,ID14,center,mid,BCGF,-198.69532,1132.6278,-194.690585,32.9754617851315,-45.83625302710698,26.200412223357432,62.24792986261871,196.6054014938295,0.1966054014938295,-53.07157113909132,False,32.53018765715729,-0.43736947508382074,0.8947486210368488,0.09018230102165588
noG,ID15,center,mid,CDHG,-200.165335,1132.2551,-184.312585,44.939267866820245,-64.07570300201269,-26.48183054178719,82.62276236275264,198.12466536771635,0.19812466536771633,-80.36628617521374,False,19.177614733212774,-0.44143527555076023,0.8860063513505553,0.14187192416366434
noG,ID16,center,mid,ADHE,-184.854655,1122.0572,-185.780155,13.660272966225534,14.247519937660172,16.879734924627485,25.971529277489708,182.35420477000045,0.18235420477000044,9.979649161454205,True,23.977634070645742,-0.3956505216921073,0.906706878975136,0.14609346427520806
noG,ID17,center,low,ABEF,-180.3984,209.458655,-328.203235,25.958014854195824,-47.42349487112119,5.870101023612108,54.38073635938852,759.197218346439,0.7591972183464389,43.467907786353216,True,32.677293028438186,-0.08916297322247367,-0.9842722221145043,-0.15250625226496267
noG,ID18,center,low,BCGF,-295.4243,206.90585,-224.00141,-19.64004291754065,-17.301952641998355,-33.14062882612217,42.23020400163362,771.8383154164356,0.7718383154164357,21.954788550305334,True,36.074608656657304,-0.23673116195510033,-0.9714593369473369,-0.015003786762972293
noG,ID19,center,low,CDHG,-188.530555,205.96057,-114.135095,2.6279338864586066,-135.7619469942967,62.03791497604894,149.2880275935391,760.9482531632328,0.7609482531632328,141.69442003416148,True,47.006451833252754,-0.09964466826068755,-0.9866042993122607,0.12916228809440017
noG,ID20,center,low,ADHE,-80.19599149999999,202.56013,-220.692665,48.60077231986702,-177.2808077022087,-3.573503121815776,183.856709897128,754.9009760364719,0.7549009760364719,179.2378523997025,True,40.95219214326804,0.04306541954772795,-0.999012164594902,-0.010957400722184688
noG,ID21,center,high,ABEF,-212.053465,1598.6443,-226.934745,40.69527819638623,68.49173167205095,6.215523836278862,79.91154929969038,649.7332332902304,0.6497332332902304,61.307690261404275,True,51.25644180284622,-0.15290482487236787,0.9879884219932701,-0.0223381408805308
noG,ID22,center,high,BCGF,-232.83767,1599.3212,-235.17408,33.4878334407897,5.250733464303721,-5.238464908908327,34.29936887281012,654.13418018977,0.65413418018977,-0.8096226813995002,False,34.28981213402692,-0.18364970809987155,0.9823761413729742,-0.034783639487236506
noG,ID23,center,high,CDHG,-230.87733,1599.6642499999998,-223.24148,57.25363265722476,128.70222419898187,-41.10275420493159,146.73676216083155,653.8078913837548,0.6538078913837548,116.8966810946617,True,88.69522714609512,-0.18074301764681366,0.9833911005788376,-0.016550071729936926
noG,ID24,center,high,ADHE,-218.202475,1599.5815,-226.071175,13.007205117149796,62.947627255900215,-23.767667788966293,68.53096522181798,651.6077413947949,0.6516077413947948,60.495166096178544,True,32.1998148011723,-0.16190163122399445,0.9865845216923251,-0.020948588595311936
