layout,tag_method,kind,keep_k,drop_category,dropped_lower_count,dropped_upper_count,drop_sets,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v1-old,T2,static,5,lower_heavy,3,0,4,116.29157447814941,130.58414287567138,77.87433052062988,62.36106491088867
v1-old,T2,static,5,upper_heavy,0,3,4,72.64373016357422,78.07104091644287,37.77133655548096,75.38831233978271
v1-old,T2,static,5,upper_heavy,1,2,24,78.35806846618652,108.13876361846923,52.9921989440918,66.9296064376831
v1-old,T2,static,4,balanced,2,2,36,112.78936958312988,164.55785751342773,68.45155334472656,40.24564504623413
v1-old,T2,static,4,lower_heavy,3,1,16,127.68325805664062,176.2738037109375,87.78936195373535,37.02998733520508
v1-old,T2,static,4,lower_heavy,4,0,1,134.21775817871094,134.21775817871094,88.18785858154297,24.77745819091797
v1-old,T2,static,4,upper_heavy,0,4,1,45.79471969604492,45.79471969604492,27.517505645751953,45.81675338745117
v1-old,T2,static,4,upper_heavy,1,3,16,68.268874168396,103.07516384124756,38.6259241104126,33.794190406799316
v1-old,T3,static,7,lower_heavy,1,0,4,72.57957649230957,76.08179149627685,45.38351345062256,95.77057075500488
v1-old,T3,static,7,upper_heavy,0,1,4,62.51737403869629,71.16910610198974,40.21169376373291,96.09383964538574
v1-old,T3,static,6,balanced,1,1,16,76.33440208435059,96.70796394348145,44.622880935668945,84.04158210754395
v1-old,T3,static,6,lower_heavy,2,0,6,87.9423599243164,89.62451839447021,60.49206352233887,84.77277946472168
v1-old,T3,static,6,upper_heavy,0,2,6,69.6130142211914,75.27367877960205,46.099440574645996,91.58853721618652
v1-old,T3,static,5,lower_heavy,2,1,24,100.86133575439453,128.3772939682007,63.32913589477539,66.89757537841797
v1-old,T3,static,5,lower_heavy,3,0,4,111.87257957458496,118.36121578216553,69.51775360107422,63.53978490829468
v1-old,T3,static,5,upper_heavy,0,3,4,61.557600021362305,65.77842254638672,35.7685489654541,80.19192886352539
v1-old,T3,static,5,upper_heavy,1,2,24,73.58748626708984,103.56044654846191,49.9320125579834,67.76367950439453
v1-old,T3,static,4,balanced,2,2,36,105.66997528076172,139.9095973968506,62.993534088134766,40.00555419921875
v1-old,T3,static,4,lower_heavy,3,1,16,119.4448127746582,167.0971965789795,77.27337646484375,37.255066871643066
v1-old,T3,static,4,lower_heavy,4,0,1,106.01144027709961,106.01144027709961,76.8494987487793,24.824814319610596
v1-old,T3,static,4,upper_heavy,0,4,1,47.745737075805664,47.745737075805664,29.31283187866211,45.88050651550293
v1-old,T3,static,4,upper_heavy,1,3,16,63.7697868347168,104.15660190582275,38.271347999572754,33.804632902145386
v1-old,T4,static,7,lower_heavy,1,0,4,72.57957649230957,76.08179149627685,45.38351345062256,95.77057075500488
v1-old,T4,static,7,upper_heavy,0,1,4,62.51737403869629,71.16910610198974,40.21169376373291,96.09383964538574
v1-old,T4,static,6,balanced,1,1,16,76.33440208435059,96.70796394348145,44.622880935668945,84.04158210754395
v1-old,T4,static,6,lower_heavy,2,0,6,87.9423599243164,89.62451839447021,60.49206352233887,84.77277946472168
v1-old,T4,static,6,upper_heavy,0,2,6,69.6130142211914,75.27367877960205,46.099440574645996,91.58853721618652
v1-old,T4,static,5,lower_heavy,2,1,24,100.86133575439453,128.3772939682007,63.32913589477539,66.89757537841797
v1-old,T4,static,5,lower_heavy,3,0,4,111.87257957458496,118.36121578216553,69.51775360107422,63.53978490829468
v1-old,T4,static,5,upper_heavy,0,3,4,61.557600021362305,65.77842254638672,35.7685489654541,80.19192886352539
v1-old,T4,static,5,upper_heavy,1,2,24,73.58748626708984,103.56044654846191,49.9320125579834,67.76367950439453
v1-old,T4,static,4,balanced,2,2,36,105.66997528076172,139.9095973968506,62.993534088134766,40.00555419921875
v1-old,T4,static,4,lower_heavy,3,1,16,119.4448127746582,167.0971965789795,77.27337646484375,37.255066871643066
v1-old,T4,static,4,lower_heavy,4,0,1,106.01144027709961,106.01144027709961,76.8494987487793,24.824814319610596
v1-old,T4,static,4,upper_heavy,0,4,1,47.745737075805664,47.745737075805664,29.31283187866211,45.88050651550293
v1-old,T4,static,4,upper_heavy,1,3,16,63.7697868347168,104.15660190582275,38.271347999572754,33.804632902145386
v2,T1,static,7,lower_heavy,1,0,4,70.06228256225586,71.69038276672363,49.27647590637207,77.97375106811523
v2,T1,static,7,upper_heavy,0,1,4,60.865779876708984,71.49131259918212,42.60521984100342,77.07993507385254
v2,T1,static,6,balanced,1,1,16,73.9830493927002,95.84475898742676,51.713321685791016,71.64264297485352
v2,T1,static,6,lower_heavy,2,0,6,88.76785278320312,94.30322933197021,66.62360095977783,72.53575706481934
v2,T1,static,6,upper_heavy,0,2,6,66.63194370269775,76.16406059265137,47.78621006011963,71.78717803955078
v2,T1,static,5,lower_heavy,2,1,24,98.63351249694824,142.29691848754882,67.45924186706543,56.19092845916748
v2,T1,static,5,lower_heavy,3,0,4,111.58455848693848,117.6859302520752,73.39117050170898,50.424461364746094
v2,T1,static,5,upper_heavy,0,3,4,68.24079036712646,80.90697841644287,38.75815200805664,66.50966835021973
v2,T1,static,5,upper_heavy,1,2,24,79.63712882995605,112.08961887359618,51.57662105560303,59.84574365615845
v2,T1,static,4,balanced,2,2,36,111.59683036804199,154.64130973815918,70.76631736755371,34.66514587402344
v2,T1,static,4,lower_heavy,3,1,16,122.95062446594238,172.9186840057373,83.05467414855957,32.48644304275513
v2,T1,static,4,lower_heavy,4,0,1,147.37195587158203,147.37195587158203,85.63425827026367,22.52021074295044
v2,T1,static,4,upper_heavy,0,4,1,46.27523231506348,46.27523231506348,28.407042503356934,49.3968391418457
v2,T1,static,4,upper_heavy,1,3,16,69.05798149108887,104.0366439819336,39.58804702758789,34.19137716293335
v2,T2,static,7,lower_heavy,1,0,4,70.13882637023926,71.5993709564209,49.30900478363037,78.11255264282227
v2,T2,static,7,upper_heavy,0,1,4,61.06034278869629,71.28347358703613,42.65376567840576,77.0693531036377
v2,T2,static,6,balanced,1,1,16,74.46657371520996,96.62549781799316,51.849971771240234,71.58286094665527
v2,T2,static,6,lower_heavy,2,0,6,89.79115295410156,94.62445735931396,66.95022773742676,72.74071311950684
v2,T2,static,6,upper_heavy,0,2,6,66.63346767425537,79.37217330932617,47.545220375061035,71.77279663085938
v2,T2,static,5,lower_heavy,2,1,24,98.6251049041748,141.61147384643556,66.99917411804199,56.216042041778564
v2,T2,static,5,lower_heavy,3,0,4,112.4604377746582,117.39020709991455,74.41526412963867,50.40986347198486
v2,T2,static,5,upper_heavy,0,3,4,67.70125484466553,80.82443256378174,38.717355728149414,66.50146389007568
v2,T2,static,5,upper_heavy,1,2,24,78.40200614929199,111.3748342514038,52.3241548538208,59.7546272277832
v2,T2,static,4,balanced,2,2,36,110.71146011352539,158.07255744934082,70.31716537475586,34.70502758026123
v2,T2,static,4,lower_heavy,3,1,16,123.05533218383789,172.75115585327148,82.87248992919922,32.60557770729065
v2,T2,static,4,lower_heavy,4,0,1,146.3696060180664,146.3696060180664,92.05978775024414,22.510751724243164
v2,T2,static,4,upper_heavy,0,4,1,46.26612663269043,46.26612663269043,28.405248641967773,49.3968391418457
v2,T2,static,4,upper_heavy,1,3,16,69.03498077392578,104.1990098953247,39.574506759643555,34.18474197387695
v2,T3,static,7,lower_heavy,1,0,4,65.50251579284668,68.88697376251221,47.22234058380127,78.85264778137207
v2,T3,static,7,upper_heavy,0,1,4,62.52137851715088,73.5094627380371,40.07386112213135,79.07580757141113
v2,T3,static,6,balanced,1,1,16,72.14152717590332,91.64075946807861,47.72782611846924,72.73404693603516
v2,T3,static,6,lower_heavy,2,0,6,84.84564399719238,90.49377155303955,62.64542770385742,73.56970596313477
v2,T3,static,6,upper_heavy,0,2,6,63.51609230041504,75.2638750076294,44.240647315979004,74.06175231933594
v2,T3,static,5,lower_heavy,2,1,24,92.95103454589844,129.0454402923584,61.2926721572876,56.60048770904541
v2,T3,static,5,lower_heavy,3,0,4,104.04516983032227,108.4046070098877,71.6056022644043,50.380032539367676
v2,T3,static,5,upper_heavy,0,3,4,59.93549060821533,69.2504066467285,37.88729476928711,68.44981002807617
v2,T3,static,5,upper_heavy,1,2,24,72.22318649291992,107.55365505218505,48.997464179992676,60.10755634307861
v2,T3,static,4,balanced,2,2,36,106.62237930297852,139.9397678375244,60.82872676849365,34.94629096984863
v2,T3,static,4,lower_heavy,3,1,16,115.37003707885742,163.04230308532715,77.05334091186523,32.829185009002686
v2,T3,static,4,lower_heavy,4,0,1,110.92213821411133,110.92213821411133,81.40398406982422,22.901007175445557
v2,T3,static,4,upper_heavy,0,4,1,50.28551483154297,50.28551483154297,31.612396240234375,49.532917976379395
v2,T3,static,4,upper_heavy,1,3,16,66.3873872756958,104.6848955154419,39.38566303253174,34.12484931945801
v2,T4,static,7,lower_heavy,1,0,4,65.50251579284668,68.88697376251221,47.22234058380127,78.85264778137207
v2,T4,static,7,upper_heavy,0,1,4,62.52137851715088,73.5094627380371,40.07386112213135,79.07580757141113
v2,T4,static,6,balanced,1,1,16,72.14152717590332,91.64075946807861,47.72782611846924,72.73404693603516
v2,T4,static,6,lower_heavy,2,0,6,84.84564399719238,90.49377155303955,62.64542770385742,73.56970596313477
v2,T4,static,6,upper_heavy,0,2,6,63.51609230041504,75.2638750076294,44.240647315979004,74.06175231933594
v2,T4,static,5,lower_heavy,2,1,24,92.95103454589844,129.0454402923584,61.2926721572876,56.60048770904541
v2,T4,static,5,lower_heavy,3,0,4,104.04516983032227,108.4046070098877,71.6056022644043,50.380032539367676
v2,T4,static,5,upper_heavy,0,3,4,59.93549060821533,69.2504066467285,37.88729476928711,68.44981002807617
v2,T4,static,5,upper_heavy,1,2,24,72.22318649291992,107.55365505218505,48.997464179992676,60.10755634307861
v2,T4,static,4,balanced,2,2,36,106.62237930297852,139.9397678375244,60.82872676849365,34.94629096984863
v2,T4,static,4,lower_heavy,3,1,16,115.37003707885742,163.04230308532715,77.05334091186523,32.829185009002686
v2,T4,static,4,lower_heavy,4,0,1,110.92213821411133,110.92213821411133,81.40398406982422,22.901007175445557
v2,T4,static,4,upper_heavy,0,4,1,50.28551483154297,50.28551483154297,31.612396240234375,49.532917976379395
v2,T4,static,4,upper_heavy,1,3,16,66.3873872756958,104.6848955154419,39.38566303253174,34.12484931945801
v3-full,T1,static,7,lower_heavy,1,0,4,71.70800685882568,74.11949291229249,47.68724536895752,80.11929988861084
