d_tag_mm,vicon_median_anchor_locked_allow_scale_false_mm,existing_sweep_median_mm,reproduction_delta_mm,tagcloud_median_allow_scale_false_mm,tagcloud_scale_allow_scale_true,tagcloud_det_allow_scale_true,tagcloud_median_allow_scale_true_mm,tagcloud_rmse_allow_scale_true_mm,frames_input,frames_solved,s_internal_median,s_internal_p25,s_internal_p75,s_internal_iqr
80.0,60.06561083588939,60.06561083588939,0.0,47.66862612323634,0.9868095591100722,-0.9999999999999991,51.99759147661537,67.72224280283804,28818,28818,1.0102702845933687,0.9723116251105894,1.0526504188753778,0.08033879376478836
90.0,58.484961305484035,58.48496130548402,1.4210854715202004e-14,53.52622253267785,1.0004877879842833,-1.0000000000000007,53.599298727965646,70.567805091954,28818,28818,1.0017194000268463,0.9582842957858,1.0424795693077693,0.08419527352196932
91.153,58.59133412757494,58.59133412757494,0.0,53.382067170136956,1.0020623404292615,-0.9999999999999998,53.6840535765891,70.93910791151912,28818,28818,1.0004475345341413,0.9563175794448102,1.041671988110807,0.08535440866599675
95.0,60.73939712875313,60.7393971287532,-6.394884621840902e-14,51.34120239295035,1.0073170679423806,-0.9999999999999999,52.56417481717189,72.23687214909886,28818,28818,0.99488107824328,0.951726411210357,1.0360216714116088,0.08429526020125189
100.0,64.9638003009417,64.96380030094184,-1.4210854715202004e-13,53.65700445946048,1.014155924917436,-0.9999999999999997,52.09013941254185,74.05418030531465,28818,28818,0.9872011925553892,0.9449423832227722,1.0306440613255963,0.08570167810282403
110.0,73.15193166829519,73.15193166829499,1.9895196601282805e-13,54.34366181973655,1.027919858038875,-0.9999999999999996,60.79999043592909,78.13168330453284,28818,28818,0.9748756062044558,0.9312979876226799,1.0216772096069588,0.09037922198427895
120.0,80.4940704647286,80.4940704647286,0.0,62.89981205941359,1.0418722658603032,-0.9999999999999999,65.08773248710959,82.73320761613351,28818,28818,0.9614191127166174,0.9076821814761645,1.012395802159112,0.10471362068294743
130.0,89.8056760119208,89.80567601192097,-1.7053025658242404e-13,72.85280467126314,1.0558849461041462,-1.0000000000000009,69.76508394466393,87.81521704190911,28818,28818,0.9513454859115893,0.8924494077808711,1.0036910811178466,0.11124167333697543
140.0,99.37930174319376,99.37930174319357,1.9895196601282805e-13,83.75951832248333,1.069881305633582,-1.0000000000000002,80.57960184169053,93.29233556561255,28818,28818,0.9400625938490985,0.8764413207438503,0.9928810222614048,0.11643970151755456
150.0,112.16485026850565,112.16485026850563,1.4210854715202004e-14,94.56634274416604,1.0837728644568767,-0.9999999999999994,88.29800929966102,99.05864321647817,28818,28818,0.9270445345579019,0.8603591993630928,0.9865352150664903,0.12617601570339754
