capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R07,BSDC91,1201,1201,0.0005852382939887804,0.001192179102412896,0.0016262155808532224,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R08,BS2DCE,1201,1201,0.00033162154351489833,0.0004983824293278289,0.0006955854693549564,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R08,BSDC91,1200,1200,0.000349092880229722,0.0005543985396736355,0.0007123745846944305,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R09,BS2DCE,1200,1200,0.000283699113679264,0.00048372264068913024,0.0007001730755171443,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R09,BSDC91,1200,1200,0.0003996085449688368,0.0006519849482602784,0.000835651405257984,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R10,BS2DCE,1200,1200,0.00042648412178471716,0.0008084139692558434,0.0011702469990924845,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R10,BSDC91,1200,1200,0.0003861330141420691,0.0007052349791486998,0.0011764263085812445,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R11,BS2DCE,1201,1201,0.0003866708115948534,0.0006196177356506912,0.0011684165322938523,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R11,BSDC91,1200,1200,0.00036150056121207015,0.0005803911636632079,0.0008285158592307747,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R12,BS2DCE,1200,1200,0.00031720588963200433,0.0005027939556542133,0.0011541549824761216,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R12,BSDC91,1200,1200,0.0003097281108408858,0.00047759045368806505,0.0007093934080521589,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R13,BS2DCE,1201,1201,19.46876537563605,0.004199147985812137,555.9729086769623,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R13,BSDC91,1200,1200,0.00026973552833579217,0.00044840008280881086,0.0007649748856763216,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R14,BS2DCE,1201,1201,0.0002758317983448169,0.0004763540592668442,0.000633049687195655,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R14,BSDC91,1200,1200,0.00026293894218190096,0.0005019194598983825,0.0008283848755344232,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R15,BS2DCE,1200,1200,0.00033096371083385514,0.00047879588050015327,0.0006296307201584107,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R15,BSDC91,1200,1200,0.0004468415548335075,0.0007894050543151856,0.001824767512760829,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R16,BS2DCE,1201,1201,0.00029765339295660014,0.00044746347173686094,0.0006768404075648764,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R16,BSDC91,1200,1200,0.0002830421220486291,0.0004297847907101448,0.0005785275921673162,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R17,BS2DCE,1201,1201,0.0002824375466850236,0.0003920891182661345,0.0005887246057993337,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R17,BSDC91,1200,1200,0.0003138138289420166,0.0005152106925636165,0.0009546858047967501,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R01,BS2DCE,1201,1201,0.00040339926468245453,0.000660884253001753,0.0009885870459779725,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R01,BSDC91,1200,1200,0.00034674225645433887,0.0005838065347394977,0.0007727821570914,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R02,BS2DCE,1201,1201,0.00040421505516837435,0.0007092156848319391,0.0010902008563183736,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R02,BSDC91,1200,1200,0.00035886848635723805,0.0006222313996048353,0.0011404425376011793,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R03,BS2DCE,1200,1200,0.0003822573501321899,0.0006658372668411373,0.001049475207833998,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R03,BSDC91,1200,1200,0.00036426295380683773,0.00061039325975104,0.0008378575575718417,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R04,BS2DCE,1200,1200,0.00045981325932231194,0.0007578254565627174,0.0010238833172038528,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R04,BSDC91,1200,1200,0.0003994074724633702,0.0007157825416662532,0.0009601981117139873,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R05,BS2DCE,1200,1200,0.00033228879425993357,0.000543052254950127,0.0006673160555319428,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R05,BSDC91,1201,1201,0.00033835824651975315,0.0005618331929665766,0.0007473818964166299,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R06,BS2DCE,1200,1200,0.0003822017651327083,0.0006739983380981547,0.001179261102423128,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
