mount,action,transition,start_hardware_s,end_hardware_s,duration_s,dN_x_m,dN_y_m,dN_z_m,dV_x_m,dV_y_m,dV_z_m,signed_error_deg,unsigned_line_error_deg,up_signed_x,up_signed_y,up_signed_z,up_disagreement_deg
A,vertical_retry,5,2493.815515,2495.015349,1.199834,-0.05869211627423148,-0.014648625273955497,0.9981686497104761,-0.08623447854829702,-0.19460289046486162,-0.9770840955272092,6.609098111388297,6.609098111388297,-0.08623447854829702,-0.19460289046486162,-0.9770840955272092,8.261714263341926
A,vertical_retry,6,2495.015349,2496.095352,1.080003,0.037028177886746616,0.01870925898085935,-0.9991390682336342,0.07026651766320152,0.09143772285842544,0.9933286260517981,4.296179984100667,4.296179984100667,-0.07026651766320152,-0.09143772285842544,-0.9933286260517981,6.522824996644893
A,vertical_retry,7,2496.095352,2497.535377,1.440025,-0.08576577422321528,0.016222430507646237,0.996183248564398,0.10022215477923688,-0.1394311007547509,-0.9851469371792846,8.54705909320099,8.54705909320099,0.10022215477923688,-0.1394311007547509,-0.9851469371792846,3.6513089761388224
A,vertical_retry,8,2497.535377,2499.455410,1.920033,0.062350219657202985,0.05522693099122605,-0.9965251809171652,-0.09898147199077614,0.2501597351747083,0.9631317537595047,12.818833650350054,12.818833650350054,0.09898147199077614,-0.2501597351747083,-0.9631317537595047,8.16905394236147
B,vertical_original,1,2834.979062,2836.419062,1.440000,-0.035318917507330766,-0.08203751688280243,-0.996003222831038,-0.16262658296013238,-0.15175888557282088,0.9749470935206724,3.2161748971972712,3.2161748971972712,0.16262658296013238,0.15175888557282088,-0.9749470935206724,4.537822752780288
B,vertical_original,2,2836.419062,2837.859061,1.439999,-0.0020191663445577835,0.06665250828462843,0.9977742059737967,0.1676188451560439,0.14271527685315663,-0.975467207291604,3.86695748457805,3.86695748457805,0.1676188451560439,0.14271527685315663,-0.975467207291604,4.345838504057476
B,vertical_original,3,2837.859061,2839.179412,1.320351,-0.041581422072150986,-0.05428094360734361,-0.9976595433811847,-0.14146186395916524,-0.09202930652944642,0.9856567088925575,2.5548962373725037,2.5548962373725037,0.14146186395916524,0.09202930652944642,-0.9856567088925575,1.5962661289131403
B,vertical_original,4,2839.179412,2840.259414,1.080002,0.018584513930345267,0.030275228116672756,0.9993688140043475,0.12499975628436816,0.07354214481659943,-0.9894274171785533,2.142580310865701,2.142580310865701,0.12499975628436816,0.07354214481659943,-0.9894274171785533,1.1892622924131013
B,vertical_original,5,2840.259414,2841.699130,1.439716,-0.06378988371909323,-0.049854858508393926,-0.9967172837962691,-0.159037247714163,-0.1145699457150466,0.9806023054115034,1.9022595406150127,1.9022595406150127,0.159037247714163,0.1145699457150466,-0.9806023054115034,2.9607557278058048
B,vertical_original,6,2841.699130,2842.779133,1.080003,0.028690881103303013,0.03796349156495746,0.9988671616635084,0.1758881556913562,0.15941791677300163,-0.9714161232444362,3.0100907530042527,3.0100907530042527,0.1758881556913562,0.15941791677300163,-0.9714161232444362,5.389338638715386
B,vertical_original,7,2842.779133,2843.859450,1.080317,-0.0670864606589968,-0.04532847406590713,-0.9967169790041229,-0.10331502857592803,-0.105078784056447,0.9890826325497651,4.603718108040154,4.603718108040154,0.10331502857592803,0.105078784056447,-0.9890826325497651,1.0054046456490093
B,vertical_original,8,2843.859450,2844.939170,1.079720,0.028233944452181938,0.08975693922398999,0.9955634265288233,0.08746679733471219,0.03272339290240904,-0.9956298202248479,7.9636447628427645,7.9636447628427645,0.08746679733471219,0.03272339290240904,-0.9956298202248479,3.6868651587079895
B,vertical_original,9,2844.939170,2845.899150,0.959980,-0.03131324117495852,0.07836391750080401,-0.996432926674468,-0.14275735359065547,-0.10936078276168444,0.9836973910657405,5.962860785785676,5.962860785785676,0.14275735359065547,0.10936078276168444,-0.9836973910657405,1.9862214381733923
B,vertical_original,10,2845.899150,2846.979403,1.080253,0.049415789667282814,0.13507605087116423,0.989602213120307,0.1692720113302763,0.052549569686853446,-0.9841674293055676,6.092878633276687,6.092878633276687,0.1692720113302763,0.052549569686853446,-0.9841674293055676,3.878110113540685
B,vertical_retry,1,2944.060242,2944.780261,0.720019,-0.19806398658778876,0.0025354998781579145,-0.9801858132299816,0.09148179733585911,0.012130507505157023,0.9957328615366012,21.967434687902593,21.967434687902593,-0.09148179733585911,-0.012130507505157023,-0.9957328615366012,13.201523903230152
B,vertical_retry,2,2944.780261,2946.220481,1.440220,0.041941398667082894,0.08924212581490387,0.9951265055548897,0.04444853651815773,0.11053940520914966,-0.9928773174453134,9.464717327330504,9.464717327330504,0.04444853651815773,0.11053940520914966,-0.9928773174453134,4.136682250087611
B,vertical_retry,3,2946.220481,2947.300512,1.080031,-0.06038603019987259,0.02057239006660356,-0.9979630775352603,-0.032641709196470914,-0.06367586808004612,0.9974366659818485,6.653034246394005,6.653034246394005,0.032641709196470914,0.06367586808004612,-0.9974366659818485,4.934361039859055
B,vertical_retry,4,2947.300512,2948.740471,1.439959,0.010716364818001433,0.0743673962779604,0.9971733299160805,-0.015287553450118136,0.0020065820243563063,-0.9998811251034242,12.724691245989868,12.724691245989868,-0.015287553450118136,0.0020065820243563063,-0.9998811251034242,9.01783617261417
B,vertical_retry,5,2948.740471,2949.820320,1.079849,-0.12661448625926155,-0.03659137789431645,-0.9912768750117692,-0.05290351055269832,-0.08259114831769841,0.9951783361743586,10.02239295679067,10.02239295679067,0.05290351055269832,0.08259114831769841,-0.9951783361743586,3.5426558448796457
B,vertical_retry,6,2949.820320,2950.780311,0.959991,0.06619910775277593,0.009132139984620848,0.9977646426648108,0.10627343504432374,0.09868821892176852,-0.9894274063567924,3.597026677486911,3.597026677486911,0.10627343504432374,0.09868821892176852,-0.9894274063567924,0.6166593569657673
B,vertical_retry,7,2950.780311,2951.740296,0.959985,-0.06479810734296824,-0.0622250293267954,-0.9959564503581714,-0.3099949653099287,-0.11400234847621823,0.9438784805388897,7.486546467483032,7.486546467483032,0.3099949653099287,0.11400234847621823,-0.9438784805388897,11.629884818433903
B,vertical_retry,8,2951.740296,2952.700552,0.960256,-0.0029692619360274274,0.05806663554406301,0.9983082937250136,0.16558889982687963,0.13791293610754027,-0.9765041414701329,3.5119091365387587,3.5119091365387587,0.16558889982687963,0.13791293610754027,-0.9765041414701329,4.066618024942904
