fixed_var,fixed_value,var1,var2,median_3d
delta_c_mm,0.0,0.94,130.0,126.32933807373047
delta_c_mm,0.0,0.94,135.0,117.95154571533203
delta_c_mm,0.0,0.94,140.0,109.64910888671875
delta_c_mm,0.0,0.945,0.0,326.6190185546875
delta_c_mm,0.0,0.945,5.0,317.7688903808594
delta_c_mm,0.0,0.945,10.0,309.06671142578125
delta_c_mm,0.0,0.945,15.0,300.507080078125
delta_c_mm,0.0,0.945,20.0,292.08447265625
delta_c_mm,0.0,0.945,25.0,283.79412841796875
delta_c_mm,0.0,0.945,30.0,275.63165283203125
delta_c_mm,0.0,0.945,35.0,267.59271240234375
delta_c_mm,0.0,0.945,40.0,259.674072265625
delta_c_mm,0.0,0.945,45.0,251.76954650878906
delta_c_mm,0.0,0.945,50.0,242.968017578125
delta_c_mm,0.0,0.945,55.0,234.61000061035156
delta_c_mm,0.0,0.945,60.0,226.75962829589844
delta_c_mm,0.0,0.945,65.0,218.98065185546875
delta_c_mm,0.0,0.945,70.0,211.27249145507812
delta_c_mm,0.0,0.945,75.0,203.63467407226562
delta_c_mm,0.0,0.945,80.0,196.06698608398438
delta_c_mm,0.0,0.945,85.0,188.56912231445312
delta_c_mm,0.0,0.945,90.0,180.63043212890625
delta_c_mm,0.0,0.945,95.0,171.8963623046875
delta_c_mm,0.0,0.945,100.0,163.20632934570312
delta_c_mm,0.0,0.945,105.0,154.56442260742188
delta_c_mm,0.0,0.945,110.0,145.97462463378906
delta_c_mm,0.0,0.945,115.0,137.44180297851562
delta_c_mm,0.0,0.945,120.0,128.97085571289062
delta_c_mm,0.0,0.945,125.0,120.56748962402344
delta_c_mm,0.0,0.945,130.0,112.23797607421875
delta_c_mm,0.0,0.945,135.0,103.99012756347656
delta_c_mm,0.0,0.945,140.0,95.8323745727539
delta_c_mm,0.0,0.95,0.0,311.5902099609375
delta_c_mm,0.0,0.95,5.0,302.99383544921875
delta_c_mm,0.0,0.95,10.0,294.535888671875
delta_c_mm,0.0,0.95,15.0,286.2115173339844
delta_c_mm,0.0,0.95,20.0,278.01629638671875
delta_c_mm,0.0,0.95,25.0,269.94586181640625
delta_c_mm,0.0,0.95,30.0,261.9966735839844
delta_c_mm,0.0,0.95,35.0,254.1654052734375
delta_c_mm,0.0,0.95,40.0,246.375732421875
delta_c_mm,0.0,0.95,45.0,237.56959533691406
delta_c_mm,0.0,0.95,50.0,229.08395385742188
delta_c_mm,0.0,0.95,55.0,221.28863525390625
delta_c_mm,0.0,0.95,60.0,213.56431579589844
delta_c_mm,0.0,0.95,65.0,205.91070556640625
delta_c_mm,0.0,0.95,70.0,198.32723999023438
delta_c_mm,0.0,0.95,75.0,190.8138427734375
delta_c_mm,0.0,0.95,80.0,183.37020874023438
delta_c_mm,0.0,0.95,85.0,174.64483642578125
delta_c_mm,0.0,0.95,90.0,165.932373046875
delta_c_mm,0.0,0.95,95.0,157.267578125
delta_c_mm,0.0,0.95,100.0,148.65487670898438
delta_c_mm,0.0,0.95,105.0,140.098388671875
delta_c_mm,0.0,0.95,110.0,131.60330200195312
delta_c_mm,0.0,0.95,115.0,123.17475128173828
delta_c_mm,0.0,0.95,120.0,114.81919860839844
delta_c_mm,0.0,0.95,125.0,106.54375457763672
delta_c_mm,0.0,0.95,130.0,98.35659790039062
delta_c_mm,0.0,0.95,135.0,90.26813507080078
delta_c_mm,0.0,0.95,140.0,83.05323791503906
delta_c_mm,0.0,0.955,0.0,296.978515625
delta_c_mm,0.0,0.955,5.0,288.6204528808594
delta_c_mm,0.0,0.955,10.0,280.39263916015625
delta_c_mm,0.0,0.955,15.0,272.2908935546875
delta_c_mm,0.0,0.955,20.0,264.3114013671875
delta_c_mm,0.0,0.955,25.0,256.4508361816406
delta_c_mm,0.0,0.955,30.0,248.70602416992188
delta_c_mm,0.0,0.955,35.0,240.93560791015625
delta_c_mm,0.0,0.955,40.0,232.12774658203125
delta_c_mm,0.0,0.955,45.0,223.58505249023438
delta_c_mm,0.0,0.955,50.0,215.84490966796875
delta_c_mm,0.0,0.955,55.0,208.17556762695312
delta_c_mm,0.0,0.955,60.0,200.57656860351562
delta_c_mm,0.0,0.955,65.0,193.0477752685547
delta_c_mm,0.0,0.955,70.0,185.58895874023438
delta_c_mm,0.0,0.955,75.0,177.38198852539062
delta_c_mm,0.0,0.955,80.0,168.64761352539062
delta_c_mm,0.0,0.955,85.0,159.96046447753906
delta_c_mm,0.0,0.955,90.0,151.32501220703125
delta_c_mm,0.0,0.955,95.0,142.74537658691406
delta_c_mm,0.0,0.955,100.0,134.22653198242188
delta_c_mm,0.0,0.955,105.0,125.77357482910156
delta_c_mm,0.0,0.955,110.0,117.39253234863281
delta_c_mm,0.0,0.955,115.0,109.09014892578125
delta_c_mm,0.0,0.955,120.0,100.87461853027344
delta_c_mm,0.0,0.955,125.0,92.75538635253906
delta_c_mm,0.0,0.955,130.0,85.22251892089844
delta_c_mm,0.0,0.955,135.0,78.3586654663086
delta_c_mm,0.0,0.955,140.0,73.87652587890625
delta_c_mm,0.0,0.96,0.0,282.76043701171875
delta_c_mm,0.0,0.96,5.0,274.6275939941406
delta_c_mm,0.0,0.96,10.0,266.6178894042969
delta_c_mm,0.0,0.96,15.0,258.72821044921875
delta_c_mm,0.0,0.96,20.0,250.95526123046875
delta_c_mm,0.0,0.96,25.0,243.2963104248047
delta_c_mm,0.0,0.96,30.0,235.24807739257812
delta_c_mm,0.0,0.96,35.0,226.38446044921875
delta_c_mm,0.0,0.96,40.0,217.81101989746094
delta_c_mm,0.0,0.96,45.0,210.0999298095703
delta_c_mm,0.0,0.96,50.0,202.4759521484375
delta_c_mm,0.0,0.96,55.0,194.939697265625
delta_c_mm,0.0,0.96,60.0,187.4916229248047
delta_c_mm,0.0,0.96,65.0,180.10791015625
delta_c_mm,0.0,0.96,70.0,171.35159301757812
delta_c_mm,0.0,0.96,75.0,162.64251708984375
delta_c_mm,0.0,0.96,80.0,153.984619140625
delta_c_mm,0.0,0.96,85.0,145.38238525390625
delta_c_mm,0.0,0.96,90.0,136.8401641845703
delta_c_mm,0.0,0.96,95.0,128.36328125
delta_c_mm,0.0,0.96,100.0,119.9573974609375
delta_c_mm,0.0,0.96,105.0,111.62908935546875
delta_c_mm,0.0,0.96,110.0,103.38581085205078
delta_c_mm,0.0,0.96,115.0,95.23699188232422
delta_c_mm,0.0,0.96,120.0,87.40013885498047
delta_c_mm,0.0,0.96,125.0,80.4619140625
delta_c_mm,0.0,0.96,130.0,74.67369842529297
delta_c_mm,0.0,0.96,135.0,72.06997680664062
delta_c_mm,0.0,0.96,140.0,72.08834838867188
delta_c_mm,0.0,0.965,0.0,268.9161376953125
delta_c_mm,0.0,0.965,5.0,260.99749755859375
delta_c_mm,0.0,0.965,10.0,253.19650268554688
delta_c_mm,0.0,0.965,15.0,245.51040649414062
delta_c_mm,0.0,0.965,20.0,237.9368896484375
delta_c_mm,0.0,0.965,25.0,229.1407470703125
delta_c_mm,0.0,0.965,30.0,220.29913330078125
delta_c_mm,0.0,0.965,35.0,211.81997680664062
delta_c_mm,0.0,0.965,40.0,204.18292236328125
delta_c_mm,0.0,0.965,45.0,196.6336212158203
delta_c_mm,0.0,0.965,50.0,189.172607421875
delta_c_mm,0.0,0.965,55.0,181.80050659179688
delta_c_mm,0.0,0.965,60.0,174.04470825195312
delta_c_mm,0.0,0.965,65.0,165.3137969970703
delta_c_mm,0.0,0.965,70.0,156.63400268554688
delta_c_mm,0.0,0.965,75.0,148.00930786132812
delta_c_mm,0.0,0.965,80.0,139.44424438476562
delta_c_mm,0.0,0.965,85.0,130.94390869140625
delta_c_mm,0.0,0.965,90.0,122.51366424560547
delta_c_mm,0.0,0.965,95.0,114.16009521484375
delta_c_mm,0.0,0.965,100.0,105.89024353027344
delta_c_mm,0.0,0.965,105.0,97.71255493164062
delta_c_mm,0.0,0.965,110.0,89.63795471191406
delta_c_mm,0.0,0.965,115.0,82.57654571533203
delta_c_mm,0.0,0.965,120.0,75.8284912109375
delta_c_mm,0.0,0.965,125.0,72.95407104492188
delta_c_mm,0.0,0.965,130.0,71.8453598022461
delta_c_mm,0.0,0.965,135.0,73.69767761230469
delta_c_mm,0.0,0.965,140.0,75.090087890625
delta_c_mm,0.0,0.97,0.0,255.42953491210938
delta_c_mm,0.0,0.97,5.0,247.7164306640625
delta_c_mm,0.0,0.97,10.0,240.11660766601562
delta_c_mm,0.0,0.97,15.0,231.8848419189453
delta_c_mm,0.0,0.97,20.0,223.0189971923828
delta_c_mm,0.0,0.97,25.0,214.20303344726562
delta_c_mm,0.0,0.97,30.0,205.8809814453125
delta_c_mm,0.0,0.97,35.0,198.31884765625
delta_c_mm,0.0,0.97,40.0,190.8451385498047
delta_c_mm,0.0,0.97,45.0,183.4604034423828
delta_c_mm,0.0,0.97,50.0,176.1655731201172
delta_c_mm,0.0,0.97,55.0,167.97401428222656
delta_c_mm,0.0,0.97,60.0,159.27252197265625
delta_c_mm,0.0,0.97,65.0,150.62564086914062
delta_c_mm,0.0,0.97,70.0,142.038330078125
delta_c_mm,0.0,0.97,75.0,133.51492309570312
delta_c_mm,0.0,0.97,80.0,125.06099700927734
delta_c_mm,0.0,0.97,85.0,116.68269348144531
delta_c_mm,0.0,0.97,90.0,108.3867416381836
delta_c_mm,0.0,0.97,95.0,100.18146514892578
delta_c_mm,0.0,0.97,100.0,92.07684326171875
delta_c_mm,0.0,0.97,105.0,84.70052337646484
delta_c_mm,0.0,0.97,110.0,77.87454223632812
delta_c_mm,0.0,0.97,115.0,73.91194152832031
delta_c_mm,0.0,0.97,120.0,71.99425506591797
delta_c_mm,0.0,0.97,125.0,73.45523071289062
delta_c_mm,0.0,0.97,130.0,75.1398696899414
delta_c_mm,0.0,0.97,135.0,73.46588134765625
delta_c_mm,0.0,0.97,140.0,71.92803955078125
delta_c_mm,0.0,0.975,0.0,242.28846740722656
delta_c_mm,0.0,0.975,5.0,234.61676025390625
delta_c_mm,0.0,0.975,10.0,225.72705078125
delta_c_mm,0.0,0.975,15.0,216.88687133789062
delta_c_mm,0.0,0.975,20.0,208.10076904296875
delta_c_mm,0.0,0.975,25.0,199.99591064453125
delta_c_mm,0.0,0.975,30.0,192.50958251953125
delta_c_mm,0.0,0.975,35.0,185.11227416992188
delta_c_mm,0.0,0.975,40.0,177.80499267578125
delta_c_mm,0.0,0.975,45.0,170.58853149414062
delta_c_mm,0.0,0.975,50.0,161.90048217773438
delta_c_mm,0.0,0.975,55.0,153.23211669921875
delta_c_mm,0.0,0.975,60.0,144.62258911132812
delta_c_mm,0.0,0.975,65.0,136.0765380859375
delta_c_mm,0.0,0.975,70.0,127.5994644165039
delta_c_mm,0.0,0.975,75.0,119.19685363769531
delta_c_mm,0.0,0.975,80.0,110.87564086914062
delta_c_mm,0.0,0.975,85.0,102.64354705810547
delta_c_mm,0.0,0.975,90.0,94.51010131835938
delta_c_mm,0.0,0.975,95.0,86.8322982788086
delta_c_mm,0.0,0.975,100.0,79.93321228027344
delta_c_mm,0.0,0.975,105.0,74.88697814941406
delta_c_mm,0.0,0.975,110.0,72.89703369140625
delta_c_mm,0.0,0.975,115.0,73.2148208618164
delta_c_mm,0.0,0.975,120.0,74.84500122070312
delta_c_mm,0.0,0.975,125.0,75.03781127929688
delta_c_mm,0.0,0.975,130.0,72.25715637207031
delta_c_mm,0.0,0.975,135.0,72.71571350097656
delta_c_mm,0.0,0.975,140.0,74.4600830078125
delta_c_mm,0.0,0.98,0.0,228.42303466796875
delta_c_mm,0.0,0.98,5.0,219.55902099609375
delta_c_mm,0.0,0.98,10.0,210.75155639648438
delta_c_mm,0.0,0.98,15.0,202.02792358398438
delta_c_mm,0.0,0.98,20.0,194.1656951904297
delta_c_mm,0.0,0.98,25.0,186.75607299804688
delta_c_mm,0.0,0.98,30.0,179.43643188476562
delta_c_mm,0.0,0.98,35.0,172.20758056640625
delta_c_mm,0.0,0.98,40.0,164.51779174804688
delta_c_mm,0.0,0.98,45.0,155.8278350830078
delta_c_mm,0.0,0.98,50.0,147.1966552734375
delta_c_mm,0.0,0.98,55.0,138.62844848632812
delta_c_mm,0.0,0.98,60.0,130.12850952148438
delta_c_mm,0.0,0.98,65.0,121.70233154296875
delta_c_mm,0.0,0.98,70.0,113.35653686523438
delta_c_mm,0.0,0.98,75.0,105.09834289550781
delta_c_mm,0.0,0.98,80.0,96.9367904663086
delta_c_mm,0.0,0.98,85.0,88.97023010253906
delta_c_mm,0.0,0.98,90.0,82.00236511230469
delta_c_mm,0.0,0.98,95.0,75.87715148925781
delta_c_mm,0.0,0.98,100.0,73.82011413574219
delta_c_mm,0.0,0.98,105.0,72.97674560546875
delta_c_mm,0.0,0.98,110.0,74.77525329589844
delta_c_mm,0.0,0.98,115.0,75.23094177246094
delta_c_mm,0.0,0.98,120.0,72.60556030273438
delta_c_mm,0.0,0.98,125.0,72.446044921875
delta_c_mm,0.0,0.98,130.0,74.1900634765625
delta_c_mm,0.0,0.98,135.0,73.94377136230469
delta_c_mm,0.0,0.98,140.0,74.47856140136719
delta_c_mm,0.0,0.985,0.0,213.52667236328125
delta_c_mm,0.0,0.985,5.0,204.7818603515625
delta_c_mm,0.0,0.985,10.0,196.08206176757812
delta_c_mm,0.0,0.985,15.0,188.3916015625
delta_c_mm,0.0,0.985,20.0,181.0597686767578
delta_c_mm,0.0,0.985,25.0,173.81874084472656
delta_c_mm,0.0,0.985,30.0,166.669677734375
delta_c_mm,0.0,0.985,35.0,158.41319274902344
delta_c_mm,0.0,0.985,40.0,149.76058959960938
delta_c_mm,0.0,0.985,45.0,141.17047119140625
delta_c_mm,0.0,0.985,50.0,132.6480712890625
delta_c_mm,0.0,0.985,55.0,124.19877624511719
delta_c_mm,0.0,0.985,60.0,115.82890319824219
delta_c_mm,0.0,0.985,65.0,107.54534912109375
delta_c_mm,0.0,0.985,70.0,99.35665893554688
delta_c_mm,0.0,0.985,75.0,91.28012084960938
delta_c_mm,0.0,0.985,80.0,84.08030700683594
delta_c_mm,0.0,0.985,85.0,77.3010482788086
delta_c_mm,0.0,0.985,90.0,74.76138305664062
delta_c_mm,0.0,0.985,95.0,72.8250961303711
delta_c_mm,0.0,0.985,100.0,74.53793334960938
delta_c_mm,0.0,0.985,105.0,74.89131164550781
delta_c_mm,0.0,0.985,110.0,72.97245788574219
delta_c_mm,0.0,0.985,115.0,72.17881774902344
delta_c_mm,0.0,0.985,120.0,73.92234802246094
delta_c_mm,0.0,0.985,125.0,74.81504821777344
delta_c_mm,0.0,0.985,130.0,74.17767333984375
delta_c_mm,0.0,0.985,135.0,75.39640808105469
delta_c_mm,0.0,0.985,140.0,77.497802734375
delta_c_mm,0.0,0.99,0.0,198.80474853515625
delta_c_mm,0.0,0.99,5.0,190.13204956054688
delta_c_mm,0.0,0.99,10.0,182.67520141601562
delta_c_mm,0.0,0.99,15.0,175.42214965820312
delta_c_mm,0.0,0.99,20.0,168.2610321044922
delta_c_mm,0.0,0.99,25.0,160.98776245117188
delta_c_mm,0.0,0.99,30.0,152.31393432617188
delta_c_mm,0.0,0.99,35.0,143.7025604248047
delta_c_mm,0.0,0.99,40.0,135.15809631347656
delta_c_mm,0.0,0.99,45.0,126.68618774414062
delta_c_mm,0.0,0.99,50.0,118.29267883300781
delta_c_mm,0.0,0.99,55.0,109.98445129394531
delta_c_mm,0.0,0.99,60.0,101.76947021484375
delta_c_mm,0.0,0.99,65.0,93.93838500976562
delta_c_mm,0.0,0.99,70.0,86.36630249023438
delta_c_mm,0.0,0.99,75.0,79.3138427734375
delta_c_mm,0.0,0.99,80.0,75.7181625366211
delta_c_mm,0.0,0.99,85.0,73.71229553222656
delta_c_mm,0.0,0.99,90.0,74.30288696289062
delta_c_mm,0.0,0.99,95.0,74.57612609863281
delta_c_mm,0.0,0.99,100.0,74.49259948730469
delta_c_mm,0.0,0.99,105.0,72.44691467285156
delta_c_mm,0.0,0.99,110.0,73.6565933227539
delta_c_mm,0.0,0.99,115.0,75.34253692626953
delta_c_mm,0.0,0.99,120.0,74.01334381103516
delta_c_mm,0.0,0.99,125.0,74.28168487548828
delta_c_mm,0.0,0.99,130.0,77.19004821777344
delta_c_mm,0.0,0.99,135.0,78.82061767578125
delta_c_mm,0.0,0.99,140.0,80.43363952636719
delta_c_mm,0.0,0.995,0.0,184.28289794921875
delta_c_mm,0.0,0.995,5.0,177.01791381835938
delta_c_mm,0.0,0.995,10.0,169.8448486328125
delta_c_mm,0.0,0.995,15.0,162.76483154296875
delta_c_mm,0.0,0.995,20.0,154.8569793701172
delta_c_mm,0.0,0.995,25.0,146.22442626953125
delta_c_mm,0.0,0.995,30.0,137.65850830078125
delta_c_mm,0.0,0.995,35.0,129.16427612304688
delta_c_mm,0.0,0.995,40.0,120.74781036376953
delta_c_mm,0.0,0.995,45.0,112.4154052734375
delta_c_mm,0.0,0.995,50.0,104.35848999023438
delta_c_mm,0.0,0.995,55.0,96.59490203857422
delta_c_mm,0.0,0.995,60.0,88.97380828857422
delta_c_mm,0.0,0.995,65.0,81.51390075683594
delta_c_mm,0.0,0.995,70.0,76.68881225585938
delta_c_mm,0.0,0.995,75.0,74.6182632446289
delta_c_mm,0.0,0.995,80.0,74.06974792480469
delta_c_mm,0.0,0.995,85.0,75.04232025146484
delta_c_mm,0.0,0.995,90.0,75.03488159179688
delta_c_mm,0.0,0.995,95.0,72.76676940917969
delta_c_mm,0.0,0.995,100.0,73.3929443359375
delta_c_mm,0.0,0.995,105.0,75.08946990966797
delta_c_mm,0.0,0.995,110.0,74.86003112792969
delta_c_mm,0.0,0.995,115.0,74.4854736328125
delta_c_mm,0.0,0.995,120.0,76.88543701171875
delta_c_mm,0.0,0.995,125.0,78.511474609375
delta_c_mm,0.0,0.995,130.0,80.1202163696289
delta_c_mm,0.0,0.995,135.0,81.71148681640625
delta_c_mm,0.0,0.995,140.0,83.2847900390625
delta_c_mm,0.0,1.0,0.0,171.42111206054688
delta_c_mm,0.0,1.0,5.0,164.32920837402344
delta_c_mm,0.0,1.0,10.0,157.33139038085938
delta_c_mm,0.0,1.0,15.0,148.7361602783203
delta_c_mm,0.0,1.0,20.0,140.14886474609375
delta_c_mm,0.0,1.0,25.0,131.63291931152344
delta_c_mm,0.0,1.0,30.0,123.19387817382812
delta_c_mm,0.0,1.0,35.0,114.98348999023438
delta_c_mm,0.0,1.0,40.0,107.05375671386719
delta_c_mm,0.0,1.0,45.0,99.24803161621094
delta_c_mm,0.0,1.0,50.0,91.58064270019531
delta_c_mm,0.0,1.0,55.0,84.06837463378906
delta_c_mm,0.0,1.0,60.0,77.6715087890625
delta_c_mm,0.0,1.0,65.0,75.54072570800781
delta_c_mm,0.0,1.0,70.0,73.839111328125
delta_c_mm,0.0,1.0,75.0,75.52605438232422
delta_c_mm,0.0,1.0,80.0,74.67471313476562
delta_c_mm,0.0,1.0,85.0,73.10502624511719
delta_c_mm,0.0,1.0,90.0,73.13154602050781
delta_c_mm,0.0,1.0,95.0,74.8277587890625
delta_c_mm,0.0,1.0,100.0,75.72874450683594
delta_c_mm,0.0,1.0,105.0,74.80061340332031
delta_c_mm,0.0,1.0,110.0,75.92637634277344
delta_c_mm,0.0,1.0,115.0,78.20598602294922
delta_c_mm,0.0,1.0,120.0,79.81031799316406
delta_c_mm,0.0,1.0,125.0,81.39749908447266
delta_c_mm,0.0,1.0,130.0,82.96684265136719
delta_c_mm,0.0,1.0,135.0,83.38853454589844
delta_c_mm,0.0,1.0,140.0,84.33332061767578
delta_c_mm,0.0,1.005,0.0,158.87669372558594
delta_c_mm,0.0,1.005,5.0,151.23751831054688
delta_c_mm,0.0,1.005,10.0,142.62939453125
delta_c_mm,0.0,1.005,15.0,134.09201049804688
delta_c_mm,0.0,1.005,20.0,125.78682708740234
delta_c_mm,0.0,1.005,25.0,117.71028900146484
delta_c_mm,0.0,1.005,30.0,109.74357604980469
delta_c_mm,0.0,1.005,35.0,101.8977279663086
delta_c_mm,0.0,1.005,40.0,94.18576049804688
delta_c_mm,0.0,1.005,45.0,86.62394714355469
delta_c_mm,0.0,1.005,50.0,79.2315673828125
delta_c_mm,0.0,1.005,55.0,76.47781372070312
delta_c_mm,0.0,1.005,60.0,74.46290588378906
delta_c_mm,0.0,1.005,65.0,75.3543930053711
delta_c_mm,0.0,1.005,70.0,74.6032485961914
delta_c_mm,0.0,1.005,75.0,73.91936492919922
delta_c_mm,0.0,1.005,80.0,72.87222290039062
delta_c_mm,0.0,1.005,85.0,74.56782531738281
delta_c_mm,0.0,1.005,90.0,75.92222595214844
delta_c_mm,0.0,1.005,95.0,74.87959289550781
delta_c_mm,0.0,1.005,100.0,74.82810974121094
delta_c_mm,0.0,1.005,105.0,77.90363311767578
delta_c_mm,0.0,1.005,110.0,79.50372314453125
delta_c_mm,0.0,1.005,115.0,81.08659362792969
delta_c_mm,0.0,1.005,120.0,82.65213012695312
delta_c_mm,0.0,1.005,125.0,84.19973754882812
delta_c_mm,0.0,1.005,130.0,83.85181427001953
delta_c_mm,0.0,1.005,135.0,84.60101318359375
delta_c_mm,0.0,1.005,140.0,83.42633819580078
delta_c_mm,0.0,1.01,0.0,145.4530029296875
delta_c_mm,0.0,1.01,5.0,136.963134765625
delta_c_mm,0.0,1.01,10.0,128.53939819335938
delta_c_mm,0.0,1.01,15.0,120.42959594726562
delta_c_mm,0.0,1.01,20.0,112.4271240234375
delta_c_mm,0.0,1.01,25.0,104.54265594482422
delta_c_mm,0.0,1.01,30.0,96.78831481933594
delta_c_mm,0.0,1.01,35.0,89.17912292480469
delta_c_mm,0.0,1.01,40.0,81.73335266113281
delta_c_mm,0.0,1.01,45.0,77.42753601074219
delta_c_mm,0.0,1.01,50.0,75.34993743896484
delta_c_mm,0.0,1.01,55.0,75.12654113769531
delta_c_mm,0.0,1.01,60.0,75.04729461669922
delta_c_mm,0.0,1.01,65.0,74.87400817871094
delta_c_mm,0.0,1.01,70.0,72.92369079589844
delta_c_mm,0.0,1.01,75.0,74.31013488769531
delta_c_mm,0.0,1.01,80.0,75.87614440917969
delta_c_mm,0.0,1.01,85.0,75.72410583496094
delta_c_mm,0.0,1.01,90.0,74.48881530761719
delta_c_mm,0.0,1.01,95.0,77.56839752197266
delta_c_mm,0.0,1.01,100.0,79.20036315917969
delta_c_mm,0.0,1.01,105.0,80.77922058105469
delta_c_mm,0.0,1.01,110.0,82.34077453613281
delta_c_mm,0.0,1.01,115.0,83.88475036621094
delta_c_mm,0.0,1.01,120.0,83.39410400390625
delta_c_mm,0.0,1.01,125.0,84.2516098022461
delta_c_mm,0.0,1.01,130.0,84.10289764404297
delta_c_mm,0.0,1.01,135.0,82.71293640136719
delta_c_mm,0.0,1.01,140.0,83.94186401367188
delta_c_mm,0.0,1.015,0.0,131.47096252441406
delta_c_mm,0.0,1.015,5.0,123.14093780517578
delta_c_mm,0.0,1.015,10.0,115.10394287109375
delta_c_mm,0.0,1.015,15.0,107.18223571777344
delta_c_mm,0.0,1.015,20.0,99.38722229003906
delta_c_mm,0.0,1.015,25.0,91.73303985595703
