s,delta_c_mm,best_d_tag_mm,min_median_3d_mm
0.95,20.0,135.0,70.6729736328125
0.95,30.0,125.0,70.67288970947266
0.95,40.0,115.0,70.67288970947266
0.95,50.0,105.0,70.67288970947266
0.95,60.0,95.0,70.67288970947266
0.955,-60.0,140.0,168.64759826660156
0.955,-50.0,140.0,151.324951171875
0.955,-40.0,140.0,134.22653198242188
0.955,-30.0,140.0,117.39251708984375
0.955,-20.0,140.0,100.87461853027344
0.955,-10.0,140.0,85.22251892089844
0.955,0.0,140.0,73.87652587890625
0.955,10.0,135.0,71.3086166381836
0.955,20.0,125.0,71.30870819091797
0.955,30.0,115.0,71.30867004394531
0.955,40.0,105.0,71.30867004394531
0.955,50.0,95.0,71.30867004394531
0.955,60.0,85.0,71.30867004394531
0.96,-60.0,140.0,153.98464965820312
0.96,-50.0,140.0,136.84022521972656
0.96,-40.0,140.0,119.9573974609375
0.96,-30.0,140.0,103.38581085205078
0.96,-20.0,140.0,87.40013885498047
0.96,-10.0,140.0,74.67369842529297
0.96,0.0,135.0,72.06997680664062
0.96,10.0,125.0,72.06997680664062
0.96,20.0,140.0,71.74339294433594
0.96,30.0,130.0,71.74351501464844
0.96,40.0,120.0,71.74351501464844
0.96,50.0,110.0,71.74351501464844
0.96,60.0,100.0,71.74351501464844
0.965,-60.0,140.0,139.44424438476562
0.965,-50.0,140.0,122.513671875
0.965,-40.0,140.0,105.8902359008789
0.965,-30.0,140.0,89.63795471191406
0.965,-20.0,140.0,75.8284912109375
0.965,-10.0,140.0,71.8453598022461
0.965,0.0,130.0,71.8453598022461
0.965,10.0,140.0,71.61964416503906
0.965,20.0,130.0,71.61953735351562
0.965,30.0,120.0,71.61956787109375
0.965,40.0,110.0,71.61956787109375
0.965,50.0,100.0,71.61956787109375
0.965,60.0,90.0,71.61956787109375
0.97,-60.0,140.0,125.06099700927734
0.97,-50.0,140.0,108.38674926757812
0.97,-40.0,140.0,92.07684326171875
0.97,-30.0,140.0,77.87454223632812
0.97,-20.0,140.0,71.99425506591797
0.97,-10.0,130.0,71.99425506591797
0.97,0.0,140.0,71.92803955078125
0.97,10.0,130.0,71.92803955078125
0.97,20.0,120.0,71.92804718017578
0.97,30.0,110.0,71.92815399169922
0.97,40.0,100.0,71.92815399169922
0.97,50.0,90.0,71.92815399169922
0.97,60.0,80.0,71.9281005859375
0.975,-60.0,140.0,110.87553405761719
0.975,-50.0,140.0,94.51004791259766
0.975,-40.0,140.0,79.93326568603516
0.975,-30.0,140.0,72.89703369140625
0.975,-20.0,130.0,72.89703369140625
0.975,-10.0,140.0,72.25715637207031
0.975,0.0,130.0,72.25715637207031
0.975,10.0,120.0,72.25715637207031
0.975,20.0,110.0,72.257080078125
0.975,30.0,100.0,72.25701904296875
0.975,40.0,90.0,72.25701904296875
0.975,50.0,80.0,72.25701904296875
0.975,60.0,70.0,72.25718688964844
0.98,-60.0,140.0,96.93672180175781
0.98,-50.0,140.0,82.00236511230469
0.98,-40.0,140.0,73.82011413574219
0.98,-30.0,135.0,72.97674560546875
0.98,-20.0,140.0,72.60556030273438
0.98,-10.0,135.0,72.446044921875
0.98,0.0,125.0,72.446044921875
0.98,10.0,115.0,72.446044921875
0.98,20.0,105.0,72.44617462158203
0.98,30.0,95.0,72.44590759277344
0.98,40.0,85.0,72.44601440429688
0.98,50.0,75.0,72.44602966308594
0.98,60.0,65.0,72.44602966308594
0.985,-60.0,140.0,84.08036804199219
0.985,-50.0,140.0,74.76138305664062
0.985,-40.0,135.0,72.8250961303711
0.985,-30.0,125.0,72.8250961303711
0.985,-20.0,135.0,72.17881774902344
0.985,-10.0,125.0,72.17881774902344
0.985,0.0,115.0,72.17881774902344
0.985,10.0,105.0,72.17881774902344
0.985,20.0,95.0,72.17876434326172
0.985,30.0,85.0,72.17892456054688
0.985,40.0,75.0,72.17892456054688
0.985,50.0,65.0,72.1788101196289
0.985,60.0,55.0,72.1788101196289
0.99,-60.0,140.0,75.7181625366211
0.99,-50.0,135.0,73.71229553222656
0.99,-40.0,125.0,73.71229553222656
0.99,-30.0,135.0,72.44691467285156
0.99,-20.0,125.0,72.44691467285156
0.99,-10.0,115.0,72.44691467285156
0.99,0.0,105.0,72.44691467285156
0.99,10.0,95.0,72.44691467285156
0.99,20.0,85.0,72.44694519042969
0.99,30.0,75.0,72.447021484375
0.99,40.0,65.0,72.447021484375
0.99,50.0,55.0,72.447021484375
0.99,60.0,45.0,72.447021484375
0.995,-60.0,140.0,74.06973266601562
0.995,-50.0,130.0,74.06973266601562
0.995,-40.0,135.0,72.7667236328125
0.995,-30.0,125.0,72.7667236328125
0.995,-20.0,115.0,72.7667236328125
0.995,-10.0,105.0,72.7667236328125
0.995,0.0,95.0,72.76676940917969
0.995,10.0,85.0,72.7667236328125
0.995,20.0,75.0,72.76670837402344
0.995,30.0,65.0,72.76677703857422
0.995,40.0,55.0,72.76677703857422
0.995,50.0,45.0,72.76677703857422
0.995,60.0,35.0,72.76677703857422
1.0,-60.0,130.0,73.83907318115234
1.0,-50.0,135.0,73.10502624511719
1.0,-40.0,125.0,73.10502624511719
1.0,-30.0,115.0,73.10502624511719
1.0,-20.0,105.0,73.10502624511719
1.0,-10.0,95.0,73.10502624511719
1.0,0.0,85.0,73.10502624511719
1.0,10.0,75.0,73.10502624511719
1.0,20.0,65.0,73.10501098632812
1.0,30.0,55.0,73.10504150390625
1.0,40.0,45.0,73.10504150390625
1.0,50.0,35.0,73.10504150390625
1.0,60.0,25.0,73.10504150390625
1.005,-60.0,140.0,72.87228393554688
1.005,-50.0,130.0,72.87228393554688
1.005,-40.0,120.0,72.87228393554688
1.005,-30.0,110.0,72.87228393554688
1.005,-20.0,100.0,72.87228393554688
1.005,-10.0,90.0,72.87220764160156
1.005,0.0,80.0,72.87222290039062
1.005,10.0,70.0,72.87216186523438
1.005,20.0,60.0,72.87214660644531
1.005,30.0,50.0,72.87216186523438
1.005,40.0,40.0,72.87216186523438
1.005,50.0,30.0,72.87216186523438
1.005,60.0,20.0,72.87216186523438
1.01,-60.0,130.0,72.92367553710938
1.01,-50.0,120.0,72.92367553710938
1.01,-40.0,110.0,72.92367553710938
1.01,-30.0,100.0,72.92367553710938
1.01,-20.0,90.0,72.92369079589844
1.01,-10.0,80.0,72.92369079589844
1.01,0.0,70.0,72.92369079589844
1.01,10.0,60.0,72.92369079589844
1.01,20.0,50.0,72.92376708984375
1.01,30.0,40.0,72.92376708984375
1.01,40.0,30.0,72.92376708984375
1.01,50.0,20.0,72.92376708984375
1.01,60.0,10.0,72.92376708984375
1.015,-60.0,120.0,73.23333740234375
1.015,-50.0,110.0,73.23333740234375
1.015,-40.0,100.0,73.23333740234375
1.015,-30.0,90.0,73.23334503173828
1.015,-20.0,80.0,73.23334503173828
1.015,-10.0,70.0,73.23334503173828
1.015,0.0,60.0,73.23334503173828
1.015,10.0,50.0,73.23334503173828
1.015,20.0,40.0,73.23328399658203
1.015,30.0,30.0,73.23316955566406
1.015,40.0,20.0,73.23316955566406
1.015,50.0,10.0,73.23316955566406
1.015,60.0,0.0,73.23324584960938
1.02,-60.0,115.0,73.80089569091797
1.02,-50.0,105.0,73.80089569091797
1.02,-40.0,95.0,73.80088806152344
1.02,-30.0,85.0,73.80094909667969
1.02,-20.0,75.0,73.80094909667969
1.02,-10.0,65.0,73.80094909667969
1.02,0.0,55.0,73.80094909667969
1.02,10.0,45.0,73.80089569091797
1.02,20.0,35.0,73.80095672607422
1.02,30.0,25.0,73.8008804321289
1.02,40.0,15.0,73.80088806152344
1.02,50.0,5.0,73.80094909667969
1.02,60.0,10.0,75.38634490966797
1.025,-60.0,105.0,73.54940795898438
1.025,-50.0,95.0,73.54939270019531
1.025,-40.0,85.0,73.54939270019531
1.025,-30.0,75.0,73.54939270019531
1.025,-20.0,65.0,73.54939270019531
1.025,-10.0,55.0,73.54939270019531
1.025,0.0,45.0,73.54939270019531
1.025,10.0,35.0,73.54937744140625
1.025,20.0,25.0,73.54937744140625
1.025,30.0,15.0,73.54938507080078
1.025,40.0,5.0,73.54940795898438
1.025,50.0,15.0,74.48904418945312
1.025,60.0,5.0,74.48904418945312
1.03,-60.0,95.0,73.36213684082031
1.03,-50.0,85.0,73.36213684082031
1.03,-40.0,75.0,73.36213684082031
1.03,-30.0,65.0,73.36213684082031
1.03,-20.0,55.0,73.36213684082031
1.03,-10.0,45.0,73.3621826171875
1.03,0.0,35.0,73.3621826171875
1.03,10.0,25.0,73.3621826171875
1.03,20.0,15.0,73.3621826171875
1.03,30.0,5.0,73.3621826171875
1.03,40.0,15.0,74.78900146484375
1.03,50.0,5.0,74.78900146484375
1.03,60.0,0.0,77.03981018066406
1.035,-60.0,85.0,74.20433807373047
1.035,-50.0,75.0,74.20433807373047
1.035,-40.0,65.0,74.20437622070312
1.035,-30.0,55.0,74.20437622070312
1.035,-20.0,45.0,74.20441436767578
1.035,-10.0,35.0,74.20441436767578
1.035,0.0,25.0,74.20441436767578
1.035,10.0,15.0,74.2043685913086
1.035,20.0,5.0,74.20442199707031
1.035,30.0,0.0,74.70114135742188
1.035,40.0,5.0,75.39451599121094
1.035,50.0,0.0,75.97242736816406
1.035,60.0,0.0,80.83150482177734
1.04,-60.0,80.0,74.45521545410156
1.04,-50.0,70.0,74.45520782470703
1.04,-40.0,60.0,74.45520782470703
1.04,-30.0,50.0,74.45520782470703
1.04,-20.0,40.0,74.4552001953125
1.04,-10.0,30.0,74.4552001953125
1.04,0.0,20.0,74.4552001953125
1.04,10.0,10.0,74.45520782470703
1.04,20.0,0.0,74.45513916015625
1.04,30.0,10.0,74.91636657714844
1.04,40.0,0.0,74.91636657714844
1.04,50.0,0.0,80.5390625
1.04,60.0,25.0,82.53799438476562
1.045,-60.0,70.0,74.21084594726562
1.045,-50.0,60.0,74.21084594726562
1.045,-40.0,50.0,74.21084594726562
1.045,-30.0,40.0,74.21084594726562
1.045,-20.0,30.0,74.21084594726562
1.045,-10.0,20.0,74.21090698242188
1.045,0.0,10.0,74.21084594726562
1.045,10.0,0.0,74.21086120605469
1.045,20.0,10.0,75.34083557128906
1.045,30.0,0.0,75.34077453613281
1.045,40.0,0.0,80.24945068359375
1.045,50.0,25.0,82.81561279296875
1.045,60.0,15.0,82.81561279296875
1.05,-60.0,60.0,74.44352722167969
1.05,-50.0,50.0,74.44352722167969
1.05,-40.0,40.0,74.44352722167969
1.05,-30.0,30.0,74.44352722167969
1.05,-20.0,20.0,74.44351196289062
1.05,-10.0,10.0,74.44344329833984
1.05,0.0,0.0,74.44344329833984
1.05,10.0,10.0,76.12515258789062
1.05,20.0,0.0,76.12513732910156
1.05,30.0,0.0,79.96308898925781
1.05,40.0,30.0,82.91734313964844
1.05,50.0,20.0,82.91734313964844
1.05,60.0,10.0,82.91734313964844
1.055,-60.0,45.0,75.01481628417969
1.055,-50.0,35.0,75.01481628417969
1.055,-40.0,25.0,75.01481628417969
1.055,-30.0,15.0,75.01481628417969
1.055,-20.0,5.0,75.01484680175781
1.055,-10.0,0.0,75.28366088867188
1.055,0.0,15.0,75.52543640136719
1.055,10.0,5.0,75.52543640136719
1.055,20.0,0.0,79.26129150390625
1.055,30.0,30.0,82.51994323730469
1.055,40.0,20.0,82.51994323730469
1.055,50.0,10.0,82.51994323730469
1.055,60.0,0.0,82.51994323730469
1.06,-60.0,45.0,75.09481811523438
1.06,-50.0,35.0,75.09481048583984
1.06,-40.0,25.0,75.09481048583984
1.06,-30.0,15.0,75.0948715209961
1.06,-20.0,5.0,75.09489440917969
1.06,-10.0,15.0,76.04116821289062
1.06,0.0,5.0,76.04116821289062
1.06,10.0,0.0,78.21305847167969
1.06,20.0,0.0,82.39547729492188
1.06,30.0,20.0,83.00262451171875
1.06,40.0,10.0,83.00262451171875
1.06,50.0,0.0,83.00262451171875
1.06,60.0,0.0,87.74635314941406
1.065,-60.0,30.0,74.67289733886719
1.065,-50.0,20.0,74.67289733886719
1.065,-40.0,10.0,74.67295837402344
1.065,-30.0,0.0,74.67295837402344
1.065,-20.0,0.0,76.42259216308594
1.065,-10.0,5.0,76.81876373291016
1.065,0.0,0.0,77.17508697509766
1.065,10.0,0.0,82.11054992675781
1.065,20.0,25.0,83.2131118774414
1.065,30.0,15.0,83.21305084228516
1.065,40.0,5.0,83.2130126953125
1.065,50.0,0.0,86.67408752441406
1.065,60.0,0.0,91.94406127929688
1.07,-60.0,20.0,75.00591278076172
1.07,-50.0,10.0,75.0059814453125
1.07,-40.0,0.0,75.0059814453125
1.07,-30.0,20.0,76.14726257324219
1.07,-20.0,10.0,76.14726257324219
1.07,-10.0,0.0,76.14729309082031
1.07,0.0,0.0,81.828369140625
1.07,10.0,25.0,82.85627746582031
1.07,20.0,15.0,82.85626983642578
1.07,30.0,5.0,82.85635375976562
1.07,40.0,0.0,85.17254638671875
1.07,50.0,0.0,90.60065460205078
1.07,60.0,0.0,98.30596923828125
