s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.93,-50.0,105.0,276.42144775390625,263.67186342592566,412.2883470656337
0.93,-50.0,110.0,267.6398620605469,256.1671969876315,399.6289702143908
0.93,-50.0,115.0,259.4311828613281,248.74116661451518,387.02265450132495
0.93,-50.0,120.0,251.34413146972656,241.39283336503593,374.46959082392067
0.93,-50.0,125.0,243.3298797607422,234.1218049034519,361.9701456324866
0.93,-50.0,130.0,235.38772583007812,226.92826509714473,349.52489432042324
0.93,-50.0,135.0,227.5172119140625,219.8128731870588,337.13455017588007
0.93,-50.0,140.0,219.71783447265625,212.77680500938067,324.79987685196295
0.93,-40.0,0.0,442.78363037109375,425.9796063193636,663.3708791923739
0.93,-40.0,5.0,433.24493408203125,416.233051456753,649.6563674672213
0.93,-40.0,10.0,423.79180908203125,406.6397361301524,635.9888949088014
0.93,-40.0,15.0,414.426025390625,397.200201409818,622.3723121439866
0.93,-40.0,20.0,405.150146484375,387.9133682280104,608.8099046631768
0.93,-40.0,25.0,395.96539306640625,378.7764842225557,595.3039187695148
0.93,-40.0,30.0,387.4451904296875,369.7855163807798,581.8558521878288
0.93,-40.0,35.0,378.9835205078125,360.935687224885,568.4667333419868
0.93,-40.0,40.0,370.5196533203125,352.2213326695304,555.1369437742993
0.93,-40.0,45.0,362.05560302734375,343.63652672555054,541.8664892837916
0.93,-40.0,50.0,353.5930480957031,335.175187402051,528.6550434106106
0.93,-40.0,55.0,345.13372802734375,326.83105584154634,515.5019882037747
0.93,-40.0,60.0,336.66790771484375,318.5983340155752,502.40658044711074
0.93,-40.0,65.0,327.6351623535156,310.4713276818006,489.36796943487775
0.93,-40.0,70.0,318.7574157714844,302.44481676414955,476.38535686497005
0.93,-40.0,75.0,310.028564453125,294.51405951159614,463.45803569009615
0.93,-40.0,80.0,301.4429931640625,286.6747667218027,450.58512696191485
0.93,-40.0,85.0,292.99517822265625,278.92333456077137,437.7662360094871
0.93,-40.0,90.0,284.67987060546875,271.25655234021536,425.00074282680805
0.93,-40.0,95.0,276.42138671875,263.67186342592566,412.2883496465577
0.93,-40.0,100.0,267.6398620605469,256.1671969876315,399.6289702143908
0.93,-40.0,105.0,259.4311828613281,248.74116661451518,387.02265450132495
0.93,-40.0,110.0,251.34413146972656,241.39283336503593,374.46958186457726
0.93,-40.0,115.0,243.3298797607422,234.1218049034519,361.970142746907
0.93,-40.0,120.0,235.38772583007812,226.92826509714473,349.52489133397535
0.93,-40.0,125.0,227.51727294921875,219.81288207245726,337.1345790027342
0.93,-40.0,130.0,219.71783447265625,212.77680500938067,324.79988343070926
0.93,-40.0,135.0,211.98886108398438,205.82193267178792,312.5220707819898
0.93,-40.0,140.0,204.3300323486328,198.95047868439522,300.3020921249506
0.93,-30.0,0.0,423.79180908203125,406.6397361301524,635.9888927711218
0.93,-30.0,5.0,414.426025390625,397.200201409818,622.3723164193457
0.93,-30.0,10.0,405.150146484375,387.91334808820386,608.8099092130276
0.93,-30.0,15.0,395.96539306640625,378.7764635969347,595.3039099443046
0.93,-30.0,20.0,387.4451904296875,369.7855163807798,581.8558521878288
0.93,-30.0,25.0,378.9835205078125,360.935687224885,568.4667333419868
0.93,-30.0,30.0,370.5196533203125,352.2213326695304,555.1369437742993
0.93,-30.0,35.0,362.05560302734375,343.63652672555054,541.8664920599764
0.93,-30.0,40.0,353.5930480957031,335.1751990564039,528.6550526924057
0.93,-30.0,45.0,345.13372802734375,326.83105584154634,515.5019882037747
0.93,-30.0,50.0,336.66790771484375,318.5983340155752,502.40658044711074
0.93,-30.0,55.0,327.6351623535156,310.4713276818006,489.3679787166728
0.93,-30.0,60.0,318.7574462890625,302.4448296797285,476.38535686497005
0.93,-30.0,65.0,310.028564453125,294.51407277496946,463.458064342465
0.93,-30.0,70.0,301.4429931640625,286.6747667218027,450.58512696191485
0.93,-30.0,75.0,292.99517822265625,278.92333456077137,437.7662360094871
0.93,-30.0,80.0,284.67987060546875,271.25655234021536,425.00074282680805
0.93,-30.0,85.0,276.42138671875,263.67186342592566,412.2883440941879
0.93,-30.0,90.0,267.63983154296875,256.1671969876315,399.628984602814
0.93,-30.0,95.0,259.4311828613281,248.74116661451518,387.02265450132495
0.93,-30.0,100.0,251.34413146972656,241.39282527397123,374.46957214793025
0.93,-30.0,105.0,243.3298797607422,234.1218049034519,361.9701264194736
0.93,-30.0,110.0,235.38772583007812,226.92826509714473,349.524885358239
0.93,-30.0,115.0,227.51727294921875,219.81288207245726,337.1345827843697
0.93,-30.0,120.0,219.71783447265625,212.77680500938067,324.79988065452443
0.93,-30.0,125.0,211.9888916015625,205.82193267178792,312.52207267280767
0.93,-30.0,130.0,204.3300323486328,198.95046886725348,300.3020936181745
0.93,-30.0,135.0,196.7410888671875,192.1653849064654,288.1413422112768
0.93,-30.0,140.0,189.2215576171875,185.47011635975215,276.0411456993337
0.93,-20.0,0.0,405.150146484375,387.91334808820386,608.8099179090939
0.93,-20.0,5.0,395.96539306640625,378.7764635969347,595.3039056689454
0.93,-20.0,10.0,387.4451904296875,369.7855163807798,581.8558521878288
0.93,-20.0,15.0,378.9835205078125,360.935687224885,568.4667333419868
0.93,-20.0,20.0,370.5196533203125,352.2213326695304,555.1369437742993
